id,cInstr
values_242,444
values_505,254
values_924,137
values_862,165
values_287,163
values_733,28
values_813,974
values_11,860
values_19,17
values_999,329
values_134,445
values_609,95
values_993,866
values_731,164
values_127,163
values_889,580
values_987,28
values_780,41
values_435,114
values_950,116
values_976,16
values_557,189
values_398,223
values_892,789
values_670,259
values_574,290
values_163,693
values_900,409
values_392,644
values_447,40
values_523,291
values_679,633
values_419,812
values_895,933
values_298,996
values_155,402
values_12,317
values_160,320
values_626,988
values_38,870
values_146,113
values_81,73
values_687,740
values_213,804
values_212,290
values_568,249
values_5,93
values_40,74
values_970,741
values_707,91
values_406,254
values_893,221
values_144,784
values_979,985
values_831,317
values_402,854
values_404,994
values_310,73
values_70,72
values_268,256
values_412,94
values_290,141
values_916,327
values_567,535
values_913,327
values_232,578
values_319,802
values_23,137
values_899,193
values_428,489
values_858,860
values_546,396
values_432,744
values_231,318
values_388,139
values_350,259
values_603,982
values_364,113
values_530,809
values_72,75
values_536,287
values_79,137
values_342,361
values_803,849
values_501,452
values_540,588
values_955,806
values_191,92
values_812,642
values_545,56
values_78,251
values_526,366
values_695,865
values_87,360
values_300,410
values_964,55
values_998,812
values_988,335
values_6,987
values_625,246
values_518,490
values_122,291
values_541,582
values_279,980
values_256,751
values_796,95
values_504,482
values_752,854
values_459,583
values_658,73
values_408,328
values_867,140
values_727,218
values_177,72
values_823,56
values_822,16
values_218,39
values_426,408
values_776,980
values_143,191
values_739,407
values_312,16
values_174,219
values_669,802
values_120,16
values_974,290
values_217,323
values_866,328
values_192,577
values_328,693
values_68,164
values_387,114
values_69,451
values_749,980
values_135,326
values_341,192
values_494,57
values_1,162
values_589,919
values_925,579
values_524,859
values_994,322
values_856,28
values_156,415
values_470,856
values_207,95
values_655,444
values_441,584
values_109,90
values_45,871
values_125,853
values_600,285
values_708,254
values_791,96
values_912,988
values_533,324
values_418,586
values_228,28
values_585,979
values_465,631
values_239,198
values_842,138
values_208,17
values_932,254
values_957,115
values_563,28
values_766,28
values_476,288
values_175,850
values_591,17
values_997,863
values_385,532
values_115,640
values_653,188
values_753,352
values_241,192
values_197,927
values_636,697
values_450,56
values_106,918
values_699,135
values_578,927
values_644,364
values_570,112
values_873,686
values_33,27
values_210,738
values_486,589
values_252,55
values_694,404
values_759,322
values_245,254
values_15,979
values_792,27
values_248,285
values_246,483
values_556,56
values_513,447
values_93,489
values_558,736
values_991,855
values_181,90
values_674,54
values_652,452
values_344,287
values_715,634
values_528,860
values_276,27
values_24,194
values_296,114
values_244,690
values_380,582
values_25,118
values_740,802
values_478,862
values_379,74
values_810,17
values_440,287
values_543,364
values_130,914
values_225,535
values_285,191
values_363,289
values_667,224
values_26,167
values_793,696
values_772,115
values_931,72
values_981,916
values_422,17
values_920,407
values_259,540
values_477,640
values_738,637
values_430,38
values_922,115
values_903,642
values_761,56
values_204,688
values_48,326
values_71,915
values_851,422
values_347,447
values_725,288
values_266,249
values_448,138
values_934,928
values_531,591
values_224,222
values_686,547
values_927,441
values_407,110
values_76,57
values_949,402
values_969,746
values_781,587
values_7,28
values_683,587
values_376,26
values_877,534
values_654,359
values_508,362
values_332,288
values_281,74
values_381,138
values_769,56
values_701,40
values_855,72
values_320,862
values_50,591
values_918,164
values_615,27
values_704,532
values_633,225
values_847,632
values_602,41
values_399,916
values_22,752
values_313,115
values_375,688
values_963,366
values_168,17
values_226,329
values_190,40
values_429,257
values_236,40
values_777,982
values_909,286
values_438,364
values_607,254
values_717,403
values_782,322
values_258,986
values_872,692
values_637,360
values_746,593
values_4,28
values_345,71
values_102,93
values_962,220
values_356,220
values_853,849
values_849,545
values_814,193
values_370,97
values_778,979
values_458,501
values_818,804
values_119,497
values_373,793
values_351,411
values_32,17
values_770,740
values_371,915
values_283,118
values_535,703
values_250,28
values_132,287
values_649,861
values_77,362
values_260,484
values_891,925
values_91,637
values_137,401
values_42,53
values_13,222
values_577,118
values_41,578
values_809,257
values_414,795
values_360,93
values_386,688
values_158,166
values_904,16
values_480,1005
values_647,742
values_104,979
values_55,71
values_491,167
values_391,75
values_972,578
values_571,409
values_940,585
values_861,403
values_324,915
values_549,115
values_170,256
values_269,406
values_442,321
values_520,443
values_455,223
values_31,926
values_971,259
values_397,986
values_254,56
values_616,74
values_66,112
values_943,116
values_117,112
values_451,404
values_643,803
values_688,917
values_569,220
values_745,449
values_65,985
values_980,971
values_982,220
values_62,695
values_789,493
values_401,111
values_21,738
values_598,536
values_273,368
values_534,633
values_118,536
values_141,496
values_366,741
values_222,532
values_876,324
values_700,324
values_95,27
values_806,90
values_671,638
values_816,747
values_630,219
values_433,323
values_905,980
values_84,291
values_233,640
values_664,581
values_162,27
values_681,17
values_542,789
values_169,56
values_660,141
values_488,163
values_894,222
values_828,585
values_537,628
values_845,285
values_584,698
values_457,17
values_499,40
values_369,41
values_58,398
values_64,919
values_196,92
values_462,168
values_343,581
values_262,404
values_966,192
values_261,139
values_349,16
values_263,730
values_801,322
values_292,193
values_786,168
values_101,447
values_691,745
values_926,113
values_754,289
values_215,444
values_977,362
values_850,749
values_646,221
values_628,452
values_941,16
values_353,592
values_690,258
values_961,41
values_331,193
values_377,408
values_128,442
values_336,27
values_632,74
values_166,220
values_744,332
values_837,534
values_807,116
values_838,447
values_723,746
values_874,42
values_627,687
values_555,592
values_446,27
values_716,363
values_240,223
values_140,484
values_317,290
values_83,531
values_696,27
values_413,188
values_94,28
values_937,867
values_199,748
values_596,405
values_0,217
values_953,139
values_906,360
values_742,578
values_396,694
values_159,790
values_238,758
values_136,253
values_915,742
values_99,853
values_771,991
values_96,290
values_768,638
values_67,983
values_565,491
values_848,140
values_114,926
values_61,363
values_511,262
values_729,224
values_460,57
values_832,41
values_348,405
values_182,494
values_986,166
values_180,286
values_930,932
values_274,410
values_309,165
values_496,161
values_165,871
values_553,16
values_870,224
values_795,74
values_361,796
values_302,360
values_586,26
values_880,324
values_665,223
values_527,257
values_372,858
values_382,71
values_43,16
values_935,636
values_2,96
values_790,54
values_152,223
values_871,321
values_434,402
values_775,586
values_500,645
values_220,191
values_875,634
values_249,136
values_808,115
values_859,91
values_539,113
values_635,918
values_311,225
values_183,259
values_54,190
values_390,491
values_890,860
values_711,16
values_471,400
values_995,544
values_443,325
values_464,91
values_774,492
values_200,288
values_747,116
values_758,92
values_30,489
values_820,260
values_393,164
values_576,635
values_445,638
values_662,42
values_403,56
values_640,441
values_59,297
values_490,370
values_194,581
values_751,489
values_663,362
values_938,633
values_532,491
values_885,57
values_713,159
values_193,401
values_650,189
values_564,408
values_267,218
values_147,799
values_709,535
values_857,28
values_334,16
values_965,112
values_824,984
values_784,635
values_229,74
values_538,693
values_463,404
values_741,690
values_85,401
values_493,219
values_794,291
values_202,400
values_74,493
values_410,975
values_469,289
values_394,193
values_149,688
values_945,41
values_293,290
values_456,690
values_975,16
values_547,980
values_164,225
values_720,640
values_833,800
values_90,733
values_954,450
values_483,141
values_990,229
values_113,642
values_878,863
values_942,859
values_126,70
values_666,976
values_960,802
values_783,639
values_735,857
values_439,530
values_860,860
values_18,112
values_173,284
values_454,93
values_176,539
values_698,142
values_869,546
values_697,486
values_509,362
values_189,112
values_714,367
values_270,410
values_863,17
values_548,250
values_359,228
values_512,27
values_656,860
values_684,859
values_171,193
values_675,582
values_657,17
values_333,56
values_599,590
values_129,190
values_886,26
values_107,94
values_272,287
values_52,326
values_819,538
values_682,41
values_44,592
values_914,140
values_346,137
values_151,682
values_550,404
values_326,115
values_836,543
values_437,116
values_984,115
values_17,589
values_748,450
values_581,94
values_705,73
values_121,251
values_219,94
values_321,56
values_843,369
values_606,857
values_898,404
values_601,191
values_36,28
values_282,872
values_395,489
values_449,637
values_209,221
values_956,404
values_579,39
values_484,192
values_521,91
values_617,28
values_516,858
values_358,402
values_335,641
values_139,739
values_992,16
values_211,42
values_507,799
values_921,195
values_138,290
values_275,27
values_614,330
values_49,492
values_227,115
values_203,361
values_172,42
values_86,548
values_178,57
values_978,499
values_253,906
values_291,42
values_911,256
values_230,161
values_318,331
values_798,860
values_638,452
values_112,117
values_201,55
values_629,58
values_337,319
values_37,72
values_56,863
values_316,636
values_829,408
values_63,92
values_35,108
values_519,799
values_481,17
values_278,91
values_186,259
values_702,195
values_722,455
values_97,861
values_329,866
values_75,980
values_560,116
values_612,405
values_421,73
values_639,327
values_939,400
values_198,73
values_840,217
values_415,16
values_405,295
values_100,94
values_726,93
values_265,365
values_743,55
values_436,140
values_583,141
values_525,852
values_677,294
values_289,141
values_255,813
values_529,799
values_826,323
values_362,139
values_355,165
values_506,937
values_315,253
values_604,979
values_57,223
values_133,532
values_787,406
values_799,138
values_765,289
values_887,188
values_952,164
values_631,17
values_306,356
values_497,41
values_821,530
values_618,163
values_271,28
values_645,288
values_985,856
values_400,26
values_562,932
values_590,27
values_648,254
values_325,138
values_883,27
values_827,288
values_854,296
values_307,93
values_88,39
values_958,114
values_251,580
values_902,40
values_680,72
values_884,28
values_901,404
values_354,114
values_420,542
values_103,73
values_10,286
values_474,223
values_53,972
values_8,737
values_39,593
values_755,249
values_124,26
values_841,446
values_510,404
values_989,114
