id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,1278,559,91,14.044
values_505,16176,7033,976,16.574
values_924,15133,6589,926,16.342
values_862,4428,1931,287,15.429
values_287,486,213,38,12.789
values_733,720,317,56,12.857
values_813,3355,1467,225,14.911
values_11,11169,4865,692,16.140
values_19,1611,703,111,14.514
values_999,2391,1041,158,15.133
values_134,7800,3399,491,15.886
values_609,5664,2469,362,15.646
values_993,6357,2775,409,15.543
values_731,8556,3721,528,16.205
values_127,982,431,73,13.452
values_889,9409,4099,587,16.029
values_987,12091,5263,743,16.273
values_780,11148,4851,685,16.274
values_435,307,137,28,10.964
values_950,2856,1247,191,14.953
values_976,5667,2471,363,15.612
values_557,2844,1239,187,15.209
values_398,7800,3399,491,15.886
values_892,9397,4091,583,16.118
values_670,1623,711,115,14.113
values_574,3858,1681,250,15.432
values_163,2859,1249,192,14.891
values_900,5020,2187,321,15.639
values_392,5658,2465,360,15.717
values_447,2403,1049,162,14.833
values_523,6333,2759,401,15.793
values_679,720,317,56,12.857
values_419,5026,2191,323,15.560
values_895,720,317,56,12.857
values_298,8559,3723,529,16.180
values_155,4461,1953,298,14.970
values_12,11184,4875,697,16.046
values_160,8616,3761,548,15.723
values_626,8616,3761,548,15.723
values_38,13080,5697,806,16.228
values_146,16215,7059,989,16.395
values_81,3331,1451,217,15.350
values_687,4422,1927,285,15.516
values_213,14046,6107,851,16.505
values_212,5047,2205,330,15.294
values_568,10254,4463,633,16.199
values_5,5059,2213,334,15.147
values_40,7800,3399,491,15.886
values_970,13056,5681,798,16.361
values_707,7818,3411,497,15.730
values_406,15127,6585,924,16.371
values_893,3340,1457,220,15.182
values_144,10266,4471,637,16.116
values_979,2415,1057,166,14.548
values_831,11169,4865,692,16.140
values_402,714,313,54,13.222
values_404,9412,4101,588,16.007
values_310,979,429,72,13.597
values_70,9397,4091,583,16.118
values_268,3852,1677,248,15.532
values_412,9427,4111,593,15.897
values_290,156,71,17,9.176
values_916,723,319,57,12.684
values_567,1623,711,115,14.113
values_913,2862,1251,193,14.829
values_232,988,435,75,13.173
values_319,3870,1689,254,15.236
values_23,307,137,28,10.964
values_899,1626,713,116,14.017
values_428,14046,6107,851,16.505
values_858,498,221,42,11.857
values_546,2409,1053,164,14.689
values_432,1623,711,115,14.113
values_231,156,71,17,9.176
values_388,10242,4455,629,16.283
values_350,495,219,41,12.073
values_603,11142,4847,683,16.313
values_364,6330,2757,400,15.825
values_530,8571,3731,533,16.081
values_72,7794,3395,489,15.939
values_536,9403,4095,585,16.074
values_79,976,427,71,13.746
values_342,6333,2759,401,15.793
values_803,7782,3387,485,16.045
values_501,10287,4485,644,15.974
values_540,12076,5253,738,16.363
values_955,14088,6135,865,16.287
values_191,1611,703,111,14.514
values_812,12097,5267,745,16.238
values_545,489,215,39,12.538
values_78,12106,5273,748,16.184
values_526,7803,3401,492,15.860
values_695,4437,1937,290,15.300
values_87,13089,5703,809,16.179
values_300,1275,557,90,14.167
values_964,4440,1939,291,15.258
values_998,5676,2477,366,15.508
values_988,1275,557,90,14.167
values_6,982,431,73,13.452
values_625,5026,2191,323,15.560
values_518,492,217,40,12.300
values_122,153,69,16,9.562
values_541,7051,3073,446,15.809
values_279,8580,3737,536,16.007
values_256,1287,565,94,13.691
values_796,2409,1053,164,14.689
values_504,16203,7051,985,16.450
values_752,6342,2765,404,15.698
values_459,14073,6125,860,16.364
values_658,3873,1691,255,15.188
values_408,714,313,54,13.222
values_867,12085,5259,741,16.309
values_727,720,317,56,12.857
values_177,2409,1053,164,14.689
values_823,9415,4103,589,15.985
values_822,1290,567,95,13.579
values_218,10266,4471,637,16.116
values_426,8574,3733,534,16.056
values_776,6342,2765,404,15.698
values_143,8568,3729,532,16.105
values_739,156,71,17,9.176
values_312,6357,2775,409,15.543
values_174,495,219,41,12.073
values_669,307,137,28,10.964
values_120,12088,5261,742,16.291
values_974,16158,7021,970,16.658
values_217,979,429,72,13.597
values_866,988,435,75,13.173
values_192,1287,565,94,13.691
values_328,16212,7057,988,16.409
values_68,492,217,40,12.300
values_387,2418,1059,167,14.479
values_69,2406,1051,163,14.761
values_749,304,135,27,11.259
values_135,4431,1933,288,15.385
values_341,717,315,55,13.036
values_494,1623,711,115,14.113
values_1,717,315,55,13.036
values_589,720,317,56,12.857
values_925,13089,5703,809,16.179
values_524,7788,3391,487,15.992
values_994,5667,2471,363,15.612
values_856,7051,3073,446,15.809
values_156,5020,2187,321,15.639
values_470,5029,2193,324,15.522
values_207,1623,711,115,14.113
values_655,4455,1949,296,15.051
values_441,16188,7041,980,16.518
values_109,15136,6591,927,16.328
values_45,4455,1949,296,15.051
values_125,6336,2761,402,15.761
values_600,301,133,26,11.577
values_708,2409,1053,164,14.689
values_791,14070,6123,859,16.380
values_912,7788,3391,487,15.992
values_533,1284,563,93,13.806
values_418,2002,877,140,14.300
values_228,153,69,16,9.562
