inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,26,57,22,215,48,1200.77,40444.01,0.03,33.68,2246.89,0.39
values_505,26,78,40,263,66,1589.68,40298.28,0.04,25.35,2238.79,0.39
values_924,26,77,38,261,64,1566,41251.74,0.04,26.34,2291.76,0.40
values_862,26,64,28,231,54,1329.38,39501.55,0.03,29.71,2194.53,0.39
values_287,26,54,19,206,45,1131.32,41799.36,0.03,36.95,2322.19,0.40
values_733,26,55,20,209,46,1154.42,41270.67,0.03,35.75,2292.82,0.40
values_813,26,62,27,224,53,1283.05,38301.54,0.03,29.85,2127.86,0.38
values_11,26,73,37,255,63,1524.21,39093.83,0.04,25.65,2171.88,0.38
values_19,26,58,23,216,49,1212.78,39758.00,0.03,32.78,2208.78,0.39
values_999,26,60,23,221,49,1240.85,42081.03,0.03,33.91,2337.83,0.40
values_134,26,69,33,243,59,1429.48,38855.93,0.04,27.18,2158.66,0.38
values_609,26,66,30,237,56,1376.34,39363.41,0.03,28.60,2186.86,0.39
values_993,26,67,32,235,58,1376.63,37470.03,0.04,27.22,2081.67,0.37
values_731,26,70,33,246,59,1447.13,39905.71,0.04,27.58,2216.98,0.39
values_127,26,56,21,210,47,1166.46,40437.41,0.03,34.67,2246.52,0.39
values_889,26,71,33,246,59,1447.13,40475.79,0.04,27.97,2248.66,0.39
values_987,26,74,33,259,59,1523.60,44415.38,0.03,29.15,2467.52,0.42
values_780,26,73,37,250,63,1494.32,38327.29,0.04,25.65,2129.29,0.38
values_435,26,53,18,203,44,1108.26,42421.91,0.03,38.28,2356.77,0.41
values_950,26,61,26,224,52,1276.90,38945.40,0.03,30.50,2163.63,0.38
values_976,26,66,31,233,57,1359.06,37615.37,0.04,27.68,2089.74,0.37
values_557,26,61,25,219,51,1242.26,39404.52,0.03,31.72,2189.14,0.39
