id,cInstr
values_242,91
values_505,976
values_924,926
values_862,287
values_287,38
values_733,56
values_813,225
values_11,692
values_19,111
values_999,158
values_134,491
values_609,362
values_993,409
values_731,528
values_127,73
values_889,587
values_987,743
values_780,685
values_435,28
values_950,191
values_976,363
values_557,187
values_398,491
values_892,583
values_670,115
values_574,250
values_163,192
values_900,321
values_392,360
values_447,162
values_523,401
values_679,56
values_419,323
values_895,56
values_298,529
values_155,298
values_12,697
values_160,548
values_626,548
values_38,806
values_146,989
values_81,217
values_687,285
values_213,851
values_212,330
values_568,633
values_5,334
values_40,491
values_970,798
values_707,497
values_406,924
values_893,220
values_144,637
values_979,166
values_831,692
values_402,54
values_404,588
values_310,72
values_70,583
values_268,248
values_412,593
values_290,17
values_916,57
values_567,115
values_913,193
values_232,75
values_319,254
values_23,28
values_899,116
values_428,851
values_858,42
values_546,164
values_432,115
values_231,17
values_388,629
values_350,41
values_603,683
values_364,400
values_530,533
values_72,489
values_536,585
values_79,71
values_342,401
values_803,485
values_501,644
values_540,738
values_955,865
values_191,111
values_812,745
values_545,39
values_78,748
values_526,492
values_695,290
values_87,809
values_300,90
values_964,291
values_998,366
values_988,90
values_6,73
values_625,323
values_518,40
values_122,16
values_541,446
values_279,536
values_256,94
values_796,164
values_504,985
values_752,404
values_459,860
values_658,255
values_408,54
values_867,741
values_727,56
values_177,164
values_823,589
values_822,95
values_218,637
values_426,534
values_776,404
values_143,532
values_739,17
values_312,409
values_174,41
values_669,28
values_120,742
values_974,970
values_217,72
values_866,75
values_192,94
values_328,988
values_68,40
values_387,167
values_69,163
values_749,27
values_135,288
values_341,55
values_494,115
values_1,55
values_589,56
values_925,809
values_524,487
values_994,363
values_856,446
values_156,321
values_470,324
values_207,115
values_655,296
values_441,980
values_109,927
values_45,296
values_125,402
values_600,26
values_708,164
values_791,859
values_912,487
values_533,93
values_418,140
values_228,16
values_585,740
values_465,857
values_239,367
values_842,590
values_208,639
values_932,226
values_957,73
values_563,751
values_766,39
values_476,26
values_175,640
values_591,541
values_997,219
values_385,39
values_115,645
values_653,637
values_753,137
values_241,541
values_197,192
values_636,584
values_450,686
values_106,40
values_699,94
values_578,533
values_644,578
values_570,319
values_873,56
values_33,17
values_210,219
values_486,641
values_252,222
values_694,410
values_759,535
values_245,54
values_15,937
values_792,165
values_248,161
values_246,166
values_556,40
values_513,224
values_93,56
values_558,750
values_991,258
values_181,986
values_674,326
values_652,918
values_344,679
values_715,257
values_528,161
values_276,56
values_24,985
values_296,360
values_244,862
values_380,857
values_25,981
values_740,586
values_478,287
values_379,286
values_810,871
values_440,117
values_543,186
values_130,189
values_225,289
values_285,288
values_363,742
values_667,444
values_26,224
values_793,800
values_772,861
values_931,536
values_981,533
values_422,740
values_920,330
values_259,805
values_477,367
values_738,488
values_430,401
values_922,113
values_903,161
values_761,256
values_204,486
values_48,397
values_71,26
values_851,93
values_347,987
values_725,792
values_266,926
values_448,632
values_934,634
values_531,548
values_224,979
values_686,742
values_927,16
values_407,256
values_76,16
values_949,854
values_969,118
values_781,486
values_7,17
values_683,27
values_376,28
values_877,366
values_654,801
values_508,17
values_332,218
values_281,400
values_381,364
values_769,535
values_701,985
values_855,447
values_320,74
values_50,533
values_918,923
values_615,73
values_704,545
values_633,39
values_847,497
values_602,192
values_399,255
values_22,74
values_313,116
values_375,41
values_963,542
values_168,74
values_226,584
values_190,198
values_429,28
values_236,57
values_777,143
values_909,932
values_438,796
values_607,139
values_717,71
values_782,191
values_258,446
values_872,629
values_637,225
values_746,141
values_4,689
values_345,287
values_102,294
values_962,911
values_356,74
values_853,590
values_849,223
values_814,916
values_370,736
values_778,551
values_458,41
values_818,493
values_119,682
values_373,56
values_351,446
values_32,291
values_770,529
values_371,324
values_283,357
values_535,53
values_250,216
values_132,74
values_649,318
values_77,364
values_260,590
values_891,142
values_91,590
values_137,582
values_42,442
values_13,166
values_577,138
values_41,455
values_809,169
values_414,198
values_360,804
values_386,141
values_158,405
values_904,74
values_480,486
values_647,446
values_104,539
values_55,859
values_491,255
values_391,451
values_972,167
values_571,455
values_940,157
values_861,193
values_324,75
values_549,405
values_170,139
values_269,159
values_442,327
values_520,538
values_455,808
values_31,139
values_971,693
values_397,290
values_254,260
values_616,228
values_66,915
values_943,448
values_117,253
values_451,916
values_643,138
values_688,738
values_569,289
values_745,798
values_65,91
values_980,365
values_982,633
values_62,324
values_789,580
values_401,582
values_21,28
values_598,325
values_273,743
values_534,920
values_118,286
values_141,223
values_366,982
values_222,634
values_876,117
values_700,593
values_95,256
values_806,363
values_671,323
values_816,921
values_630,224
values_433,682
values_905,138
values_84,58
values_233,581
values_664,166
values_162,255
values_681,133
values_542,488
values_169,536
values_660,26
values_488,161
values_894,796
values_828,223
values_537,445
values_845,975
values_584,537
values_457,444
values_499,220
values_369,497
values_58,497
values_64,255
values_196,320
values_462,193
values_343,194
values_262,56
values_966,535
values_261,363
values_349,532
values_263,692
values_801,112
values_292,55
values_786,541
values_101,637
values_691,748
values_926,359
values_754,984
values_215,41
values_977,17
values_850,72
values_646,167
values_628,320
values_941,139
values_353,94
values_690,16
values_961,190
values_331,795
values_377,73
values_128,92
values_336,117
values_632,73
values_166,487
values_744,689
values_837,113
values_807,933
values_838,747
values_723,161
values_874,90
values_627,697
values_555,324
values_446,731
values_716,532
values_240,860
values_140,226
values_317,643
values_83,162
values_696,164
values_413,364
values_94,28
values_937,72
values_199,319
values_596,93
values_0,535
values_953,643
values_906,225
values_742,744
values_396,321
values_159,905
values_238,287
values_136,535
values_915,114
values_99,402
values_771,138
values_96,441
values_768,799
values_67,858
values_565,364
values_848,220
values_114,370
values_61,93
values_511,55
values_729,536
values_460,629
values_832,691
values_348,326
values_182,360
values_986,91
values_180,635
values_930,990
values_274,627
values_309,804
values_496,534
values_165,978
values_553,196
values_870,134
values_795,96
values_361,198
values_302,583
values_586,921
values_880,40
values_665,27
values_527,797
values_372,290
values_382,580
values_43,71
values_935,113
values_2,40
values_790,42
values_152,55
values_871,361
values_434,921
values_775,446
values_500,493
values_220,16
values_875,920
