;DEVICE;BOARD;FUNCTION;DATA_TYPE;inputName;text;data;bss
0;armulator;ARMV4T;banker_algorithm;int8_t;242;1004;12;7
1;armulator;ARMV4T;banker_algorithm;int8_t;505;1076;61;28
2;armulator;ARMV4T;banker_algorithm;int8_t;924;1112;820;403
3;armulator;ARMV4T;banker_algorithm;int8_t;862;1004;36;19
4;armulator;ARMV4T;banker_algorithm;int8_t;287;1004;12;7
5;armulator;ARMV4T;banker_algorithm;int8_t;733;1076;469;228
6;armulator;ARMV4T;banker_algorithm;int8_t;813;1004;528;259
7;armulator;ARMV4T;banker_algorithm;int8_t;11;1004;12;7
8;armulator;ARMV4T;banker_algorithm;int8_t;19;1004;12;7
9;armulator;ARMV4T;banker_algorithm;int8_t;999;1076;61;28
10;armulator;ARMV4T;banker_algorithm;int8_t;134;1004;12;7
11;armulator;ARMV4T;banker_algorithm;int8_t;609;1004;36;19
12;armulator;ARMV4T;banker_algorithm;int8_t;993;1004;136;67
13;armulator;ARMV4T;banker_algorithm;int8_t;731;1112;668;327
14;armulator;ARMV4T;banker_algorithm;int8_t;127;1112;80;39
15;armulator;ARMV4T;banker_algorithm;int8_t;889;1076;61;28
16;armulator;ARMV4T;banker_algorithm;int8_t;987;1112;820;403
17;armulator;ARMV4T;banker_algorithm;int8_t;780;1140;745;364
18;armulator;ARMV4T;banker_algorithm;int8_t;435;1112;212;103
19;armulator;ARMV4T;banker_algorithm;int8_t;950;1076;25;12
20;armulator;ARMV4T;banker_algorithm;int8_t;976;1004;12;7
21;armulator;ARMV4T;banker_algorithm;int8_t;557;1004;36;19
22;armulator;ARMV4T;banker_algorithm;int8_t;398;1076;25;12
23;armulator;ARMV4T;banker_algorithm;int8_t;892;1112;80;39
24;armulator;ARMV4T;banker_algorithm;int8_t;670;1076;601;292
25;armulator;ARMV4T;banker_algorithm;int8_t;574;1112;820;403
26;armulator;ARMV4T;banker_algorithm;int8_t;163;1076;601;292
27;armulator;ARMV4T;banker_algorithm;int8_t;900;1112;80;39
28;armulator;ARMV4T;banker_algorithm;int8_t;392;1140;357;172
29;armulator;ARMV4T;banker_algorithm;int8_t;447;1140;257;124
30;armulator;ARMV4T;banker_algorithm;int8_t;523;1140;357;172
31;armulator;ARMV4T;banker_algorithm;int8_t;679;1004;12;7
32;armulator;ARMV4T;banker_algorithm;int8_t;419;1112;408;199
33;armulator;ARMV4T;banker_algorithm;int8_t;895;1112;80;39
34;armulator;ARMV4T;banker_algorithm;int8_t;298;1076;109;52
35;armulator;ARMV4T;banker_algorithm;int8_t;155;1140;357;172
36;armulator;ARMV4T;banker_algorithm;int8_t;12;1004;36;19
37;armulator;ARMV4T;banker_algorithm;int8_t;160;1112;80;39
38;armulator;ARMV4T;banker_algorithm;int8_t;626;1140;745;364
39;armulator;ARMV4T;banker_algorithm;int8_t;38;1004;528;259
40;armulator;ARMV4T;banker_algorithm;int8_t;146;1004;12;7
41;armulator;ARMV4T;banker_algorithm;int8_t;81;1076;177;84
42;armulator;ARMV4T;banker_algorithm;int8_t;687;1076;177;84
43;armulator;ARMV4T;banker_algorithm;int8_t;213;1076;109;52
44;armulator;ARMV4T;banker_algorithm;int8_t;212;1112;80;39
45;armulator;ARMV4T;banker_algorithm;int8_t;568;1076;25;12
46;armulator;ARMV4T;banker_algorithm;int8_t;5;1076;61;28
47;armulator;ARMV4T;banker_algorithm;int8_t;40;1140;357;172
48;armulator;ARMV4T;banker_algorithm;int8_t;970;1112;668;327
49;armulator;ARMV4T;banker_algorithm;int8_t;707;1112;80;39
50;armulator;ARMV4T;banker_algorithm;int8_t;406;1140;357;172
51;armulator;ARMV4T;banker_algorithm;int8_t;893;1112;668;327
52;armulator;ARMV4T;banker_algorithm;int8_t;144;1076;601;292
53;armulator;ARMV4T;banker_algorithm;int8_t;979;1140;745;364
54;armulator;ARMV4T;banker_algorithm;int8_t;831;1076;601;292
55;armulator;ARMV4T;banker_algorithm;int8_t;402;1076;469;228
56;armulator;ARMV4T;banker_algorithm;int8_t;404;1076;469;228
57;armulator;ARMV4T;banker_algorithm;int8_t;310;1076;469;228
58;armulator;ARMV4T;banker_algorithm;int8_t;70;1140;257;124
59;armulator;ARMV4T;banker_algorithm;int8_t;268;1140;357;172
60;armulator;ARMV4T;banker_algorithm;int8_t;412;1112;80;39
61;armulator;ARMV4T;banker_algorithm;int8_t;290;1112;300;147
62;armulator;ARMV4T;banker_algorithm;int8_t;916;1112;408;199
63;armulator;ARMV4T;banker_algorithm;int8_t;567;1112;80;39
64;armulator;ARMV4T;banker_algorithm;int8_t;913;1004;136;67
65;armulator;ARMV4T;banker_algorithm;int8_t;232;1004;12;7
66;armulator;ARMV4T;banker_algorithm;int8_t;319;1076;25;12
67;armulator;ARMV4T;banker_algorithm;int8_t;23;1112;300;147
68;armulator;ARMV4T;banker_algorithm;int8_t;899;1076;109;52
69;armulator;ARMV4T;banker_algorithm;int8_t;428;1076;469;228
70;armulator;ARMV4T;banker_algorithm;int8_t;858;1076;601;292
71;armulator;ARMV4T;banker_algorithm;int8_t;546;1112;820;403
72;armulator;ARMV4T;banker_algorithm;int8_t;432;1076;469;228
73;armulator;ARMV4T;banker_algorithm;int8_t;231;1076;601;292
74;armulator;ARMV4T;banker_algorithm;int8_t;388;1140;257;124
75;armulator;ARMV4T;banker_algorithm;int8_t;350;1004;12;7
76;armulator;ARMV4T;banker_algorithm;int8_t;603;1004;136;67
77;armulator;ARMV4T;banker_algorithm;int8_t;364;1112;820;403
78;armulator;ARMV4T;banker_algorithm;int8_t;530;1076;25;12
79;armulator;ARMV4T;banker_algorithm;int8_t;72;1004;12;7
80;armulator;ARMV4T;banker_algorithm;int8_t;536;1140;745;364
81;armulator;ARMV4T;banker_algorithm;int8_t;79;1076;61;28
82;armulator;ARMV4T;banker_algorithm;int8_t;342;1076;601;292
83;armulator;ARMV4T;banker_algorithm;int8_t;803;1004;36;19
84;armulator;ARMV4T;banker_algorithm;int8_t;501;1076;25;12
85;armulator;ARMV4T;banker_algorithm;int8_t;540;1112;408;199
86;armulator;ARMV4T;banker_algorithm;int8_t;955;1004;136;67
87;armulator;ARMV4T;banker_algorithm;int8_t;191;1076;177;84
88;armulator;ARMV4T;banker_algorithm;int8_t;812;1004;36;19
