;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;SS_VAL_1
0;ARMV4T;28x28;banker_algorithm;int8_t;242;2
1;ARMV4T;28x28;banker_algorithm;int8_t;505;5
2;ARMV4T;28x28;banker_algorithm;int8_t;924;20
3;ARMV4T;28x28;banker_algorithm;int8_t;862;4
4;ARMV4T;28x28;banker_algorithm;int8_t;287;2
5;ARMV4T;28x28;banker_algorithm;int8_t;733;15
6;ARMV4T;28x28;banker_algorithm;int8_t;813;16
7;ARMV4T;28x28;banker_algorithm;int8_t;11;2
8;ARMV4T;28x28;banker_algorithm;int8_t;19;2
9;ARMV4T;28x28;banker_algorithm;int8_t;999;5
10;ARMV4T;28x28;banker_algorithm;int8_t;134;2
11;ARMV4T;28x28;banker_algorithm;int8_t;609;4
12;ARMV4T;28x28;banker_algorithm;int8_t;993;8
13;ARMV4T;28x28;banker_algorithm;int8_t;731;18
14;ARMV4T;28x28;banker_algorithm;int8_t;127;6
15;ARMV4T;28x28;banker_algorithm;int8_t;889;5
16;ARMV4T;28x28;banker_algorithm;int8_t;987;20
17;ARMV4T;28x28;banker_algorithm;int8_t;780;19
18;ARMV4T;28x28;banker_algorithm;int8_t;435;10
19;ARMV4T;28x28;banker_algorithm;int8_t;950;3
20;ARMV4T;28x28;banker_algorithm;int8_t;976;2
21;ARMV4T;28x28;banker_algorithm;int8_t;557;4
22;ARMV4T;28x28;banker_algorithm;int8_t;398;3
23;ARMV4T;28x28;banker_algorithm;int8_t;892;6
24;ARMV4T;28x28;banker_algorithm;int8_t;670;17
25;ARMV4T;28x28;banker_algorithm;int8_t;574;20
26;ARMV4T;28x28;banker_algorithm;int8_t;163;17
27;ARMV4T;28x28;banker_algorithm;int8_t;900;6
28;ARMV4T;28x28;banker_algorithm;int8_t;392;13
29;ARMV4T;28x28;banker_algorithm;int8_t;447;11
30;ARMV4T;28x28;banker_algorithm;int8_t;523;13
31;ARMV4T;28x28;banker_algorithm;int8_t;679;2
32;ARMV4T;28x28;banker_algorithm;int8_t;419;14
33;ARMV4T;28x28;banker_algorithm;int8_t;895;6
34;ARMV4T;28x28;banker_algorithm;int8_t;298;7
35;ARMV4T;28x28;banker_algorithm;int8_t;155;13
36;ARMV4T;28x28;banker_algorithm;int8_t;12;4
37;ARMV4T;28x28;banker_algorithm;int8_t;160;6
38;ARMV4T;28x28;banker_algorithm;int8_t;626;19
39;ARMV4T;28x28;banker_algorithm;int8_t;38;16
40;ARMV4T;28x28;banker_algorithm;int8_t;146;2
41;ARMV4T;28x28;banker_algorithm;int8_t;81;9
42;ARMV4T;28x28;banker_algorithm;int8_t;687;9
43;ARMV4T;28x28;banker_algorithm;int8_t;213;7
44;ARMV4T;28x28;banker_algorithm;int8_t;212;6
45;ARMV4T;28x28;banker_algorithm;int8_t;568;3
46;ARMV4T;28x28;banker_algorithm;int8_t;5;5
47;ARMV4T;28x28;banker_algorithm;int8_t;40;13
48;ARMV4T;28x28;banker_algorithm;int8_t;970;18
49;ARMV4T;28x28;banker_algorithm;int8_t;707;6
50;ARMV4T;28x28;banker_algorithm;int8_t;406;13
51;ARMV4T;28x28;banker_algorithm;int8_t;893;18
52;ARMV4T;28x28;banker_algorithm;int8_t;144;17
53;ARMV4T;28x28;banker_algorithm;int8_t;979;19
54;ARMV4T;28x28;banker_algorithm;int8_t;831;17
55;ARMV4T;28x28;banker_algorithm;int8_t;402;15
56;ARMV4T;28x28;banker_algorithm;int8_t;404;15
57;ARMV4T;28x28;banker_algorithm;int8_t;310;15
58;ARMV4T;28x28;banker_algorithm;int8_t;70;11
59;ARMV4T;28x28;banker_algorithm;int8_t;268;13
60;ARMV4T;28x28;banker_algorithm;int8_t;412;6
61;ARMV4T;28x28;banker_algorithm;int8_t;290;12
62;ARMV4T;28x28;banker_algorithm;int8_t;916;14
63;ARMV4T;28x28;banker_algorithm;int8_t;567;6
64;ARMV4T;28x28;banker_algorithm;int8_t;913;8
65;ARMV4T;28x28;banker_algorithm;int8_t;232;2
66;ARMV4T;28x28;banker_algorithm;int8_t;319;3
67;ARMV4T;28x28;banker_algorithm;int8_t;23;12
68;ARMV4T;28x28;banker_algorithm;int8_t;899;7
69;ARMV4T;28x28;banker_algorithm;int8_t;428;15
70;ARMV4T;28x28;banker_algorithm;int8_t;858;17
71;ARMV4T;28x28;banker_algorithm;int8_t;546;20
72;ARMV4T;28x28;banker_algorithm;int8_t;432;15
73;ARMV4T;28x28;banker_algorithm;int8_t;231;17
74;ARMV4T;28x28;banker_algorithm;int8_t;388;11
75;ARMV4T;28x28;banker_algorithm;int8_t;350;2
76;ARMV4T;28x28;banker_algorithm;int8_t;603;8
77;ARMV4T;28x28;banker_algorithm;int8_t;364;20
78;ARMV4T;28x28;banker_algorithm;int8_t;530;3
79;ARMV4T;28x28;banker_algorithm;int8_t;72;2
80;ARMV4T;28x28;banker_algorithm;int8_t;536;19
81;ARMV4T;28x28;banker_algorithm;int8_t;79;5
82;ARMV4T;28x28;banker_algorithm;int8_t;342;17
83;ARMV4T;28x28;banker_algorithm;int8_t;803;4
84;ARMV4T;28x28;banker_algorithm;int8_t;501;3
85;ARMV4T;28x28;banker_algorithm;int8_t;540;14
86;ARMV4T;28x28;banker_algorithm;int8_t;955;8
87;ARMV4T;28x28;banker_algorithm;int8_t;191;9
88;ARMV4T;28x28;banker_algorithm;int8_t;812;4
89;ARMV4T;28x28;banker_algorithm;int8_t;545;10
90;ARMV4T;28x28;banker_algorithm;int8_t;78;5
91;ARMV4T;28x28;banker_algorithm;int8_t;526;12
92;ARMV4T;28x28;banker_algorithm;int8_t;695;18
93;ARMV4T;28x28;banker_algorithm;int8_t;87;6
94;ARMV4T;28x28;banker_algorithm;int8_t;300;2
95;ARMV4T;28x28;banker_algorithm;int8_t;964;15
96;ARMV4T;28x28;banker_algorithm;int8_t;998;11
97;ARMV4T;28x28;banker_algorithm;int8_t;988;11
98;ARMV4T;28x28;banker_algorithm;int8_t;6;11
99;ARMV4T;28x28;banker_algorithm;int8_t;625;14
100;ARMV4T;28x28;banker_algorithm;int8_t;518;6
101;ARMV4T;28x28;banker_algorithm;int8_t;122;2
102;ARMV4T;28x28;banker_algorithm;int8_t;541;5
103;ARMV4T;28x28;banker_algorithm;int8_t;279;19
104;ARMV4T;28x28;banker_algorithm;int8_t;256;3
105;ARMV4T;28x28;banker_algorithm;int8_t;796;9
106;ARMV4T;28x28;banker_algorithm;int8_t;504;4
107;ARMV4T;28x28;banker_algorithm;int8_t;752;6
108;ARMV4T;28x28;banker_algorithm;int8_t;459;17
109;ARMV4T;28x28;banker_algorithm;int8_t;658;13
110;ARMV4T;28x28;banker_algorithm;int8_t;408;5
111;ARMV4T;28x28;banker_algorithm;int8_t;867;14
112;ARMV4T;28x28;banker_algorithm;int8_t;727;19
113;ARMV4T;28x28;banker_algorithm;int8_t;177;19
114;ARMV4T;28x28;banker_algorithm;int8_t;823;20
115;ARMV4T;28x28;banker_algorithm;int8_t;822;2
116;ARMV4T;28x28;banker_algorithm;int8_t;218;6
117;ARMV4T;28x28;banker_algorithm;int8_t;426;14
118;ARMV4T;28x28;banker_algorithm;int8_t;776;2
119;ARMV4T;28x28;banker_algorithm;int8_t;143;7
120;ARMV4T;28x28;banker_algorithm;int8_t;739;17
121;ARMV4T;28x28;banker_algorithm;int8_t;312;15
122;ARMV4T;28x28;banker_algorithm;int8_t;174;17
123;ARMV4T;28x28;banker_algorithm;int8_t;669;4
124;ARMV4T;28x28;banker_algorithm;int8_t;120;13
125;ARMV4T;28x28;banker_algorithm;int8_t;974;15
126;ARMV4T;28x28;banker_algorithm;int8_t;217;3
127;ARMV4T;28x28;banker_algorithm;int8_t;866;3
128;ARMV4T;28x28;banker_algorithm;int8_t;192;7
129;ARMV4T;28x28;banker_algorithm;int8_t;328;18
130;ARMV4T;28x28;banker_algorithm;int8_t;68;11
131;ARMV4T;28x28;banker_algorithm;int8_t;387;18
132;ARMV4T;28x28;banker_algorithm;int8_t;69;4
133;ARMV4T;28x28;banker_algorithm;int8_t;749;7
134;ARMV4T;28x28;banker_algorithm;int8_t;135;19
135;ARMV4T;28x28;banker_algorithm;int8_t;341;16
136;ARMV4T;28x28;banker_algorithm;int8_t;494;17
137;ARMV4T;28x28;banker_algorithm;int8_t;1;8
138;ARMV4T;28x28;banker_algorithm;int8_t;589;5
139;ARMV4T;28x28;banker_algorithm;int8_t;925;11
140;ARMV4T;28x28;banker_algorithm;int8_t;524;4
141;ARMV4T;28x28;banker_algorithm;int8_t;994;8
142;ARMV4T;28x28;banker_algorithm;int8_t;856;9
143;ARMV4T;28x28;banker_algorithm;int8_t;156;20
144;ARMV4T;28x28;banker_algorithm;int8_t;470;3
145;ARMV4T;28x28;banker_algorithm;int8_t;207;3
146;ARMV4T;28x28;banker_algorithm;int8_t;655;16
147;ARMV4T;28x28;banker_algorithm;int8_t;441;10
148;ARMV4T;28x28;banker_algorithm;int8_t;109;18
149;ARMV4T;28x28;banker_algorithm;int8_t;45;16
150;ARMV4T;28x28;banker_algorithm;int8_t;125;19
151;ARMV4T;28x28;banker_algorithm;int8_t;600;19
152;ARMV4T;28x28;banker_algorithm;int8_t;708;6
153;ARMV4T;28x28;banker_algorithm;int8_t;791;5
154;ARMV4T;28x28;banker_algorithm;int8_t;912;2
155;ARMV4T;28x28;banker_algorithm;int8_t;533;9
156;ARMV4T;28x28;banker_algorithm;int8_t;418;10
157;ARMV4T;28x28;banker_algorithm;int8_t;228;15
158;ARMV4T;28x28;banker_algorithm;int8_t;585;11
159;ARMV4T;28x28;banker_algorithm;int8_t;465;2
160;ARMV4T;28x28;banker_algorithm;int8_t;239;12
161;ARMV4T;28x28;banker_algorithm;int8_t;842;9
162;ARMV4T;28x28;banker_algorithm;int8_t;208;14
163;ARMV4T;28x28;banker_algorithm;int8_t;932;15
164;ARMV4T;28x28;banker_algorithm;int8_t;957;14
165;ARMV4T;28x28;banker_algorithm;int8_t;563;2
166;ARMV4T;28x28;banker_algorithm;int8_t;766;9
167;ARMV4T;28x28;banker_algorithm;int8_t;476;10
168;ARMV4T;28x28;banker_algorithm;int8_t;175;7
169;ARMV4T;28x28;banker_algorithm;int8_t;591;16
170;ARMV4T;28x28;banker_algorithm;int8_t;997;4
