;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;V_VAL_1;V_VAL_2;V_VAL_3;V_VAL_4;V_VAL_5;V_VAL_6;V_VAL_7;V_VAL_8;V_VAL_9;V_VAL_10;V_VAL_11;V_VAL_12;V_VAL_13;V_VAL_14;V_VAL_15;V_VAL_16;V_VAL_17;V_VAL_18;V_VAL_19;V_VAL_20;V_VAL_21;V_VAL_22;V_VAL_23;V_VAL_24;V_VAL_25;V_VAL_26;V_VAL_27;V_VAL_28
0;armulator;ARMV4T;banker_algorithm;int8_t;242;10;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;armulator;ARMV4T;banker_algorithm;int8_t;505;54;181;162;106;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;armulator;ARMV4T;banker_algorithm;int8_t;924;194;188;49;175;33;200;247;232;158;80;250;140;106;223;1;205;190;57;176;103;0;0;0;0;0;0;0;0
3;armulator;ARMV4T;banker_algorithm;int8_t;862;241;31;156;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;armulator;ARMV4T;banker_algorithm;int8_t;287;125;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;armulator;ARMV4T;banker_algorithm;int8_t;733;99;154;45;234;162;124;60;122;23;41;1;147;213;247;4;0;0;0;0;0;0;0;0;0;0;0;0;0
6;armulator;ARMV4T;banker_algorithm;int8_t;813;230;218;254;251;236;89;158;17;52;51;43;93;166;71;184;119;0;0;0;0;0;0;0;0;0;0;0;0
7;armulator;ARMV4T;banker_algorithm;int8_t;11;114;163;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;armulator;ARMV4T;banker_algorithm;int8_t;19;170;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;armulator;ARMV4T;banker_algorithm;int8_t;999;27;19;253;165;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;armulator;ARMV4T;banker_algorithm;int8_t;134;108;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;armulator;ARMV4T;banker_algorithm;int8_t;609;146;21;132;119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;armulator;ARMV4T;banker_algorithm;int8_t;993;96;66;205;92;78;121;174;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;armulator;ARMV4T;banker_algorithm;int8_t;731;117;72;45;183;251;57;229;38;66;147;235;149;220;23;179;208;210;3;0;0;0;0;0;0;0;0;0;0
14;armulator;ARMV4T;banker_algorithm;int8_t;127;140;215;161;243;66;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;armulator;ARMV4T;banker_algorithm;int8_t;889;54;149;158;104;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;armulator;ARMV4T;banker_algorithm;int8_t;987;108;108;126;232;80;75;113;37;112;108;17;245;101;184;201;15;249;49;158;72;0;0;0;0;0;0;0;0
17;armulator;ARMV4T;banker_algorithm;int8_t;780;200;169;49;76;225;115;232;105;163;162;84;61;247;253;69;231;193;34;93;0;0;0;0;0;0;0;0;0
