inputName,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_505," 143 
"," 70 
"," 404 
"," 100 
"," 2684.12 
"," 82249.04 
"," 0.03 
"," 30.64 
"," 4569.39 
"," 0.63 
"
values_924," 908 
"," 262 
"," 1964 
"," 292 
"," 16084.82 
"," 836164.83 
"," 0.02 
"," 51.98 
"," 46453.60 
"," 2.96 
"
values_862," 124 
"," 53 
"," 364 
"," 83 
"," 2320.51 
"," 81436.92 
"," 0.03 
"," 35.09 
"," 4524.27 
"," 0.63 
"
values_287," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_733," 553 
"," 218 
"," 1244 
"," 248 
"," 9895.02 
"," 376510.06 
"," 0.03 
"," 38.05 
"," 20917.23 
"," 1.74 
"
values_813," 616 
"," 242 
"," 1372 
"," 272 
"," 11096.00 
"," 423665.42 
"," 0.03 
"," 38.18 
"," 23536.97 
"," 1.88 
"
values_11," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_19," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_999," 143 
"," 68 
"," 404 
"," 98 
"," 2672.34 
"," 84296.69 
"," 0.03 
"," 31.54 
"," 4683.15 
"," 0.64 
"
values_134," 98 
"," 27 
"," 308 
"," 57 
"," 1796.53 
"," 97811.08 
"," 0.02 
"," 54.44 
"," 5433.95 
"," 0.71 
"
values_609," 124 
"," 51 
"," 364 
"," 81 
"," 2307.71 
"," 84163.37 
"," 0.03 
"," 36.47 
"," 4675.74 
"," 0.64 
"
values_993," 224 
"," 125 
"," 572 
"," 155 
"," 4161.94 
"," 111873.03 
"," 0.04 
"," 26.88 
"," 6215.17 
"," 0.77 
"
values_731," 754 
"," 249 
"," 1652 
"," 279 
"," 13421.05 
"," 609606.66 
"," 0.02 
"," 45.42 
"," 33867.04 
"," 2.40 
"
values_127," 166 
"," 82 
"," 452 
"," 112 
"," 3076.92 
"," 93433.44 
"," 0.03 
"," 30.37 
"," 5190.75 
"," 0.69 
"
values_889," 143 
"," 64 
"," 404 
"," 94 
"," 2648.05 
"," 88751.18 
"," 0.03 
"," 33.52 
"," 4930.62 
"," 0.66 
"
values_987," 908 
"," 258 
"," 1964 
"," 288 
"," 16045.73 
"," 847065.42 
"," 0.02 
"," 52.79 
"," 47059.19 
"," 2.98 
"
values_780," 829 
"," 258 
"," 1804 
"," 288 
"," 14738.54 
"," 710363.58 
"," 0.02 
"," 48.20 
"," 39464.64 
"," 2.65 
"
values_435," 298 
"," 160 
"," 724 
"," 190 
"," 5480.58 
"," 153113.58 
"," 0.04 
"," 27.94 
"," 8506.31 
"," 0.95 
"
values_950," 109 
"," 37 
"," 332 
"," 67 
"," 2013.94 
"," 88994.45 
"," 0.02 
"," 44.19 
"," 4944.14 
"," 0.66 
"
values_976," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_557," 124 
"," 50 
"," 364 
"," 80 
"," 2301.18 
"," 85603.96 
"," 0.03 
"," 37.20 
"," 4755.78 
"," 0.65 
"
values_398," 109 
"," 38 
"," 332 
"," 68 
"," 2021.04 
"," 86957.80 
"," 0.02 
"," 43.03 
"," 4830.99 
"," 0.65 
"
values_892," 166 
"," 82 
"," 452 
"," 112 
"," 3076.92 
"," 93433.44 
"," 0.03 
"," 30.37 
"," 5190.75 
"," 0.69 
"
values_670," 683 
"," 238 
"," 1508 
"," 268 
"," 12163.66 
"," 523599.67 
"," 0.02 
"," 43.05 
"," 29088.87 
"," 2.17 
"
values_574," 908 
"," 260 
"," 1964 
"," 290 
"," 16065.34 
"," 841576.73 
"," 0.02 
"," 52.38 
"," 46754.26 
"," 2.97 
"
values_163," 683 
"," 247 
"," 1508 
"," 277 
"," 12235.52 
"," 507501.76 
"," 0.02 
"," 41.48 
"," 28194.54 
"," 2.12 
"
values_900," 166 
"," 86 
"," 452 
"," 116 
"," 3099.81 
"," 89750.24 
"," 0.03 
"," 28.95 
"," 4986.12 
"," 0.67 
"
values_392," 439 
"," 207 
"," 1012 
"," 237 
"," 7983.41 
"," 253964.94 
"," 0.03 
"," 31.81 
"," 14109.16 
"," 1.34 
"
values_447," 341 
"," 178 
"," 812 
"," 208 
"," 6252.76 
"," 179678.95 
"," 0.03 
"," 28.74 
"," 9982.16 
"," 1.06 
"
values_523," 439 
"," 208 
"," 1012 
"," 238 
"," 7989.56 
"," 252938.57 
"," 0.03 
"," 31.66 
"," 14052.14 
"," 1.33 
"
values_679," 98 
"," 27 
"," 308 
"," 57 
"," 1796.53 
"," 97811.08 
"," 0.02 
"," 54.44 
"," 5433.95 
"," 0.71 
"
values_419," 494 
"," 225 
"," 1124 
"," 255 
"," 8985.65 
"," 295927.51 
"," 0.03 
"," 32.93 
"," 16440.42 
"," 1.48 
"
values_895," 166 
"," 86 
"," 452 
"," 116 
"," 3099.81 
"," 89750.24 
"," 0.03 
"," 28.95 
"," 4986.12 
"," 0.67 
"
values_298," 193 
"," 102 
"," 508 
"," 132 
"," 3578.55 
"," 101567.73 
"," 0.04 
"," 28.38 
"," 5642.65 
"," 0.73 
"
values_155," 439 
"," 205 
"," 1012 
"," 235 
"," 7971.04 
"," 256045.20 
"," 0.03 
"," 32.12 
"," 14224.73 
"," 1.34 
"
values_12," 124 
"," 54 
"," 364 
"," 84 
"," 2326.80 
"," 80145.46 
"," 0.03 
"," 34.44 
"," 4452.53 
"," 0.62 
"
values_160," 166 
"," 85 
"," 452 
"," 115 
"," 3094.16 
"," 90640.73 
"," 0.03 
"," 29.29 
"," 5035.60 
"," 0.67 
"
values_626," 829 
"," 251 
"," 1804 
"," 281 
"," 14674.51 
"," 727001.88 
"," 0.02 
"," 49.54 
"," 40388.99 
"," 2.70 
"
values_38," 616 
"," 242 
"," 1372 
"," 272 
"," 11096.00 
"," 423665.42 
"," 0.03 
"," 38.18 
"," 23536.97 
"," 1.88 
"
values_146," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_81," 259 
"," 145 
"," 644 
"," 175 
"," 4798.58 
"," 128568.85 
"," 0.04 
"," 26.79 
"," 7142.71 
"," 0.85 
"
values_687," 259 
"," 141 
"," 644 
"," 171 
"," 4777.10 
"," 131624.27 
"," 0.04 
"," 27.55 
"," 7312.46 
"," 0.86 
"
values_213," 193 
"," 102 
"," 508 
"," 132 
"," 3578.55 
"," 101567.73 
"," 0.04 
"," 28.38 
"," 5642.65 
"," 0.73 
"
values_212," 166 
"," 85 
"," 452 
"," 115 
"," 3094.16 
"," 90640.73 
"," 0.03 
"," 29.29 
"," 5035.60 
"," 0.67 
"
values_568," 109 
"," 39 
"," 332 
"," 69 
"," 2028.03 
"," 85021.26 
"," 0.02 
"," 41.92 
"," 4723.40 
"," 0.64 
"
values_5," 143 
"," 67 
"," 404 
"," 97 
"," 2666.36 
"," 85363.47 
"," 0.03 
"," 32.01 
"," 4742.41 
"," 0.65 
"
values_40," 439 
"," 205 
"," 1012 
"," 235 
"," 7971.04 
"," 256045.20 
"," 0.03 
"," 32.12 
"," 14224.73 
"," 1.34 
"
values_970," 754 
"," 256 
"," 1652 
"," 286 
"," 13480.11 
"," 595546.93 
"," 0.02 
"," 44.18 
"," 33085.94 
"," 2.36 
"
values_707," 166 
"," 83 
"," 452 
"," 113 
"," 3082.72 
"," 92481.63 
"," 0.03 
"," 30 
"," 5137.87 
"," 0.68 
"
values_406," 439 
"," 210 
"," 1012 
"," 240 
"," 8001.77 
"," 250912.75 
"," 0.03 
"," 31.36 
"," 13939.60 
"," 1.33 
"
values_893," 754 
"," 250 
"," 1652 
"," 280 
"," 13429.58 
"," 607554.00 
"," 0.02 
"," 45.24 
"," 33753.00 
"," 2.39 
"
values_144," 683 
"," 245 
"," 1508 
"," 275 
"," 12219.76 
"," 510985.39 
"," 0.02 
"," 41.82 
"," 28388.08 
"," 2.13 
"
values_979," 829 
"," 256 
"," 1804 
"," 286 
"," 14720.41 
"," 715032.31 
"," 0.02 
"," 48.57 
"," 39724.02 
"," 2.67 
"
values_831," 683 
"," 245 
"," 1508 
"," 275 
"," 12219.76 
"," 510985.39 
"," 0.02 
"," 41.82 
"," 28388.08 
"," 2.13 
"
values_402," 553 
"," 230 
"," 1244 
"," 260 
"," 9979.83 
"," 359924.58 
"," 0.03 
"," 36.07 
"," 19995.81 
"," 1.69 
"
values_404," 553 
"," 225 
"," 1244 
"," 255 
"," 9944.98 
"," 366638.10 
"," 0.03 
"," 36.87 
"," 20368.78 
"," 1.71 
"
values_310," 553 
"," 230 
"," 1244 
"," 260 
"," 9979.83 
"," 359924.58 
"," 0.03 
"," 36.07 
"," 19995.81 
"," 1.69 
"
values_70," 341 
"," 181 
"," 812 
"," 211 
"," 6269.53 
"," 177174.91 
"," 0.04 
"," 28.26 
"," 9843.05 
"," 1.05 
"
values_268," 439 
"," 205 
"," 1012 
"," 235 
"," 7971.04 
"," 256045.20 
"," 0.03 
"," 32.12 
"," 14224.73 
"," 1.34 
"
values_412," 166 
"," 88 
"," 452 
"," 118 
"," 3110.95 
"," 88025.88 
"," 0.04 
"," 28.30 
"," 4890.33 
"," 0.66 
"
values_290," 388 
"," 194 
"," 908 
"," 224 
"," 7089.08 
"," 212672.35 
"," 0.03 
"," 30 
"," 11815.13 
"," 1.19 
"
values_916," 494 
"," 230 
"," 1124 
"," 260 
"," 9017.14 
"," 290508.77 
"," 0.03 
"," 32.22 
"," 16139.38 
"," 1.46 
"
values_567," 166 
"," 86 
"," 452 
"," 116 
"," 3099.81 
"," 89750.24 
"," 0.03 
"," 28.95 
"," 4986.12 
"," 0.67 
"
values_913," 224 
"," 123 
"," 572 
"," 153 
"," 4151.23 
"," 113399.34 
"," 0.04 
"," 27.32 
"," 6299.96 
"," 0.78 
"
values_232," 98 
"," 26 
"," 308 
"," 56 
"," 1788.67 
"," 101128.39 
"," 0.02 
"," 56.54 
"," 5618.24 
"," 0.72 
"
values_319," 109 
"," 39 
"," 332 
"," 69 
"," 2028.03 
"," 85021.26 
"," 0.02 
"," 41.92 
"," 4723.40 
"," 0.64 
"
values_23," 388 
"," 198 
"," 908 
"," 228 
"," 7112.26 
"," 209057.46 
"," 0.03 
"," 29.39 
"," 11614.30 
"," 1.17 
"
values_899," 193 
"," 105 
"," 508 
"," 135 
"," 3595.02 
"," 99119.90 
"," 0.04 
"," 27.57 
"," 5506.66 
"," 0.71 
"
values_428," 553 
"," 225 
"," 1244 
"," 255 
"," 9944.98 
"," 366638.10 
"," 0.03 
"," 36.87 
"," 20368.78 
"," 1.71 
"
values_858," 683 
"," 241 
"," 1508 
"," 271 
"," 12187.88 
"," 518111.36 
"," 0.02 
"," 42.51 
"," 28783.96 
"," 2.15 
"
values_546," 908 
"," 260 
"," 1964 
"," 290 
"," 16065.34 
"," 841576.73 
"," 0.02 
"," 52.38 
"," 46754.26 
"," 2.97 
"
values_432," 553 
"," 230 
"," 1244 
"," 260 
"," 9979.83 
"," 359924.58 
"," 0.03 
"," 36.07 
"," 19995.81 
"," 1.69 
"
values_231," 683 
"," 246 
"," 1508 
"," 276 
"," 12227.65 
"," 509237.09 
"," 0.02 
"," 41.65 
"," 28290.95 
"," 2.13 
"
values_388," 341 
"," 171 
"," 812 
"," 201 
"," 6212.65 
"," 185834.65 
"," 0.03 
"," 29.91 
"," 10324.15 
"," 1.09 
"
values_350," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_603," 224 
"," 124 
"," 572 
"," 154 
"," 4156.60 
"," 112630.50 
"," 0.04 
"," 27.10 
"," 6257.25 
"," 0.78 
"
values_364," 908 
"," 264 
"," 1964 
"," 294 
"," 16104.16 
"," 830828.07 
"," 0.02 
"," 51.59 
"," 46157.12 
"," 2.95 
"
values_530," 109 
"," 39 
"," 332 
"," 69 
"," 2028.03 
"," 85021.26 
"," 0.02 
"," 41.92 
"," 4723.40 
"," 0.64 
"
values_72," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_536," 829 
"," 261 
"," 1804 
"," 291 
"," 14765.52 
"," 703483.45 
"," 0.02 
"," 47.64 
"," 39082.41 
"," 2.64 
"
values_79," 143 
"," 64 
"," 404 
"," 94 
"," 2648.05 
"," 88751.18 
"," 0.03 
"," 33.52 
"," 4930.62 
"," 0.66 
"
values_342," 683 
"," 244 
"," 1508 
"," 274 
"," 12211.83 
"," 512746.81 
"," 0.02 
"," 41.99 
"," 28485.93 
"," 2.14 
"
values_803," 124 
"," 49 
"," 364 
"," 79 
"," 2294.58 
"," 87100.24 
"," 0.03 
"," 37.96 
"," 4838.90 
"," 0.65 
"
values_501," 109 
"," 38 
"," 332 
"," 68 
"," 2021.04 
"," 86957.80 
"," 0.02 
"," 43.03 
"," 4830.99 
"," 0.65 
"
values_540," 494 
"," 234 
"," 1124 
"," 264 
"," 9041.90 
"," 286326.80 
"," 0.03 
"," 31.67 
"," 15907.04 
"," 1.45 
"
values_955," 224 
"," 127 
"," 572 
"," 157 
"," 4172.52 
"," 110391.16 
"," 0.04 
"," 26.46 
"," 6132.84 
"," 0.77 
"
values_191," 259 
"," 143 
"," 644 
"," 173 
"," 4787.90 
"," 130076.88 
"," 0.04 
"," 27.17 
"," 7226.49 
"," 0.86 
"
values_812," 124 
"," 52 
"," 364 
"," 82 
"," 2314.15 
"," 82775.33 
"," 0.03 
"," 35.77 
"," 4598.63 
"," 0.63 
"
values_545," 298 
"," 161 
"," 724 
"," 191 
"," 5486.06 
"," 152314.79 
"," 0.04 
"," 27.76 
"," 8461.93 
"," 0.95 
"
values_78," 143 
"," 67 
"," 404 
"," 97 
"," 2666.36 
"," 85363.47 
"," 0.03 
"," 32.01 
"," 4742.41 
"," 0.65 
"
values_526," 388 
"," 197 
"," 908 
"," 227 
"," 7106.51 
"," 209948.55 
"," 0.03 
"," 29.54 
"," 11663.81 
"," 1.18 
"
values_695," 754 
"," 259 
"," 1652 
"," 289 
"," 13504.98 
"," 589734.72 
"," 0.02 
"," 43.67 
"," 32763.04 
"," 2.34 
"
values_87," 166 
"," 82 
"," 452 
"," 112 
"," 3076.92 
"," 93433.44 
"," 0.03 
"," 30.37 
"," 5190.75 
"," 0.69 
"
values_300," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_964," 553 
"," 237 
"," 1244 
"," 267 
"," 10027.51 
"," 350962.70 
"," 0.03 
"," 35 
"," 19497.93 
"," 1.66 
"
values_998," 341 
"," 175 
"," 812 
"," 205 
"," 6235.74 
"," 182261.71 
"," 0.03 
"," 29.23 
"," 10125.65 
"," 1.07 
"
values_988," 341 
"," 179 
"," 812 
"," 209 
"," 6258.38 
"," 178835.71 
"," 0.03 
"," 28.58 
"," 9935.32 
"," 1.06 
"
values_6," 341 
"," 173 
"," 812 
"," 203 
"," 6224.25 
"," 184029.21 
"," 0.03 
"," 29.57 
"," 10223.84 
"," 1.08 
"
values_625," 494 
"," 218 
"," 1124 
"," 248 
"," 8940.52 
"," 303895.54 
"," 0.03 
"," 33.99 
"," 16883.09 
"," 1.51 
"
values_518," 166 
"," 85 
"," 452 
"," 115 
"," 3094.16 
"," 90640.73 
"," 0.03 
"," 29.29 
"," 5035.60 
"," 0.67 
"
values_122," 98 
"," 28 
"," 308 
"," 58 
"," 1804.26 
"," 94723.55 
"," 0.02 
"," 52.50 
"," 5262.42 
"," 0.69 
"
values_541," 143 
"," 65 
"," 404 
"," 95 
"," 2654.22 
"," 87589.31 
"," 0.03 
"," 33 
"," 4866.07 
"," 0.66 
"
values_279," 829 
"," 254 
"," 1804 
"," 284 
"," 14702.14 
"," 719768.34 
"," 0.02 
"," 48.96 
"," 39987.13 
"," 2.68 
"
values_256," 109 
"," 39 
"," 332 
"," 69 
"," 2028.03 
"," 85021.26 
"," 0.02 
"," 41.92 
"," 4723.40 
"," 0.64 
"
values_796," 259 
"," 142 
"," 644 
"," 172 
"," 4782.51 
"," 130845.56 
"," 0.04 
"," 27.36 
"," 7269.20 
"," 0.86 
"
values_504," 124 
"," 51 
"," 364 
"," 81 
"," 2307.71 
"," 84163.37 
"," 0.03 
"," 36.47 
"," 4675.74 
"," 0.64 
"
values_752," 166 
"," 79 
"," 452 
"," 109 
"," 3059.22 
"," 96423.49 
"," 0.03 
"," 31.52 
"," 5356.86 
"," 0.70 
"
values_459," 683 
"," 253 
"," 1508 
"," 283 
"," 12282.14 
"," 497354.04 
"," 0.02 
"," 40.49 
"," 27630.78 
"," 2.09 
"
