id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,42768,31872,784,54.551
values_505,26726,19892,495,53.992
values_924,57563,42928,1052,54.718
values_862,8666,6725,192,45.135
values_287,56991,42496,1036,55.011
values_733,51740,38570,939,55.101
values_813,27584,20540,520,53.046
values_11,56705,42280,1027,55.214
values_19,42482,31656,775,54.815
values_999,2140,1607,55,38.909
values_134,,,1639,0
values_609,26726,19892,495,53.992
values_993,34144,25430,627,54.456
values_731,26726,19892,495,53.992
values_127,3932,3048,92,42.739
values_889,28278,22697,435,65.007
values_987,,,1527,0
values_780,,,1527,0
values_435,8104,6291,176,46.045
values_950,18043,14406,336,53.699
values_976,43340,32304,800,54.175
values_557,28278,22697,435,65.007
values_398,10238,8146,195,52.503
values_892,18043,14406,336,53.699
values_670,73016,54462,1315,55.525
values_574,3358,2602,75,44.773
values_163,20228,15042,379,53.372
values_900,6404,5072,127,50.425
values_392,27012,20108,504,53.595
values_447,14936,11096,288,51.861
values_523,1448,1084,39,37.128
values_679,3744,2848,109,34.349
values_419,15508,11528,304,51.013
values_895,52026,38786,948,54.880
values_298,6404,5072,127,50.425
values_155,,,1639,0
values_12,34144,25430,627,54.456
values_160,7542,5857,159,47.434
values_626,42482,31656,775,54.815
values_38,20514,15258,388,52.871
values_146,42482,31656,775,54.815
values_81,73016,54462,1315,55.525
values_687,34430,25646,636,54.135
values_213,27298,20324,512,53.316
values_212,73016,54462,1315,55.525
values_568,28510,22313,559,51.002
values_5,1729,1301,48,36.021
values_40,27870,20756,528,52.784
values_970,52884,39434,972,54.407
values_707,62490,46604,1136,55.009
values_406,,,1419,0
values_893,4897,3816,108,45.343
values_144,,,1527,0
values_979,3358,2602,75,44.773
values_831,47273,35238,864,54.714
values_402,1448,1084,39,37.128
values_404,28510,22313,559,51.002
values_310,52598,39218,964,54.562
values_70,21086,15690,404,52.193
values_268,20514,15258,388,52.871
values_412,6990,5530,144,48.542
values_290,,,1536,0
values_916,42768,31872,784,54.551
values_567,42482,31656,775,54.815
values_913,27298,20324,512,53.316
values_232,5184,4039,116,44.690
values_319,42768,31872,784,54.551
values_23,56705,42280,1027,55.214
values_899,15508,11528,304,51.013
values_428,28510,22313,559,51.002
values_858,61918,46172,1119,55.333
values_546,57563,42928,1052,54.718
values_432,20228,15042,379,53.372
values_231,34144,25430,627,54.456
values_388,20228,15042,379,53.372
values_350,11117,8833,220,50.532
values_603,26726,19892,495,53.992
values_364,42482,31656,775,54.815
values_530,13306,10365,235,56.621
values_72,,,1672,0
values_536,56991,42496,1036,55.011
values_79,56705,42280,1027,55.214
values_342,28791,22530,568,50.688
values_803,14766,11505,276,53.500
values_501,1448,1084,39,37.128
values_540,26726,19892,495,53.992
values_955,51740,38570,939,55.101
values_191,14650,10880,279,52.509
values_812,4610,3593,99,46.566
values_545,61918,46172,1119,55.333
values_78,17750,14177,327,54.281
values_526,1729,1301,48,36.021
values_695,18336,14635,344,53.302
