id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,191708,128862,4886,39.236
values_505,118218,79329,3049,38.773
values_924,63239,43666,1664,38.004
values_862,73802,49551,1864,39.593
values_287,23133,16180,589,39.275
values_733,1785,1137,85,21.000
values_813,27697,19446,721,38.415
values_11,33263,22320,845,39.364
values_19,10459,7168,307,34.068
values_999,27297,19124,710,38.446
values_134,120202,80771,3043,39.501
values_609,191575,128678,4900,39.097
values_993,99993,67101,2551,39.198
values_731,134561,90575,3297,40.813
values_127,14957,10423,388,38.549
values_889,113225,76144,2808,40.322
values_987,27364,19198,714,38.325
values_780,188094,126724,4538,41.449
values_435,165567,111208,4254,38.920
values_950,91011,61102,2311,39.382
values_976,15487,10803,388,39.915
values_557,23325,16321,592,39.400
values_398,61505,41409,1486,41.390
values_892,93898,63157,2333,40.248
values_670,14938,10419,392,38.107
values_574,134127,90223,3340,40.158
values_163,1850,1182,86,21.512
values_900,168690,113408,4234,39.842
values_392,61068,41089,1491,40.958
values_447,134055,90192,3308,40.524
values_523,156455,111896,3612,43.315
values_679,112568,75729,2816,39.974
values_419,100284,67329,2550,39.327
values_895,3642,2426,121,30.099
values_298,151082,107981,3613,41.816
values_155,15062,10495,391,38.522
values_12,10693,7337,302,35.407
values_160,91601,61545,2322,39.449
values_626,154866,103988,3904,39.669
values_38,58127,39008,1480,39.275
values_146,54594,39482,1320,41.359
values_81,97959,65727,2532,38.688
values_687,1785,1137,85,21.000
values_213,109287,73402,2792,39.143
values_212,149267,106701,3622,41.211
values_568,26950,18872,712,37.851
values_5,10269,7028,304,33.780
values_40,168471,113294,4273,39.427
values_970,151863,108533,3643,41.686
values_707,135108,90928,3316,40.744
values_406,74619,50157,1878,39.733
values_893,53889,38928,1305,41.294
values_144,63660,43975,1672,38.074
values_979,1785,1137,85,21.000
values_831,93182,62681,2335,39.907
values_402,155510,104564,3934,39.530
values_404,15172,10583,389,39.003
values_310,3717,2481,123,30.220
values_70,1785,1137,85,21.000
values_268,168593,113358,4235,39.809
values_412,10668,7320,302,35.325
values_290,7980,5458,232,34.397
values_916,10529,7215,299,35.214
values_567,14881,10345,388,38.353
values_913,46352,31175,1149,40.341
values_232,45451,30525,1129,40.258
values_319,88606,63242,2107,42.053
values_23,134440,90451,3330,40.372
values_899,14809,10303,386,38.365
values_428,146949,104981,3610,40.706
values_858,157096,105633,3907,40.209
values_546,1785,1137,85,21.000
values_432,168872,113560,4233,39.894
values_231,111553,75011,2809,39.713
values_388,66017,45660,1684,39.202
values_350,133170,89494,3327,40.027
values_603,17215,11796,484,35.568
values_364,5154,3437,174,29.621
values_530,5322,3556,176,30.239
values_72,101967,68527,2566,39.738
values_536,150458,107510,3629,41.460
values_79,10510,7206,302,34.801
values_342,32878,22042,841,39.094
values_803,122143,82137,3039,40.192
values_501,151161,108056,3603,41.954
values_540,34070,22893,839,40.608
values_955,5322,3557,174,30.586
values_191,57694,38699,1481,38.956
values_812,150079,107209,3605,41.631
values_545,14857,10344,390,38.095
values_78,149796,107065,3626,41.312
values_526,45198,30340,1141,39.613
values_695,75842,51005,1887,40.192
values_87,119823,80450,3048,39.312
values_300,4991,3321,174,28.684
values_964,17522,12016,485,36.128
values_998,7916,5412,234,33.829
values_988,3552,2363,123,28.878
values_6,1785,1137,85,21.000
values_625,123728,83249,3038,40.727
values_518,17619,12081,481,36.630
values_122,10442,7162,304,34.349
values_541,59870,40256,1480,40.453
values_279,14801,10308,391,37.854
values_256,1850,1182,86,21.512
values_796,194149,130563,4864,39.916
values_504,26907,18850,711,37.844
values_752,38164,26816,999,38.202
values_459,17237,11817,490,35.178
values_658,124395,83681,3088,40.283
values_408,17537,12025,484,36.233
values_867,122792,82602,3044,40.339
values_727,193533,130131,4832,40.052
values_177,45577,30608,1148,39.701
values_823,63032,42477,1485,42.446
values_822,45388,30483,1137,39.919
values_218,8109,5547,232,34.953
values_426,10420,7146,304,34.276
values_776,112591,75669,2815,39.997
values_143,11202,7704,304,36.849
values_739,65514,45295,1671,39.206
values_312,73341,49230,1854,39.558
values_174,15335,10688,388,39.523
values_669,92946,62480,2309,40.254
values_120,86331,61654,2102,41.071
values_974,75133,50513,1882,39.922
values_217,22874,15993,591,38.704
values_866,110564,74285,2799,39.501
values_192,169924,114262,4262,39.870
values_328,135913,91441,3332,40.790
values_68,3373,2234,122,27.648
values_387,39311,27626,998,39.390
values_69,1850,1182,86,21.512
values_749,5083,3387,172,29.552
values_135,73619,49424,1883,39.097
values_341,32622,21884,837,38.975
values_494,137513,92576,3332,41.270
values_1,17492,11996,490,35.698
values_589,181892,122375,4562,39.871
values_925,147981,105692,3598,41.129
values_524,153663,103223,3923,39.170
values_994,60356,40604,1486,40.616
values_856,92450,62134,2314,39.952
values_156,15635,10921,392,39.885
values_470,14618,10161,382,38.267
values_207,55375,40063,1320,41.951
values_655,87465,62450,2114,41.374
values_441,45770,30764,1138,40.220
values_109,45895,30853,1140,40.259
values_45,5083,3386,173,29.382
values_125,44977,30201,1146,39.247
values_600,121538,81667,3076,39.512
values_708,76915,51723,1891,40.674
values_791,46156,31013,1146,40.276
values_912,54898,39684,1304,42.100
values_533,22996,16053,586,39.242
values_418,33027,22139,849,38.901
values_228,53979,39002,1305,41.363
values_585,10519,7218,308,34.153
values_465,1850,1182,86,21.512
values_239,180837,121612,4502,40.168
values_842,198854,133829,4891,40.657
values_208,136361,91844,3310,41.197
values_932,147888,105654,3604,41.034
values_957,3662,2442,122,30.016
values_563,63800,44075,1666,38.295
values_766,8050,5503,231,34.848
values_476,33873,22750,847,39.992
values_175,88349,63060,2102,42.031
values_591,10571,7251,303,34.888
values_997,17168,11760,482,35.618
values_385,63070,43551,1682,37.497
values_115,180220,121135,4531,39.775
values_653,46142,31000,1144,40.334
values_753,63935,44164,1669,38.307
values_241,10441,7158,303,34.459
values_197,61370,41304,1503,40.832
values_636,13979,9692,383,36.499
values_450,55129,39869,1307,42.180
values_106,159752,107502,3941,40.536
values_699,15764,11015,391,40.317
values_578,54912,39707,1303,42.143
