id,clockCycles,assemblyInstr
values_242,191708,128862
values_505,118218,79329
values_924,63239,43666
values_862,73802,49551
values_287,23133,16180
values_733,1785,1137
values_813,27697,19446
values_11,33263,22320
values_19,10459,7168
values_999,27297,19124
values_134,120202,80771
values_609,191575,128678
values_993,99993,67101
values_731,134561,90575
values_127,14957,10423
values_889,113225,76144
values_987,27364,19198
values_780,188094,126724
values_435,165567,111208
values_950,91011,61102
values_976,15487,10803
values_557,23325,16321
values_398,61505,41409
values_892,93898,63157
values_670,14938,10419
values_574,134127,90223
values_163,1850,1182
values_900,168690,113408
values_392,61068,41089
values_447,134055,90192
values_523,156455,111896
values_679,112568,75729
values_419,100284,67329
values_895,3642,2426
values_298,151082,107981
values_155,15062,10495
values_12,10693,7337
values_160,91601,61545
values_626,154866,103988
values_38,58127,39008
values_146,54594,39482
values_81,97959,65727
values_687,1785,1137
values_213,109287,73402
values_212,149267,106701
values_568,26950,18872
values_5,10269,7028
values_40,168471,113294
values_970,151863,108533
values_707,135108,90928
values_406,74619,50157
values_893,53889,38928
values_144,63660,43975
values_979,1785,1137
values_831,93182,62681
values_402,155510,104564
values_404,15172,10583
values_310,3717,2481
values_70,1785,1137
values_268,168593,113358
values_412,10668,7320
values_290,7980,5458
values_916,10529,7215
values_567,14881,10345
values_913,46352,31175
values_232,45451,30525
values_319,88606,63242
values_23,134440,90451
values_899,14809,10303
values_428,146949,104981
values_858,157096,105633
values_546,1785,1137
values_432,168872,113560
values_231,111553,75011
values_388,66017,45660
values_350,133170,89494
values_603,17215,11796
values_364,5154,3437
values_530,5322,3556
values_72,101967,68527
values_536,150458,107510
values_79,10510,7206
values_342,32878,22042
values_803,122143,82137
values_501,151161,108056
values_540,34070,22893
values_955,5322,3557
values_191,57694,38699
values_812,150079,107209
values_545,14857,10344
values_78,149796,107065
values_526,45198,30340
values_695,75842,51005
values_87,119823,80450
values_300,4991,3321
values_964,17522,12016
values_998,7916,5412
values_988,3552,2363
values_6,1785,1137
values_625,123728,83249
values_518,17619,12081
values_122,10442,7162
values_541,59870,40256
values_279,14801,10308
values_256,1850,1182
values_796,194149,130563
values_504,26907,18850
values_752,38164,26816
values_459,17237,11817
values_658,124395,83681
values_408,17537,12025
values_867,122792,82602
values_727,193533,130131
values_177,45577,30608
values_823,63032,42477
values_822,45388,30483
values_218,8109,5547
values_426,10420,7146
values_776,112591,75669
values_143,11202,7704
values_739,65514,45295
values_312,73341,49230
values_174,15335,10688
values_669,92946,62480
values_120,86331,61654
values_974,75133,50513
values_217,22874,15993
values_866,110564,74285
values_192,169924,114262
values_328,135913,91441
values_68,3373,2234
values_387,39311,27626
values_69,1850,1182
values_749,5083,3387
values_135,73619,49424
values_341,32622,21884
values_494,137513,92576
values_1,17492,11996
values_589,181892,122375
values_925,147981,105692
values_524,153663,103223
values_994,60356,40604
values_856,92450,62134
values_156,15635,10921
values_470,14618,10161
values_207,55375,40063
values_655,87465,62450
values_441,45770,30764
values_109,45895,30853
values_45,5083,3386
values_125,44977,30201
values_600,121538,81667
values_708,76915,51723
values_791,46156,31013
values_912,54898,39684
values_533,22996,16053
values_418,33027,22139
values_228,53979,39002
values_585,10519,7218
values_465,1850,1182
values_239,180837,121612
values_842,198854,133829
values_208,136361,91844
values_932,147888,105654
values_957,3662,2442
values_563,63800,44075
values_766,8050,5503
values_476,33873,22750
values_175,88349,63060
values_591,10571,7251
values_997,17168,11760
values_385,63070,43551
values_115,180220,121135
values_653,46142,31000
values_753,63935,44164
values_241,10441,7158
values_197,61370,41304
values_636,13979,9692
values_450,55129,39869
values_106,159752,107502
values_699,15764,11015
values_578,54912,39707
values_644,75161,50535
values_570,57241,38394
values_873,58786,39461
values_33,88476,63174
values_210,3552,2363
values_486,15148,10563
values_252,1785,1137
values_694,74924,50373
values_759,10642,7306
values_245,43107,28867
values_15,32773,21979
values_792,155945,104812
values_248,39601,27806
values_246,54769,39572
values_556,157376,105852
values_513,58984,39630
values_93,169180,113760
values_558,3477,2308
values_991,27105,18982
values_181,74960,50350
values_674,62834,43386
values_652,92372,62136
values_344,33565,22541
values_715,195467,131542
values_528,38962,27373
values_276,98112,65896
values_24,26829,18796
values_296,121886,81911
values_244,15222,10623
values_380,64479,44560
values_25,76858,51723
values_740,5303,3543
values_478,10492,7194
values_379,189471,127257
values_810,183533,123549
values_440,3662,2442
values_543,5135,3422
values_130,17886,12275
values_225,157802,106148
values_285,1850,1182
values_363,17813,12225
values_667,153012,109329
values_26,23499,16442
values_793,5135,3422
values_772,37770,26519
values_931,10224,6998
values_981,44920,30162
values_422,120512,80999
values_920,54981,39693
values_259,111711,75118
values_477,38348,26921
values_738,38138,26777
values_430,200933,135285
values_922,5142,3428
values_903,111099,74655
values_761,74021,49706
values_204,147653,105497
values_48,3567,2371
values_71,17732,12162
values_851,40096,28195
values_347,10171,6955
values_725,10504,7205
values_266,92568,62208
values_448,4998,3328
values_934,74695,50192
values_531,76389,51362
values_224,151013,107898
values_686,3483,2313
values_927,120928,81302
values_407,132765,89240
values_76,73623,49456
values_949,55903,40446
values_969,39052,27438
values_781,87158,62232
values_7,115242,77595
values_683,57905,38889
values_376,44596,29926
values_877,87871,62654
values_654,86790,61940
values_508,133669,89913
values_332,135257,91016
values_281,55696,40235
values_381,154441,110428
values_769,34095,22905
values_701,45634,30632
values_855,120439,80890
values_320,28255,19842
values_50,3552,2363
values_918,89057,63504
values_615,99967,67129
values_704,102125,68652
values_633,14759,10283
values_847,1785,1137
values_602,181575,122125
values_399,3627,2418
values_22,8012,5473
values_313,26508,18562
values_375,27557,19320
values_963,85805,61228
values_168,83812,59780
values_226,8012,5473
values_190,17900,12286
values_429,59659,40090
values_236,38549,27079
values_777,28264,19842
values_909,54621,39524
values_438,84559,60300
values_607,132378,89012
values_717,112697,75778
values_782,63507,43855
values_258,88275,63092
values_872,155869,104828
values_637,59929,40286
values_746,23046,16111
values_4,4991,3321
values_345,86487,61672
values_102,169078,113651
values_962,1785,1137
values_356,5239,3498
values_853,148194,105886
values_849,10777,7396
values_814,8169,5590
values_370,93427,62846
values_778,5147,3431
values_458,74178,49795
values_818,8049,5499
values_119,55626,40202
values_373,45150,30313
values_351,160485,108041
values_32,130978,88004
values_770,55008,39763
values_371,168383,113205
values_283,27570,19346
values_535,103728,69779
values_250,54594,39409
values_132,102140,68680
values_649,8131,5560
values_77,116156,78225
values_260,17453,11963
values_891,14725,10253
values_91,56820,41082
values_137,180960,121730
values_42,167518,112617
values_13,165212,110990
values_577,181482,122054
values_41,75578,50810
values_809,27323,19148
values_414,63965,44188
values_360,39539,27801
values_386,147864,105673
values_158,122521,82355
values_904,183293,123301
values_480,119373,80157
values_647,157808,106196
values_104,167527,112598
values_55,10865,7458
values_491,110512,74270
values_391,112919,75938
values_972,122625,82481
values_571,5237,3497
values_940,39223,27558
values_861,184610,124249
values_324,14894,10374
values_549,134916,90769
values_170,3552,2363
values_269,150677,107600
values_442,181861,122262
