id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,2198,1511,120,18.317
values_505,25181,18149,747,33.710
values_924,33140,23877,1002,33.074
values_862,13322,9649,402,33.139
values_287,60520,43347,1858,32.573
values_733,11472,8316,345,33.252
values_813,24959,17981,747,33.412
values_11,2794,2026,87,32.115
values_19,20357,14291,828,24.586
values_999,20764,14599,828,25.077
values_134,52946,38019,1620,32.683
values_609,1653,1162,53,31.189
values_993,30483,21937,913,33.388
values_731,24959,17981,747,33.412
values_127,64350,46065,1983,32.451
values_889,20690,14543,828,24.988
values_987,13655,9901,402,33.968
values_780,8342,6066,243,34.329
values_435,5320,3870,157,33.885
values_950,13840,10041,402,34.428
values_976,4411,3197,131,33.672
values_557,599,394,38,15.763
values_398,25218,18177,747,33.759
values_892,33177,23905,1002,33.111
values_670,18072,13087,528,34.227
values_574,8379,6094,243,34.481
values_163,5283,3842,157,33.650
values_900,6495,4717,198,32.803
values_392,1880,1294,96,19.583
values_447,35940,25817,1095,32.822
values_523,19923,14369,597,33.372
values_679,6514,4559,292,22.308
values_419,13544,9817,402,33.692
values_895,2757,1998,87,31.690
values_298,30335,21825,913,33.226
values_155,52761,37879,1620,32.569
values_12,52650,37795,1620,32.500
values_160,7440,5401,213,34.930
values_626,15301,11045,463,33.048
values_38,15449,11157,463,33.367
values_146,52946,38019,1620,32.683
values_81,45679,32767,1398,32.675
values_687,6440,4503,292,22.055
values_213,39453,28343,1192,33.098
values_212,6440,4503,292,22.055
values_568,49317,35365,1507,32.725
values_5,30261,21769,913,33.145
values_40,68432,48971,2112,32.402
values_970,13507,9789,402,33.600
values_707,22566,16323,670,33.681
values_406,24663,17757,747,33.016
values_893,45679,32767,1398,32.675
values_144,33473,24129,1002,33.406
values_979,52946,38019,1620,32.683
values_831,38750,27811,1192,32.508
values_402,15375,11101,463,33.207
values_404,19849,14313,597,33.248
values_310,60002,42955,1858,32.294
values_70,6569,4773,198,33.177
values_268,15338,11073,463,33.127
values_412,1223,864,43,28.442
values_290,42514,30517,1293,32.880
values_916,13433,9733,402,33.415
values_567,599,394,38,15.763
values_913,42255,30321,1293,32.680
values_232,20283,14235,828,24.496
values_319,68358,48915,2112,32.366
values_23,6403,4475,292,21.928
values_899,56312,40333,1737,32.419
values_428,20838,14655,828,25.167
values_858,19849,14313,597,33.248
values_546,13433,9733,402,33.415
values_432,2161,1483,120,18.008
values_231,39342,28259,1192,33.005
values_388,52724,37851,1620,32.546
values_350,24737,17813,747,33.115
values_603,17628,12751,528,33.386
values_364,35977,25845,1095,32.856
values_530,17628,12751,528,33.386
values_72,42181,30265,1293,32.623
values_536,1451,993,72,20.153
values_79,13655,9901,402,33.968
values_342,49021,35141,1507,32.529
values_803,42514,30517,1293,32.880
values_501,22344,16155,670,33.349
values_540,6569,4773,198,33.177
values_955,56386,40389,1737,32.462
values_191,68950,49363,2112,32.647
values_812,15597,11269,463,33.687
values_545,17850,12919,528,33.807
values_78,39601,28455,1192,33.222
values_526,60298,43179,1858,32.453
values_695,8120,5898,243,33.416
values_87,6440,4503,292,22.055
values_300,24774,17841,747,33.165
values_964,5209,3786,157,33.178
values_998,32918,23709,1002,32.852
values_988,53242,38243,1620,32.865
values_6,6606,4801,198,33.364
values_625,6643,4829,198,33.551
values_518,52539,37711,1620,32.431
values_122,15634,11297,463,33.767
values_541,6366,4447,292,21.801
values_279,15819,11437,463,34.166
values_256,24885,17925,747,33.313
values_796,5246,3814,157,33.414
values_504,52798,37907,1620,32.591
values_752,19886,14341,597,33.310
values_459,61297,43935,1858,32.991
values_658,36273,26069,1095,33.126
values_408,22418,16211,670,33.460
values_867,35755,25677,1095,32.653
values_727,33066,23821,1002,33.000
values_177,1223,864,43,28.442
values_823,19849,14313,597,33.248
values_822,985,664,48,20.521
values_218,52909,37991,1620,32.660
values_426,2198,1511,120,18.317
values_776,20431,14347,828,24.675
values_143,60557,43375,1858,32.593
values_739,20690,14543,828,24.988
values_312,5172,3758,157,32.943
values_174,13507,9789,402,33.600
values_669,887,591,58,15.293
values_120,5246,3814,157,33.414
values_974,15597,11269,463,33.687
values_217,49206,35281,1507,32.652
values_866,30261,21769,913,33.145
values_192,11583,8400,345,33.574
values_328,599,394,38,15.763
values_68,39527,28399,1192,33.160
values_387,599,394,38,15.763
values_69,2794,2026,87,32.115
values_749,60816,43571,1858,32.732
values_135,15782,11409,463,34.086
values_341,15486,11185,463,33.447
values_494,19738,14229,597,33.062
values_1,64757,46373,1983,32.656
values_589,6680,4857,198,33.737
values_925,30446,21909,913,33.347
values_524,68839,49279,2112,32.594
values_994,45827,32879,1398,32.780
values_856,49391,35421,1507,32.774
values_156,60483,43319,1858,32.553
values_470,33362,24045,1002,33.295
values_207,56534,40501,1737,32.547
values_655,52835,37935,1620,32.614
values_441,887,591,58,15.293
values_109,30224,21741,913,33.104
values_45,65090,46625,1983,32.824
values_125,4411,3197,131,33.672
values_600,49724,35673,1507,32.995
