id,clockCycles,assemblyInstr
values_242,2198,1511
values_505,25181,18149
values_924,33140,23877
values_862,13322,9649
values_287,60520,43347
values_733,11472,8316
values_813,24959,17981
values_11,2794,2026
values_19,20357,14291
values_999,20764,14599
values_134,52946,38019
values_609,1653,1162
values_993,30483,21937
values_731,24959,17981
values_127,64350,46065
values_889,20690,14543
values_987,13655,9901
values_780,8342,6066
values_435,5320,3870
values_950,13840,10041
values_976,4411,3197
values_557,599,394
values_398,25218,18177
values_892,33177,23905
values_670,18072,13087
values_574,8379,6094
values_163,5283,3842
values_900,6495,4717
values_392,1880,1294
values_447,35940,25817
values_523,19923,14369
values_679,6514,4559
values_419,13544,9817
values_895,2757,1998
values_298,30335,21825
values_155,52761,37879
values_12,52650,37795
values_160,7440,5401
values_626,15301,11045
values_38,15449,11157
values_146,52946,38019
values_81,45679,32767
values_687,6440,4503
values_213,39453,28343
values_212,6440,4503
values_568,49317,35365
values_5,30261,21769
values_40,68432,48971
values_970,13507,9789
values_707,22566,16323
values_406,24663,17757
values_893,45679,32767
values_144,33473,24129
values_979,52946,38019
values_831,38750,27811
values_402,15375,11101
values_404,19849,14313
values_310,60002,42955
values_70,6569,4773
values_268,15338,11073
values_412,1223,864
values_290,42514,30517
values_916,13433,9733
values_567,599,394
values_913,42255,30321
values_232,20283,14235
values_319,68358,48915
values_23,6403,4475
values_899,56312,40333
values_428,20838,14655
values_858,19849,14313
values_546,13433,9733
values_432,2161,1483
values_231,39342,28259
values_388,52724,37851
values_350,24737,17813
values_603,17628,12751
values_364,35977,25845
values_530,17628,12751
values_72,42181,30265
values_536,1451,993
values_79,13655,9901
values_342,49021,35141
values_803,42514,30517
values_501,22344,16155
values_540,6569,4773
values_955,56386,40389
values_191,68950,49363
values_812,15597,11269
values_545,17850,12919
values_78,39601,28455
values_526,60298,43179
values_695,8120,5898
values_87,6440,4503
values_300,24774,17841
values_964,5209,3786
values_998,32918,23709
values_988,53242,38243
values_6,6606,4801
values_625,6643,4829
values_518,52539,37711
values_122,15634,11297
values_541,6366,4447
values_279,15819,11437
values_256,24885,17925
values_796,5246,3814
values_504,52798,37907
values_752,19886,14341
values_459,61297,43935
values_658,36273,26069
values_408,22418,16211
values_867,35755,25677
values_727,33066,23821
values_177,1223,864
values_823,19849,14313
values_822,985,664
values_218,52909,37991
values_426,2198,1511
values_776,20431,14347
values_143,60557,43375
values_739,20690,14543
values_312,5172,3758
values_174,13507,9789
values_669,887,591
values_120,5246,3814
values_974,15597,11269
values_217,49206,35281
values_866,30261,21769
values_192,11583,8400
values_328,599,394
values_68,39527,28399
values_387,599,394
values_69,2794,2026
values_749,60816,43571
values_135,15782,11409
values_341,15486,11185
values_494,19738,14229
values_1,64757,46373
values_589,6680,4857
values_925,30446,21909
values_524,68839,49279
values_994,45827,32879
values_856,49391,35421
values_156,60483,43319
values_470,33362,24045
values_207,56534,40501
values_655,52835,37935
values_441,887,591
values_109,30224,21741
values_45,65090,46625
values_125,4411,3197
values_600,49724,35673
values_708,36125,25957
values_791,6329,4419
values_912,1223,864
values_533,42588,30573
values_418,12671,9178
values_228,64313,46037
values_585,15560,11241
values_465,22196,16043
values_239,11805,8568
values_842,39157,28119
values_208,64276,46009
values_932,5830,4230
values_957,56830,40725
values_563,17628,12751
values_766,49243,35309
values_476,19997,14425
values_175,56793,40697
values_591,6403,4475
values_997,24552,17673
values_385,5172,3758
values_115,56201,40249
values_653,15449,11157
values_753,68062,48691
values_241,6643,4829
values_197,5246,3814
values_636,11509,8344
values_450,56682,40613
values_106,60224,43123
values_699,45568,32683
values_578,8268,6010
values_644,52835,37935
values_570,60483,43319
values_873,38861,27895
values_33,6292,4391
values_210,53057,38103
values_486,15449,11157
values_252,45679,32767
values_694,29817,21433
values_759,11657,8456
values_245,56312,40333
values_15,56497,40473
values_792,11620,8428
values_248,11509,8344
values_246,887,591
values_556,22307,16127
values_513,56312,40333
values_93,8120,5898
values_558,24922,17953
values_991,13507,9789
values_181,6551,4587
values_674,45790,32851
values_652,6440,4503
values_344,2198,1511
values_715,25144,18121
values_528,64535,46205
values_276,20542,14431
values_24,2757,1998
values_296,39564,28427
values_244,36162,25985
values_380,19886,14341
values_25,64868,46457
