id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,1281,785,121,10.587
values_505,980,602,94,10.426
values_1006,1319,814,128,10.305
values_924,384,231,31,12.387
values_862,1191,733,115,10.357
values_287,1319,814,128,10.305
values_733,1573,969,150,10.487
values_813,1059,652,103,10.282
values_11,1123,690,107,10.495
values_19,1125,692,107,10.514
values_999,1442,888,139,10.374
values_134,995,609,94,10.585
values_609,777,477,74,10.500
values_993,1442,888,139,10.374
values_731,1371,842,128,10.711
values_127,1264,776,121,10.446
values_889,874,537,83,10.530
values_987,510,312,47,10.851
values_780,1123,690,107,10.495
values_435,1192,734,115,10.365
values_950,744,455,69,10.783
values_976,632,385,58,10.897
values_557,1158,711,110,10.527
values_398,713,437,67,10.642
values_892,1059,652,103,10.282
values_670,776,476,74,10.486
values_574,1158,711,110,10.527
values_163,510,312,47,10.851
values_900,261,157,20,13.050
values_392,712,436,67,10.627
values_447,1191,733,115,10.357
values_523,1224,753,117,10.462
values_679,1059,652,103,10.282
values_419,1190,732,115,10.348
values_895,874,537,83,10.530
values_298,1248,766,118,10.576
values_155,997,611,94,10.606
values_12,1124,691,107,10.505
values_160,633,386,58,10.914
values_626,777,477,74,10.500
values_38,1322,814,126,10.492
values_146,995,609,94,10.585
values_81,1271,784,124,10.250
values_687,997,611,94,10.606
values_213,1442,888,139,10.374
values_212,1441,887,139,10.367
values_568,1190,732,115,10.348
values_5,1124,691,107,10.505
values_40,1506,928,146,10.315
values_970,510,312,47,10.851
values_707,1495,917,139,10.755
values_406,650,395,58,11.207
values_893,874,537,83,10.530
values_144,996,610,94,10.596
values_979,509,311,47,10.830
values_831,1060,653,103,10.291
values_402,650,395,58,11.207
values_404,649,394,58,11.190
values_310,1124,691,107,10.505
values_70,1224,753,117,10.462
values_268,1442,888,139,10.374
values_1018,1320,815,128,10.312
values_412,712,436,67,10.627
values_290,1124,691,107,10.505
values_916,261,157,20,13.050
values_567,1158,711,110,10.527
values_913,261,157,20,13.050
values_232,1159,712,110,10.536
values_319,1124,691,107,10.505
values_23,1123,690,107,10.495
values_899,261,157,20,13.050
values_428,1192,734,115,10.365
values_858,1191,733,115,10.357
values_546,1158,711,110,10.527
values_432,1158,711,110,10.527
values_231,1159,712,110,10.536
values_388,711,435,67,10.612
values_350,1206,743,117,10.308
values_603,842,518,81,10.395
values_364,1289,794,124,10.395
values_530,1224,753,117,10.462
values_72,1394,858,135,10.326
values_536,1223,752,117,10.453
values_79,1345,825,128,10.508
values_342,1206,743,117,10.308
values_803,1060,653,103,10.291
values_501,980,602,94,10.426
values_540,1346,826,128,10.516
values_955,744,455,69,10.783
values_191,631,384,58,10.879
values_812,1059,652,103,10.282
values_545,1282,786,121,10.595
values_78,1271,784,124,10.250
values_526,1224,753,117,10.462
values_695,873,536,83,10.518
values_87,1224,753,117,10.462
values_300,1124,691,107,10.505
values_964,510,312,47,10.851
values_998,1318,813,128,10.297
values_988,510,312,47,10.851
values_6,973,598,93,10.462
values_625,777,477,74,10.500
values_518,1224,753,117,10.462
values_122,1141,702,110,10.373
values_541,1224,753,117,10.462
values_279,1320,815,128,10.312
values_256,1319,814,128,10.305
values_796,1247,765,118,10.568
values_504,857,528,83,10.325
values_752,1314,807,126,10.429
values_459,1523,940,148,10.291
values_658,900,551,85,10.588
values_408,713,437,67,10.642
values_867,1059,652,103,10.282
values_727,1556,957,148,10.514
values_177,632,385,58,10.897
values_823,1059,652,103,10.282
values_822,1058,651,103,10.272
values_218,1319,814,128,10.305
values_426,1315,808,126,10.437
values_776,1124,691,107,10.505
values_143,995,609,94,10.585
values_739,1314,807,126,10.429
values_312,1125,692,107,10.514
values_174,633,386,58,10.914
values_669,777,477,74,10.500
values_120,1142,703,110,10.382
values_974,509,311,47,10.830
values_217,1319,814,128,10.305
values_866,873,536,83,10.518
values_192,1319,814,128,10.305
values_328,1329,817,128,10.383
values_68,1345,825,128,10.508
values_387,650,395,58,11.207
values_69,1346,826,128,10.516
values_749,1192,734,115,10.365
values_135,1060,653,103,10.291
values_341,1330,818,128,10.391
values_494,856,527,83,10.313
values_1,1125,692,107,10.514
values_589,963,590,92,10.467
values_925,383,230,31,12.355
values_524,1224,753,117,10.462
values_994,1318,813,128,10.297
values_856,1158,711,110,10.527
values_156,874,537,83,10.530
values_470,1460,898,139,10.504
values_207,1440,886,139,10.360
values_655,777,477,74,10.500
values_441,1282,786,121,10.595
values_109,1141,702,110,10.373
values_45,1445,888,137,10.547
values_125,1264,776,121,10.446
values_600,842,518,81,10.395
values_708,1557,958,148,10.520
values_791,1124,691,107,10.505
values_912,261,157,20,13.050
values_533,1272,785,124,10.258
values_418,1192,734,115,10.365
values_228,1159,712,110,10.536
values_585,965,592,92,10.489
values_465,1337,824,128,10.445
values_239,1314,807,126,10.429
values_842,1192,734,115,10.365
values_208,1442,888,139,10.374
values_932,744,455,69,10.783
values_957,868,530,80,10.850
values_563,1159,712,110,10.536
values_766,1191,733,115,10.357
values_476,1337,824,128,10.445
values_175,510,312,47,10.851
values_591,793,485,74,10.716
values_997,1319,814,128,10.305
values_385,712,436,67,10.627
values_115,991,610,96,10.323
