id,clockCycles,assemblyInstr
values_242,857,528
values_505,1090,670
values_1006,1336,823
values_924,1478,908
values_862,633,386
values_287,1523,937
values_733,1458,896
values_813,1443,886
values_11,1441,887
values_19,1440,886
values_999,1522,939
values_134,1159,712
values_609,1540,949
values_993,1459,897
values_731,1460,898
values_127,1271,784
values_889,1125,692
values_987,857,528
values_780,980,602
values_435,1458,896
values_950,1173,723
values_976,979,601
values_557,1108,683
values_398,1207,744
values_892,1124,691
values_670,383,230
values_574,1106,681
values_163,1392,856
values_900,1537,946
values_392,1327,815
values_447,1337,824
values_523,650,395
values_679,261,157
values_419,1336,823
values_895,1248,766
values_298,899,550
values_155,1159,712
values_12,1443,889
values_160,1271,784
values_626,1538,947
values_38,1122,689
values_146,1192,734
values_81,794,486
values_687,261,157
values_213,1105,680
values_212,1106,681
values_568,1106,681
values_5,1291,795
values_40,1122,689
values_970,980,602
values_707,1523,940
values_406,1205,742
values_893,1123,690
values_144,1315,808
values_979,978,600
values_831,1506,928
values_402,1206,743
values_404,1205,742
values_310,899,550
values_70,842,518
values_268,1524,938
values_1018,1337,824
values_412,1207,744
values_290,777,477
values_916,1540,949
values_567,1107,682
values_913,1477,907
values_232,980,602
values_319,776,476
values_23,1319,814
values_899,1540,949
values_428,1459,897
values_858,509,311
values_546,1107,682
values_432,1459,897
values_231,857,528
values_388,1207,744
values_350,633,386
values_603,1459,897
values_364,1271,784
values_530,527,321
values_72,965,592
values_536,713,437
values_79,841,517
values_342,633,386
values_803,1506,928
values_501,1091,671
values_540,712,436
values_955,1507,929
values_191,1394,858
values_812,1322,814
values_545,1107,682
values_78,965,592
values_526,527,321
values_695,384,231
values_87,793,485
values_300,776,476
values_964,979,601
values_998,1458,896
values_988,980,602
values_6,1319,814
values_625,1538,947
values_518,712,436
values_122,1224,753
values_541,713,437
values_279,1524,938
values_256,1523,937
values_796,979,601
values_504,1077,662
values_752,1224,753
values_459,1540,949
values_658,383,230
values_408,1329,817
values_867,1124,691
values_727,1459,897
values_177,1272,785
values_823,1445,888
values_822,1443,886
values_218,1105,680
values_426,1523,940
values_776,978,600
values_143,1190,732
values_739,1393,857
values_312,900,551
values_174,1271,784
values_669,383,230
values_120,1272,785
values_974,978,600
values_217,1107,682
values_866,1125,692
values_192,1106,681
values_328,509,311
values_68,842,518
values_387,1328,816
values_69,917,560
values_749,1346,826
values_135,1191,733
values_341,510,312
values_494,1093,673
values_1,1440,886
values_589,1522,939
values_925,1477,907
values_524,713,437
values_994,1337,824
values_856,510,312
values_156,1159,712
values_470,1478,908
values_207,1107,682
values_655,261,157
values_441,1337,824
values_109,1272,785
values_45,1124,691
values_125,1346,826
values_600,1523,940
values_708,1522,939
values_791,979,601
values_912,1540,949
values_533,712,436
values_418,1459,897
values_228,979,601
values_585,1459,897
values_465,1539,948
values_239,979,601
values_842,632,385
values_208,1105,680
values_932,1506,928
values_957,1322,814
values_563,1106,681
values_766,1395,859
values_476,1539,948
values_175,1270,783
values_591,1337,824
values_997,1522,939
values_385,1328,816
values_115,1394,858
values_653,384,231
values_753,1223,752
values_241,979,601
values_197,1107,682
values_636,1355,834
values_450,1539,948
values_106,1346,826
values_699,384,231
values_578,1523,940
values_644,384,231
values_570,1105,680
values_873,1123,690
values_33,1123,690
values_210,1108,683
values_486,1092,672
values_252,978,600
values_694,261,157
values_759,1223,752
values_245,979,601
values_15,1441,887
values_792,856,527
values_248,980,602
values_246,856,527
values_556,1106,681
values_513,712,436
values_93,794,486
values_558,1107,682
values_991,857,528
values_181,1222,751
values_674,384,231
values_652,384,231
values_344,510,312
values_715,1336,823
values_528,712,436
values_276,1525,939
values_24,1442,888
values_296,899,550
values_244,978,600
values_380,1223,752
values_25,1440,886
values_740,1223,752
values_478,1478,908
values_379,1224,753
values_810,1321,813
values_440,1523,940
values_543,713,437
values_130,1191,733
values_225,855,526
values_285,1339,823
values_363,1271,784
values_667,261,157
values_26,1441,887
values_793,978,600
values_1022,1460,898
values_772,979,601
values_931,1507,929
values_981,855,526
values_422,1337,824
values_920,1478,908
values_259,1463,898
values_477,1477,907
values_738,1347,827
values_430,1459,897
values_922,1478,908
values_903,1538,947
values_761,1223,752
values_1017,1336,823
values_204,1108,683
values_48,1124,691
values_71,794,486
values_851,631,384
values_347,633,386
values_725,1522,939
values_266,1462,897
values_448,1477,907
values_934,1322,814
values_531,649,394
values_224,978,600
values_686,261,157
values_927,1477,907
values_407,1206,743
values_76,793,485
values_949,1442,885
values_969,856,527
values_781,980,602
values_7,1319,814
values_1014,1459,897
values_683,261,157
values_376,1223,752
values_1016,1458,896
values_877,1124,691
values_654,261,157
values_508,1092,672
values_332,509,311
values_281,1524,938
values_381,1345,825
values_769,979,601
values_701,384,231
values_855,509,311
values_1009,1459,897
values_320,631,384
values_50,1124,691
values_918,1538,947
values_615,1353,832
values_704,1337,824
values_633,1353,832
values_847,632,385
values_602,1458,896
values_399,1328,816
values_22,1320,815
values_313,777,477
values_375,1222,751
values_963,978,600
values_168,1393,857
values_1021,1522,939
values_226,979,601
values_190,1224,753
values_429,1460,898
values_236,979,601
values_777,978,600
values_909,1478,908
values_438,1458,896
values_607,1458,896
values_717,1522,939
values_1000,1521,938
values_782,980,602
values_258,1525,939
values_872,1125,692
values_637,1539,948
values_746,1223,752
values_4,1442,888
values_345,632,385
values_102,1272,785
values_962,856,527
values_356,1074,661
values_853,510,312
values_849,632,385
values_814,1321,813
values_370,1224,753
values_778,857,528
values_458,1539,948
values_818,1506,928
values_119,1271,784
values_373,1345,825
values_351,510,312
values_32,1125,692
values_770,856,527
values_371,1224,753
values_283,1462,897
values_535,712,436
values_250,978,600
values_132,1192,734
values_649,261,157
values_77,964,591
values_260,1524,938
values_1004,1458,896
values_891,1248,766
values_91,842,518
values_137,1191,733
values_42,1123,690
values_13,1441,887
values_577,1337,824
values_41,1123,690
values_809,1320,812
values_414,1206,743
values_360,1346,826
values_386,1206,743
values_158,1281,785
values_904,1540,949
values_480,1091,671
values_647,384,231
values_104,1346,826
values_55,1248,766
values_491,1013,619
values_391,1328,816
values_972,979,601
values_571,1106,681
values_940,1444,887
values_861,510,312
values_324,509,311
values_549,1105,680
values_170,1222,751
values_269,1524,938
values_442,1336,823
values_520,527,321
values_455,1539,948
values_31,1319,814
values_971,978,600
values_397,1327,815
values_254,980,602
values_616,1541,950
values_66,963,590
values_943,1508,930
values_117,1272,785
values_451,1476,906
values_643,261,157
values_688,384,231
values_569,1106,681
values_745,1223,752
values_65,794,486
values_980,979,601
values_982,979,601
values_62,1125,692
values_789,855,526
values_401,1329,817
values_21,1320,815
values_598,1337,824
values_273,1463,898
values_534,650,395
values_118,1223,752
values_141,1159,712
values_366,1393,857
values_222,1106,681
values_876,1248,766
values_700,384,231
values_95,794,486
values_806,1506,928
values_671,383,230
values_816,1445,888
values_630,1539,948
values_433,1336,823
values_905,1477,907
values_84,842,518
values_233,856,527
values_664,261,157
values_162,1223,752
values_681,261,157
values_542,713,437
values_169,1271,784
values_660,261,157
values_488,1091,671
values_894,1124,691
values_828,1320,812
values_537,713,437
values_845,510,312
values_584,1337,824
values_457,1540,949
values_499,1075,660
values_369,1346,826
values_58,1247,765
values_64,841,517
values_196,1106,681
values_462,1477,907
values_343,632,385
values_262,1461,896
values_966,978,600
values_261,1339,823
values_349,633,386
values_263,1340,824
values_801,1321,813
values_292,777,477
values_786,979,601
values_101,1395,859
values_691,384,231
values_926,1541,950
values_754,1395,859
values_215,1106,681
values_977,979,601
values_850,510,312
values_646,261,157
values_628,1354,833
values_941,1443,886
values_353,1224,753
values_690,384,231
values_961,856,527
values_331,632,385
values_377,1272,785
values_128,1314,807
values_336,632,385
values_632,1477,907
values_166,1395,859
values_744,1271,784
values_837,510,312
values_807,649,392
values_838,632,385
values_723,1460,898
values_874,545,331
values_627,1541,950
values_555,1107,682
values_446,1459,897
values_716,1458,896
values_240,856,527
values_140,1191,733
values_317,899,550
values_83,965,592
values_696,384,231
values_413,1206,743
values_94,841,517
values_937,1321,813
values_199,1106,681
values_596,1458,896
values_0,1318,813
values_953,1321,813
values_906,1539,948
values_742,1271,784
values_396,1207,744
values_159,1159,712
values_238,856,527
values_136,1192,734
values_915,1537,946
values_99,1347,827
values_771,855,526
values_96,1223,752
values_768,857,528
values_1001,1337,824
values_67,842,518
values_565,1106,681
values_848,632,385
values_114,1394,858
values_61,1125,692
values_511,1077,662
values_729,1460,898
values_460,1539,948
values_832,509,311
values_1015,1459,897
values_348,633,386
values_182,1345,825
values_986,979,601
values_180,1394,858
values_930,1506,928
values_274,1462,897
values_309,777,477
values_496,1077,662
values_165,1271,784
values_553,1107,682
values_1023,1458,896
values_870,1125,692
values_795,979,601
values_361,1345,825
values_302,777,477
values_586,1522,939
values_880,1124,691
values_665,384,231
values_527,713,437
values_372,1394,858
values_382,1223,752
values_43,1125,692
values_935,1505,927
values_2,1319,814
values_790,857,528
values_152,1192,734
values_871,1125,692
values_434,1522,939
values_775,980,602
values_500,1013,619
values_220,1107,682
values_875,1125,692
values_249,977,599
values_808,1444,887
values_859,509,311
values_539,712,436
values_635,1539,948
values_311,777,477
values_183,1346,826
values_54,1123,690
values_390,1206,743
values_890,1123,690
values_711,1337,824
values_471,1538,947
values_995,1458,896
values_443,1457,895
values_464,1537,946
values_774,979,601
values_200,1107,682
values_747,1223,752
values_758,1393,857
values_30,1319,814
values_820,1443,886
values_393,1327,815
values_576,1459,897
values_445,1336,823
values_662,383,230
values_403,1207,744
values_640,261,157
values_59,1247,765
values_490,1092,672
values_194,1106,681
values_751,1394,858
values_1007,1460,898
values_663,261,157
values_938,1506,928
values_532,527,321
values_885,1123,690
values_713,1337,824
values_193,1108,683
values_650,383,230
values_564,1107,682
values_267,1462,897
values_147,1191,733
values_709,1522,939
values_857,632,385
values_334,632,385
values_965,980,602
values_824,1444,887
values_784,979,601
values_229,978,600
values_538,712,436
values_463,1539,948
values_741,1224,753
values_85,917,560
values_493,1013,619
values_794,856,527
values_202,1104,679
values_74,793,485
values_410,1329,817
values_469,1539,948
values_394,595,362
values_149,1191,733
values_945,1322,814
values_293,777,477
values_456,1353,832
values_975,980,602
values_547,1107,682
values_164,1271,784
values_720,1459,897
values_833,509,311
values_90,964,591
values_954,1445,888
values_1002,1521,938
values_483,1092,672
values_990,978,600
values_113,1393,857
values_878,1124,691
values_942,1506,928
values_126,1224,753
values_666,384,231
values_960,979,601
values_783,978,600
values_735,1460,898
values_439,1459,897
values_860,632,385
values_18,1318,813
values_173,1271,784
values_454,1476,906
values_176,1224,753
values_698,384,231
values_869,1123,690
values_697,261,157
values_509,1077,662
values_189,1224,753
values_714,1336,823
values_270,1340,824
values_863,633,386
values_548,1107,682
values_359,1347,827
values_512,649,394
values_656,261,157
values_684,261,157
values_171,1243,765
values_675,261,157
values_657,261,157
values_333,633,386
values_599,1336,823
values_129,1191,733
values_886,1124,691
values_107,1392,856
values_272,1526,940
values_52,1123,690
values_819,1322,814
values_682,384,231
values_44,1123,690
values_914,1539,948
values_346,510,312
values_151,1191,733
values_550,1106,681
values_326,632,385
values_836,510,312
values_437,1335,822
values_984,979,601
values_17,1319,814
values_748,1224,753
values_581,1522,939
values_705,1458,896
values_121,1272,785
values_219,1107,682
values_321,509,311
values_843,631,384
values_606,1459,897
values_898,1477,907
values_601,1459,897
values_36,1124,691
values_282,1526,940
values_395,1330,818
values_449,1476,906
values_209,1105,680
values_956,1444,887
values_579,1457,895
values_484,1076,661
values_521,649,394
values_617,1355,834
values_516,712,436
values_358,1223,752
values_335,632,385
values_139,1191,733
values_992,1336,823
values_211,1106,681
values_507,1091,671
values_921,1478,908
values_138,1191,733
values_275,1340,824
values_614,1539,948
values_49,1122,689
values_227,980,602
values_203,1108,683
values_172,1272,785
values_86,794,486
values_1011,1522,939
values_178,1222,751
values_978,979,601
values_253,856,527
values_1010,1522,939
values_291,900,551
values_911,1354,833
values_230,980,602
values_318,777,477
values_798,856,527
values_638,1538,947
values_112,1395,859
values_201,1107,682
values_629,1540,949
values_337,509,311
values_37,1123,690
values_56,1124,691
values_316,776,476
values_829,1444,887
values_63,1124,691
values_35,1124,691
values_519,649,394
