inputName,text,data,bss
values_242,440,14,0
values_505,440,8,0
values_924,440,26,0
values_862,440,10,0
values_287,440,16,0
values_733,440,20,0
values_813,440,16,0
values_11,440,28,0
values_19,440,10,0
values_999,440,14,0
values_134,440,24,0
values_609,440,16,0
values_993,440,24,0
values_731,440,2,0
values_127,440,28,0
values_889,440,6,0
values_987,440,20,0
values_780,440,28,0
values_435,440,10,0
values_950,440,28,0
values_976,440,28,0
values_557,440,16,0
values_398,440,6,0
values_892,440,14,0
values_670,440,4,0
values_574,440,28,0
values_163,440,4,0
values_900,440,4,0
values_392,440,4,0
values_447,440,8,0
values_523,440,4,0
values_679,440,16,0
values_419,440,20,0
values_895,440,28,0
values_298,440,12,0
values_155,440,24,0
values_12,440,12,0
values_160,440,18,0
values_626,440,2,0
values_38,440,10,0
values_146,440,26,0
values_81,440,26,0
values_687,440,28,0
values_213,440,8,0
values_212,440,20,0
values_568,440,12,0
values_5,440,4,0
values_40,440,20,0
values_970,440,4,0
values_707,440,24,0
values_406,440,12,0
values_893,440,10,0
values_144,440,28,0
values_979,440,6,0
values_831,440,4,0
values_402,440,24,0
values_404,440,8,0
values_310,440,8,0
values_70,440,4,0
values_268,440,16,0
values_412,440,20,0
values_290,440,4,0
values_916,440,22,0
values_567,440,6,0
values_913,440,4,0
values_232,440,18,0
values_319,440,14,0
values_23,440,6,0
values_899,440,22,0
values_428,440,18,0
values_858,440,8,0
values_546,440,8,0
values_432,440,24,0
values_231,440,20,0
values_388,440,4,0
values_350,440,16,0
values_603,440,16,0
values_364,440,14,0
values_530,440,12,0
values_72,440,22,0
values_536,440,28,0
values_79,440,10,0
values_342,440,22,0
values_803,440,20,0
values_501,440,24,0
values_540,440,4,0
values_955,440,8,0
values_191,440,24,0
values_812,440,24,0
values_545,440,22,0
values_78,440,26,0
values_526,440,16,0
values_695,440,10,0
values_87,440,16,0
values_300,440,22,0
values_964,440,26,0
values_998,440,8,0
values_988,440,18,0
values_6,440,2,0
values_625,440,10,0
values_518,440,22,0
values_122,440,20,0
values_541,440,26,0
values_279,440,18,0
values_256,440,10,0
values_796,440,28,0
values_504,440,20,0
values_752,440,28,0
values_459,440,24,0
values_658,440,4,0
values_408,440,6,0
values_867,440,26,0
values_727,440,24,0
values_177,440,28,0
values_823,440,14,0
values_822,440,6,0
values_218,440,28,0
values_426,440,24,0
values_776,440,12,0
values_143,440,4,0
values_739,440,24,0
values_312,440,24,0
values_174,440,18,0
values_669,440,16,0
values_120,440,22,0
values_974,440,18,0
values_217,440,16,0
values_866,440,22,0
values_192,440,24,0
values_328,440,2,0
values_68,440,4,0
values_387,440,4,0
values_69,440,4,0
values_749,440,10,0
values_135,440,4,0
values_341,440,14,0
values_494,440,22,0
values_1,440,14,0
values_589,440,4,0
values_925,440,4,0
values_524,440,10,0
values_994,440,16,0
values_856,440,12,0
values_156,440,8,0
values_470,440,20,0
values_207,440,20,0
values_655,440,28,0
values_441,440,22,0
values_109,440,24,0
values_45,440,12,0
values_125,440,12,0
values_600,440,24,0
values_708,440,6,0
values_791,440,12,0
values_912,440,18,0
values_533,440,20,0
values_418,440,2,0
values_228,440,24,0
values_585,440,8,0
values_465,440,16,0
values_239,440,14,0
values_842,440,20,0
values_208,440,10,0
values_932,440,6,0
values_957,440,26,0
values_563,440,28,0
values_766,440,28,0
values_476,440,10,0
values_175,440,24,0
values_591,440,22,0
values_997,440,24,0
values_385,440,22,0
values_115,440,8,0
values_653,440,10,0
values_753,440,12,0
values_241,440,26,0
values_197,440,10,0
values_636,440,12,0
values_450,440,26,0
values_106,440,28,0
values_699,440,20,0
values_578,440,8,0
values_644,440,22,0
values_570,440,8,0
values_873,440,28,0
values_33,440,8,0
values_210,440,26,0
values_486,440,22,0
values_252,440,18,0
values_694,440,20,0
values_759,440,6,0
values_245,440,6,0
values_15,440,16,0
values_792,440,24,0
values_248,440,6,0
values_246,440,18,0
values_556,440,10,0
values_513,440,18,0
values_93,440,16,0
values_558,440,28,0
values_991,440,8,0
values_181,440,28,0
values_674,440,4,0
values_652,440,10,0
values_344,440,28,0
values_715,440,8,0
values_528,440,12,0
values_276,440,28,0
values_24,440,18,0
values_296,440,6,0
values_244,440,24,0
values_380,440,10,0
values_25,440,20,0
values_740,440,8,0
values_478,440,2,0
values_379,440,6,0
values_810,440,12,0
values_440,440,28,0
values_543,440,6,0
values_130,440,12,0
values_225,440,18,0
values_285,440,8,0
values_363,440,20,0
values_667,440,6,0
values_26,440,4,0
values_793,440,26,0
values_772,440,28,0
values_931,440,6,0
values_981,440,10,0
values_422,440,20,0
values_920,440,20,0
values_259,440,20,0
values_477,440,28,0
values_738,440,28,0
values_430,440,20,0
values_922,440,12,0
values_903,440,24,0
values_761,440,16,0
values_204,440,14,0
values_48,440,6,0
values_71,440,8,0
values_851,440,22,0
values_347,440,8,0
values_725,440,24,0
values_266,440,24,0
values_448,440,26,0
values_934,440,2,0
values_531,440,10,0
values_224,440,20,0
values_686,440,8,0
values_927,440,24,0
values_407,440,14,0
values_76,440,4,0
values_949,440,22,0
values_969,440,12,0
values_781,440,8,0
values_7,440,14,0
values_683,440,10,0
values_376,440,22,0
values_877,440,26,0
values_654,440,12,0
values_508,440,14,0
values_332,440,6,0
values_281,440,6,0
values_381,440,12,0
values_769,440,18,0
values_701,440,16,0
values_855,440,20,0
values_320,440,10,0
values_50,440,4,0
values_918,440,18,0
values_615,440,10,0
values_704,440,12,0
values_633,440,12,0
values_847,440,24,0
values_602,440,2,0
values_399,440,24,0
values_22,440,18,0
values_313,440,24,0
values_375,440,16,0
values_963,440,14,0
values_168,440,10,0
values_226,440,6,0
values_190,440,18,0
values_429,440,28,0
values_236,440,10,0
values_777,440,10,0
values_909,440,16,0
values_438,440,24,0
values_607,440,18,0
values_717,440,8,0
values_782,440,26,0
values_258,440,28,0
values_872,440,18,0
values_637,440,26,0
values_746,440,18,0
values_4,440,12,0
values_345,440,10,0
values_102,440,22,0
values_962,440,12,0
values_356,440,24,0
values_853,440,26,0
values_849,440,22,0
values_814,440,6,0
values_370,440,12,0
values_778,440,16,0
values_458,440,20,0
values_818,440,6,0
values_119,440,8,0
values_373,440,22,0
values_351,440,16,0
values_32,440,6,0
values_770,440,24,0
values_371,440,18,0
values_283,440,22,0
values_535,440,20,0
values_250,440,12,0
values_132,440,2,0
values_649,440,24,0
values_77,440,20,0
values_260,440,20,0
values_891,440,6,0
values_91,440,20,0
values_137,440,4,0
values_42,440,4,0
values_13,440,10,0
values_577,440,6,0
values_41,440,24,0
values_809,440,4,0
values_414,440,8,0
values_360,440,4,0
values_386,440,24,0
values_158,440,28,0
values_904,440,4,0
values_480,440,12,0
values_647,440,10,0
values_104,440,4,0
values_55,440,12,0
values_491,440,26,0
values_391,440,20,0
values_972,440,12,0
values_571,440,6,0
values_940,440,14,0
values_861,440,4,0
values_324,440,24,0
values_549,440,20,0
values_170,440,10,0
values_269,440,16,0
values_442,440,2,0
values_520,440,26,0
values_455,440,18,0
values_31,440,26,0
values_971,440,24,0
values_397,440,14,0
values_254,440,26,0
values_616,440,10,0
values_66,440,28,0
values_943,440,26,0
values_117,440,6,0
values_451,440,26,0
values_643,440,28,0
values_688,440,28,0
values_569,440,18,0
values_745,440,16,0
values_65,440,14,0
values_980,440,20,0
values_982,440,8,0
values_62,440,4,0
values_789,440,22,0
values_401,440,2,0
values_21,440,8,0
values_598,440,28,0
values_273,440,24,0
values_534,440,14,0
values_118,440,8,0
values_141,440,14,0
values_366,440,14,0
values_222,440,6,0
values_876,440,6,0
values_700,440,8,0
values_95,440,24,0
values_806,440,4,0
values_671,440,4,0
values_816,440,18,0
values_630,440,12,0
values_433,440,6,0
values_905,440,14,0
values_84,440,10,0
values_233,440,10,0
values_664,440,12,0
values_162,440,18,0
values_681,440,20,0
values_542,440,28,0
values_169,440,22,0
values_660,440,4,0
values_488,440,20,0
values_894,440,6,0
values_828,440,10,0
values_537,440,4,0
values_845,440,22,0
values_584,440,4,0
values_457,440,22,0
values_499,440,20,0
values_369,440,26,0
values_58,440,6,0
values_64,440,28,0
values_196,440,16,0
values_462,440,18,0
values_343,440,8,0
values_262,440,28,0
values_966,440,16,0
values_261,440,24,0
values_349,440,8,0
values_263,440,26,0
values_801,440,2,0
values_292,440,10,0
values_786,440,28,0
values_101,440,6,0
values_691,440,6,0
values_926,440,10,0
values_754,440,28,0
values_215,440,16,0
values_977,440,18,0
values_850,440,4,0
values_646,440,10,0
values_628,440,8,0
values_941,440,28,0
values_353,440,4,0
values_690,440,18,0
values_961,440,8,0
values_331,440,6,0
values_377,440,10,0
values_128,440,20,0
values_336,440,2,0
values_632,440,16,0
values_166,440,10,0
values_744,440,12,0
values_837,440,6,0
values_807,440,10,0
values_838,440,14,0
values_723,440,24,0
values_874,440,22,0
values_627,440,20,0
values_555,440,14,0
values_446,440,20,0
values_716,440,12,0
values_240,440,14,0
values_140,440,10,0
values_317,440,18,0
values_83,440,18,0
values_696,440,14,0
values_413,440,24,0
values_94,440,18,0
values_937,440,26,0
values_199,440,6,0
values_596,440,8,0
values_0,440,28,0
values_953,440,28,0
values_906,440,6,0
values_742,440,14,0
values_396,440,28,0
values_159,440,10,0
values_238,440,26,0
values_136,440,20,0
values_915,440,12,0
values_99,440,24,0
values_771,440,24,0
values_96,440,4,0
values_768,440,6,0
values_67,440,12,0
values_565,440,4,0
values_848,440,26,0
values_114,440,28,0
values_61,440,22,0
values_511,440,26,0
values_729,440,18,0
values_460,440,16,0
values_832,440,4,0
values_348,440,28,0
values_182,440,14,0
values_986,440,24,0
values_180,440,24,0
values_930,440,6,0
values_274,440,28,0
values_309,440,8,0
values_496,440,16,0
values_165,440,6,0
values_553,440,16,0
values_870,440,20,0
values_795,440,28,0
values_361,440,6,0
values_302,440,12,0
values_586,440,16,0
values_880,440,10,0
values_665,440,8,0
values_527,440,26,0
values_372,440,24,0
values_382,440,10,0
values_43,440,6,0
values_935,440,6,0
values_2,440,18,0
values_790,440,16,0
values_152,440,20,0
values_871,440,4,0
values_434,440,12,0
values_775,440,22,0
values_500,440,6,0
values_220,440,20,0
values_875,440,28,0
values_249,440,28,0
values_808,440,10,0
values_859,440,18,0
values_539,440,10,0
values_635,440,10,0
values_311,440,4,0
values_183,440,14,0
values_54,440,28,0
values_390,440,16,0
values_890,440,8,0
values_711,440,6,0
values_471,440,12,0
values_995,440,22,0
values_443,440,16,0
values_464,440,24,0
values_774,440,2,0
values_200,440,8,0
values_747,440,4,0
values_758,440,20,0
values_30,440,6,0
values_820,440,6,0
values_393,440,16,0
values_576,440,4,0
values_445,440,4,0
values_662,440,16,0
values_403,440,24,0
values_640,440,8,0
values_59,440,6,0
values_490,440,16,0
values_194,440,12,0
values_751,440,28,0
values_663,440,20,0
values_938,440,6,0
values_532,440,8,0
values_885,440,10,0
values_713,440,22,0
values_193,440,28,0
values_650,440,28,0
values_564,440,8,0
values_267,440,14,0
values_147,440,24,0
values_709,440,28,0
values_857,440,26,0
values_334,440,28,0
values_965,440,16,0
values_824,440,14,0
values_784,440,10,0
values_229,440,24,0
values_538,440,24,0
values_463,440,26,0
values_741,440,22,0
values_85,440,18,0
values_493,440,14,0
values_794,440,22,0
values_202,440,24,0
values_74,440,12,0
values_410,440,14,0
values_469,440,22,0
values_394,440,10,0
values_149,440,24,0
values_945,440,16,0
values_293,440,22,0
values_456,440,8,0
values_975,440,26,0
values_547,440,18,0
values_164,440,10,0
values_720,440,22,0
values_833,440,6,0
values_90,440,28,0
values_954,440,18,0
values_483,440,6,0
values_990,440,10,0
values_113,440,8,0
values_878,440,12,0
values_942,440,22,0
values_126,440,14,0
values_666,440,12,0
values_960,440,28,0
values_783,440,20,0
values_735,440,28,0
values_439,440,26,0
values_860,440,16,0
values_18,440,10,0
values_173,440,12,0
values_454,440,26,0
values_176,440,24,0
values_698,440,6,0
values_869,440,8,0
values_697,440,24,0
values_509,440,10,0
values_189,440,26,0
values_714,440,22,0
