id,cInstr
values_242,958
values_505,905
values_924,1207
values_862,2058
values_287,33
values_733,356
values_813,1257
values_11,515
values_19,1414
values_999,205
values_134,443
values_609,239
values_993,504
values_731,128
values_127,83
values_889,2370
values_987,240
values_780,2815
values_435,531
values_950,39
values_976,1403
values_557,527
values_398,1302
values_892,140
values_670,1837
values_574,2423
values_163,152
values_900,97
values_392,2469
values_447,179
values_523,340
values_679,1182
values_419,1101
values_895,234
values_298,1272
values_155,1133
values_12,2882
values_160,1510
values_626,1136
values_38,159
values_146,50
values_81,813
values_687,129
values_213,1784
values_212,223
values_568,33
values_5,1083
values_40,2517
values_970,80
values_707,94
values_406,1878
values_893,96
values_144,17
values_979,1450
values_831,807
values_402,33
values_404,1387
values_310,1584
values_70,2090
values_268,580
values_412,1109
values_290,1718
values_916,1030
values_567,2042
values_913,1964
values_232,316
values_319,335
values_23,17
values_899,152
values_428,2061
values_858,124
values_546,2312
values_432,1670
values_231,1425
values_388,97
values_350,1955
values_603,195
values_364,172
values_530,2784
values_72,1864
values_536,954
values_79,80
values_342,2026
values_803,108
values_501,555
values_540,601
values_955,39
values_191,498
values_812,2273
values_545,937
values_78,995
values_526,1679
values_695,1494
values_87,576
values_300,1712
values_964,468
values_998,975
values_988,1751
values_6,1847
values_625,2266
values_518,1646
values_122,2456
values_541,17
values_279,111
values_256,2162
values_796,2200
values_504,205
values_752,2252
values_459,2322
values_658,663
values_408,2522
values_867,1427
values_727,643
values_177,33
values_823,2312
values_822,1979
values_218,63
values_426,1391
values_776,1296
values_143,1815
values_739,1608
values_312,612
values_174,230
values_669,833
values_120,307
values_974,258
values_217,33
values_866,1036
values_192,217
values_328,1635
values_68,900
values_387,45
values_69,89
values_749,213
values_135,148
values_341,1256
values_494,319
values_1,624
values_589,66
values_925,1463
values_524,1135
values_994,1676
values_856,1003
values_156,392
values_470,1526
values_207,908
values_655,223
values_441,50
values_109,389
values_45,516
values_125,2805
values_600,634
values_708,2808
values_791,247
values_912,2297
values_533,819
values_418,245
values_228,879
values_585,617
values_465,904
values_239,676
values_842,191
values_208,382
values_932,271
values_957,17
values_563,1118
values_766,1153
values_476,2338
values_175,178
values_591,225
values_997,1172
values_385,388
values_115,417
values_653,2443
values_753,148
values_241,796
values_197,1643
values_636,148
values_450,857
values_106,2100
values_699,947
values_578,245
values_644,157
values_570,2016
values_873,1033
