id,clockCycles,assemblyInstr
values_242,6037,3910
values_505,3361,2171
values_924,24052,15671
values_862,5231,3384
values_287,9705,6298
values_733,15488,10071
values_813,10806,7033
values_11,34421,22364
values_19,3908,2527
values_999,9400,6095
values_134,26185,17026
values_609,10495,6816
values_993,22420,14599
values_731,185,116
values_127,31227,20361
values_889,1304,836
values_987,18675,12148
values_780,35522,23109
values_435,2587,1676
values_950,32418,21128
values_976,33084,21570
values_557,11430,7416
values_398,1223,784
values_892,5518,3575
values_670,632,401
values_574,28727,18713
values_163,856,548
values_900,892,570
values_392,588,374
values_447,2743,1768
values_523,508,325
values_679,9915,6441
values_419,15033,9775
values_895,34210,22294
values_298,6238,4051
values_155,26415,17172
values_12,4866,3152
values_160,14646,9517
values_626,185,116
values_38,3241,2101
values_146,26844,17480
values_81,23638,15403
values_687,37892,24625
values_213,1942,1255
values_212,18686,12143
values_568,4778,3098
values_5,543,344
values_40,14519,9474
values_970,722,461
values_707,19024,12401
values_406,5262,3414
values_893,3033,1964
values_144,30919,20163
values_979,1743,1122
values_831,892,570
values_402,24030,15668
values_404,2217,1431
values_310,1958,1265
values_70,678,434
values_268,8710,5661
values_412,15865,10333
values_290,373,235
values_916,16721,10891
values_567,1098,705
values_913,543,344
values_232,13195,8572
values_319,7047,4563
values_23,1535,985
values_899,20127,13100
values_428,13360,8704
values_858,3094,2000
values_546,2403,1550
values_432,26488,17219
values_231,16633,10814
values_388,248,156
values_350,10362,6732
values_603,8876,5768
values_364,8130,5273
values_530,6823,4422
values_72,20957,13633
values_536,29974,19561
values_79,2414,1558
values_342,22055,14350
values_803,15323,9977
values_501,19540,12746
values_540,597,382
values_955,2479,1606
values_191,24376,15866
values_812,23942,15576
values_545,16418,10698
values_78,32763,21319
values_526,8646,5622
values_695,3738,2418
values_87,12546,8139
values_300,19978,12997
values_964,29404,19127
values_998,3308,2136
values_988,13805,8989
values_6,185,116
values_625,3694,2391
values_518,21887,14218
values_122,15999,10401
values_541,31127,20239
values_279,13679,8907
values_256,2856,1853
values_796,34553,22502
values_504,14637,9532
values_752,34128,22220
values_459,21070,13718
values_658,507,322
values_408,1885,1214
values_867,31124,20268
values_727,23372,15212
values_177,33741,21966
values_823,8652,5617
values_822,651,414
values_218,29334,19102
values_426,25559,16618
values_776,6284,4065
values_143,597,382
values_739,24561,15982
values_312,21246,13807
values_174,14873,9654
values_669,10922,7095
values_120,16532,10763
values_974,14267,9268
values_217,10925,7094
values_866,21856,14230
values_192,21568,14038
values_328,310,195
values_68,678,434
values_387,632,401
values_69,811,518
values_749,4801,3106
values_135,418,265
values_341,7467,4840
values_494,19921,12950
values_1,8549,5556
values_589,597,382
values_925,508,325
values_524,4491,2911
values_994,9627,6255
values_856,6054,3919
values_156,2709,1752
values_470,15587,10158
values_207,12134,7894
values_655,31680,20594
values_441,17956,11694
values_109,26914,17514
values_45,5699,3694
values_125,5674,3686
values_600,22636,14713
values_708,955,610
values_791,5496,3572
values_912,11504,7489
values_533,15106,9841
values_418,185,116
values_228,19947,12984
values_585,3539,2285
values_465,8421,5472
values_239,6934,4501
values_842,16590,10790
values_208,2863,1855
values_932,1215,779
values_957,19903,12951
values_563,33218,21657
values_766,29199,19012
values_476,2228,1439
values_175,24109,15695
values_591,19319,12566
values_997,25091,16350
values_385,19062,12406
values_115,1768,1134
values_653,3309,2143
values_753,6911,4476
values_241,27273,17802
values_197,4572,2963
values_636,4599,2981
values_450,28948,18828
values_106,33788,22021
values_699,16949,11008
values_578,2217,1431
values_644,23992,15598
values_570,2306,1488
values_873,24586,16017
values_33,2137,1382
values_210,27580,17960
values_486,16760,10903
values_252,10958,7111
values_694,12462,8114
values_759,1448,934
values_245,1055,681
values_15,13883,9000
values_792,19063,12422
values_248,1133,724
values_246,15852,10300
values_556,2592,1672
values_513,16310,10586
values_93,8901,5776
values_558,28486,18591
values_991,2449,1583
values_181,27948,18199
values_674,632,401
values_652,3373,2182
values_344,34512,22484
values_715,3102,2005
values_528,6861,4450
values_276,31249,20370
values_24,11499,7474
values_296,1394,896
values_244,26771,17419
values_380,3301,2138
values_25,19379,12580
values_740,2915,1883
values_478,185,116
values_379,1359,877
values_810,4771,3096
values_440,32313,21042
values_543,1482,950
values_130,6327,4108
values_225,10084,6551
values_285,2038,1314
values_363,18556,12068
values_667,1393,893
values_26,686,439
values_793,27632,17982
values_772,36803,23964
values_931,571,365
values_981,3569,2312
values_422,11184,7268
values_920,17014,11069
values_259,16735,10891
values_477,25921,16891
values_738,35740,23238
values_430,13622,8864
values_922,4987,3238
values_903,23931,15581
values_761,11873,7714
values_204,9559,6200
values_48,1411,909
values_71,2217,1431
values_851,24308,15792
values_347,2037,1311
values_725,20983,13667
values_266,22561,14688
values_448,29725,19345
values_934,310,195
values_531,3650,2364
values_224,16161,10515
values_686,3181,2051
values_927,23745,15462
values_407,7191,4661
values_76,248,156
values_949,23458,15256
values_969,4912,3185
values_781,2001,1289
values_7,8664,5615
values_683,2977,1920
values_376,18911,12287
values_877,29523,19207
values_654,5401,3497
values_508,8819,5717
values_332,1401,898
values_281,1832,1179
values_381,6190,4012
