id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,333,184,35,9.514
values_505,577,320,65,8.877
values_1006,703,407,81,8.679
values_924,677,366,77,8.792
values_862,657,370,75,8.760
values_287,787,443,91,8.648
values_733,593,330,67,8.851
values_813,881,510,103,8.553
values_11,463,257,51,9.078
values_19,743,399,85,8.741
values_999,675,373,77,8.766
values_134,645,346,73,8.836
values_609,545,300,61,8.934
values_993,675,373,77,8.766
values_731,725,396,83,8.735
values_127,1133,684,135,8.393
values_889,829,494,97,8.546
values_987,1039,617,123,8.447
values_780,707,393,81,8.728
values_435,777,412,89,8.730
values_950,561,310,63,8.905
values_976,739,413,85,8.694
values_557,1009,590,119,8.479
values_398,655,377,75,8.733
values_892,447,247,49,9.122
values_670,529,290,59,8.966
values_574,775,419,89,8.708
values_163,509,294,57,8.930
values_900,809,432,93,8.699
values_392,301,164,31,9.710
values_447,577,320,65,8.877
values_523,579,313,65,8.908
values_679,333,184,35,9.514
values_419,623,357,71,8.775
values_895,691,383,79,8.747
values_298,725,396,83,8.735
values_155,691,383,79,8.747
values_12,545,300,61,8.934
values_160,709,386,81,8.753
values_626,349,194,37,9.432
values_38,977,570,115,8.496
values_146,495,277,55,9.000
values_81,577,320,65,8.877
values_687,791,429,91,8.692
values_213,529,290,59,8.966
values_212,627,343,71,8.831
values_568,643,353,73,8.808
values_5,661,356,75,8.813
values_40,623,357,71,8.775
values_970,659,363,75,8.787
values_707,623,357,71,8.775
values_406,463,257,51,9.078
values_893,689,390,79,8.722
values_144,643,353,73,8.808
values_979,689,390,79,8.722
values_831,709,386,81,8.753
values_402,529,290,59,8.966
values_404,525,304,59,8.898
values_310,723,403,83,8.711
values_70,707,393,81,8.728
values_268,661,356,75,8.813
values_1018,703,407,81,8.679
values_412,463,257,51,9.078
values_290,653,384,75,8.707
values_916,643,353,73,8.808
values_567,627,343,71,8.831
values_913,463,257,51,9.078
values_232,415,227,45,9.222
values_319,757,416,87,8.701
values_23,627,343,71,8.831
values_899,495,277,55,9.000
values_428,1261,764,151,8.351
values_858,709,386,81,8.753
values_546,673,380,77,8.740
values_432,725,396,83,8.735
values_231,577,320,65,8.877
values_388,559,317,63,8.873
