id,clockCycles,assemblyInstr
values_242,333,184
values_505,577,320
values_1006,703,407
values_924,677,366
values_862,657,370
values_287,787,443
values_733,593,330
values_813,881,510
values_11,463,257
values_19,743,399
values_999,675,373
values_134,645,346
values_609,545,300
values_993,675,373
values_731,725,396
values_127,1133,684
values_889,829,494
values_987,1039,617
values_780,707,393
values_435,777,412
values_950,561,310
values_976,739,413
values_557,1009,590
values_398,655,377
values_892,447,247
values_670,529,290
values_574,775,419
values_163,509,294
values_900,809,432
values_392,301,164
values_447,577,320
values_523,579,313
values_679,333,184
values_419,623,357
values_895,691,383
values_298,725,396
values_155,691,383
values_12,545,300
values_160,709,386
values_626,349,194
values_38,977,570
values_146,495,277
values_81,577,320
values_687,791,429
values_213,529,290
values_212,627,343
values_568,643,353
values_5,661,356
values_40,623,357
values_970,659,363
values_707,623,357
values_406,463,257
values_893,689,390
values_144,643,353
values_979,689,390
values_831,709,386
values_402,529,290
values_404,525,304
values_310,723,403
values_70,707,393
values_268,661,356
values_1018,703,407
values_412,463,257
values_290,653,384
values_916,643,353
values_567,627,343
values_913,463,257
values_232,415,227
values_319,757,416
values_23,627,343
values_899,495,277
values_428,1261,764
values_858,709,386
values_546,673,380
values_432,725,396
values_231,577,320
values_388,559,317
values_350,1107,643
values_603,881,510
values_364,693,376
values_530,545,300
values_72,235,131
values_536,447,247
values_79,741,406
values_342,959,567
values_803,605,354
values_501,791,429
values_540,989,594
values_955,709,386
values_191,657,370
values_812,543,307
values_545,693,376
values_78,775,419
values_526,1137,670
values_695,609,340
values_87,563,303
values_300,759,409
values_964,725,396
values_998,801,460
values_988,775,419
values_6,497,270
values_625,527,297
values_518,627,343
values_122,865,500
values_541,1087,647
values_279,399,217
values_256,739,413
values_796,513,280
values_504,593,330
values_752,677,366
values_459,465,250
values_658,431,237
values_408,415,227
values_867,587,351
values_727,511,287
values_177,299,171
values_823,639,367
values_822,495,277
values_218,741,406
values_426,707,393
values_776,397,224
values_143,885,496
values_739,605,354
values_312,653,384
values_174,513,280
values_669,825,442
values_120,609,340
values_974,757,416
values_217,463,257
values_866,507,301
values_192,725,396
values_328,659,363
values_68,367,197
values_387,301,164
values_69,641,360
values_749,881,510
values_135,737,420
values_341,691,383
values_494,703,407
values_1,543,307
values_589,881,510
values_925,301,164
values_524,627,343
values_994,735,427
values_856,639,367
values_156,693,376
values_470,561,310
values_207,891,475
values_655,775,419
values_441,511,287
values_109,1281,760
values_45,691,383
values_125,741,406
values_600,477,274
values_708,481,260
values_791,563,303
values_912,741,406
values_533,595,323
values_418,641,360
values_228,607,347
values_585,625,350
values_465,463,257
values_239,755,423
values_842,671,387
values_208,725,396
values_932,317,174
values_957,511,287
values_563,821,456
values_766,677,366
values_476,415,227
values_175,741,406
values_591,787,443
values_997,675,373
values_385,447,247
values_115,785,450
values_653,707,393
values_753,641,360
values_241,381,214
values_197,707,393
values_636,509,294
values_450,251,141
values_106,659,363
values_699,655,377
values_578,639,367
values_644,775,419
