inputName,text,data,bss
values_242,374,26,0
values_505,374,22,0
values_924,374,8,0
values_862,374,24,0
values_287,374,10,0
values_733,374,22,0
values_813,374,14,0
values_11,374,26,0
values_19,374,6,0
values_999,374,28,0
values_134,374,8,0
values_609,374,18,0
values_993,374,18,0
values_731,374,16,0
values_127,374,20,0
values_889,374,12,0
values_987,374,26,0
values_780,374,10,0
values_435,374,18,0
values_950,374,14,0
values_976,374,16,0
values_557,374,10,0
values_398,374,6,0
values_892,374,28,0
values_670,374,28,0
values_574,374,16,0
values_163,374,4,0
values_900,374,20,0
values_392,374,8,0
values_447,374,6,0
values_523,374,4,0
values_679,374,28,0
values_419,374,6,0
values_895,374,10,0
values_298,374,6,0
values_155,374,28,0
values_12,374,2,0
values_160,374,4,0
values_626,374,16,0
values_38,374,14,0
values_146,374,8,0
values_81,374,24,0
values_687,374,16,0
values_213,374,26,0
values_212,374,4,0
values_568,374,6,0
values_5,374,22,0
values_40,374,14,0
values_970,374,8,0
values_707,374,28,0
values_406,374,18,0
values_893,374,8,0
values_144,374,24,0
values_979,374,28,0
values_831,374,6,0
values_402,374,22,0
values_404,374,14,0
values_310,374,18,0
values_70,374,10,0
values_268,374,6,0
values_412,374,18,0
values_290,374,8,0
values_916,374,14,0
values_567,374,24,0
values_913,374,24,0
values_232,374,16,0
values_319,374,14,0
values_23,374,16,0
values_899,374,20,0
values_428,374,18,0
values_858,374,22,0
values_546,374,10,0
values_432,374,18,0
values_231,374,26,0
values_388,374,2,0
values_350,374,14,0
values_603,374,22,0
values_364,374,6,0
values_530,374,20,0
values_72,374,26,0
values_536,374,2,0
values_79,374,26,0
values_342,374,26,0
values_803,374,26,0
values_501,374,14,0
values_540,374,24,0
values_955,374,28,0
values_191,374,4,0
values_812,374,12,0
values_545,374,18,0
values_78,374,8,0
values_526,374,6,0
values_695,374,20,0
values_87,374,28,0
values_300,374,4,0
values_964,374,28,0
values_998,374,12,0
values_988,374,12,0
values_6,374,16,0
values_625,374,14,0
values_518,374,16,0
values_122,374,26,0
values_541,374,18,0
values_279,374,28,0
values_256,374,24,0
values_796,374,28,0
values_504,374,24,0
values_752,374,6,0
values_459,374,28,0
values_658,374,6,0
values_408,374,20,0
values_867,374,2,0
values_727,374,28,0
values_177,374,22,0
values_823,374,22,0
values_822,374,26,0
values_218,374,26,0
values_426,374,28,0
values_776,374,8,0
values_143,374,4,0
values_739,374,20,0
values_312,374,18,0
values_174,374,10,0
values_669,374,8,0
values_120,374,14,0
values_974,374,18,0
values_217,374,24,0
values_866,374,28,0
values_192,374,10,0
values_328,374,14,0
values_68,374,6,0
values_387,374,8,0
values_69,374,2,0
values_749,374,12,0
values_135,374,26,0
values_341,374,2,0
values_494,374,12,0
values_1,374,10,0
values_589,374,10,0
values_925,374,16,0
values_524,374,12,0
values_994,374,4,0
values_856,374,24,0
values_156,374,10,0
values_470,374,24,0
values_207,374,2,0
values_655,374,4,0
values_441,374,16,0
values_109,374,24,0
values_45,374,18,0
values_125,374,8,0
values_600,374,8,0
values_708,374,12,0
values_791,374,20,0
values_912,374,24,0
values_533,374,8,0
values_418,374,26,0
values_228,374,4,0
values_585,374,28,0
values_465,374,24,0
values_239,374,14,0
values_842,374,28,0
values_208,374,16,0
values_932,374,20,0
values_957,374,14,0
values_563,374,4,0
values_766,374,18,0
values_476,374,6,0
values_175,374,26,0
values_591,374,14,0
values_997,374,28,0
values_385,374,16,0
values_115,374,24,0
values_653,374,18,0
values_753,374,8,0
values_241,374,14,0
