id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,11560,6962,581,19.897
values_505,10792,6490,543,19.875
values_924,1162,711,63,18.444
values_862,10676,6426,536,19.918
values_287,2102,1273,112,18.768
values_733,9596,5779,481,19.950
values_813,2762,1682,144,19.181
values_11,11416,6873,573,19.923
values_19,1308,790,73,17.918
values_999,13820,8319,690,20.029
values_134,1208,737,66,18.303
values_609,6860,4134,347,19.769
values_993,7788,4682,395,19.716
values_731,4384,2651,226,19.398
values_127,8452,5088,426,19.840
values_889,2656,1609,140,18.971
values_987,11902,7169,596,19.970
values_780,2092,1273,111,18.847
values_435,6214,3753,316,19.665
values_950,4640,2800,239,19.414
values_976,5922,3569,303,19.545
values_557,1900,1151,103,18.447
values_398,762,464,44,17.318
values_892,12534,7553,627,19.990
values_670,13008,7827,652,19.951
values_574,5118,3095,261,19.609
values_163,616,376,36,17.111
values_900,6748,4074,342,19.731
values_392,1208,737,66,18.303
values_447,778,475,44,17.682
values_523,364,224,22,16.545
values_679,14890,8959,741,20.094
values_419,968,590,55,17.600
values_895,2772,1673,147,18.857
values_298,732,449,41,17.854
values_155,15354,9233,765,20.071
values_12,248,151,17,14.588
values_160,410,250,25,16.400
values_626,4714,2851,243,19.399
values_38,4372,2637,225,19.431
values_146,1398,852,77,18.156
values_81,11084,6674,556,19.935
values_687,5428,3280,276,19.667
values_213,11452,6899,575,19.917
values_212,456,276,28,16.286
values_568,798,490,46,17.348
values_5,8418,5076,424,19.854
values_40,4094,2474,210,19.495
values_970,1270,774,69,18.406
values_707,14874,8948,741,20.073
values_406,6942,4186,352,19.722
values_893,1162,711,63,18.444
values_144,10382,6252,521,19.927
values_979,12342,7431,619,19.939
values_831,674,416,40,16.850
values_402,8422,5080,426,19.770
values_404,3102,1882,162,19.148
values_310,6628,3997,335,19.785
values_70,1622,988,88,18.432
values_268,1262,764,70,18.029
values_412,4814,2913,248,19.411
values_290,1378,837,75,18.373
values_916,3814,2304,198,19.263
values_567,10604,6389,532,19.932
values_913,10432,6282,526,19.833
values_232,5754,3476,291,19.773
values_319,3614,2189,186,19.430
values_23,5702,3439,289,19.730
values_899,6702,4048,339,19.770
values_428,7206,4345,364,19.797
values_858,8096,4884,411,19.698
values_546,2432,1473,129,18.853
values_432,4830,2924,248,19.476
values_231,11030,6647,552,19.982
values_388,202,125,14,14.429
values_350,4000,2415,207,19.324
values_603,8236,4969,417,19.751
values_364,1000,612,55,18.182
values_530,6546,3952,333,19.658
values_72,11432,6884,573,19.951
values_536,202,125,14,14.429
values_79,10672,6429,537,19.873
values_342,10956,6603,551,19.884
values_803,10286,6203,516,19.934
values_501,4098,2478,212,19.330
values_540,9870,5945,497,19.859
values_955,13566,8160,679,19.979
values_191,430,265,27,15.926
values_812,3048,1846,160,19.050
values_545,6430,3879,328,19.604
values_78,1548,937,84,18.429
values_526,546,338,32,17.062
values_695,7776,4692,392,19.837
values_87,14186,8530,709,20.008
values_300,456,276,28,16.286
values_964,14532,8741,726,20.017
values_998,2646,1609,139,19.036
values_988,2440,1483,128,19.062
values_6,5070,3062,261,19.425
values_625,3072,1867,159,19.321
values_518,4152,2514,214,19.402
values_122,11452,6899,575,19.917
values_541,6384,3853,325,19.643
values_279,12622,7601,631,20.003
values_256,11440,6885,574,19.930
values_796,14114,8493,705,20.020
values_504,8956,5401,452,19.814
values_752,1000,612,55,18.182
values_459,15090,9074,753,20.040
values_658,840,512,47,17.872
values_408,6830,4126,347,19.683
values_867,202,125,14,14.429
values_727,13242,7971,661,20.033
values_177,7952,4795,403,19.732
values_823,7798,4706,394,19.792
values_822,9696,5848,489,19.828
