id,clockCycles,assemblyInstr
values_242,75824,56926
values_505,57905,43406
values_924,482847,358978
values_862,409372,326859
values_287,2593133,1912472
values_733,825977,615201
values_813,788715,579258
values_11,78923,61076
values_19,17351,13249
values_999,58133,43590
values_134,17037,12988
values_609,131382,103499
values_993,30674,23643
values_731,2597143,1915641
values_127,260147,192880
values_889,827194,616129
values_987,57677,43222
values_780,69436,52099
values_435,54231,42348
values_950,411621,328847
values_976,68182,51087
values_557,3963,2872
values_398,42203,31553
values_892,8171,6004
values_670,995487,782804
values_574,1002004,788178
values_163,829677,618035
values_900,415279,331909
values_392,79892,61878
values_447,190309,150299
values_523,75254,56466
values_679,480168,356908
values_419,56879,42578
values_895,192379,152036
values_298,17107,13051
values_155,31003,23919
values_12,4037,2933
values_160,2596359,1914965
values_626,4014,2916
values_38,79636,61659
values_146,1538,1043
values_81,30743,23695
values_687,374569,297116
values_213,745247,609606
values_212,69265,51961
values_568,69322,52007
values_5,17157,13087
values_40,485395,360926
values_970,42203,31553
values_707,54099,42248
values_406,825503,614790
values_893,130407,102687
values_144,413762,330764
values_979,78611,60805
values_831,373699,296432
values_402,480690,357313
values_404,16972,12937
values_310,258767,191824
values_70,371968,295000
values_268,75368,56558
values_412,1882668,1386337
values_290,1901909,1401155
values_916,55113,43084
values_567,52645,43246
values_913,413084,330082
values_232,54110,42264
values_319,54080,42232
values_23,42431,31737
values_899,409783,327386
values_428,999795,786367
values_858,993692,781319
values_546,17115,13053
values_432,743613,608205
values_231,54555,42620
values_388,1886790,1389546
values_350,2598466,1916619
values_603,823382,613189
values_364,52990,39724
values_530,52197,42854
values_72,51237,42014
values_536,42203,31553
values_79,1538,1043
values_342,3986,2889
values_803,30559,23534
values_501,3963,2872
values_540,52933,39678
values_955,191730,151500
values_191,260166,192900
values_812,55452,43372
values_545,78230,60499
values_78,75311,56512
values_526,41975,31369
values_695,483888,359772
values_87,17016,12971
values_300,75596,56742
values_964,1891865,1393359
values_998,794732,583781
values_988,30397,23403
values_6,51557,42294
values_625,261324,193804
values_518,1902206,1401495
values_122,3982,2888
values_541,8474,6251
values_279,1896145,1396794
values_256,63475,47599
values_796,17121,13055
values_504,988528,777070
values_752,821255,611532
values_459,413450,330512
values_658,414622,331159
values_408,52306,39172
values_867,3963,2872
values_727,412796,329756
values_177,829690,618066
values_823,261858,194220
values_822,2587732,1908299
values_218,54776,42820
values_426,131343,103495
values_776,2605826,1922330
values_143,257829,191100
values_739,3982,2888
values_312,63190,47369
values_174,78738,60923
values_669,63874,47921
values_120,52648,39448
values_974,51301,42070
values_217,2594041,1913260
values_866,262690,194842
values_192,798796,586880
values_328,416202,332781
values_68,55135,43108
values_387,8142,5979
values_69,789640,579872
values_749,17202,13132
values_135,17294,13201
values_341,17219,13148
values_494,1893961,1395028
values_1,412402,329309
values_589,69265,51961
values_925,480639,357289
values_524,998870,785593
values_994,738681,604022
values_856,42488,31783
values_156,480100,356840
values_470,2590578,1910422
values_207,998020,784886
values_655,1538,1043
values_441,263648,195565
values_109,131254,103399
values_45,52306,39172
values_125,818086,609120
values_600,51173,41958
values_708,79146,61262
values_791,69436,52099
values_912,820294,610805
values_533,52261,42910
values_418,793877,583111
values_228,2612980,1927735
values_585,2585164,1906307
values_465,30716,23677
values_239,741811,606687
values_842,42773,32013
values_208,75539,56696
values_932,16719,12726
values_957,30447,23438
values_563,480908,357468
values_766,478937,355948
values_476,78909,61063
values_175,1582,1080
values_591,258383,191515
values_997,257226,190643
values_385,3963,2872
values_115,795235,584157
values_653,370291,293612
values_753,481517,357949
values_241,4041,2934
values_197,42431,31737
values_636,17383,13280
values_450,370392,293676
values_106,1538,1043
values_699,69208,51915
values_578,57335,42946
values_644,78714,60903
values_570,1888050,1390381
values_873,260626,193277
values_33,79526,61574
values_210,416468,333084
values_486,77542,59925
values_252,51621,42350
values_694,791866,581561
values_759,42545,31829
values_245,1893830,1395058
values_15,190425,150414
values_792,1887988,1390434
values_248,1900630,1400138
values_246,63931,47967
values_556,58133,43590
values_513,132060,104055
values_93,42317,31645
values_558,189279,149464
values_991,410884,328237
values_181,64330,48289
values_674,411169,328471
values_652,2598671,1916780
values_344,79345,61433
values_715,191125,150988
values_528,416413,332894
values_276,130775,102995
values_24,259802,192590
values_296,1294087,951732
values_244,989614,777982
values_380,481883,358231
values_25,55108,43092
values_740,3982,2888
values_478,743896,608467
values_379,1889376,1391478
values_810,69094,51823
values_440,54364,42468
values_543,793096,582452
values_130,8133,5967
values_225,53825,42036
values_285,79522,61568
values_363,479623,356470
values_667,1290907,949253
values_26,190778,150706
values_793,52249,39126
values_772,826331,615496
values_931,69208,51915
values_981,54349,42452
values_422,52933,39678
values_920,131335,103447
values_259,1892106,1393667
values_477,825376,614761
values_738,55424,43336
values_430,79774,61774
values_922,257700,190987
values_903,258844,191865
values_761,2601929,1919193
values_204,371840,294900
values_48,481079,357596
values_71,1582,1080
values_851,69436,52099
values_347,58247,43682
values_725,74855,56144
values_266,63304,47461
values_448,8147,5981
values_934,57848,43360
values_531,30800,23743
values_224,79261,61348
values_686,479784,356585
values_927,42602,31875
values_407,52325,42966
values_76,4092,2978
values_949,260612,193245
values_969,258614,191709
values_781,63190,47369
values_7,58076,43544
values_683,51877,42574
values_376,375217,297688
values_877,17263,13182
values_654,743326,607967
values_508,190725,150655
values_332,78857,61018
values_281,42716,31967
values_381,79603,61629
values_769,191969,151696
values_701,2591468,1911126
values_855,8392,6183
values_320,63247,47415
values_50,51685,42406
values_918,17101,13050
values_615,790450,580494
values_704,792533,582046
values_633,792241,581870
values_847,51749,42462
values_602,1289687,948358
values_399,2598566,1916669
values_22,62791,47047
values_313,32166,24883
values_375,31017,23923
values_963,17320,13230
values_168,69037,51777
values_226,42032,31415
values_190,410279,327874
values_429,262123,194386
values_236,17219,13148
values_777,188930,149187
values_909,482007,358303
values_438,130809,103035
values_607,52933,39678
values_717,1888304,1390724
values_782,483207,359230
values_258,3880,2800
values_872,1298077,954881
values_637,51685,42406
values_746,75140,56374
values_4,792840,582271
values_345,8282,6092
values_102,63475,47599
values_962,57107,42762
values_356,415279,331835
values_853,190356,150358
values_849,62848,47093
values_814,259795,192628
values_370,410124,327626
values_778,3912,2828
values_458,54382,42472
values_818,790334,580365
values_119,797141,585625
values_373,77988,60297
values_351,822661,612633
values_32,1293626,951390
values_770,52078,38988
values_371,4037,2933
values_283,8359,6153
values_535,69835,52421
values_250,268386,199238
values_132,1290496,949084
values_649,57905,43406
values_77,739206,604457
values_260,485848,361286
values_891,1002232,788377
values_91,69265,51961
values_137,8354,6151
values_42,76052,57110
values_13,820745,611189
values_577,796121,584866
values_41,743651,608242
values_809,75938,57018
values_414,131735,103791
values_360,819449,610179
values_386,75539,56696
values_158,1300374,956630
values_904,52325,42966
values_480,41975,31369
values_647,189852,149942
values_104,53786,41992
values_55,743436,608067
values_491,42602,31875
values_391,16919,12890
values_972,747478,611485
values_571,370093,293444
values_940,30785,23728
values_861,189934,150004
values_324,8253,6067
values_549,1582,1080
values_170,63532,47645
values_269,17001,12956
values_442,1582,1080
values_520,75653,56788
values_455,42830,32059
values_31,53654,41884
values_971,995488,782807
values_397,74855,56144
values_254,42773,32013
values_616,1293414,951275
values_66,989929,778189
values_943,17027,12986
values_117,4037,2933
values_451,1582,1080
values_643,1900149,1399866
values_688,411338,328506
values_569,1303390,959012
values_745,52261,42910
values_65,1889501,1391653
values_980,478475,355589
values_982,57620,43176
values_62,747506,611542
values_789,257498,190838
values_401,57848,43360
values_21,1301011,957183
values_598,52477,39310
values_273,2597981,1916257
values_534,411693,329143
values_118,1538,1043
values_141,821243,611547
values_366,133035,104867
values_222,819508,610199
values_876,991938,779886
values_700,130276,102599
