inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,24,10,78,116,14,121,60,34,97,44,68,63,10,11,12,13
values_505,24,10,107,82,72,14,105,97,89,76,98,105,18,80,105,40
values_924,24,10,81,107,126,110,13,122,25,88,40,52,80,125,119,72
values_862,24,10,113,64,116,86,11,61,86,60,10,11,101,23,63,12
values_287,24,10,84,105,33,116,49,12,30,98,35,28,25,100,24,100.0
values_733,24,10,81,45,78,88,34,14,46,66,123,30,102,112,106,59
values_813,24,10,70,103,117,110,71,50,73,105,84,10,11,12,13,14
values_11,24,10,47,107,40,86,62,87,70,123,24,100,87,57,100,124
values_19,24,10,65,111,19,11,95,18,68,72,25,51,10,11,12,13
values_999,24,10,37,54,98,80,118,28,104,47,28,47,111,119,128,107
values_134,24,10,119,37,89,51,73,87,51,90,39,15,10,11,12,13
values_609,24,10,93,100,17,34,29,124,93,83,72,58,10,11,12,13
values_993,24,10,71,21,114,51,57,40,42,32,99,88,10,11,12,13
values_731,24,10,75,31,38,83,84,62,13,69,81,123,73,99,28,39
values_127,24,10,44,114,57,29,59,31,55,43,28,66,10,11,12,13
values_889,24,10,25,123,124,104,19,46,39,10,61,11,10,11,12,13
values_987,24,10,124,88,83,99,99,99,35,69,31,93,10,11,12,13
values_780,24,10,96,120,116,101,14,56,106,111,95,76,117,119,70,51
values_435,24,10,16,26,93,49,30,75,70,95,10,11,12,13,14,15
values_950,24,10,78,57,111,11,99,117,93,69,92,10,11,12,13,92
values_976,24,10,118,44,64,41,19,17,55,72,94,77,10,11,12,13
values_557,24,10,22,102,11,85,106,16,22,19,40,41,10,11,72,117
values_398,24,10,47,84,10,106,78,61,23,47,37,10,11,12,13,14
values_892,24,10,116,63,25,61,55,126,95,96,120,65,23,18,106,54
values_670,24,10,122,33,85,68,36,17,73,124,87,49,80,16,12,47
values_574,24,10,115,93,49,41,39,29,42,89,25,105,71,40,12,70
values_163,24,10,46,26,45,12,87,83,127,45,75,89,10,11,12,13
values_900,24,10,11,79,37,64,47,67,76,61,102,14,21,121,112,18
values_392,24,10,91,123,71,33,29,116,109,123,16,21,24,119,51,23
values_447,24,10,121,113,121,67,55,103,78,110,19,10,11,12,13,14
values_523,24,10,81,75,84,89,75,90,67,51,14,69,118,23,15,42
values_679,24,10,77,16,76,121,99,57,100,24,79,72,37,20,12,84
values_419,24,10,68,71,28,116,40,98,70,117,14,39,10,11,12,13
values_895,24,10,83,119,46,124,74,68,21,99,95,54,121,27,125,92
values_298,24,10,57,81,126,72,86,63,65,49,65,107,10,11,12,13
values_155,24,10,16,115,16,24,12,42,24,41,107,13,80,78,16,122
values_12,24,10,27,13,16,71,117,48,103,94,32,10,11,12,13,14
values_160,24,10,19,44,21,80,52,66,27,114,88,72,10,11,12,13
values_626,24,10,126,22,93,17,115,107,83,97,94,10,11,12,13,14
values_38,24,10,122,64,33,73,25,79,101,120,37,42,10,11,12,13
values_146,24,10,98,65,24,90,75,103,89,117,117,81,127,75,66,56
values_81,24,10,68,103,107,49,100,119,67,116,63,52,10,11,12,13
values_687,24,10,10,68,59,50,33,93,34,35,28,25,100,24,100.0,24
values_213,24,10,46,114,30,40,32,61,35,51,107,10,11,12,13,14
values_212,24,10,21,46,36,99,40,69,91,11,28,22,10,11,12,13
values_568,24,10,107,49,32,63,124,68,44,88,94,10,11,12,13,14
values_5,24,10,90,117,90,54,111,104,85,43,90,76,10,11,12,13
values_40,24,10,117,42,102,86,34,107,39,54,73,36,10,11,12,13
values_970,24,10,55,10,93,43,100,107,56,23,104,14,10,11,12,13
values_707,24,10,93,109,82,99,114,88,59,97,65,56,30,121,124,107
values_406,24,10,111,81,102,72,41,94,44,125,27,61,10,11,12,13
values_893,24,10,49,87,42,109,94,90,74,107,127,10,11,12,13,88
values_144,24,10,88,64,11,17,73,23,79,67,86,35,10,11,12,13
values_979,24,10,85,127,43,14,126,34,119,10,11,12,13,14,15,16
values_831,24,10,113,93,121,48,65,58,109,18,39,12,83,18,43,12
values_402,24,10,48,13,126,76,111,54,32,19,23,47,10,11,12,106
values_404,24,10,40,31,51,100,76,56,53,69,52,50,10,11,12,13
values_310,24,10,53,41,37,18,102,50,35,70,107,10,11,12,13,14
values_70,24,10,42,59,42,104,82,28,35,28,25,100,24,100.0,24,100.0
values_268,24,10,41,122,116,50,76,114,97,108,91,99,117,102,32,73
values_412,24,10,107,49,55,121,101,68,86,82,89,43,10,11,12,13
values_290,24,10,113,107,37,86,96,28,123,18,35,28,25,100,24,100.0
values_916,24,10,121,65,20,105,64,24,12,128,96,10,11,108,93,41
values_567,24,10,72,106,99,29,54,72,75,65,77,10,11,12,13,14
values_913,24,10,60,119,86,51,56,63,101,108,35,91,97,59,74,79
values_232,24,10,50,44,122,57,84,101,34,29,32,10,11,12,13,14
values_319,24,10,72,66,55,73,109,74,78,14,28,10,11,12,13,14
values_23,24,10,53,35,100,35,121,20,36,10,11,12,13,14,15,16
values_899,24,10,25,58,49,89,78,74,92,25,82,57,126,72,79,71
values_428,24,10,52,119,60,92,28,69,87,95,112,10,11,12,13,14
values_858,24,10,81,114,26,83,99,35,56,59,117,49,102,119,25,67
values_546,24,10,46,114,118,25,114,23,118,116,81,10,11,12,13,14
values_432,24,10,41,101,118,68,107,113,42,24,77,70,112,95,121,25
values_231,24,10,93,63,113,120,36,106,126,22,57,116,10,11,12,13
values_388,24,10,41,30,98,21,89,113,121,126,28,55,57,27,39,41
values_350,24,10,65,66,61,58,124,64,49,71,55,121,126,17,17,103
values_603,24,10,57,113,42,111,116,24,83,99,121,35,126,14,21,65
values_364,24,10,91,72,44,113,113,30,43,104,24,32,123,122,91,93
values_530,24,10,75,127,64,113,106,90,25,16,10,11,12,13,14,15
values_72,24,10,54,28,22,33,66,124,99,63,126,111,78,12,37,29
values_536,24,10,78,34,106,20,87,79,17,123,71,36,10,11,12,13
values_79,24,10,30,120,17,55,16,66,12,125,21,62,95,66,78,111
values_342,24,10,37,75,83,12,60,66,78,119,22,102,91,81,23,47
values_803,24,10,44,70,71,76,77,118,72,22,10,11,12,13,14,15
values_501,24,10,128,75,53,26,38,92,34,17,80,93,25,64,27,56
values_540,24,10,53,118,40,110,43,14,50,111,23,32,10,11,12,13
values_955,24,10,123,26,19,14,70,13,85,79,47,29,10,46,114,82
values_191,24,10,59,109,123,80,74,44,10,117,108,35,56,19,35,63
values_812,24,10,88,27,35,101,46,98,124,78,48,10,11,12,13,14
values_545,24,10,42,108,93,121,126,16,100,79,108,10,11,12,13,14
values_78,24,10,91,51,36,82,19,17,42,74,120,10,11,12,13,14
values_526,24,10,54,96,54,57,127,47,12,102,84,93,11,59,81,20
values_695,24,10,86,108,39,79,76,37,102,87,46,50,10,11,12,13
values_87,24,10,107,71,127,112,109,123,31,50,90,10,11,12,13,14
values_300,24,10,20,34,40,65,111,77,109,26,55,10,11,12,13,14
values_964,24,10,117,80,76,42,100,23,93,110,41,83,10,11,12,13
values_998,24,10,28,37,93,29,43,92,114,16,88,33,10,11,12,13
values_988,24,10,103,65,58,63,97,41,55,104,19,80,10,11,12,13
values_6,24,10,82,78,100,18,10,27,66,38,86,10,11,12,13,14
values_625,24,10,119,29,110,31,87,122,115,43,90,74,31,91,23,12
values_518,24,10,31,72,98,29,17,26,76,92,30,108,51,126,44,87
values_122,24,10,26,114,13,80,89,49,34,12,10,10,11,12,13,14
values_541,24,10,54,114,36,50,103,78,33,100,37,112,10,11,12,13
values_279,24,10,115,45,12,87,73,119,85,101,127,10,11,12,13,14
values_256,24,10,63,44,100,40,108,27,94,28,61,26,92,66,70,97
values_796,24,10,79,55,22,123,29,39,77,121,114,10,63,13,35,115
values_504,24,10,125,120,52,45,44,63,63,86,36,103,43,38,37,29
values_752,24,10,74,122,27,56,120,128,117,28,19,98,41,41,27,13
values_459,24,10,124,92,89,108,127,117,80,72,105,112,66,88,21,52
values_658,24,10,108,75,107,28,21,86,29,97,21,10,11,12,13,14
values_408,24,10,92,74,11,13,90,70,77,127,118,10,11,12,13,14
