id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,3705020,2730209,12680,292.194
values_505,308337,222232,1240,248.659
values_924,138183,100287,560,246.755
values_862,1083525,792990,3920,276.409
values_287,4333,2700,40,108.325
values_733,139926,102012,560,249.868
values_813,,,29432,0
values_11,70135,48386,343,204.475
values_19,,,14847,0
values_999,182293,125027,855,213.208
values_134,,,25975,0
values_609,,,41615,0
values_993,,,37240,0
values_731,645249,474111,2328,277.169
values_127,2536560,1856878,9000,281.840
values_889,2720356,1920394,10735,253.410
values_987,,,17248,0
values_780,129170,92125,560,230.661
values_435,,,37240,0
values_950,1746160,1284010,6112,285.694
values_976,,,17248,0
values_557,1112996,819634,3920,283.928
values_398,,,19895,0
values_892,14914,9952,95,156.989
values_670,138101,100278,560,246.609
values_574,70594,48793,343,205.813
values_163,,,46320,0
values_900,40531,28872,192,211.099
values_392,15982,10906,95,168.232
values_447,,,29432,0
values_523,401862,280638,1727,232.694
values_679,15868,10749,95,167.032
values_419,,,19895,0
values_895,14408,9456,95,151.663
values_298,2572663,1890112,9000,285.851
values_155,398400,277046,1727,230.689
values_12,,,46320,0
values_160,,,41615,0
values_626,,,19895,0
values_38,2784135,1979313,10735,259.351
values_146,65477,44043,343,190.895
values_81,,,22800,0
values_687,4347,2715,40,108.675
values_213,2569507,1888290,9000,285.501
values_212,,,22800,0
values_568,,,33183,0
values_5,,,14847,0
values_40,,,25975,0
values_970,,,29432,0
values_707,640874,469771,2328,275.290
values_406,1877632,1324917,7463,251.592
values_893,1711767,1253810,6112,280.067
values_144,,,17248,0
values_979,,,33183,0
values_831,293781,208593,1240,236.920
values_402,1228263,866739,4935,248.888
values_404,,,46320,0
values_310,1816101,1270631,7463,243.347
values_70,6094,4320,40,152.350
values_268,623564,454937,2328,267.854
values_412,,,29432,0
values_290,4423,2783,40,110.575
values_916,1079234,790732,3920,275.315
values_567,,,29432,0
values_913,395640,274835,1727,229.091
values_232,1867498,1315080,7463,250.234
values_319,,,19895,0
values_23,,,37240,0
values_899,34546,23456,192,179.927
values_428,3660400,2691892,12680,288.675
values_858,631405,462293,2328,271.222
values_546,,,19895,0
values_432,60402,39514,343,176.099
values_231,3684852,2714106,12680,290.603
values_388,15280,10254,95,160.842
values_350,609531,442123,2328,261.826
values_603,140834,102777,560,251.489
values_364,382104,262936,1727,221.253
values_530,,,29432,0
values_72,173184,116864,855,202.554
values_536,3713796,2739434,12680,292.886
values_79,15929,10875,95,167.674
values_342,641840,471343,2328,275.704
values_803,2668171,1871445,10735,248.549
values_501,319888,232181,1240,257.974
values_540,3686147,2714876,12680,290.706
values_955,725203,507330,3055,237.382
values_191,129066,91754,560,230.475
values_812,1880655,1328973,7463,251.997
values_545,,,14847,0
values_78,3691133,2721443,12680,291.099
values_526,315564,228789,1240,254.487
values_695,,,22800,0
values_87,3692739,2721860,12680,291.225
values_300,2787859,1983235,10735,259.698
values_964,,,33183,0
values_998,,,37240,0
values_988,,,25975,0
values_6,,,17248,0
values_625,389065,268378,1727,225.284
values_518,373978,255230,1727,216.548
values_122,1889736,1334619,7463,253.214
values_541,,,29432,0
values_279,,,25975,0
values_256,71228,49394,343,207.662
values_796,722880,504209,3055,236.622
values_504,189169,131341,855,221.250
values_752,188561,130910,855,220.539
values_459,243182,161946,1240,196.115
values_658,2536828,1856445,9000,281.870
values_408,2743973,1940692,10735,255.610
values_867,2574007,1890088,9000,286.001
values_727,,,14847,0
values_177,2579895,1896763,9000,286.655
values_823,1057364,770211,3920,269.736
values_822,32498,21530,192,169.260
values_218,126262,89549,560,225.468
values_426,3673029,2702490,12680,289.671
values_776,391398,271070,1727,226.635
values_143,1173160,815712,4935,237.722
values_739,,,46320,0
values_312,,,19895,0
values_174,2582257,1899585,9000,286.917
values_669,1857063,1304932,7463,248.836
values_120,59012,38240,343,172.047
values_974,,,19895,0
values_217,,,46320,0
values_866,1936685,1379102,7463,259.505
values_192,1850544,1299645,7463,247.962
values_328,16215,11095,95,170.684
values_68,,,29432,0
values_387,,,46320,0
values_69,,,19895,0
values_749,,,25975,0
values_135,1051253,764196,3920,268.177
values_341,1907887,1353486,7463,255.646
values_494,,,22800,0
values_1,701180,484953,3055,229.519
values_589,171666,115383,855,200.779
values_925,,,22800,0
values_524,3695532,2722045,12680,291.446
values_994,311389,225076,1240,251.120
values_856,,,46320,0
