id,clockCycles,assemblyInstr
values_242,3705020,2730209
values_505,308337,222232
values_924,138183,100287
values_862,1083525,792990
values_287,4333,2700
values_733,139926,102012
values_813,,
values_11,70135,48386
values_19,,
values_999,182293,125027
values_134,,
values_609,,
values_993,,
values_731,645249,474111
values_127,2536560,1856878
values_889,2720356,1920394
values_987,,
values_780,129170,92125
values_435,,
values_950,1746160,1284010
values_976,,
values_557,1112996,819634
values_398,,
values_892,14914,9952
values_670,138101,100278
values_574,70594,48793
values_163,,
values_900,40531,28872
values_392,15982,10906
values_447,,
values_523,401862,280638
values_679,15868,10749
values_419,,
values_895,14408,9456
values_298,2572663,1890112
values_155,398400,277046
values_12,,
values_160,,
values_626,,
values_38,2784135,1979313
values_146,65477,44043
values_81,,
values_687,4347,2715
values_213,2569507,1888290
values_212,,
values_568,,
values_5,,
values_40,,
values_970,,
values_707,640874,469771
values_406,1877632,1324917
values_893,1711767,1253810
values_144,,
values_979,,
values_831,293781,208593
values_402,1228263,866739
values_404,,
values_310,1816101,1270631
values_70,6094,4320
values_268,623564,454937
values_412,,
values_290,4423,2783
values_916,1079234,790732
values_567,,
values_913,395640,274835
values_232,1867498,1315080
values_319,,
values_23,,
values_899,34546,23456
values_428,3660400,2691892
values_858,631405,462293
values_546,,
values_432,60402,39514
values_231,3684852,2714106
values_388,15280,10254
values_350,609531,442123
values_603,140834,102777
values_364,382104,262936
values_530,,
values_72,173184,116864
values_536,3713796,2739434
values_79,15929,10875
values_342,641840,471343
values_803,2668171,1871445
values_501,319888,232181
values_540,3686147,2714876
values_955,725203,507330
values_191,129066,91754
values_812,1880655,1328973
values_545,,
values_78,3691133,2721443
values_526,315564,228789
values_695,,
values_87,3692739,2721860
values_300,2787859,1983235
values_964,,
values_998,,
values_988,,
values_6,,
values_625,389065,268378
values_518,373978,255230
values_122,1889736,1334619
values_541,,
values_279,,
values_256,71228,49394
values_796,722880,504209
values_504,189169,131341
values_752,188561,130910
values_459,243182,161946
values_658,2536828,1856445
values_408,2743973,1940692
values_867,2574007,1890088
values_727,,
values_177,2579895,1896763
values_823,1057364,770211
values_822,32498,21530
values_218,126262,89549
values_426,3673029,2702490
values_776,391398,271070
values_143,1173160,815712
values_739,,
values_312,,
values_174,2582257,1899585
values_669,1857063,1304932
values_120,59012,38240
values_974,,
values_217,,
values_866,1936685,1379102
values_192,1850544,1299645
values_328,16215,11095
values_68,,
values_387,,
values_69,,
values_749,,
values_135,1051253,764196
values_341,1907887,1353486
values_494,,
values_1,701180,484953
values_589,171666,115383
values_925,,
values_524,3695532,2722045
values_994,311389,225076
values_856,,
values_156,638497,468449
values_470,,
values_207,,
values_655,63312,42194
values_441,1214704,854603
values_109,37183,25787
values_45,,
values_125,139158,101057
values_600,,
values_708,140135,102159
values_791,752603,531747
values_912,3663425,2694724
values_533,,
values_418,711896,494809
values_228,,
values_585,1730885,1272065
values_465,64612,43345
values_239,,
values_842,390036,270055
values_208,,
values_932,637808,468137
values_957,43277,31482
values_563,,
values_766,14073,9179
values_476,139304,101393
values_175,184989,127455
