id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,15597,10086,646,24.144
values_505,36185,23376,1354,26.725
values_924,39515,25611,1474,26.808
values_862,10850,6821,484,22.417
values_287,17052,11022,700,24.360
values_733,9346,5857,430,21.735
values_813,34579,22366,1294,26.723
values_11,12500,7930,538,23.234
values_19,32619,21099,1234,26.434
values_999,23835,15441,934,25.519
values_134,16930,10934,700,24.186
values_609,12512,7937,538,23.257
values_993,8245,5178,376,21.928
values_731,15696,10153,646,24.297
values_127,32890,21300,1234,26.653
values_889,12277,7757,538,22.820
values_987,10875,6844,484,22.469
values_780,32643,21121,1234,26.453
values_435,2574,1594,130,19.800
values_950,12437,7876,538,23.117
values_976,4678,2919,226,20.699
values_557,23673,15312,934,25.346
values_398,5827,3652,274,21.266
values_892,14241,9165,592,24.056
values_670,18590,12027,754,24.655
values_574,4728,2957,226,20.920
values_163,32778,21217,1234,26.562
values_900,20385,13193,814,25.043
values_392,36322,23482,1354,26.826
values_447,27213,17605,1054,25.819
values_523,3643,2270,178,20.466
values_679,8171,5126,376,21.731
values_419,30812,19927,1174,26.245
values_895,10987,6927,484,22.700
values_298,1659,1013,88,18.852
values_155,1647,1006,88,18.716
values_12,3655,2277,178,20.534
values_160,4678,2919,226,20.699
values_626,6890,4310,322,21.398
values_38,1709,1051,88,19.420
values_146,27068,17496,1054,25.681
values_81,3619,2256,178,20.331
values_687,20135,13003,814,24.736
values_213,34527,22326,1294,26.682
values_212,30842,19963,1174,26.271
values_568,16967,10964,700,24.239
values_5,17006,10996,700,24.294
values_40,15746,10199,646,24.375
values_970,6828,4265,322,21.205
values_707,18722,12120,754,24.830
values_406,18687,12100,754,24.784
values_893,5630,3503,274,20.547
values_144,36089,23304,1354,26.654
values_979,9616,6057,430,22.363
values_831,14118,9076,592,23.848
values_402,2513,1550,130,19.331
values_404,32421,20949,1234,26.273
values_310,10876,6845,484,22.471
values_70,17079,11047,700,24.399
values_268,25407,16430,994,25.560
values_412,5827,3652,274,21.266
values_290,28927,18704,1114,25.967
values_916,9479,5951,430,22.044
values_567,2574,1594,130,19.800
values_913,30887,19988,1174,26.309
values_232,27251,17636,1054,25.855
values_319,21773,14066,874,24.912
values_23,6893,4321,322,21.407
values_899,4678,2919,226,20.699
values_428,22068,14297,874,25.249
values_858,30789,19914,1174,26.226
values_546,1685,1037,88,19.148
values_432,5839,3659,274,21.310
values_231,30838,19951,1174,26.267
values_388,14206,9145,592,23.997
values_350,1685,1037,88,19.148
values_603,1697,1044,88,19.284
values_364,14080,9045,592,23.784
values_530,27237,17619,1054,25.842
values_72,16938,10929,700,24.197
values_536,18722,12120,754,24.830
values_79,34505,22322,1294,26.665
values_342,20435,13231,814,25.104
values_803,36191,23390,1354,26.729
values_501,819,492,46,17.804
values_540,12378,7842,538,23.007
values_955,37843,24557,1414,26.763
values_191,14154,9097,592,23.909
values_812,30841,19962,1174,26.270
values_545,2586,1601,130,19.892
values_78,14093,9053,592,23.806
values_526,807,485,46,17.543
values_695,23810,15418,934,25.493
values_87,39810,25844,1474,27.008
values_300,15498,10011,646,23.991
values_964,819,492,46,17.804
values_998,30637,19798,1174,26.096
values_988,12500,7930,538,23.234
values_6,12450,7892,538,23.141
values_625,5789,3621,274,21.128
values_518,6818,4260,322,21.174
values_122,15658,10130,646,24.238
values_541,34417,22245,1294,26.597
values_279,36360,23513,1354,26.854
values_256,36718,23774,1354,27.118
values_796,14177,9110,592,23.948
values_504,36433,23564,1354,26.908
values_752,5751,3590,274,20.989
values_459,4752,2971,226,21.027
values_658,32604,21081,1234,26.421
values_408,8195,5140,376,21.795
values_867,14167,9113,592,23.931
values_727,4640,2888,226,20.531
values_177,12451,7893,538,23.143
values_823,14019,9001,592,23.681
values_822,3631,2263,178,20.399
values_218,23272,15007,934,24.916
values_426,10665,6687,484,22.035
values_776,4666,2912,226,20.646
values_143,21958,14208,874,25.124
values_739,27150,17551,1054,25.759
values_312,36460,23589,1354,26.928
values_174,34605,22390,1294,26.743
values_669,3643,2270,178,20.466
values_120,14092,9052,592,23.804
values_974,6954,4365,322,21.596
values_217,1685,1037,88,19.148
values_866,819,492,46,17.804
values_192,17227,11159,700,24.610
values_328,37712,24454,1414,26.670
values_68,12350,7808,538,22.955
values_387,30776,19906,1174,26.215
values_69,1697,1044,88,19.284
values_749,5863,3673,274,21.398
values_135,819,492,46,17.804
values_341,18798,12182,754,24.931
values_494,10738,6738,484,22.186
values_1,9466,5943,430,22.014
values_589,12413,7862,538,23.072
values_925,6892,4320,322,21.404
values_524,25457,16476,994,25.611
values_994,9466,5943,430,22.014
values_856,5851,3666,274,21.354
values_156,27128,17539,1054,25.738
values_470,34345,22195,1294,26.542
values_207,16982,10974,700,24.260
values_655,15733,10183,646,24.354
values_441,27175,17574,1054,25.783
values_109,27002,17439,1054,25.619
values_45,12450,7892,538,23.141
values_125,25334,16379,994,25.487
values_600,36444,23570,1354,26.916
values_708,17204,11146,700,24.577
values_791,17051,11021,700,24.359
values_912,5839,3659,274,21.310
values_533,3643,2270,178,20.466
values_418,4728,2957,226,20.920
values_228,32554,21043,1234,26.381
values_585,20326,13151,814,24.971
values_465,12351,7809,538,22.957
values_239,23700,15337,934,25.375
values_842,5801,3628,274,21.172
values_208,1659,1013,88,18.852
values_932,2501,1543,130,19.238
values_957,32866,21286,1234,26.634
values_563,5789,3621,274,21.128
values_766,8219,5154,376,21.859
values_476,8195,5140,376,21.795
values_175,34415,22243,1294,26.596
values_591,14068,9038,592,23.764
values_997,8245,5178,376,21.928
values_385,14205,9144,592,23.995
values_115,29111,18837,1114,26.132
values_653,39575,25664,1474,26.849
values_753,32568,21060,1234,26.392
values_241,4652,2895,226,20.584
values_197,12524,7944,538,23.279
values_636,819,492,46,17.804
values_450,37749,24485,1414,26.697
values_106,23758,15370,934,25.437
values_699,807,485,46,17.543
values_578,25558,16553,994,25.712
values_644,37915,24617,1414,26.814
values_570,27189,17583,1054,25.796
values_873,28977,18750,1114,26.012
values_33,36520,23632,1354,26.972
values_210,17179,11123,700,24.541
values_486,30661,19812,1174,26.117
values_252,819,492,46,17.804
values_694,17128,11084,700,24.469
values_759,34430,22253,1294,26.607
values_245,6806,4253,322,21.137
values_15,2536,1563,130,19.508
values_792,32702,21155,1234,26.501
values_248,30910,19993,1174,26.329
values_246,22143,14350,874,25.335
values_556,14203,9134,592,23.992
values_513,22044,14275,874,25.222
values_93,27114,17530,1054,25.725
values_558,819,492,46,17.804
values_991,37865,24569,1414,26.779
values_181,25243,16299,994,25.395
values_674,1647,1006,88,18.716
values_652,5851,3666,274,21.354
values_344,34693,22467,1294,26.811
values_715,20412,13218,814,25.076
values_528,807,485,46,17.543
values_276,32591,21073,1234,26.411
values_24,4690,2926,226,20.752
values_296,12348,7806,538,22.952
values_244,1697,1044,88,19.284
values_380,36425,23569,1354,26.902
values_25,27014,17454,1054,25.630
values_740,28964,18734,1114,26.000
values_478,3605,2239,178,20.253
values_379,22070,14299,874,25.252
values_810,34555,22352,1294,26.704
values_440,29262,18960,1114,26.268
values_543,20438,13242,814,25.108
values_130,9466,5943,430,22.014
values_225,30802,19930,1174,26.237
values_285,27449,17778,1054,26.043
values_363,4617,2875,226,20.429
values_667,34463,22300,1294,26.633
values_26,6978,4379,322,21.671
values_793,10763,6761,484,22.238
values_772,17141,11092,700,24.487
values_931,21992,14235,874,25.162
values_981,12228,7720,538,22.729
values_422,25408,16431,994,25.561
values_920,1697,1044,88,19.284
values_259,21991,14226,874,25.161
values_477,3631,2263,178,20.399
values_738,5801,3628,274,21.172
values_430,807,485,46,17.543
values_922,27211,17595,1054,25.817
values_903,15720,10175,646,24.334
values_761,2574,1594,130,19.800
values_204,1647,1006,88,18.716
values_48,4666,2912,226,20.646
values_71,34517,22329,1294,26.675
values_851,18710,12113,754,24.814
values_347,8245,5178,376,21.928
values_725,14130,9083,592,23.868
values_266,36384,23535,1354,26.871
values_448,14154,9097,592,23.909
values_934,27017,17457,1054,25.633
values_531,5790,3622,274,21.131
values_224,30862,19965,1174,26.288
values_686,32555,21044,1234,26.382
values_927,819,492,46,17.804
values_407,29087,18823,1114,26.110
values_76,5690,3546,274,20.766
values_949,34533,22348,1294,26.687
values_969,2574,1594,130,19.800
values_781,5701,3552,274,20.807
values_7,14191,9127,592,23.971
values_683,36409,23550,1354,26.890
values_376,807,485,46,17.543
values_877,25516,16510,994,25.670
values_654,14205,9144,592,23.995
values_508,34385,22228,1294,26.573
values_332,17091,11054,700,24.416
values_281,30951,20043,1174,26.364
values_381,14127,9072,592,23.863
values_769,6844,4284,322,21.255
values_701,34593,22383,1294,26.733
