id,clockCycles,assemblyInstr
values_242,15597,10086
values_505,36185,23376
values_924,39515,25611
values_862,10850,6821
values_287,17052,11022
values_733,9346,5857
values_813,34579,22366
values_11,12500,7930
values_19,32619,21099
values_999,23835,15441
values_134,16930,10934
values_609,12512,7937
values_993,8245,5178
values_731,15696,10153
values_127,32890,21300
values_889,12277,7757
values_987,10875,6844
values_780,32643,21121
values_435,2574,1594
values_950,12437,7876
values_976,4678,2919
values_557,23673,15312
values_398,5827,3652
values_892,14241,9165
values_670,18590,12027
values_574,4728,2957
values_163,32778,21217
values_900,20385,13193
values_392,36322,23482
values_447,27213,17605
values_523,3643,2270
values_679,8171,5126
values_419,30812,19927
values_895,10987,6927
values_298,1659,1013
values_155,1647,1006
values_12,3655,2277
values_160,4678,2919
values_626,6890,4310
values_38,1709,1051
values_146,27068,17496
values_81,3619,2256
values_687,20135,13003
values_213,34527,22326
values_212,30842,19963
values_568,16967,10964
values_5,17006,10996
values_40,15746,10199
values_970,6828,4265
values_707,18722,12120
values_406,18687,12100
values_893,5630,3503
values_144,36089,23304
values_979,9616,6057
values_831,14118,9076
values_402,2513,1550
values_404,32421,20949
values_310,10876,6845
values_70,17079,11047
values_268,25407,16430
values_412,5827,3652
values_290,28927,18704
values_916,9479,5951
values_567,2574,1594
values_913,30887,19988
values_232,27251,17636
values_319,21773,14066
values_23,6893,4321
values_899,4678,2919
values_428,22068,14297
values_858,30789,19914
values_546,1685,1037
values_432,5839,3659
values_231,30838,19951
values_388,14206,9145
values_350,1685,1037
values_603,1697,1044
values_364,14080,9045
values_530,27237,17619
values_72,16938,10929
values_536,18722,12120
values_79,34505,22322
values_342,20435,13231
values_803,36191,23390
values_501,819,492
values_540,12378,7842
values_955,37843,24557
values_191,14154,9097
values_812,30841,19962
values_545,2586,1601
values_78,14093,9053
values_526,807,485
values_695,23810,15418
values_87,39810,25844
values_300,15498,10011
values_964,819,492
values_998,30637,19798
values_988,12500,7930
values_6,12450,7892
values_625,5789,3621
values_518,6818,4260
values_122,15658,10130
values_541,34417,22245
values_279,36360,23513
values_256,36718,23774
values_796,14177,9110
values_504,36433,23564
values_752,5751,3590
values_459,4752,2971
values_658,32604,21081
values_408,8195,5140
values_867,14167,9113
values_727,4640,2888
values_177,12451,7893
values_823,14019,9001
values_822,3631,2263
values_218,23272,15007
values_426,10665,6687
values_776,4666,2912
values_143,21958,14208
values_739,27150,17551
values_312,36460,23589
values_174,34605,22390
values_669,3643,2270
values_120,14092,9052
values_974,6954,4365
values_217,1685,1037
values_866,819,492
values_192,17227,11159
values_328,37712,24454
values_68,12350,7808
values_387,30776,19906
values_69,1697,1044
values_749,5863,3673
values_135,819,492
values_341,18798,12182
values_494,10738,6738
values_1,9466,5943
values_589,12413,7862
values_925,6892,4320
values_524,25457,16476
values_994,9466,5943
values_856,5851,3666
values_156,27128,17539
values_470,34345,22195
values_207,16982,10974
values_655,15733,10183
values_441,27175,17574
values_109,27002,17439
values_45,12450,7892
