inputName,text,data,bss
values_242,1238,2,0
values_505,1238,2,0
values_924,1238,2,0
values_862,1238,2,0
values_287,1238,2,0
values_733,1238,2,0
values_813,1238,2,0
values_11,1238,2,0
values_19,1238,2,0
values_999,1238,2,0
values_134,1238,2,0
values_609,1238,2,0
values_993,1238,2,0
values_731,1238,2,0
values_127,1238,2,0
values_889,1238,2,0
values_987,1238,2,0
values_780,1238,2,0
values_435,1238,2,0
values_950,1238,2,0
values_976,1238,2,0
values_557,1238,2,0
values_398,1238,2,0
values_892,1238,2,0
values_670,1238,2,0
values_574,1238,2,0
values_163,1238,2,0
values_900,1238,2,0
values_392,1238,2,0
values_447,1238,2,0
values_523,1238,2,0
values_679,1238,2,0
values_419,1238,2,0
values_895,1238,2,0
values_298,1238,2,0
values_155,1238,2,0
values_12,1238,2,0
values_160,1238,2,0
values_626,1238,2,0
values_38,1238,2,0
values_146,1238,2,0
values_81,1238,2,0
values_687,1238,2,0
values_213,1238,2,0
values_212,1238,2,0
values_568,1238,2,0
values_5,1238,2,0
values_40,1238,2,0
values_970,1238,2,0
values_707,1238,2,0
values_406,1238,2,0
values_893,1238,2,0
values_144,1238,2,0
values_979,1238,2,0
values_831,1238,2,0
values_402,1238,2,0
values_404,1238,2,0
values_310,1238,2,0
values_70,1238,2,0
values_268,1238,2,0
values_412,1238,2,0
values_290,1238,2,0
values_916,1238,2,0
values_567,1238,2,0
values_913,1238,2,0
values_232,1238,2,0
values_319,1238,2,0
values_23,1238,2,0
values_899,1238,2,0
values_428,1238,2,0
values_858,1238,2,0
values_546,1238,2,0
values_432,1238,2,0
values_231,1238,2,0
values_388,1238,2,0
values_350,1238,2,0
values_603,1238,2,0
values_364,1238,2,0
values_530,1238,2,0
values_72,1238,2,0
values_536,1238,2,0
values_79,1238,2,0
values_342,1238,2,0
values_803,1238,2,0
values_501,1238,2,0
values_540,1238,2,0
values_955,1238,2,0
values_191,1238,2,0
values_812,1238,2,0
values_545,1238,2,0
values_78,1238,2,0
values_526,1238,2,0
values_695,1238,2,0
values_87,1238,2,0
values_300,1238,2,0
values_964,1238,2,0
values_998,1238,2,0
values_988,1238,2,0
values_6,1238,2,0
values_625,1238,2,0
values_518,1238,2,0
values_122,1238,2,0
values_541,1238,2,0
values_279,1238,2,0
values_256,1238,2,0
values_796,1238,2,0
values_504,1238,2,0
values_752,1238,2,0
values_459,1238,2,0
values_658,1238,2,0
values_408,1238,2,0
values_867,1238,2,0
values_727,1238,2,0
values_177,1238,2,0
values_823,1238,2,0
values_822,1238,2,0
values_218,1238,2,0
values_426,1238,2,0
values_776,1238,2,0
values_143,1238,2,0
values_739,1238,2,0
values_312,1238,2,0
values_174,1238,2,0
values_669,1238,2,0
values_120,1238,2,0
values_974,1238,2,0
values_217,1238,2,0
values_866,1238,2,0
values_192,1238,2,0
values_328,1238,2,0
values_68,1238,2,0
values_387,1238,2,0
values_69,1238,2,0
values_749,1238,2,0
values_135,1238,2,0
values_341,1238,2,0
values_494,1238,2,0
values_1,1238,2,0
values_589,1238,2,0
values_925,1238,2,0
values_524,1238,2,0
values_994,1238,2,0
values_856,1238,2,0
values_156,1238,2,0
values_470,1238,2,0
values_207,1238,2,0
values_655,1238,2,0
values_441,1238,2,0
values_109,1238,2,0
values_45,1238,2,0
values_125,1238,2,0
values_600,1238,2,0
values_708,1238,2,0
values_791,1238,2,0
values_912,1238,2,0
values_533,1238,2,0
values_418,1238,2,0
values_228,1238,2,0
values_585,1238,2,0
values_465,1238,2,0
values_239,1238,2,0
values_842,1238,2,0
values_208,1238,2,0
values_932,1238,2,0
values_957,1238,2,0
values_563,1238,2,0
values_766,1238,2,0
values_476,1238,2,0
values_175,1238,2,0
values_591,1238,2,0
values_997,1238,2,0
values_385,1238,2,0
values_115,1238,2,0
values_653,1238,2,0
values_753,1238,2,0
values_241,1238,2,0
values_197,1238,2,0
values_636,1238,2,0
values_450,1238,2,0
values_106,1238,2,0
values_699,1238,2,0
values_578,1238,2,0
values_644,1238,2,0
values_570,1238,2,0
values_873,1238,2,0
values_33,1238,2,0
values_210,1238,2,0
values_486,1238,2,0
values_252,1238,2,0
values_694,1238,2,0
values_759,1238,2,0
values_245,1238,2,0
values_15,1238,2,0
values_792,1238,2,0
values_248,1238,2,0
values_246,1238,2,0
values_556,1238,2,0
values_513,1238,2,0
values_93,1238,2,0
values_558,1238,2,0
values_991,1238,2,0
values_181,1238,2,0
values_674,1238,2,0
values_652,1238,2,0
values_344,1238,2,0
values_715,1238,2,0
values_528,1238,2,0
values_276,1238,2,0
values_24,1238,2,0
values_296,1238,2,0
values_244,1238,2,0
values_380,1238,2,0
values_25,1238,2,0
values_740,1238,2,0
values_478,1238,2,0
values_379,1238,2,0
values_810,1238,2,0
values_440,1238,2,0
values_543,1238,2,0
values_130,1238,2,0
