id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,1109,861,12,92.417
values_505,1115,866,12,92.917
values_924,1099,851,11,99.909
values_862,1115,866,12,92.917
values_287,1115,866,12,92.917
values_733,1115,866,12,92.917
values_813,1099,851,11,99.909
values_11,1099,851,11,99.909
values_19,1129,876,11,102.636
values_999,1099,851,11,99.909
values_134,1129,876,11,102.636
values_609,1115,866,12,92.917
values_993,1115,866,12,92.917
values_731,1109,861,12,92.417
values_127,1099,851,11,99.909
values_889,1115,866,12,92.917
values_987,1099,851,11,99.909
values_780,1099,851,11,99.909
values_435,1105,856,11,100.455
values_950,1105,856,11,100.455
values_976,1099,851,11,99.909
values_557,1129,876,11,102.636
values_398,1099,851,11,99.909
values_892,1129,876,11,102.636
values_670,1109,861,12,92.417
values_574,1115,866,12,92.917
values_163,1099,851,11,99.909
values_900,1129,876,11,102.636
values_392,1109,861,12,92.417
values_447,1099,851,11,99.909
values_523,1109,861,12,92.417
values_679,1115,866,12,92.917
values_419,1109,861,12,92.417
values_895,1105,856,11,100.455
values_298,1109,861,12,92.417
values_155,1109,861,12,92.417
values_12,1115,866,12,92.917
values_160,1105,856,11,100.455
values_626,1105,856,11,100.455
values_38,1109,861,12,92.417
values_146,1109,861,12,92.417
values_81,1115,866,12,92.917
values_687,1109,861,12,92.417
values_213,1099,851,11,99.909
values_212,1115,866,12,92.917
values_568,1115,866,12,92.917
values_5,1109,861,12,92.417
values_40,1129,876,11,102.636
values_970,1115,866,12,92.917
values_707,1115,866,12,92.917
values_406,1115,866,12,92.917
values_893,1115,866,12,92.917
values_144,1115,866,12,92.917
values_979,1115,866,12,92.917
values_831,1099,851,11,99.909
values_402,1109,861,12,92.417
values_404,1109,861,12,92.417
values_310,1115,866,12,92.917
values_70,1115,866,12,92.917
values_268,1099,851,11,99.909
values_412,1109,861,12,92.417
values_290,1099,851,11,99.909
values_916,1099,851,11,99.909
values_567,1099,851,11,99.909
values_913,1099,851,11,99.909
values_232,1115,866,12,92.917
values_319,1115,866,12,92.917
values_23,1129,876,11,102.636
values_899,1115,866,12,92.917
values_428,1115,866,12,92.917
values_858,1115,866,12,92.917
values_546,1115,866,12,92.917
values_432,1129,876,11,102.636
values_231,1115,866,12,92.917
values_388,1105,856,11,100.455
values_350,1115,866,12,92.917
values_603,1109,861,12,92.417
values_364,1109,861,12,92.417
values_530,1105,856,11,100.455
values_72,1115,866,12,92.917
values_536,1115,866,12,92.917
values_79,1099,851,11,99.909
values_342,1109,861,12,92.417
values_803,1115,866,12,92.917
values_501,1109,861,12,92.417
values_540,1129,876,11,102.636
values_955,1105,856,11,100.455
values_191,1099,851,11,99.909
values_812,1109,861,12,92.417
values_545,1109,861,12,92.417
values_78,1109,861,12,92.417
values_526,1115,866,12,92.917
values_695,1109,861,12,92.417
values_87,1105,856,11,100.455
values_300,1109,861,12,92.417
values_964,1099,851,11,99.909
values_998,1115,866,12,92.917
values_988,1115,866,12,92.917
values_6,1099,851,11,99.909
values_625,1105,856,11,100.455
values_518,1109,861,12,92.417
values_122,1115,866,12,92.917
values_541,1109,861,12,92.417
values_279,1099,851,11,99.909
values_256,1115,866,12,92.917
values_796,1105,856,11,100.455
values_504,1105,856,11,100.455
values_752,1109,861,12,92.417
values_459,1109,861,12,92.417
values_658,1105,856,11,100.455
values_408,1115,866,12,92.917
values_867,1115,866,12,92.917
values_727,1115,866,12,92.917
values_177,1129,876,11,102.636
values_823,1115,866,12,92.917
values_822,1099,851,11,99.909
values_218,1109,861,12,92.417
values_426,1129,876,11,102.636
values_776,1115,866,12,92.917
values_143,1109,861,12,92.417
values_739,1109,861,12,92.417
values_312,1129,876,11,102.636
values_174,1105,856,11,100.455
values_669,1099,851,11,99.909
values_120,1109,861,12,92.417
values_974,1109,861,12,92.417
values_217,1115,866,12,92.917
values_866,1129,876,11,102.636
values_192,1109,861,12,92.417
values_328,1115,866,12,92.917
values_68,1115,866,12,92.917
values_387,1099,851,11,99.909
values_69,1129,876,11,102.636
values_749,1109,861,12,92.417
values_135,1109,861,12,92.417
values_341,1105,856,11,100.455
values_494,1115,866,12,92.917
values_1,1129,876,11,102.636
values_589,1115,866,12,92.917
values_925,1115,866,12,92.917
values_524,1099,851,11,99.909
values_994,1109,861,12,92.417
values_856,1115,866,12,92.917
values_156,1129,876,11,102.636
values_470,1115,866,12,92.917
values_207,1129,876,11,102.636
values_655,1109,861,12,92.417
values_441,1129,876,11,102.636
values_109,1129,876,11,102.636
values_45,1129,876,11,102.636
values_125,1109,861,12,92.417
values_600,1099,851,11,99.909
values_708,1099,851,11,99.909
values_791,1115,866,12,92.917
values_912,1109,861,12,92.417
values_533,1099,851,11,99.909
values_418,1115,866,12,92.917
values_228,1099,851,11,99.909
values_585,1109,861,12,92.417
values_465,1129,876,11,102.636
values_239,1129,876,11,102.636
values_842,1105,856,11,100.455
values_208,1109,861,12,92.417
values_932,1099,851,11,99.909
values_957,1105,856,11,100.455
values_563,1115,866,12,92.917
values_766,1129,876,11,102.636
values_476,1115,866,12,92.917
values_175,1105,856,11,100.455
values_591,1109,861,12,92.417
values_997,1109,861,12,92.417
values_385,1109,861,12,92.417
values_115,1109,861,12,92.417
values_653,1115,866,12,92.917
values_753,1115,866,12,92.917
