id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,2809,1727,177,15.870
values_505,1310,802,72,18.194
values_924,8801,5426,406,21.677
values_862,1054,646,58,18.172
values_287,5213,3201,264,19.746
values_733,7221,4442,373,19.359
values_813,4592,2824,244,18.820
values_11,4744,2925,252,18.825
values_19,7676,4731,360,21.322
values_999,2580,1592,206,12.524
values_134,10639,6537,337,31.570
values_609,1855,1137,100,18.550
values_993,3962,2447,198,20.010
values_731,3242,1990,153,21.190
values_127,3046,1869,145,21.007
values_889,7706,4742,345,22.336
values_987,4149,2552,219,18.945
values_780,5986,3674,324,18.475
values_435,2699,1663,119,22.681
values_950,10347,6368,454,22.791
values_976,2065,1276,102,20.245
values_557,4409,2718,218,20.225
values_398,3603,2215,189,19.063
values_892,7207,4437,361,19.964
values_670,7274,4491,372,19.554
values_574,8282,5092,441,18.780
values_163,8518,5247,402,21.189
values_900,1054,646,58,18.172
values_392,982,598,56,17.536
values_447,2617,1612,123,21.276
values_523,4479,2752,243,18.432
values_679,4107,2523,250,16.428
values_419,8350,5151,446,18.722
values_895,2527,1561,157,16.096
values_298,2624,1620,208,12.615
values_155,9544,5873,477,20.008
values_12,4633,2855,255,18.169
values_160,5767,3543,286,20.164
values_626,695,429,36,19.306
values_38,4542,2799,269,16.885
values_146,10149,6231,346,29.332
values_81,5857,3611,282,20.770
values_687,5638,3472,268,21.037
values_213,3708,2286,261,14.207
values_212,8072,4972,392,20.592
values_568,7507,4619,361,20.795
values_5,5293,3258,257,20.595
values_40,695,429,36,19.306
values_970,9767,6007,481,20.306
values_707,6834,4204,316,21.627
values_406,6022,3707,296,20.345
values_893,4395,2717,277,15.866
values_144,2294,1416,128,17.922
values_979,1253,767,70,17.900
values_831,5832,3587,284,20.535
values_402,5499,3385,266,20.673
values_404,10158,6247,461,22.035
values_310,1332,818,70,19.029
values_70,3166,1953,233,13.588
values_268,1054,646,58,18.172
values_412,1689,1048,101,16.723
values_290,2158,1325,114,18.930
values_916,3603,2215,189,19.063
values_567,7280,4492,373,19.517
values_913,421,263,22,19.136
values_232,2580,1592,179,14.413
values_319,5892,3624,287,20.530
values_23,6175,3806,297,20.791
values_899,3500,2156,266,13.158
values_428,695,429,36,19.306
values_858,3610,2218,191,18.901
values_546,2747,1689,129,21.295
values_432,7944,4885,418,19.005
values_231,7334,4503,312,23.506
values_388,1388,847,78,17.795
values_350,421,263,22,19.136
values_603,4230,2610,218,19.404
values_364,695,429,36,19.306
