id,clockCycles,assemblyInstr
values_242,7172,4528
values_505,1954,1233
values_924,7746,4907
values_862,7422,4683
values_287,1934,1219
values_733,3565,2250
values_813,701,439
values_11,836,523
values_19,5095,3222
values_999,2489,1564
values_134,2467,1556
values_609,6372,4027
values_993,8224,5196
values_731,4668,2954
values_127,8183,5181
values_889,1577,990
values_987,2941,1856
values_780,3828,2413
values_435,2478,1561
values_950,9425,5962
values_976,4510,2847
values_557,6828,4320
values_398,2036,1287
values_892,938,587
values_670,2954,1857
values_574,2325,1464
values_163,4001,2527
values_900,6634,4188
values_392,7944,5025
values_447,604,379
values_523,1871,1176
values_679,4806,3031
values_419,1618,1015
values_895,604,379
values_298,7123,4501
values_155,5395,3408
values_12,563,354
values_160,1381,867
values_626,4533,2861
values_38,8144,5152
values_146,3896,2458
values_81,1496,937
values_687,4101,2587
values_213,6199,3928
values_212,3628,2294
values_568,7312,4619
values_5,2675,1684
values_40,387,245
values_970,4241,2679
values_707,2699,1700
values_406,3695,2333
values_893,2010,1263
values_144,6858,4334
values_979,7762,4923
values_831,8197,5188
values_402,5633,3564
values_404,2547,1604
values_310,1040,651
values_70,6886,4347
values_268,1435,898
values_412,4485,2836
values_290,1040,651
values_916,563,354
values_567,1638,1029
values_913,7274,4612
values_232,8273,5236
values_319,8156,5156
values_23,1455,912
values_899,2506,1579
values_428,6261,3966
values_858,4127,2603
values_546,1360,856
values_432,6421,4061
values_231,3082,1936
values_388,387,245
values_350,1211,756
values_603,2491,1566
values_364,5153,3257
values_530,1218,764
values_72,3913,2474
values_536,7396,4675
values_79,4208,2656
values_342,3660,2313
values_803,6997,4426
values_501,2893,1824
values_540,5632,3559
values_955,7236,4582
values_191,387,245
values_812,3126,1967
values_545,5369,3392
values_78,660,414
values_526,3354,2117
values_695,2344,1475
values_87,2384,1501
values_300,3705,2339
values_964,5562,3520
values_998,4207,2656
values_988,5363,3389
values_6,2160,1359
values_625,762,478
values_518,3698,2333
values_122,2141,1350
values_541,2012,1267
values_279,4194,2643
values_256,742,464
values_796,3387,2143
values_504,3895,2457
values_752,8520,5397
values_459,8433,5333
values_658,387,245
values_408,2654,1675
values_867,604,379
values_727,4106,2593
values_177,2562,1611
values_823,1516,951
values_822,1831,1156
values_218,8742,5530
values_426,4864,3073
values_776,7722,4880
values_143,6853,4334
values_739,3705,2336
values_312,2404,1511
values_174,6419,4053
values_669,7417,4691
values_120,2731,1720
values_974,1279,803
values_217,4410,2781
values_866,5996,3791
values_192,5540,3504
values_328,8137,5151
values_68,8416,5329
values_387,6142,3884
values_69,1455,912
values_749,6122,3862
values_135,1790,1131
values_341,864,542
values_494,762,478
values_1,6736,4266
values_589,6198,3914
values_925,5692,3593
values_524,7099,4492
values_994,4558,2880
values_856,5501,3478
values_156,5998,3790
values_470,2631,1654
values_207,4408,2789
values_655,1986,1249
values_441,3434,2165
values_109,6355,4014
values_45,1292,809
values_125,1157,725
values_600,2774,1743
values_708,5727,3623
values_791,864,542
values_912,2868,1805
values_533,1279,803
values_418,1577,990
values_228,4865,3075
values_585,2116,1329
values_465,2799,1764
values_239,994,622
values_842,4481,2821
values_208,1259,789
values_932,4532,2859
values_957,7963,5028
values_563,803,503
values_766,5654,3575
values_476,5233,3304
values_175,5241,3319
values_591,5344,3374
values_997,387,245
values_385,4520,2858
values_115,2982,1881
values_653,8596,5444
values_753,701,439
values_241,2531,1588
values_197,4640,2927
values_636,7850,4967
values_450,5638,3565
values_106,5345,3375
values_699,6218,3943
values_578,2654,1673
values_644,5127,3236
values_570,2604,1641
values_873,6238,3948
values_33,4303,2720
values_210,4091,2585
values_486,5750,3629
values_252,604,379
values_694,7521,4760
values_759,4620,2916
values_245,7943,5030
values_15,2539,1600
values_792,5437,3437
values_248,428,270
values_246,1996,1259
values_556,3675,2310
values_513,4342,2739
values_93,7537,4770
values_558,1991,1254
values_991,2856,1801
values_181,1781,1118
values_674,4028,2539
values_652,823,517
values_344,5442,3440
values_715,4159,2627
values_528,6207,3924
values_276,8001,5055
values_24,4000,2526
values_296,1177,739
values_244,3539,2236
values_380,4600,2899
values_25,2075,1304
values_740,1557,976
values_478,2370,1493
values_379,1238,778
values_810,3609,2277
values_440,7199,4542
values_543,428,270
values_130,604,379
values_225,502,315
values_285,6662,4214
values_363,2679,1688
values_667,1812,1141
values_26,4092,2588
values_793,7977,5052
values_772,3938,2487
values_931,8984,5679
values_981,1976,1247
values_422,1811,1138
values_920,5462,3452
values_259,3186,2007
values_477,604,379
values_738,6498,4111
values_430,5743,3633
values_922,3007,1896
values_903,721,453
values_761,2943,1850
values_204,2325,1462
values_48,2499,1572
values_71,4748,2998
values_851,5637,3563
values_347,4851,3064
values_725,1710,1081
values_266,4158,2628
values_448,7489,4743
values_934,5548,3502
values_531,7605,4815
values_224,7076,4479
values_686,645,404
values_927,7728,4896
values_407,7377,4668
values_76,4204,2652
values_949,8216,5204
values_969,5137,3244
values_781,8015,5069
values_7,8142,5157
values_683,2396,1511
values_376,6251,3952
values_877,1577,990
values_654,4686,2957
values_508,8868,5611
values_332,1101,690
values_281,1848,1165
values_381,502,315
values_769,6251,3956
values_701,428,270
values_855,387,245
values_320,2881,1816
values_50,4963,3131
values_918,6305,3983
values_615,502,315
values_704,775,484
values_633,6892,4361
values_847,8038,5086
values_602,5406,3416
values_399,4467,2826
values_22,4242,2677
values_313,428,270
values_375,1101,690
values_963,502,315
values_168,3433,2162
values_226,7680,4858
values_190,387,245
values_429,8619,5455
values_236,823,517
values_777,6966,4403
values_909,3507,2214
values_438,1060,665
values_607,1807,1140
values_717,7359,4659
values_782,7520,4751
values_258,1769,1114
values_872,4442,2806
values_637,1157,725
values_746,5535,3498
values_4,3776,2380
values_345,6216,3933
values_102,7798,4937
values_962,5105,3214
values_356,2549,1604
values_853,2697,1700
values_849,1137,711
values_814,660,414
values_370,6858,4341
values_778,2099,1322
values_458,5916,3746
values_818,4238,2679
values_119,5782,3649
values_373,7028,4438
values_351,543,340
values_32,604,379
values_770,5138,3241
values_371,6992,4424
values_283,4581,2894
values_535,2417,1522
values_250,2344,1475
values_132,2936,1849
values_649,6225,3930
values_77,6963,4403
values_260,1040,651
values_891,6037,3820
values_91,8362,5297
values_137,1867,1176
values_42,938,587
values_13,6064,3827
values_577,3950,2493
values_41,2131,1342
values_809,701,439
values_414,4974,3145
values_360,2359,1486
values_386,1381,867
values_158,979,612
values_904,823,517
values_480,6484,4097
values_647,5839,3692
values_104,2948,1857
values_55,2121,1336
values_491,8137,5153
values_391,2864,1803
values_972,1157,725
values_571,1932,1215
values_940,7732,4886
values_861,6891,4361
values_324,1137,711
values_549,4112,2602
values_170,4663,2951
values_269,6708,4240
values_442,7525,4763
values_520,6420,4068
values_455,2763,1740
values_31,5869,3699
values_971,1873,1178
values_397,1239,775
values_254,387,245
values_616,2817,1776
values_66,645,404
values_943,2119,1334
values_117,7634,4827
values_451,2675,1688
values_643,6144,3881
values_688,4865,3064
values_569,660,414
values_745,1259,789
values_65,502,315
values_980,2648,1667
values_982,3584,2259
values_62,2179,1374
values_789,5894,3735
values_401,3140,1984
values_21,1842,1157
values_598,897,562
values_273,5595,3536
values_534,5544,3504
values_118,5974,3779
values_141,428,270
values_366,6656,4209
values_222,5308,3359
values_876,6586,4165
values_700,5457,3456
values_95,563,354
values_806,2087,1314
values_671,3842,2424
values_816,1035,647
values_630,6047,3824
values_433,2943,1850
values_905,864,542
values_84,2035,1284
values_233,3109,1960
values_664,3896,2465
values_162,6046,3824
values_681,645,404
values_542,7036,4443
values_169,823,517
values_660,7400,4682
values_488,1076,672
values_894,2316,1457
values_828,2842,1791
values_537,5935,3751
values_845,4372,2757
values_584,7881,4979
values_457,2977,1879
values_499,3188,2009
values_369,5286,3336
values_58,6536,4136
values_64,2052,1293
values_196,8098,5124
values_462,4758,3007
values_343,3364,2126
values_262,2434,1531
values_966,5040,3179
values_261,3909,2464
values_349,7668,4856
values_263,7226,4564
values_801,6930,4383
values_292,2318,1459
values_786,428,270
values_101,3046,1918
values_691,5083,3210
values_926,6140,3882
values_754,3877,2447
values_215,3893,2459
values_977,599,375
values_850,7767,4914
values_646,2119,1340
values_628,7761,4921
values_941,387,245
values_353,6364,4024
values_690,7681,4865
values_961,4246,2682
values_331,2844,1793
values_377,4871,3078
values_128,2650,1673
values_336,3881,2447
values_632,5017,3173
values_166,2322,1463
values_744,660,414
values_837,3831,2417
values_807,4804,3029
values_838,6524,4133
values_723,5229,3304
values_874,7183,4544
values_627,3225,2036
values_555,2085,1312
values_446,599,375
values_716,3842,2430
values_240,1019,640
values_140,7197,4545
values_317,5111,3229
values_83,1116,700
values_696,4479,2829
values_413,8707,5519
values_94,2039,1286
values_937,428,270
values_199,2796,1765
values_596,3350,2111
values_0,1496,937
values_953,4862,3071
values_906,4446,2802
values_742,2610,1643
values_396,1852,1167
values_159,979,612
values_238,8597,5445
values_136,5446,3445
values_915,5692,3600
values_99,2568,1617
values_771,5414,3425
values_96,1708,1075
values_768,8197,5189
values_67,2098,1319
values_565,428,270
values_848,4605,2906
values_114,1910,1207
values_61,8745,5529
values_511,4221,2662
values_729,6875,4338
values_460,604,379
values_832,3550,2242
values_348,1767,1112
values_182,1381,867
values_986,3515,2214
values_180,4790,3028
values_930,502,315
values_274,5645,3564
values_309,1116,700
values_496,1442,906
values_165,5658,3571
values_553,4423,2792
values_870,5194,3285
values_795,7142,4520
values_361,645,404
values_302,3025,1908
values_586,7009,4433
values_880,8362,5300
values_665,604,379
values_527,999,626
values_372,2326,1461
values_382,823,517
values_43,6969,4402
values_935,3056,1927
values_2,3263,2063
values_790,6272,3962
values_152,7295,4608
values_871,1618,1015
values_434,7263,4603
values_775,6400,4043
values_500,1952,1229
values_220,8007,5060
values_875,2652,1673
values_249,2017,1274
values_808,4631,2924
values_859,2446,1539
values_539,2488,1565
values_635,3911,2466
values_311,2589,1632
values_183,5752,3633
values_54,7845,4969
values_390,3525,2223
values_890,4533,2860
values_711,1162,729
values_471,2671,1682
values_995,5810,3675
values_443,1496,937
values_464,782,492
values_774,1157,725
values_200,2350,1479
values_747,7753,4910
values_758,1557,976
values_30,2282,1437
values_820,2121,1336
values_393,2650,1673
values_576,3432,2159
values_445,1455,912
values_662,5963,3765
values_403,8514,5395
values_640,1259,789
values_59,5848,3695
values_490,543,340
values_194,3271,2062
values_751,6840,4323
values_663,4594,2897
values_938,7336,4633
values_532,979,612
values_885,7299,4630
values_713,701,439
values_193,864,542
values_650,4503,2840
values_564,387,245
values_267,1679,1054
values_147,3229,2034
values_709,4052,2555
values_857,2679,1688
values_334,5356,3386
values_965,7869,4979
values_824,8683,5491
values_784,3907,2460
values_229,3023,1904
values_538,3767,2374
values_463,8261,5226
values_741,8459,5362
values_85,2591,1634
values_493,4495,2845
values_794,7682,4867
values_202,4397,2779
values_74,7677,4861
values_410,2433,1526
values_469,2548,1603
values_394,7524,4751
values_149,3895,2462
values_945,2449,1540
values_293,7308,4622
values_456,3214,2024
values_975,6319,3994
values_547,1394,873
values_164,762,478
values_720,4183,2635
values_833,2684,1689
values_90,1401,881
values_954,4483,2825
values_483,2450,1543
values_990,4157,2627
values_113,2516,1583
values_878,3930,2481
values_942,2688,1691
values_126,1537,962
values_666,5397,3409
values_960,3762,2373
values_783,387,245
values_735,1930,1215
values_439,3918,2475
values_860,1912,1201
values_18,2338,1473
values_173,5030,3176
values_454,5527,3484
values_176,6073,3839
values_698,5553,3511
values_869,3064,1933
values_697,6405,4047
values_509,8483,5373
values_189,1889,1190
values_714,4075,2568
values_270,5985,3778
values_863,7327,4631
values_548,7430,4701
values_359,3290,2082
values_512,7952,5034
values_656,4567,2884
values_684,7345,4649
values_171,823,517
values_675,6105,3857
values_657,5787,3651
values_333,1455,912
values_599,5595,3540
values_129,7854,4974
values_886,7172,4543
values_107,6633,4195
values_272,1019,640
values_52,6068,3840
values_819,5219,3299
values_682,5378,3396
values_44,2206,1387
values_914,5828,3689
values_346,7434,4703
values_151,3944,2494
values_550,2298,1445
values_326,1121,704
values_836,387,245
values_437,721,453
values_984,5596,3527
values_17,2197,1382
values_748,897,562
values_581,4803,3036
values_705,2139,1348
values_121,1060,665
values_219,3656,2307
values_321,8131,5140
values_843,6313,3986
values_606,6260,3952
values_898,645,404
values_601,5396,3413
values_36,1577,990
values_282,7657,4850
values_395,2011,1268
values_449,4618,2914
values_209,428,270
values_956,6794,4301
values_579,2196,1383
values_484,3297,2084
values_521,5034,3178
values_617,1333,834
values_516,3739,2359
values_358,6365,4022
values_335,1394,873
values_139,5051,3187
values_992,3716,2343
values_211,2945,1854
values_507,6627,4183
values_921,7239,4580
values_138,7700,4870
values_275,6102,3851
values_614,1177,739
values_49,604,379
values_227,6085,3840
values_203,4267,2691
values_172,1973,1240
values_86,3785,2392
values_178,3800,2400
values_978,2776,1751
values_253,5797,3664
values_291,428,270
