inputName,text,data,bss
values_242,918,24,0
values_505,918,18,0
values_924,918,14,0
values_862,918,8,0
values_287,918,4,0
values_733,918,6,0
values_813,918,2,0
values_11,918,20,0
values_19,918,22,0
values_999,918,8,0
values_134,918,14,0
values_609,918,18,0
values_993,918,20,0
values_731,918,4,0
values_127,918,16,0
values_889,918,18,0
values_987,918,14,0
values_780,918,10,0
values_435,918,28,0
values_950,918,14,0
values_976,918,26,0
values_557,918,22,0
values_398,918,16,0
values_892,918,8,0
values_670,918,20,0
values_574,918,16,0
values_163,918,6,0
values_900,918,18,0
values_392,918,12,0
values_447,918,24,0
values_523,918,12,0
values_679,918,2,0
values_419,918,26,0
values_895,918,14,0
values_298,918,2,0
values_155,918,18,0
values_12,918,14,0
values_160,918,20,0
values_626,918,16,0
values_38,918,16,0
values_146,918,8,0
values_81,918,24,0
values_687,918,6,0
values_213,918,18,0
values_212,918,6,0
values_568,918,16,0
values_5,918,8,0
values_40,918,22,0
values_970,918,20,0
values_707,918,28,0
values_406,918,28,0
values_893,918,14,0
values_144,918,14,0
values_979,918,20,0
values_831,918,28,0
values_402,918,12,0
values_404,918,22,0
values_310,918,10,0
values_70,918,18,0
values_268,918,10,0
values_412,918,18,0
values_290,918,8,0
values_916,918,6,0
values_567,918,14,0
values_913,918,14,0
values_232,918,28,0
values_319,918,28,0
values_23,918,16,0
values_899,918,4,0
values_428,918,8,0
values_858,918,16,0
values_546,918,26,0
values_432,918,16,0
values_231,918,18,0
values_388,918,6,0
values_350,918,26,0
values_603,918,12,0
values_364,918,24,0
values_530,918,6,0
values_72,918,4,0
values_536,918,8,0
values_79,918,12,0
values_342,918,6,0
values_803,918,14,0
values_501,918,12,0
values_540,918,26,0
values_955,918,8,0
values_191,918,16,0
values_812,918,28,0
values_545,918,8,0
values_78,918,10,0
values_526,918,16,0
values_695,918,10,0
values_87,918,10,0
values_300,918,16,0
values_964,918,24,0
values_998,918,24,0
values_988,918,20,0
values_6,918,22,0
values_625,918,22,0
values_518,918,14,0
values_122,918,18,0
values_541,918,14,0
values_279,918,26,0
values_256,918,22,0
values_796,918,20,0
values_504,918,26,0
values_752,918,24,0
values_459,918,10,0
values_658,918,10,0
values_408,918,20,0
values_867,918,8,0
values_727,918,28,0
values_177,918,12,0
values_823,918,14,0
values_822,918,8,0
values_218,918,20,0
values_426,918,16,0
values_776,918,18,0
values_143,918,12,0
values_739,918,2,0
values_312,918,10,0
values_174,918,20,0
values_669,918,20,0
values_120,918,4,0
values_974,918,14,0
values_217,918,16,0
values_866,918,4,0
values_192,918,14,0
values_328,918,12,0
values_68,918,8,0
values_387,918,8,0
values_69,918,20,0
values_749,918,18,0
values_135,918,14,0
values_341,918,12,0
values_494,918,8,0
values_1,918,28,0
values_589,918,8,0
values_925,918,20,0
values_524,918,14,0
values_994,918,22,0
values_856,918,16,0
values_156,918,16,0
values_470,918,20,0
values_207,918,20,0
values_655,918,10,0
values_441,918,28,0
values_109,918,28,0
values_45,918,16,0
values_125,918,24,0
values_600,918,22,0
values_708,918,18,0
values_791,918,4,0
values_912,918,4,0
values_533,918,10,0
values_418,918,24,0
values_228,918,6,0
values_585,918,8,0
values_465,918,6,0
values_239,918,22,0
values_842,918,10,0
values_208,918,8,0
values_932,918,12,0
values_957,918,10,0
values_563,918,26,0
values_766,918,12,0
values_476,918,6,0
values_175,918,4,0
values_591,918,16,0
values_997,918,12,0
values_385,918,12,0
values_115,918,10,0
values_653,918,18,0
values_753,918,14,0
values_241,918,16,0
values_197,918,20,0
values_636,918,22,0
values_450,918,26,0
values_106,918,24,0
values_699,918,12,0
values_578,918,4,0
values_644,918,6,0
values_570,918,16,0
values_873,918,10,0
values_33,918,2,0
values_210,918,22,0
values_486,918,26,0
values_252,918,18,0
values_694,918,14,0
values_759,918,10,0
values_245,918,22,0
values_15,918,22,0
values_792,918,26,0
values_248,918,10,0
values_246,918,10,0
values_556,918,4,0
values_513,918,22,0
values_93,918,20,0
values_558,918,26,0
values_991,918,22,0
values_181,918,14,0
values_674,918,18,0
values_652,918,12,0
values_344,918,14,0
values_715,918,26,0
values_528,918,10,0
values_276,918,18,0
values_24,918,4,0
values_296,918,16,0
values_244,918,18,0
values_380,918,24,0
values_25,918,10,0
values_740,918,28,0
values_478,918,18,0
values_379,918,22,0
values_810,918,8,0
values_440,918,26,0
values_543,918,4,0
values_130,918,24,0
values_225,918,20,0
values_285,918,8,0
values_363,918,8,0
values_667,918,12,0
values_26,918,14,0
values_793,918,8,0
values_772,918,20,0
values_931,918,28,0
values_981,918,22,0
values_422,918,24,0
values_920,918,4,0
values_259,918,2,0
values_477,918,20,0
values_738,918,18,0
values_430,918,4,0
values_922,918,14,0
values_903,918,8,0
values_761,918,4,0
values_204,918,26,0
values_48,918,2,0
values_71,918,4,0
values_851,918,16,0
values_347,918,6,0
values_725,918,14,0
values_266,918,8,0
values_448,918,10,0
values_934,918,8,0
values_531,918,10,0
values_224,918,28,0
values_686,918,14,0
values_927,918,28,0
values_407,918,22,0
values_76,918,10,0
values_949,918,4,0
values_969,918,20,0
values_781,918,16,0
values_7,918,12,0
values_683,918,18,0
values_376,918,20,0
values_877,918,12,0
values_654,918,16,0
values_508,918,18,0
values_332,918,18,0
values_281,918,20,0
values_381,918,10,0
values_769,918,10,0
values_701,918,26,0
values_855,918,18,0
values_320,918,26,0
values_50,918,8,0
values_918,918,6,0
values_615,918,10,0
values_704,918,14,0
values_633,918,20,0
values_847,918,6,0
values_602,918,16,0
values_399,918,12,0
values_22,918,12,0
values_313,918,20,0
values_375,918,16,0
values_963,918,18,0
values_168,918,20,0
values_226,918,16,0
values_190,918,24,0
values_429,918,12,0
values_236,918,22,0
values_777,918,8,0
values_909,918,12,0
values_438,918,4,0
values_607,918,6,0
values_717,918,2,0
values_782,918,24,0
values_258,918,18,0
values_872,918,6,0
values_637,918,16,0
values_746,918,4,0
values_4,918,24,0
values_345,918,22,0
values_102,918,6,0
values_962,918,2,0
values_356,918,10,0
values_853,918,4,0
values_849,918,24,0
values_814,918,16,0
values_370,918,4,0
values_778,918,12,0
values_458,918,22,0
values_818,918,20,0
values_119,918,24,0
values_373,918,14,0
values_351,918,4,0
values_32,918,14,0
values_770,918,14,0
values_371,918,18,0
values_283,918,26,0
values_535,918,22,0
values_250,918,10,0
values_132,918,12,0
values_649,918,10,0
values_77,918,24,0
values_260,918,8,0
values_891,918,16,0
values_91,918,4,0
