id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,655,446,40,16.375
values_505,11953,8372,721,16.578
values_924,15081,10556,912,16.536
values_862,507,348,31,16.355
values_287,14274,9947,878,16.257
values_733,14557,10108,909,16.014
values_813,12398,8662,754,16.443
values_11,1605,1116,98,16.378
values_19,5139,3563,319,16.110
values_999,15489,10756,966,16.034
values_134,593,403,38,15.605
values_609,8311,5780,512,16.232
values_993,13936,9717,854,16.319
values_731,9354,6565,560,16.704
values_127,1667,1159,100,16.670
values_889,14617,10140,914,15.992
values_987,13836,9748,814,16.998
values_780,8509,5987,501,16.984
values_435,15549,10788,971,16.013
values_950,655,446,40,16.375
values_976,9868,6841,618,15.968
values_557,7602,5292,467,16.278
values_398,7279,5046,455,15.998
values_892,12331,8601,752,16.398
values_670,507,348,31,16.355
values_574,12647,8919,741,17.067
values_163,6460,4491,398,16.231
values_900,15721,10941,972,16.174
values_392,14903,10370,920,16.199
values_447,10359,7295,609,17.010
values_523,1841,1280,111,16.586
values_679,5936,4117,368,16.130
values_419,507,348,31,16.355
values_895,655,446,40,16.375
values_298,8292,5743,520,15.946
values_155,3954,2756,240,16.475
values_12,9720,6774,595,16.336
values_160,1000,693,60,16.667
values_626,2983,2081,180,16.572
values_38,6713,4650,420,15.983
values_146,5334,3732,319,16.721
values_81,2638,1834,160,16.488
values_687,8056,5610,493,16.341
values_213,9647,6812,562,17.165
values_212,2809,1960,169,16.621
values_568,6203,4353,369,16.810
values_5,10433,7253,648,16.100
values_40,9439,6550,588,16.053
values_970,15969,11097,994,16.065
values_707,16561,11590,1004,16.495
values_406,5270,3678,320,16.469
values_893,1044,726,62,16.839
values_144,6288,4424,371,16.949
values_979,12037,8459,718,16.765
values_831,11015,7648,686,16.057
values_402,1625,1137,95,17.105
values_404,2100,1472,124,16.935
values_310,2939,2048,178,16.511
values_70,13772,9605,842,16.356
values_268,1088,759,64,17.000
values_412,655,446,40,16.375
values_290,5095,3530,317,16.073
values_916,2228,1549,136,16.382
values_567,9955,6954,603,16.509
values_913,9032,6334,539,16.757
values_232,1346,924,85,15.835
values_319,1625,1137,95,17.105
values_23,9549,6617,600,15.915
values_899,8613,5978,535,16.099
values_428,6929,4793,436,15.892
values_858,8985,6263,548,16.396
values_546,9765,6791,602,16.221
values_432,6962,4864,420,16.576
values_231,1088,759,64,17.000
values_388,4835,3354,299,16.171
values_350,12504,8738,758,16.496
values_603,15039,10491,920,16.347
values_364,5792,4041,353,16.408
values_530,10753,7535,644,16.697
values_72,914,638,53,17.245
values_536,2851,1982,174,16.385
values_79,5399,3739,337,16.021
values_342,6160,4347,359,17.159
values_803,2334,1625,140,16.671
values_501,2402,1670,147,16.340
values_540,9782,6786,611,16.010
values_955,4084,2844,249,16.402
values_191,5484,3810,339,16.177
values_812,13082,9111,802,16.312
values_545,14923,10480,890,16.767
values_78,3459,2400,214,16.164
values_526,19408,13433,1228,15.805
values_695,4387,3069,264,16.617
values_87,1623,1126,98,16.561
values_300,7297,5056,455,16.037
values_964,3649,2520,228,16.004
values_998,5745,4044,335,17.149
values_988,8383,5804,526,15.937
values_6,1777,1226,112,15.866
values_625,4367,3079,253,17.261
values_518,1623,1126,98,16.561
values_122,10084,6984,634,15.905
values_541,5920,4118,365,16.219
