id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,8616,5808,445,19.362
values_505,4830,3253,255,18.941
values_924,2565,1725,138,18.587
values_862,3063,2062,166,18.452
values_287,3057,2058,164,18.640
values_733,477,316,29,16.448
values_813,19431,13103,975,19.929
values_11,16948,11428,861,19.684
values_19,271,178,18,15.056
values_999,6234,4200,330,18.891
values_134,8619,5810,446,19.325
values_609,1704,1144,96,17.750
values_993,16966,11440,867,19.569
values_731,3060,2060,165,18.545
values_127,3057,2058,164,18.640
values_889,11412,7693,581,19.642
values_987,477,316,29,16.448
values_780,708,473,42,16.857
values_435,2101,1413,115,18.270
values_950,2107,1417,117,18.009
values_976,268,176,17,15.765
values_557,3604,2426,190,18.968
values_398,4194,2825,224,18.723
values_892,15729,10605,790,19.910
values_670,4845,3263,260,18.635
values_574,5500,3706,291,18.900
values_163,13522,9116,694,19.484
values_900,7801,5257,410,19.027
values_392,12462,8402,645,19.321
values_447,705,471,41,17.195
values_523,5503,3708,292,18.846
values_679,12429,8380,634,19.604
values_419,15798,10651,813,19.432
values_895,18228,12290,934,19.516
values_298,19497,13147,997,19.556
values_155,7780,5243,403,19.305
values_12,6198,4176,318,19.491
values_160,6207,4182,321,19.336
values_626,19473,13131,989,19.690
values_38,16978,11448,871,19.493
values_146,2098,1411,114,18.404
values_81,1317,884,74,17.797
values_687,14595,9841,741,19.696
values_213,15774,10635,805,19.595
values_212,5500,3706,291,18.900
values_568,4815,3243,250,19.260
values_5,1698,1140,94,18.064
values_40,1320,886,75,17.600
values_970,14598,9843,742,19.674
values_707,1692,1136,92,18.391
values_406,4830,3253,255,18.941
values_893,4188,2821,222,18.865
values_144,15714,10595,785,20.018
values_979,19464,13125,986,19.740
values_831,6198,4176,318,19.491
values_402,16930,11416,855,19.801
values_404,19491,13143,995,19.589
values_310,1317,884,74,17.797
values_70,1314,882,73,18.000
values_268,4836,3257,257,18.817
values_412,1701,1142,95,17.905
values_290,2577,1733,142,18.148
values_916,6228,4196,328,18.988
values_567,10438,7037,536,19.474
values_913,6228,4196,328,18.988
values_232,11406,7689,579,19.699
values_319,15768,10631,803,19.636
values_23,2565,1725,138,18.587
