id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,138102,103314,780,177.054
values_505,82758,60990,491,168.550
values_924,172748,126200,1048,164.836
values_862,22736,16438,188,120.936
values_287,172748,126200,1032,167.391
values_733,169393,126954,935,181.169
values_813,82758,60990,516,160.384
values_11,172748,126200,1023,168.864
values_19,138102,103314,771,179.121
values_999,5888,4250,51,115.451
values_134,293264,218066,1635,179.366
values_609,82758,60990,491,168.550
values_993,106094,78196,623,170.295
values_731,82758,60990,491,168.550
values_127,9518,7000,88,108.159
values_889,73940,54952,431,171.555
values_987,279336,209388,1523,183.412
values_780,279336,209388,1523,183.412
values_435,22736,16438,172,132.186
values_950,54480,40482,332,164.096
values_976,138102,103314,796,173.495
values_557,73940,54952,431,171.555
values_398,30126,22188,191,157.728
values_892,54480,40482,332,164.096
values_670,239648,179630,1311,182.798
values_574,9518,7000,71,134.056
values_163,65022,48624,375,173.392
values_900,18374,13526,123,149.382
values_392,82758,60990,500,165.516
values_447,46710,34922,284,164.472
values_523,3558,2610,35,101.657
values_679,3558,2610,105,33.886
values_419,46710,34922,300,155.700
values_895,169393,126954,944,179.442
values_298,18374,13526,123,149.382
values_155,293264,218066,1635,179.366
values_12,106094,78196,623,170.295
values_160,22736,16438,155,146.684
values_626,138102,103314,771,179.121
values_38,65022,48624,384,169.328
values_146,138102,103314,771,179.121
values_81,239648,179630,1311,182.798
values_687,106094,78196,632,167.870
values_213,82758,60990,508,162.909
values_212,239648,179630,1311,182.798
values_568,89456,64718,555,161.182
values_5,3558,2610,44,80.864
values_40,82758,60990,524,157.935
values_970,169393,126954,968,174.993
values_707,201942,151094,1132,178.394
values_406,240860,175972,1415,170.219
values_893,13908,10320,104,133.731
values_144,279336,209388,1523,183.412
values_979,9518,7000,71,134.056
values_831,150128,111610,860,174.567
values_402,3558,2610,35,101.657
values_404,89456,64718,555,161.182
values_310,169393,126954,960,176.451
values_70,65022,48624,400,162.555
values_268,65022,48624,384,169.328
values_412,18374,13526,140,131.243
values_290,279336,209388,1532,182.334
values_916,138102,103314,780,177.054
values_567,138102,103314,771,179.121
values_913,82758,60990,508,162.909
values_232,13908,10320,112,124.179
values_319,138102,103314,780,177.054
values_23,172748,126200,1023,168.864
values_899,46710,34922,300,155.700
values_428,89456,64718,555,161.182
values_858,201942,151094,1115,181.114
values_546,172748,126200,1048,164.836
values_432,65022,48624,375,173.392
values_231,106094,78196,623,170.295
values_388,65022,48624,375,173.392
values_350,30126,22188,216,139.472
values_603,82758,60990,491,168.550
values_364,138102,103314,771,179.121
values_530,37988,28220,231,164.450
values_72,293264,218066,1668,175.818
values_536,172748,126200,1032,167.391
values_79,172748,126200,1023,168.864
values_342,89456,64718,564,158.610
values_803,37988,28220,272,139.662
values_501,3558,2610,35,101.657
values_540,82758,60990,491,168.550
values_955,169393,126954,935,181.169
values_191,46710,34922,275,169.855
values_812,13908,10320,95,146.400
values_545,201942,151094,1115,181.114
values_78,54480,40482,323,168.669
values_526,3558,2610,44,80.864
values_695,54480,40482,340,160.235
values_87,89456,64718,555,161.182
values_300,240860,175972,1415,170.219
values_964,106094,78196,632,167.870
values_998,239648,179630,1311,182.798
