id,clockCycles,assemblyInstr
values_242,138102,103314
values_505,82758,60990
values_924,172748,126200
values_862,22736,16438
values_287,172748,126200
values_733,169393,126954
values_813,82758,60990
values_11,172748,126200
values_19,138102,103314
values_999,5888,4250
values_134,293264,218066
values_609,82758,60990
values_993,106094,78196
values_731,82758,60990
values_127,9518,7000
values_889,73940,54952
values_987,279336,209388
values_780,279336,209388
values_435,22736,16438
values_950,54480,40482
values_976,138102,103314
values_557,73940,54952
values_398,30126,22188
values_892,54480,40482
values_670,239648,179630
values_574,9518,7000
values_163,65022,48624
values_900,18374,13526
values_392,82758,60990
values_447,46710,34922
values_523,3558,2610
values_679,3558,2610
values_419,46710,34922
values_895,169393,126954
values_298,18374,13526
values_155,293264,218066
values_12,106094,78196
values_160,22736,16438
values_626,138102,103314
values_38,65022,48624
values_146,138102,103314
values_81,239648,179630
values_687,106094,78196
values_213,82758,60990
values_212,239648,179630
values_568,89456,64718
values_5,3558,2610
values_40,82758,60990
values_970,169393,126954
values_707,201942,151094
values_406,240860,175972
values_893,13908,10320
values_144,279336,209388
values_979,9518,7000
values_831,150128,111610
values_402,3558,2610
values_404,89456,64718
values_310,169393,126954
values_70,65022,48624
values_268,65022,48624
values_412,18374,13526
values_290,279336,209388
values_916,138102,103314
values_567,138102,103314
values_913,82758,60990
values_232,13908,10320
values_319,138102,103314
values_23,172748,126200
values_899,46710,34922
values_428,89456,64718
values_858,201942,151094
values_546,172748,126200
values_432,65022,48624
values_231,106094,78196
values_388,65022,48624
values_350,30126,22188
values_603,82758,60990
values_364,138102,103314
values_530,37988,28220
values_72,293264,218066
values_536,172748,126200
values_79,172748,126200
values_342,89456,64718
values_803,37988,28220
values_501,3558,2610
values_540,82758,60990
values_955,169393,126954
values_191,46710,34922
values_812,13908,10320
values_545,201942,151094
values_78,54480,40482
values_526,3558,2610
values_695,54480,40482
values_87,89456,64718
values_300,240860,175972
values_964,106094,78196
values_998,239648,179630
values_988,89456,64718
values_6,138102,103314
values_625,5888,4250
values_518,279336,209388
values_122,46710,34922
values_541,1592,1144
values_279,240860,175972
values_256,172748,126200
values_796,201942,151094
values_504,46710,34922
values_752,22736,16438
values_459,3558,2610
values_658,65022,48624
values_408,9518,7000
values_867,239648,179630
values_727,121764,90516
values_177,13908,10320
values_823,89456,64718
values_822,54480,40482
values_218,89456,64718
values_426,89456,64718
values_776,73940,54952
values_143,106094,78196
values_739,73940,54952
values_312,150128,111610
values_174,1592,1144
values_669,5888,4250
values_120,18374,13526
values_974,201942,151094
values_217,279336,209388
values_866,169393,126954
values_192,18374,13526
values_328,82758,60990
values_68,3558,2610
values_387,138102,103314
values_69,279336,209388
values_749,169393,126954
values_135,89456,64718
values_341,239648,179630
values_494,46710,34922
values_1,121764,90516
values_589,106094,78196
values_925,89456,64718
values_524,239648,179630
values_994,279336,209388
values_856,138102,103314
values_156,201942,151094
values_470,89456,64718
values_207,30126,22188
values_655,73940,54952
values_441,138102,103314
values_109,201942,151094
values_45,82758,60990
values_125,37988,28220
values_600,65022,48624
values_708,22736,16438
values_791,201942,151094
values_912,89456,64718
values_533,22736,16438
values_418,22736,16438
values_228,121764,90516
values_585,5888,4250
values_465,5888,4250
values_239,18374,13526
values_842,9518,7000
values_208,73940,54952
values_932,18374,13526
values_957,82758,60990
values_563,46710,34922
values_766,172748,126200
values_476,46710,34922
values_175,73940,54952
values_591,239648,179630
values_997,73940,54952
values_385,121764,90516
values_115,73940,54952
values_653,22736,16438
values_753,22736,16438
values_241,9518,7000
values_197,3558,2610
values_636,239648,179630
values_450,54480,40482
values_106,13908,10320
values_699,239648,179630
values_578,293264,218066
values_644,138102,103314
values_570,150128,111610
values_873,37988,28220
values_33,106094,78196
values_210,46710,34922
values_486,89456,64718
values_252,13908,10320
values_694,138102,103314
values_759,293264,218066
values_245,3558,2610
values_15,73940,54952
values_792,22736,16438
values_248,138102,103314
values_246,89456,64718
values_556,37988,28220
values_513,138102,103314
values_93,30126,22188
values_558,240860,175972
values_991,13908,10320
values_181,150128,111610
values_674,201942,151094
values_652,37988,28220
values_344,150128,111610
values_715,54480,40482
values_528,240860,175972
values_276,82758,60990
values_24,240860,175972
values_296,240860,175972
values_244,3558,2610
values_380,65022,48624
values_25,5888,4250
values_740,150128,111610
values_478,215760,160422
values_379,37988,28220
values_810,18374,13526
values_440,54480,40482
values_543,5888,4250
values_130,201942,151094
values_225,82758,60990
values_285,82758,60990
values_363,73940,54952
values_667,89456,64718
values_26,3558,2610
values_793,5888,4250
values_772,150128,111610
values_931,13908,10320
values_981,121764,90516
values_422,240860,175972
values_920,73940,54952
values_259,1592,1144
values_477,1592,1144
values_738,22736,16438
values_430,106094,78196
values_922,22736,16438
values_903,82758,60990
values_761,279336,209388
values_204,73940,54952
values_48,239648,179630
values_71,172748,126200
values_851,5888,4250
values_347,5888,4250
values_725,121764,90516
values_266,5888,4250
values_448,1592,1144
values_934,9518,7000
values_531,240860,175972
values_224,9518,7000
values_686,89456,64718
values_927,138102,103314
values_407,13908,10320
values_76,65022,48624
values_949,54480,40482
values_969,5888,4250
values_781,279336,209388
values_7,5888,4250
values_683,89456,64718
values_376,22736,16438
values_877,22736,16438
values_654,201942,151094
values_508,172748,126200
values_332,121764,90516
values_281,73940,54952
values_381,9518,7000
values_769,172748,126200
values_701,46710,34922
values_855,150128,111610
values_320,1592,1144
values_50,215760,160422
values_918,65022,48624
values_615,30126,22188
values_704,37988,28220
values_633,18374,13526
values_847,215760,160422
values_602,293264,218066
values_399,172748,126200
values_22,293264,218066
values_313,18374,13526
values_375,279336,209388
values_963,3558,2610
values_168,65022,48624
values_226,172748,126200
values_190,121764,90516
values_429,169393,126954
values_236,37988,28220
values_777,279336,209388
values_909,293264,218066
values_438,240860,175972
values_607,46710,34922
values_717,106094,78196
values_782,46710,34922
values_258,37988,28220
values_872,1592,1144
values_637,172748,126200
values_746,18374,13526
values_4,89456,64718
values_345,13908,10320
values_102,106094,78196
values_962,22736,16438
values_356,138102,103314
values_853,169393,126954
values_849,89456,64718
values_814,240860,175972
values_370,138102,103314
values_778,239648,179630
values_458,54480,40482
values_818,18374,13526
values_119,54480,40482
values_373,240860,175972
values_351,201942,151094
values_32,9518,7000
values_770,9518,7000
values_371,13908,10320
values_283,73940,54952
values_535,138102,103314
values_250,1592,1144
values_132,293264,218066
values_649,172748,126200
values_77,3558,2610
values_260,138102,103314
values_891,150128,111610
values_91,169393,126954
values_137,239648,179630
values_42,46710,34922
values_13,82758,60990
values_577,73940,54952
values_41,65022,48624
values_809,65022,48624
values_414,172748,126200
values_360,46710,34922
values_386,150128,111610
values_158,172748,126200
values_904,240860,175972
values_480,9518,7000
values_647,240860,175972
values_104,18374,13526
values_55,65022,48624
values_491,82758,60990
values_391,293264,218066
values_972,201942,151094
values_571,1592,1144
values_940,240860,175972
values_861,293264,218066
values_324,9518,7000
values_549,54480,40482
values_170,240860,175972
values_269,121764,90516
values_442,37988,28220
values_520,201942,151094
values_455,65022,48624
values_31,1592,1144
values_971,3558,2610
values_397,239648,179630
values_254,169393,126954
values_616,89456,64718
values_66,22736,16438
values_943,138102,103314
values_117,13908,10320
values_451,240860,175972
values_643,73940,54952
values_688,30126,22188
values_569,279336,209388
values_745,37988,28220
values_65,150128,111610
values_980,121764,90516
values_982,201942,151094
values_62,215760,160422
values_789,172748,126200
values_401,65022,48624
values_21,22736,16438
values_598,65022,48624
values_273,201942,151094
values_534,201942,151094
values_118,13908,10320
values_141,1592,1144
values_366,73940,54952
values_222,37988,28220
values_876,22736,16438
values_700,89456,64718
values_95,37988,28220
values_806,150128,111610
values_671,172748,126200
values_816,89456,64718
values_630,13908,10320
values_433,37988,28220
values_905,65022,48624
values_84,3558,2610
values_233,73940,54952
values_664,169393,126954
values_162,82758,60990
values_681,215760,160422
values_542,3558,2610
values_169,201942,151094
values_660,240860,175972
values_488,30126,22188
values_894,89456,64718
values_828,279336,209388
values_537,73940,54952
values_845,73940,54952
values_584,73940,54952
values_457,3558,2610
values_499,106094,78196
values_369,30126,22188
values_58,18374,13526
values_64,82758,60990
values_196,30126,22188
values_462,240860,175972
values_343,172748,126200
values_262,293264,218066
values_966,89456,64718
values_261,37988,28220
values_349,150128,111610
values_263,215760,160422
values_801,13908,10320
values_292,293264,218066
values_786,169393,126954
values_101,73940,54952
values_691,201942,151094
values_926,121764,90516
values_754,201942,151094
values_215,150128,111610
values_977,89456,64718
values_850,169393,126954
values_646,172748,126200
values_628,138102,103314
values_941,239648,179630
values_353,172748,126200
values_690,106094,78196
values_961,30126,22188
values_331,89456,64718
values_377,106094,78196
values_128,54480,40482
values_336,169393,126954
values_632,239648,179630
values_166,201942,151094
values_744,121764,90516
values_837,293264,218066
values_807,169393,126954
values_838,215760,160422
values_723,215760,160422
values_874,73940,54952
values_627,54480,40482
values_555,215760,160422
values_446,240860,175972
values_716,54480,40482
values_240,240860,175972
values_140,54480,40482
values_317,150128,111610
values_83,1592,1144
values_696,46710,34922
values_413,46710,34922
values_94,150128,111610
values_937,65022,48624
values_199,89456,64718
values_596,18374,13526
values_0,13908,10320
values_953,37988,28220
values_906,82758,60990
values_742,5888,4250
values_396,37988,28220
values_159,82758,60990
values_238,201942,151094
values_136,215760,160422
values_915,150128,111610
values_99,293264,218066
values_771,293264,218066
values_96,169393,126954
values_768,73940,54952
values_67,121764,90516
values_565,18374,13526
values_848,9518,7000
values_114,1592,1144
values_61,54480,40482
values_511,138102,103314
values_729,54480,40482
values_460,239648,179630
values_832,239648,179630
values_348,279336,209388
values_182,3558,2610
values_986,89456,64718
values_180,3558,2610
values_930,13908,10320
values_274,215760,160422
values_309,9518,7000
values_496,18374,13526
values_165,82758,60990
values_553,121764,90516
values_870,215760,160422
values_795,279336,209388
values_361,54480,40482
values_302,37988,28220
values_586,106094,78196
values_880,30126,22188
values_665,215760,160422
values_527,215760,160422
values_372,89456,64718
values_382,172748,126200
values_43,82758,60990
values_935,13908,10320
values_2,240860,175972
values_790,138102,103314
values_152,9518,7000
values_871,121764,90516
values_434,18374,13526
values_775,54480,40482
values_500,121764,90516
values_220,65022,48624
values_875,18374,13526
values_249,9518,7000
values_808,46710,34922
values_859,46710,34922
values_539,5888,4250
values_635,172748,126200
values_311,279336,209388
values_183,1592,1144
values_54,3558,2610
values_390,138102,103314
values_890,89456,64718
values_711,13908,10320
values_471,169393,126954
values_995,5888,4250
values_443,121764,90516
values_464,9518,7000
values_774,5888,4250
values_200,54480,40482
values_747,3558,2610
values_758,138102,103314
values_30,279336,209388
values_820,169393,126954
values_393,138102,103314
values_576,73940,54952
values_445,13908,10320
values_662,22736,16438
values_403,239648,179630
values_640,240860,175972
values_59,54480,40482
values_490,169393,126954
values_194,215760,160422
values_751,240860,175972
values_663,279336,209388
values_938,169393,126954
values_532,22736,16438
values_885,5888,4250
values_713,279336,209388
values_193,279336,209388
values_650,121764,90516
values_564,201942,151094
values_267,82758,60990
values_147,172748,126200
values_709,82758,60990
values_857,82758,60990
values_334,89456,64718
values_965,9518,7000
values_824,46710,34922
values_784,13908,10320
values_229,150128,111610
values_538,9518,7000
values_463,240860,175972
values_741,22736,16438
values_85,5888,4250
values_493,3558,2610
values_794,37988,28220
values_202,215760,160422
values_74,65022,48624
values_410,54480,40482
values_469,13908,10320
values_394,18374,13526
values_149,37988,28220
values_945,18374,13526
values_293,240860,175972
values_456,172748,126200
values_975,172748,126200
values_547,172748,126200
values_164,73940,54952
values_720,22736,16438
values_833,240860,175972
values_90,279336,209388
values_954,293264,218066
values_483,240860,175972
values_990,240860,175972
values_113,169393,126954
values_878,172748,126200
values_942,89456,64718
values_126,239648,179630
values_666,240860,175972
values_960,37988,28220
values_783,215760,160422
values_735,240860,175972
values_439,46710,34922
values_860,239648,179630
values_18,240860,175972
values_173,30126,22188
values_454,172748,126200
values_176,138102,103314
values_698,54480,40482
values_869,240860,175972
values_697,89456,64718
values_509,89456,64718
values_189,150128,111610
values_714,89456,64718
values_270,293264,218066
values_863,54480,40482
values_548,121764,90516
values_359,37988,28220
values_512,215760,160422
values_656,5888,4250
values_684,150128,111610
values_171,215760,160422
values_675,172748,126200
values_657,215760,160422
values_333,13908,10320
values_599,239648,179630
values_129,240860,175972
values_886,9518,7000
values_107,240860,175972
values_272,9518,7000
values_52,201942,151094
values_819,169393,126954
values_682,65022,48624
values_44,150128,111610
values_914,30126,22188
values_346,150128,111610
values_151,201942,151094
values_550,37988,28220
values_326,89456,64718
values_836,73940,54952
values_437,172748,126200
values_984,106094,78196
values_17,89456,64718
values_748,3558,2610
values_581,13908,10320
values_705,172748,126200
values_121,54480,40482
values_219,9518,7000
values_321,46710,34922
values_843,37988,28220
values_606,13908,10320
values_898,3558,2610
values_601,9518,7000
values_36,240860,175972
values_282,172748,126200
values_395,9518,7000
values_449,106094,78196
values_209,13908,10320
values_956,30126,22188
values_579,215760,160422
values_484,279336,209388
values_521,65022,48624
values_617,239648,179630
values_516,279336,209388
values_358,37988,28220
values_335,169393,126954
values_139,54480,40482
values_992,1592,1144
values_211,240860,175972
values_507,3558,2610
values_921,18374,13526
values_138,89456,64718
values_275,54480,40482
values_614,3558,2610
values_49,215760,160422
values_227,30126,22188
values_203,169393,126954
values_172,239648,179630
values_86,89456,64718
values_178,73940,54952
values_978,279336,209388
values_253,37988,28220
values_291,279336,209388
values_911,169393,126954
values_230,37988,28220
values_318,240860,175972
values_798,22736,16438
values_638,3558,2610
values_112,150128,111610
values_201,30126,22188
values_629,73940,54952
values_337,30126,22188
values_37,106094,78196
values_56,240860,175972
values_316,13908,10320
values_829,240860,175972
values_63,65022,48624
values_35,239648,179630
values_519,106094,78196
values_481,22736,16438
values_278,3558,2610
values_186,37988,28220
values_702,54480,40482
values_722,22736,16438
values_97,1592,1144
values_329,169393,126954
values_75,9518,7000
values_560,201942,151094
values_612,138102,103314
values_421,18374,13526
values_639,13908,10320
values_939,201942,151094
values_198,73940,54952
values_840,37988,28220
values_415,13908,10320
values_405,9518,7000
values_100,9518,7000
values_726,89456,64718
values_265,54480,40482
values_743,150128,111610
values_436,13908,10320
values_583,240860,175972
values_525,13908,10320
values_677,9518,7000
values_289,65022,48624
values_255,30126,22188
values_529,54480,40482
values_826,30126,22188
values_362,240860,175972
values_355,13908,10320
values_506,150128,111610
values_315,215760,160422
values_604,22736,16438
values_57,169393,126954
values_133,3558,2610
values_787,5888,4250
values_799,121764,90516
values_765,65022,48624
values_887,54480,40482
values_952,106094,78196
values_631,172748,126200
values_306,240860,175972
values_497,1592,1144
values_821,18374,13526
values_618,215760,160422
values_271,3558,2610
values_645,3558,2610
values_985,73940,54952
values_400,82758,60990
values_562,82758,60990
values_590,82758,60990
values_648,22736,16438
values_325,279336,209388
values_883,13908,10320
values_827,150128,111610
values_854,121764,90516
values_307,138102,103314
values_88,106094,78196
values_958,82758,60990
values_251,172748,126200
values_902,22736,16438
values_680,121764,90516
values_884,106094,78196
values_901,30126,22188
values_354,121764,90516
values_420,240860,175972
values_103,30126,22188
values_10,138102,103314
values_474,201942,151094
values_53,30126,22188
values_8,30126,22188
values_39,82758,60990
values_755,215760,160422
values_124,121764,90516
values_841,215760,160422
values_510,293264,218066
values_989,18374,13526
values_706,30126,22188
values_257,1592,1144
values_811,1592,1144
values_111,215760,160422
values_47,89456,64718
values_928,18374,13526
values_561,65022,48624
values_383,215760,160422
values_498,65022,48624
values_60,201942,151094
values_737,3558,2610
values_624,169393,126954
values_973,65022,48624
values_472,89456,64718
values_280,18374,13526
values_389,239648,179630
values_651,54480,40482
values_642,1592,1144
values_668,138102,103314
values_551,18374,13526
values_750,150128,111610
values_592,169393,126954
values_89,106094,78196
values_411,172748,126200
values_620,3558,2610
values_357,30126,22188
values_247,169393,126954
values_692,30126,22188
values_572,1592,1144
values_757,22736,16438
values_566,106094,78196
values_216,18374,13526
values_951,9518,7000
values_910,106094,78196
values_338,172748,126200
values_461,138102,103314
values_730,54480,40482
values_734,215760,160422
values_51,9518,7000
values_678,239648,179630
values_327,82758,60990
values_473,293264,218066
values_453,215760,160422
values_154,201942,151094
values_452,22736,16438
values_221,9518,7000
values_323,22736,16438
values_844,169393,126954
values_673,82758,60990
values_427,54480,40482
values_933,3558,2610
values_802,65022,48624
values_852,9518,7000
values_487,293264,218066
values_762,293264,218066
values_515,1592,1144
values_479,9518,7000
values_948,106094,78196
values_467,3558,2610
values_14,169393,126954
values_868,1592,1144
values_188,18374,13526
values_489,9518,7000
values_865,89456,64718
values_728,279336,209388
values_996,279336,209388
values_277,138102,103314
values_936,169393,126954
values_554,37988,28220
values_763,37988,28220
values_834,169393,126954
values_613,82758,60990
values_907,73940,54952
values_825,279336,209388
values_308,30126,22188
values_294,13908,10320
values_522,239648,179630
values_322,240860,175972
values_28,240860,175972
values_760,65022,48624
values_559,293264,218066
values_685,73940,54952
values_908,65022,48624
values_919,172748,126200
values_724,106094,78196
values_947,18374,13526
values_214,9518,7000
values_468,240860,175972
values_967,13908,10320
values_234,172748,126200
values_983,73940,54952
values_719,13908,10320
values_110,240860,175972
values_235,46710,34922
values_588,54480,40482
values_185,82758,60990
values_732,18374,13526
values_896,215760,160422
values_888,121764,90516
values_923,121764,90516
values_767,201942,151094
values_179,201942,151094
values_195,239648,179630
values_148,201942,151094
values_917,46710,34922
values_634,65022,48624
values_157,240860,175972
values_314,46710,34922
values_879,169393,126954
values_16,150128,111610
values_839,279336,209388
values_150,215760,160422
values_835,215760,160422
values_161,150128,111610
values_34,18374,13526
values_959,73940,54952
values_264,89456,64718
values_123,46710,34922
values_623,37988,28220
values_187,279336,209388
values_575,215760,160422
values_466,121764,90516
values_621,1592,1144
values_82,65022,48624
values_352,169393,126954
values_779,5888,4250
values_946,89456,64718
values_756,73940,54952
values_502,37988,28220
values_641,65022,48624
values_882,65022,48624
values_46,172748,126200
values_721,121764,90516
values_105,82758,60990
values_284,5888,4250
values_295,82758,60990
values_423,215760,160422
values_544,172748,126200
values_384,89456,64718
values_206,3558,2610
values_817,121764,90516
values_788,46710,34922
values_205,3558,2610
values_243,13908,10320
values_619,239648,179630
values_514,293264,218066
values_703,3558,2610
values_605,73940,54952
values_659,240860,175972
values_929,65022,48624
values_365,13908,10320
values_495,37988,28220
values_431,46710,34922
values_482,293264,218066
values_611,73940,54952
values_846,150128,111610
values_27,9518,7000
values_736,279336,209388
values_815,22736,16438
values_145,13908,10320
values_582,46710,34922
values_492,3558,2610
values_881,82758,60990
values_237,169393,126954
values_409,18374,13526
values_108,138102,103314
values_299,30126,22188
values_20,1592,1144
values_485,73940,54952
values_303,150128,111610
values_425,215760,160422
values_597,138102,103314
values_517,9518,7000
values_672,5888,4250
values_340,37988,28220
values_339,3558,2610
values_424,9518,7000
values_9,82758,60990
values_587,65022,48624
values_417,138102,103314
values_116,3558,2610
values_475,13908,10320
values_184,121764,90516
values_223,22736,16438
values_804,150128,111610
values_374,150128,111610
values_864,18374,13526
values_444,73940,54952
values_92,37988,28220
values_773,239648,179630
values_131,18374,13526
values_710,150128,111610
values_693,82758,60990
values_944,18374,13526
values_573,293264,218066
values_712,54480,40482
values_718,3558,2610
values_3,5888,4250
values_805,138102,103314
values_98,73940,54952
values_304,37988,28220
values_897,121764,90516
values_153,106094,78196
values_368,1592,1144
values_689,1592,1144
values_830,240860,175972
values_29,293264,218066
values_301,13908,10320
values_286,279336,209388
values_580,46710,34922
values_593,1592,1144
values_80,138102,103314
values_416,30126,22188
values_305,37988,28220
values_142,65022,48624
values_800,150128,111610
values_661,9518,7000
values_73,65022,48624
values_297,46710,34922
values_167,121764,90516
values_594,279336,209388
values_367,279336,209388
values_552,18374,13526
values_608,1592,1144
values_797,1592,1144
values_288,215760,160422
values_764,82758,60990
values_622,46710,34922
values_785,169393,126954
values_676,5888,4250
values_330,65022,48624
values_595,172748,126200
values_968,37988,28220
values_503,121764,90516
values_378,1592,1144
values_610,201942,151094
