inputName,text,data,bss
values_242,1296,16,6
values_505,1296,16,6
values_924,1296,16,6
values_862,1296,16,6
values_287,1296,16,6
values_733,1296,16,6
values_813,1296,16,6
values_11,1296,16,6
values_19,1296,16,6
values_999,1296,16,6
values_134,1296,16,6
values_609,1296,16,6
values_993,1296,16,6
values_731,1296,16,6
values_127,1296,16,6
values_889,1296,16,6
values_987,1296,16,6
values_780,1296,16,6
values_435,1296,16,6
values_950,1296,16,6
values_976,1296,16,6
values_557,1296,16,6
values_398,1296,16,6
values_892,1296,16,6
values_670,1296,16,6
values_574,1296,16,6
values_163,1296,16,6
values_900,1296,16,6
values_392,1296,16,6
values_447,1296,16,6
values_523,1296,16,6
values_679,1296,16,6
values_419,1296,16,6
values_895,1296,16,6
values_298,1296,16,6
values_155,1296,16,6
values_12,1296,16,6
values_160,1296,16,6
values_626,1296,16,6
values_38,1296,16,6
values_146,1296,16,6
values_81,1296,16,6
values_687,1296,16,6
values_213,1296,16,6
values_212,1296,16,6
values_568,1296,16,6
values_5,1296,16,6
values_40,1296,16,6
values_970,1296,16,6
values_707,1296,16,6
values_406,1296,16,6
values_893,1296,16,6
values_144,1296,16,6
values_979,1296,16,6
values_831,1296,16,6
values_402,1296,16,6
values_404,1296,16,6
values_310,1296,16,6
values_70,1296,16,6
values_268,1296,16,6
values_412,1296,16,6
values_290,1296,16,6
values_916,1296,16,6
values_567,1296,16,6
values_913,1296,16,6
values_232,1296,16,6
values_319,1296,16,6
values_23,1296,16,6
values_899,1296,16,6
values_428,1296,16,6
values_858,1296,16,6
values_546,1296,16,6
values_432,1296,16,6
values_231,1296,16,6
values_388,1296,16,6
values_350,1296,16,6
values_603,1296,16,6
values_364,1296,16,6
values_530,1296,16,6
values_72,1296,16,6
values_536,1296,16,6
values_79,1296,16,6
values_342,1296,16,6
values_803,1296,16,6
values_501,1296,16,6
values_540,1296,16,6
values_955,1296,16,6
values_191,1296,16,6
values_812,1296,16,6
values_545,1296,16,6
values_78,1296,16,6
values_526,1296,16,6
values_695,1296,16,6
values_87,1296,16,6
values_300,1296,16,6
values_964,1296,16,6
values_998,1296,16,6
values_988,1296,16,6
values_6,1296,16,6
values_625,1296,16,6
values_518,1296,16,6
values_122,1296,16,6
values_541,1296,16,6
values_279,1296,16,6
values_256,1296,16,6
values_796,1296,16,6
values_504,1296,16,6
values_752,1296,16,6
values_459,1296,16,6
values_658,1296,16,6
values_408,1296,16,6
values_867,1296,16,6
values_727,1296,16,6
values_177,1296,16,6
values_823,1296,16,6
values_822,1296,16,6
values_218,1296,16,6
values_426,1296,16,6
values_776,1296,16,6
values_143,1296,16,6
values_739,1296,16,6
values_312,1296,16,6
values_174,1296,16,6
values_669,1296,16,6
values_120,1296,16,6
values_974,1296,16,6
values_217,1296,16,6
values_866,1296,16,6
values_192,1296,16,6
values_328,1296,16,6
values_68,1296,16,6
values_387,1296,16,6
values_69,1296,16,6
values_749,1296,16,6
values_135,1296,16,6
values_341,1296,16,6
values_494,1296,16,6
values_1,1296,16,6
values_589,1296,16,6
values_925,1296,16,6
values_524,1296,16,6
values_994,1296,16,6
values_856,1296,16,6
values_156,1296,16,6
values_470,1296,16,6
values_207,1296,16,6
values_655,1296,16,6
values_441,1296,16,6
values_109,1296,16,6
values_45,1296,16,6
values_125,1296,16,6
values_600,1296,16,6
values_708,1296,16,6
values_791,1296,16,6
values_912,1296,16,6
values_533,1296,16,6
values_418,1296,16,6
values_228,1296,16,6
values_585,1296,16,6
values_465,1296,16,6
values_239,1296,16,6
values_842,1296,16,6
values_208,1296,16,6
values_932,1296,16,6
values_957,1296,16,6
values_563,1296,16,6
values_766,1296,16,6
values_476,1296,16,6
values_175,1296,16,6
values_591,1296,16,6
values_997,1296,16,6
values_385,1296,16,6
values_115,1296,16,6
values_653,1296,16,6
values_753,1296,16,6
values_241,1296,16,6
values_197,1296,16,6
values_636,1296,16,6
values_450,1296,16,6
values_106,1296,16,6
values_699,1296,16,6
values_578,1296,16,6
values_644,1296,16,6
values_570,1296,16,6
values_873,1296,16,6
values_33,1296,16,6
values_210,1296,16,6
values_486,1296,16,6
values_252,1296,16,6
values_694,1296,16,6
values_759,1296,16,6
values_245,1296,16,6
values_15,1296,16,6
values_792,1296,16,6
values_248,1296,16,6
values_246,1296,16,6
values_556,1296,16,6
values_513,1296,16,6
values_93,1296,16,6
values_558,1296,16,6
values_991,1296,16,6
values_181,1296,16,6
values_674,1296,16,6
values_652,1296,16,6
values_344,1296,16,6
values_715,1296,16,6
values_528,1296,16,6
values_276,1296,16,6
values_24,1296,16,6
values_296,1296,16,6
values_244,1296,16,6
values_380,1296,16,6
values_25,1296,16,6
values_740,1296,16,6
values_478,1296,16,6
values_379,1296,16,6
values_810,1296,16,6
values_440,1296,16,6
values_543,1296,16,6
values_130,1296,16,6
values_225,1296,16,6
values_285,1296,16,6
values_363,1296,16,6
values_667,1296,16,6
values_26,1296,16,6
values_793,1296,16,6
values_772,1296,16,6
values_931,1296,16,6
values_981,1296,16,6
values_422,1296,16,6
values_920,1296,16,6
values_259,1296,16,6
values_477,1296,16,6
values_738,1296,16,6
values_430,1296,16,6
values_922,1296,16,6
values_903,1296,16,6
values_761,1296,16,6
values_204,1296,16,6
values_48,1296,16,6
values_71,1296,16,6
values_851,1296,16,6
values_347,1296,16,6
values_725,1296,16,6
values_266,1296,16,6
values_448,1296,16,6
values_934,1296,16,6
values_531,1296,16,6
values_224,1296,16,6
values_686,1296,16,6
values_927,1296,16,6
values_407,1296,16,6
values_76,1296,16,6
values_949,1296,16,6
values_969,1296,16,6
values_781,1296,16,6
values_7,1296,16,6
values_683,1296,16,6
values_376,1296,16,6
values_877,1296,16,6
values_654,1296,16,6
values_508,1296,16,6
values_332,1296,16,6
values_281,1296,16,6
values_381,1296,16,6
values_769,1296,16,6
values_701,1296,16,6
values_855,1296,16,6
values_320,1296,16,6
values_50,1296,16,6
values_918,1296,16,6
values_615,1296,16,6
values_704,1296,16,6
values_633,1296,16,6
values_847,1296,16,6
values_602,1296,16,6
values_399,1296,16,6
values_22,1296,16,6
values_313,1296,16,6
values_375,1296,16,6
values_963,1296,16,6
values_168,1296,16,6
values_226,1296,16,6
values_190,1296,16,6
values_429,1296,16,6
values_236,1296,16,6
values_777,1296,16,6
values_909,1296,16,6
values_438,1296,16,6
values_607,1296,16,6
values_717,1296,16,6
values_782,1296,16,6
values_258,1296,16,6
values_872,1296,16,6
values_637,1296,16,6
values_746,1296,16,6
values_4,1296,16,6
values_345,1296,16,6
values_102,1296,16,6
values_962,1296,16,6
values_356,1296,16,6
values_853,1296,16,6
values_849,1296,16,6
values_814,1296,16,6
values_370,1296,16,6
values_778,1296,16,6
values_458,1296,16,6
values_818,1296,16,6
values_119,1296,16,6
values_373,1296,16,6
values_351,1296,16,6
values_32,1296,16,6
values_770,1296,16,6
values_371,1296,16,6
values_283,1296,16,6
values_535,1296,16,6
values_250,1296,16,6
values_132,1296,16,6
values_649,1296,16,6
values_77,1296,16,6
values_260,1296,16,6
values_891,1296,16,6
values_91,1296,16,6
values_137,1296,16,6
values_42,1296,16,6
values_13,1296,16,6
values_577,1296,16,6
values_41,1296,16,6
values_809,1296,16,6
values_414,1296,16,6
values_360,1296,16,6
values_386,1296,16,6
values_158,1296,16,6
values_904,1296,16,6
values_480,1296,16,6
values_647,1296,16,6
values_104,1296,16,6
values_55,1296,16,6
values_491,1296,16,6
values_391,1296,16,6
values_972,1296,16,6
values_571,1296,16,6
values_940,1296,16,6
values_861,1296,16,6
values_324,1296,16,6
values_549,1296,16,6
values_170,1296,16,6
values_269,1296,16,6
values_442,1296,16,6
values_520,1296,16,6
values_455,1296,16,6
values_31,1296,16,6
values_971,1296,16,6
values_397,1296,16,6
values_254,1296,16,6
values_616,1296,16,6
values_66,1296,16,6
values_943,1296,16,6
values_117,1296,16,6
values_451,1296,16,6
values_643,1296,16,6
values_688,1296,16,6
values_569,1296,16,6
values_745,1296,16,6
values_65,1296,16,6
values_980,1296,16,6
values_982,1296,16,6
values_62,1296,16,6
values_789,1296,16,6
values_401,1296,16,6
values_21,1296,16,6
values_598,1296,16,6
values_273,1296,16,6
values_534,1296,16,6
values_118,1296,16,6
values_141,1296,16,6
values_366,1296,16,6
values_222,1296,16,6
values_876,1296,16,6
values_700,1296,16,6
values_95,1296,16,6
values_806,1296,16,6
values_671,1296,16,6
values_816,1296,16,6
values_630,1296,16,6
values_433,1296,16,6
values_905,1296,16,6
values_84,1296,16,6
values_233,1296,16,6
values_664,1296,16,6
values_162,1296,16,6
values_681,1296,16,6
values_542,1296,16,6
values_169,1296,16,6
values_660,1296,16,6
values_488,1296,16,6
values_894,1296,16,6
values_828,1296,16,6
values_537,1296,16,6
values_845,1296,16,6
values_584,1296,16,6
values_457,1296,16,6
values_499,1296,16,6
values_369,1296,16,6
values_58,1296,16,6
values_64,1296,16,6
values_196,1296,16,6
values_462,1296,16,6
values_343,1296,16,6
values_262,1296,16,6
values_966,1296,16,6
values_261,1296,16,6
values_349,1296,16,6
values_263,1296,16,6
values_801,1296,16,6
values_292,1296,16,6
values_786,1296,16,6
values_101,1296,16,6
values_691,1296,16,6
values_926,1296,16,6
values_754,1296,16,6
values_215,1296,16,6
values_977,1296,16,6
values_850,1296,16,6
values_646,1296,16,6
values_628,1296,16,6
values_941,1296,16,6
values_353,1296,16,6
values_690,1296,16,6
values_961,1296,16,6
values_331,1296,16,6
values_377,1296,16,6
values_128,1296,16,6
values_336,1296,16,6
values_632,1296,16,6
values_166,1296,16,6
values_744,1296,16,6
values_837,1296,16,6
values_807,1296,16,6
values_838,1296,16,6
values_723,1296,16,6
values_874,1296,16,6
values_627,1296,16,6
values_555,1296,16,6
values_446,1296,16,6
values_716,1296,16,6
values_240,1296,16,6
values_140,1296,16,6
values_317,1296,16,6
values_83,1296,16,6
values_696,1296,16,6
values_413,1296,16,6
values_94,1296,16,6
values_937,1296,16,6
values_199,1296,16,6
values_596,1296,16,6
values_0,1296,16,6
values_953,1296,16,6
values_906,1296,16,6
values_742,1296,16,6
values_396,1296,16,6
values_159,1296,16,6
values_238,1296,16,6
values_136,1296,16,6
values_915,1296,16,6
values_99,1296,16,6
values_771,1296,16,6
values_96,1296,16,6
values_768,1296,16,6
values_67,1296,16,6
values_565,1296,16,6
values_848,1296,16,6
values_114,1296,16,6
values_61,1296,16,6
values_511,1296,16,6
values_729,1296,16,6
values_460,1296,16,6
values_832,1296,16,6
values_348,1296,16,6
values_182,1296,16,6
values_986,1296,16,6
values_180,1296,16,6
values_930,1296,16,6
values_274,1296,16,6
values_309,1296,16,6
values_496,1296,16,6
values_165,1296,16,6
values_553,1296,16,6
values_870,1296,16,6
values_795,1296,16,6
values_361,1296,16,6
values_302,1296,16,6
values_586,1296,16,6
values_880,1296,16,6
values_665,1296,16,6
values_527,1296,16,6
values_372,1296,16,6
values_382,1296,16,6
values_43,1296,16,6
values_935,1296,16,6
values_2,1296,16,6
values_790,1296,16,6
values_152,1296,16,6
values_871,1296,16,6
values_434,1296,16,6
values_775,1296,16,6
values_500,1296,16,6
values_220,1296,16,6
values_875,1296,16,6
values_249,1296,16,6
values_808,1296,16,6
values_859,1296,16,6
values_539,1296,16,6
values_635,1296,16,6
values_311,1296,16,6
values_183,1296,16,6
values_54,1296,16,6
values_390,1296,16,6
values_890,1296,16,6
values_711,1296,16,6
values_471,1296,16,6
values_995,1296,16,6
values_443,1296,16,6
values_464,1296,16,6
values_774,1296,16,6
values_200,1296,16,6
values_747,1296,16,6
values_758,1296,16,6
