id,cInstr
values_242,149
values_505,1620
values_924,811
values_862,3846
values_287,3272
values_733,2256
values_813,3244
values_11,102
values_19,3259
values_999,1261
values_134,565
values_609,956
values_993,147
values_731,209
values_127,1837
values_889,681
values_987,1106
values_780,2483
values_435,457
values_950,1271
values_976,2484
values_557,2027
values_398,2046
values_892,3251
values_670,2048
values_574,1274
values_163,4768
values_900,1632
values_392,1101
values_447,4432
values_523,4457
values_679,4446
values_419,364
values_895,2733
values_298,2251
values_155,2245
values_12,1263
values_160,2045
values_626,4123
values_38,150
values_146,2041
values_81,3831
values_687,2989
values_213,459
values_212,101
values_568,2256
values_5,805
values_40,1832
values_970,1629
values_707,1265
values_406,3260
values_893,2985
values_144,2264
values_979,683
values_831,101
values_402,3840
values_404,4773
values_310,281
values_70,945
values_268,955
values_412,280
values_290,3279
values_916,3544
values_567,279
values_913,2993
values_232,2993
values_319,681
values_23,3003
values_899,456
values_428,280
values_858,2972
values_546,2046
values_432,209
values_231,4439
values_388,207
values_350,4785
values_603,808
values_364,101
values_530,564
values_72,3829
values_536,4442
values_79,454
values_342,208
values_803,3547
values_501,3263
values_540,4436
values_955,3246
values_191,460
values_812,1437
values_545,2496
values_78,4781
values_526,1623
values_695,459
values_87,209
values_300,4459
values_964,1260
values_998,2735
values_988,2244
values_6,1632
values_625,3258
values_518,2490
values_122,2729
values_541,3005
values_279,2042
values_256,1267
values_796,1105
values_504,362
values_752,4141
values_459,1626
values_658,3838
values_408,3847
values_867,1823
values_727,3834
values_177,149
values_823,206
values_822,2477
values_218,4131
values_426,457
values_776,2034
values_143,813
values_739,1268
values_312,2488
values_174,564
values_669,3261
values_120,565
values_974,4784
values_217,278
values_866,460
values_192,210
values_328,2494
values_68,2982
values_387,2043
values_69,64
values_749,2036
values_135,4446
values_341,567
values_494,3541
values_1,683
values_589,102
values_925,4436
values_524,811
values_994,2737
values_856,2730
values_156,1626
values_470,1443
values_207,4114
values_655,451
values_441,812
values_109,279
values_45,565
values_125,460
values_600,1107
values_708,4785
values_791,2495
values_912,65
values_533,102
values_418,2269
values_228,2730
values_585,364
values_465,685
values_239,3536
values_842,2496
values_208,3824
values_242,680
values_505,1273
values_924,457
values_862,1266
values_287,461
values_733,2727
values_813,3837
values_11,1821
values_19,458
values_999,64
values_134,682
values_609,3836
values_993,3832
values_731,4453
values_127,4771
values_889,2035
values_987,1439
values_780,1632
values_435,102
values_950,562
values_976,64
values_557,2035
values_398,148
values_892,4448
values_670,64
values_574,1629
values_163,678
values_900,4441
values_392,101
values_447,2034
values_523,100
values_679,810
values_419,208
values_895,2737
values_298,359
values_155,684
values_12,4111
values_160,1829
values_626,365
values_38,680
values_146,279
values_81,4775
values_687,101
values_213,65
values_212,3834
values_568,1637
values_5,3546
values_40,3535
values_970,3832
values_707,100
values_406,807
values_893,2991
values_144,953
values_979,150
values_831,2720
values_402,2259
values_404,4773
values_310,955
values_70,3550
values_268,4776
values_412,3253
values_290,102
values_916,1101
values_567,2736
values_913,150
values_232,208
values_319,360
values_23,102
values_899,4136
values_428,4132
values_858,1645
values_546,1824
values_432,2738
values_231,2251
values_388,1266
values_350,3272
values_603,149
values_364,100
values_530,102
values_72,1833
values_536,948
values_79,1433
values_342,101
values_803,148
values_501,1824
values_540,807
values_955,4427
values_191,3840
values_812,2049
values_545,2043
values_78,683
values_526,149
values_695,1634
values_87,4430
values_300,4768
values_964,563
values_998,2726
values_988,951
values_6,361
values_625,810
values_518,2260
values_122,209
values_541,207
values_279,3530
values_256,953
values_796,812
values_504,4462
values_752,458
values_459,4451
values_658,4453
values_408,1630
values_867,2257
values_727,148
values_177,460
values_823,148
values_822,4451
values_218,568
values_426,2488
values_776,4127
values_143,2266
values_739,680
values_312,1817
values_174,3839
values_669,208
values_120,149
values_974,2054
values_217,1829
values_866,64
values_192,4436
values_328,2047
values_68,362
values_387,361
values_69,151
values_749,1107
values_135,207
values_341,1437
values_494,1268
values_1,4775
values_589,1106
values_925,1823
values_524,64
values_994,2732
values_856,2267
values_156,3531
values_470,362
values_207,1822
values_655,1097
values_441,2037
values_109,279
values_45,1825
values_125,363
values_600,955
values_708,1446
values_791,1276
values_912,1442
values_533,65
values_418,806
values_228,4141
values_585,2733
values_465,3558
values_239,454
values_842,4147
values_208,1450
values_932,1440
values_957,4773
values_563,211
values_766,1822
values_476,812
values_175,4140
values_591,149
values_997,562
values_385,3531
values_115,679
values_653,953
values_753,148
values_241,2034
values_197,2038
values_636,2472
values_450,3810
values_106,456
values_699,150
values_578,2275
values_644,1628
values_570,1628
values_873,4787
values_33,2995
values_210,3268
values_486,1443
values_252,2735
values_694,1266
values_759,363
values_245,685
values_15,1265
values_792,3544
values_248,1830
values_246,2734
values_556,3830
values_513,148
values_93,2037
values_558,678
values_991,3264
values_181,4130
values_674,2502
values_652,3824
values_344,2998
values_715,1820
values_528,100
values_276,4459
values_24,2269
values_296,365
values_244,363
values_380,2492
values_25,65
values_740,561
values_478,4775
values_379,3263
values_810,946
values_440,64
values_543,1100
values_130,65
values_225,1101
values_285,101
values_363,2254
values_667,2261
values_26,1827
values_793,282
values_772,2271
values_931,2042
values_981,560
values_422,2497
values_920,2493
values_259,280
values_477,209
values_738,361
values_430,2986
values_922,1110
values_903,3836
values_761,2033
values_204,4462
values_48,2260
values_71,683
values_851,210
values_347,4442
values_725,1104
values_266,1827
values_448,1101
values_934,149
values_531,2041
values_224,2034
values_686,149
values_927,1818
values_407,4435
values_76,101
values_949,4457
values_969,1444
values_781,684
values_7,2493
values_683,3534
values_376,457
values_877,2030
values_654,2038
values_508,459
values_332,3829
values_281,3841
values_381,4776
values_769,148
values_701,4133
values_855,1633
values_320,149
values_50,1101
values_918,2735
values_615,4417
values_704,4759
values_633,1429
values_847,3554
values_602,2738
values_399,101
values_22,1108
values_313,363
values_375,4767
values_963,282
values_168,4151
values_226,3268
values_190,2994
values_429,283
values_236,562
values_777,2726
values_909,3264
values_438,681
values_607,1827
values_717,208
values_782,4451
values_258,807
values_872,454
values_637,150
values_746,684
values_4,684
values_345,4459
values_102,3253
values_962,1263
values_356,688
values_853,2742
values_849,1826
values_814,4140
values_370,2051
values_778,1266
values_458,2496
values_818,149
values_119,3000
values_373,4112
values_351,3822
values_32,2035
values_770,283
values_371,151
values_283,1104
values_535,149
values_250,101
values_132,683
values_649,360
values_77,952
values_260,4447
values_891,101
values_91,65
values_137,3542
values_42,4446
values_13,1445
values_577,3265
values_41,64
values_809,3832
values_414,281
values_360,4768
values_386,4774
values_158,3541
values_904,279
values_480,2487
values_647,3529
values_104,3824
values_55,1102
values_491,3260
values_391,4775
values_972,2486
values_571,3551
values_940,3542
values_861,1821
values_324,3244
values_549,2999
values_170,813
values_269,283
values_442,679
values_520,4790
values_455,210
values_31,1266
values_971,681
values_397,2994
values_254,149
values_616,3541
values_66,209
values_943,2031
values_117,1100
values_451,3542
values_643,65
values_688,4143
values_569,1266
values_745,65
values_65,4130
values_980,1438
values_982,358
values_62,4439
values_789,2485
values_401,4144
values_21,3256
values_598,2042
values_273,211
values_534,1274
values_118,2046
values_141,1639
values_366,101
values_222,2998
values_876,1095
values_700,2499
values_95,361
values_806,1835
values_671,4448
values_816,4450
values_630,4438
values_433,458
values_905,567
values_84,563
values_233,1437
values_664,2725
values_162,1834
values_681,101
values_542,2988
values_169,2721
values_660,4759
values_488,361
values_894,1828
values_828,1102
values_537,1441
values_845,281
values_584,1265
values_457,952
values_499,2258
values_369,812
values_58,279
values_64,149
values_196,279
values_462,1831
values_343,1113
values_262,1426
values_966,362
values_261,2044
values_349,366
values_263,3257
values_801,1108
values_292,208
values_786,2256
values_101,4450
values_691,4141
values_926,562
values_754,813
values_215,147
values_977,951
values_850,101
values_646,4469
values_628,210
values_941,4120
values_353,2747
values_690,2046
values_961,2746
values_331,461
values_377,362
values_128,1631
values_336,566
values_632,678
values_166,460
values_744,1272
values_837,3271
values_807,1622
values_838,677
values_723,364
values_874,3004
values_627,1440
values_555,3533
values_446,65
values_716,2029
values_240,2039
values_140,2253
values_317,3266
values_83,210
values_696,681
values_413,1102
values_94,65
values_937,561
values_199,2037
values_596,1643
values_0,3820
values_953,1263
values_906,1825
values_742,456
values_396,1105
values_159,2747
values_238,3270
values_136,680
values_915,100
values_99,148
values_771,4128
values_96,2261
values_768,2256
values_67,1434
values_565,955
values_848,1272
values_114,280
values_61,210
values_511,2997
values_729,3275
values_460,1445
values_832,101
values_348,3849
values_182,3240
values_986,1095
values_180,1820
values_930,1268
values_274,458
values_309,4132
values_496,4455
values_165,813
values_553,2738
values_870,283
values_795,678
values_361,1827
values_302,365
values_586,461
values_880,2486
values_665,102
values_527,148
values_372,804
values_382,64
values_43,2745
values_935,207
values_2,562
values_790,208
values_152,4110
values_871,2724
values_434,3840
values_775,3250
values_500,1836
values_220,4448
values_875,210
values_249,2260
values_808,2266
values_859,2261
values_539,950
values_635,4447
values_311,2030
values_183,2750
values_54,3277
values_390,679
values_890,1101
values_711,4139
values_471,2247
values_995,461
values_443,3552
values_464,64
values_774,2486
values_200,3552
values_747,1828
values_758,3825
values_30,2263
values_820,1830
