id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,123968,85749,4761,26.038
values_505,74339,50307,2997,24.804
values_924,39344,26239,1623,24.242
values_862,46628,31916,1823,25.578
values_287,14363,9831,562,25.557
values_733,1218,818,64,19.031
values_813,17785,12299,688,25.850
values_11,21653,15122,813,26.633
values_19,7163,4947,279,25.674
values_999,17785,12299,682,26.078
values_134,74339,50307,2975,24.988
values_609,123968,85749,4772,25.978
values_993,64980,44949,2493,26.065
values_731,86860,60691,3250,26.726
values_127,9181,6284,362,25.362
values_889,72974,50988,2730,26.730
values_987,17785,12299,684,26.001
values_780,118256,82602,4448,26.586
values_435,102445,69293,4140,24.745
values_950,60296,42129,2254,26.751
values_976,9181,6284,365,25.153
values_557,14363,9831,561,25.602
values_398,36821,25200,1441,25.552
values_892,60296,42129,2264,26.633
values_670,9181,6284,364,25.223
values_574,86860,60691,3264,26.612
values_163,1218,818,65,18.738
values_900,102445,69293,4132,24.793
values_392,36821,25200,1444,25.499
values_447,86860,60691,3250,26.726
values_523,92114,63717,3544,25.992
values_679,72974,50988,2732,26.711
values_419,64980,44949,2482,26.180
values_895,2267,1548,101,22.446
values_298,92114,63717,3550,25.948
values_155,9181,6284,362,25.362
values_12,7163,4947,278,25.766
values_160,60296,42129,2258,26.703
values_626,101954,71238,3843,26.530
values_38,36821,25200,1436,25.641
values_146,33115,22903,1271,26.054
values_81,64980,44949,2489,26.107
values_687,1218,818,64,19.031
values_213,72974,50988,2730,26.730
values_212,92114,63717,3544,25.992
values_568,17785,12299,675,26.348
values_5,7163,4947,278,25.766
values_40,102445,69293,4143,24.727
values_970,92114,63717,3539,26.028
values_707,86860,60691,3258,26.661
values_406,46628,31916,1822,25.592
values_893,33115,22903,1262,26.240
values_144,39344,26239,1629,24.152
values_979,1218,818,64,19.031
values_831,60296,42129,2266,26.609
values_402,101954,71238,3832,26.606
values_404,9181,6284,362,25.362
values_310,2267,1548,102,22.225
values_70,1218,818,64,19.031
values_268,102445,69293,4129,24.811
values_412,7163,4947,281,25.491
values_290,5141,3515,210,24.481
values_916,7163,4947,278,25.766
values_567,9181,6284,362,25.362
values_913,29497,20603,1104,26.718
values_232,29497,20603,1097,26.889
values_319,53183,36789,2041,26.057
values_23,86860,60691,3272,26.546
values_899,9181,6284,361,25.432
values_428,92114,63717,3533,26.072
values_858,101954,71238,3841,26.544
values_546,1218,818,64,19.031
values_432,102445,69293,4128,24.817
values_231,72974,50988,2736,26.672
values_388,39344,26239,1645,23.917
values_350,86860,60691,3258,26.661
values_603,11032,7371,457,24.140
values_364,3396,2273,150,22.640
values_530,3396,2273,149,22.792
values_72,64980,44949,2502,25.971
values_536,92114,63717,3543,25.999
values_79,7163,4947,278,25.766
values_342,21653,15122,815,26.568
values_803,74339,50307,2979,24.954
values_501,92114,63717,3540,26.021
values_540,21653,15122,811,26.699
values_955,3396,2273,149,22.792
values_191,36821,25200,1440,25.570
values_812,92114,63717,3536,26.050
values_545,9181,6284,362,25.362
values_78,92114,63717,3540,26.021
values_526,29497,20603,1106,26.670
values_695,46628,31916,1818,25.648
values_87,74339,50307,2990,24.863
values_300,3396,2273,149,22.792
values_964,11032,7371,457,24.140
values_998,5141,3515,211,24.365
values_988,2267,1548,101,22.446
values_6,1218,818,64,19.031
values_625,74339,50307,2983,24.921
values_518,11032,7371,452,24.407
values_122,7163,4947,279,25.674
values_541,36821,25200,1438,25.606
values_279,9181,6284,365,25.153
values_256,1218,818,65,18.738
values_796,123968,85749,4766,26.011
values_504,17785,12299,678,26.232
values_752,24860,17193,952,26.113
values_459,11032,7371,457,24.140
values_658,74339,50307,2993,24.838
values_408,11032,7371,457,24.140
values_867,74339,50307,2989,24.871
values_727,123968,85749,4742,26.143
values_177,29497,20603,1102,26.767
values_823,36821,25200,1450,25.394
values_822,29497,20603,1097,26.889
values_218,5141,3515,210,24.481
values_426,7163,4947,278,25.766
values_776,72974,50988,2738,26.652
values_143,7163,4947,282,25.401
values_739,39344,26239,1629,24.152
values_312,46628,31916,1825,25.550
values_174,9181,6284,361,25.432
values_669,60296,42129,2257,26.715
values_120,53183,36789,2051,25.930
values_974,46628,31916,1823,25.578
values_217,14363,9831,560,25.648
values_866,72974,50988,2726,26.770
values_192,102445,69293,4145,24.715
values_328,86860,60691,3262,26.628
values_68,2267,1548,100,22.670
values_387,24860,17193,956,26.004
values_69,1218,818,65,18.738
values_749,3396,2273,148,22.946
values_135,46628,31916,1827,25.522
values_341,21653,15122,805,26.898
values_494,86860,60691,3264,26.612
values_1,11032,7371,458,24.087
values_589,118256,82602,4437,26.652
values_925,92114,63717,3531,26.087
values_524,101954,71238,3840,26.551
values_994,36821,25200,1439,25.588
values_856,60296,42129,2263,26.644
values_156,9181,6284,366,25.085
values_470,9181,6284,360,25.503
values_207,33115,22903,1271,26.054
values_655,53183,36789,2039,26.083
values_441,29497,20603,1097,26.889
values_109,29497,20603,1098,26.864
values_45,3396,2273,149,22.792
values_125,29497,20603,1101,26.791
values_600,74339,50307,3000,24.780
values_708,46628,31916,1835,25.410
values_791,29497,20603,1106,26.670
