id,clockCycles,assemblyInstr
values_242,123968,85749
values_505,74339,50307
values_924,39344,26239
values_862,46628,31916
values_287,14363,9831
values_733,1218,818
values_813,17785,12299
values_11,21653,15122
values_19,7163,4947
values_999,17785,12299
values_134,74339,50307
values_609,123968,85749
values_993,64980,44949
values_731,86860,60691
values_127,9181,6284
values_889,72974,50988
values_987,17785,12299
values_780,118256,82602
values_435,102445,69293
values_950,60296,42129
values_976,9181,6284
values_557,14363,9831
values_398,36821,25200
values_892,60296,42129
values_670,9181,6284
values_574,86860,60691
values_163,1218,818
values_900,102445,69293
values_392,36821,25200
values_447,86860,60691
values_523,92114,63717
values_679,72974,50988
values_419,64980,44949
values_895,2267,1548
values_298,92114,63717
values_155,9181,6284
values_12,7163,4947
values_160,60296,42129
values_626,101954,71238
values_38,36821,25200
values_146,33115,22903
values_81,64980,44949
values_687,1218,818
values_213,72974,50988
values_212,92114,63717
values_568,17785,12299
values_5,7163,4947
values_40,102445,69293
values_970,92114,63717
values_707,86860,60691
values_406,46628,31916
values_893,33115,22903
values_144,39344,26239
values_979,1218,818
values_831,60296,42129
values_402,101954,71238
values_404,9181,6284
values_310,2267,1548
values_70,1218,818
values_268,102445,69293
values_412,7163,4947
values_290,5141,3515
values_916,7163,4947
values_567,9181,6284
values_913,29497,20603
values_232,29497,20603
values_319,53183,36789
values_23,86860,60691
values_899,9181,6284
values_428,92114,63717
values_858,101954,71238
values_546,1218,818
values_432,102445,69293
values_231,72974,50988
values_388,39344,26239
values_350,86860,60691
values_603,11032,7371
values_364,3396,2273
values_530,3396,2273
values_72,64980,44949
values_536,92114,63717
values_79,7163,4947
values_342,21653,15122
values_803,74339,50307
values_501,92114,63717
values_540,21653,15122
values_955,3396,2273
values_191,36821,25200
values_812,92114,63717
values_545,9181,6284
values_78,92114,63717
values_526,29497,20603
values_695,46628,31916
values_87,74339,50307
values_300,3396,2273
values_964,11032,7371
values_998,5141,3515
values_988,2267,1548
values_6,1218,818
values_625,74339,50307
values_518,11032,7371
values_122,7163,4947
values_541,36821,25200
values_279,9181,6284
values_256,1218,818
values_796,123968,85749
values_504,17785,12299
values_752,24860,17193
values_459,11032,7371
values_658,74339,50307
values_408,11032,7371
values_867,74339,50307
values_727,123968,85749
values_177,29497,20603
values_823,36821,25200
values_822,29497,20603
values_218,5141,3515
values_426,7163,4947
values_776,72974,50988
values_143,7163,4947
values_739,39344,26239
values_312,46628,31916
values_174,9181,6284
values_669,60296,42129
values_120,53183,36789
values_974,46628,31916
values_217,14363,9831
values_866,72974,50988
values_192,102445,69293
values_328,86860,60691
values_68,2267,1548
values_387,24860,17193
values_69,1218,818
values_749,3396,2273
values_135,46628,31916
values_341,21653,15122
values_494,86860,60691
values_1,11032,7371
values_589,118256,82602
values_925,92114,63717
values_524,101954,71238
values_994,36821,25200
values_856,60296,42129
values_156,9181,6284
values_470,9181,6284
values_207,33115,22903
values_655,53183,36789
values_441,29497,20603
values_109,29497,20603
values_45,3396,2273
values_125,29497,20603
values_600,74339,50307
values_708,46628,31916
values_791,29497,20603
values_912,33115,22903
values_533,14363,9831
values_418,21653,15122
values_228,33115,22903
values_585,7163,4947
values_465,1218,818
values_239,118256,82602
values_842,123968,85749
values_208,86860,60691
values_932,92114,63717
values_957,2267,1548
values_563,39344,26239
values_766,5141,3515
values_476,21653,15122
values_175,53183,36789
values_591,7163,4947
values_997,11032,7371
values_385,39344,26239
values_115,118256,82602
values_653,29497,20603
values_753,39344,26239
values_241,7163,4947
values_197,36821,25200
values_636,9181,6284
values_450,33115,22903
values_106,101954,71238
values_699,9181,6284
values_578,33115,22903
values_644,46628,31916
values_570,36821,25200
values_873,36821,25200
values_33,53183,36789
values_210,2267,1548
values_486,9181,6284
values_252,1218,818
values_694,46628,31916
values_759,7163,4947
values_245,29497,20603
values_15,21653,15122
values_792,101954,71238
values_248,24860,17193
values_246,33115,22903
values_556,101954,71238
values_513,36821,25200
values_93,102445,69293
values_558,2267,1548
values_991,17785,12299
values_181,46628,31916
values_674,39344,26239
values_652,60296,42129
values_344,21653,15122
values_715,123968,85749
values_528,24860,17193
values_276,64980,44949
values_24,17785,12299
values_296,74339,50307
values_244,9181,6284
values_380,39344,26239
values_25,46628,31916
values_740,3396,2273
values_478,7163,4947
values_379,123968,85749
values_810,118256,82602
values_440,2267,1548
values_543,3396,2273
values_130,11032,7371
values_225,101954,71238
values_285,1218,818
values_363,11032,7371
values_667,92114,63717
values_26,14363,9831
values_793,3396,2273
values_772,24860,17193
values_931,7163,4947
values_981,29497,20603
values_422,74339,50307
values_920,33115,22903
values_259,72974,50988
values_477,24860,17193
values_738,24860,17193
values_430,123968,85749
