id,cInstr
values_242,150
values_505,876
values_924,1158
values_862,486
values_287,2086
values_733,420
values_813,876
values_11,108
values_19,966
values_999,966
values_134,1830
values_609,44
values_993,1060
values_731,876
values_127,2220
values_889,966
values_987,486
values_780,300
values_435,196
values_950,486
values_976,158
values_557,38
values_398,876
values_892,1158
values_670,630
values_574,300
values_163,196
values_900,246
values_392,114
values_447,1260
values_523,708
values_679,358
values_419,486
values_895,108
values_298,1060
values_155,1830
values_12,1830
values_160,258
values_626,556
values_38,556
values_146,1830
values_81,1590
values_687,358
values_213,1366
values_212,358
values_568,1708
values_5,1060
values_40,2358
values_970,486
values_707,790
values_406,876
values_893,1590
values_144,1158
values_979,1830
values_831,1366
values_402,556
values_404,708
values_310,2086
values_70,246
values_268,556
values_412,40
values_290,1406
values_916,486
values_567,38
values_913,1476
values_232,966
values_319,2274
values_23,358
values_899,1956
values_428,966
values_858,708
values_546,486
values_432,150
values_231,1366
values_388,1830
values_350,876
values_603,630
values_364,1260
values_530,630
values_72,1476
values_536,78
values_79,486
values_342,1708
values_803,1476
values_501,790
values_540,246
values_955,1956
values_191,2358
values_812,556
values_545,630
values_78,1366
values_526,2006
values_695,300
values_87,358
values_300,876
values_964,196
values_998,1158
values_988,1830
values_6,246
values_625,246
values_518,1830
values_122,556
values_541,358
values_279,556
values_256,876
values_796,196
values_504,1830
values_752,708
values_459,2086
values_658,1260
values_408,790
values_867,1260
values_727,1158
values_177,40
values_823,708
values_822,42
values_218,1830
values_426,150
values_776,966
values_143,2086
values_739,966
values_312,196
values_174,486
values_669,70
values_120,196
values_974,556
values_217,1708
values_866,1060
values_192,420
values_328,38
values_68,1298
values_387,38
values_69,108
values_749,2086
values_135,556
values_341,556
values_494,708
values_1,2220
values_589,246
values_925,1060
values_524,2358
values_994,1590
values_856,1708
values_156,2086
values_470,1158
values_207,1956
values_655,1830
values_441,70
values_109,1060
values_45,2220
values_125,158
values_600,1708
values_708,1194
values_791,358
values_912,40
values_533,1406
values_418,438
values_228,2220
values_585,556
values_465,790
values_239,420
values_842,1366
values_208,2220
values_932,206
values_957,1956
values_563,630
values_766,1708
values_476,708
values_175,1956
values_591,358
values_997,876
values_385,196
values_115,1956
values_653,556
values_753,2358
values_241,246
values_197,196
values_636,420
values_450,1956
values_106,2086
values_699,1590
values_578,300
values_644,1830
values_570,2086
values_873,1366
values_33,358
values_210,1830
values_486,556
values_252,1590
values_694,1060
values_759,420
values_245,1956
values_15,1956
values_792,420
values_248,420
values_246,70
values_556,790
values_513,1956
values_93,300
values_558,876
values_991,486
values_181,358
values_674,1590
values_652,358
values_344,150
values_715,876
values_528,2220
values_276,906
values_24,108
values_296,1366
values_244,1260
values_380,708
values_25,2220
values_740,1476
values_478,44
values_379,246
values_810,206
values_440,556
values_543,358
values_130,2086
values_225,630
values_285,246
values_363,708
values_667,1590
values_26,420
values_793,2086
values_772,556
values_931,40
values_981,1956
values_422,1260
values_920,1366
values_259,196
values_477,1708
values_738,1830
values_430,420
values_922,630
values_903,1708
values_761,1708
values_204,358
values_48,2086
values_71,1060
values_851,708
values_347,300
values_725,998
values_266,1060
values_448,1830
values_934,1366
values_531,708
values_224,906
values_686,1590
values_927,1956
values_407,42
values_76,74
values_949,876
values_969,876
values_781,1708
values_7,486
values_683,1158
values_376,486
values_877,876
values_654,108
values_508,1060
values_332,1590
values_281,1060
values_381,906
values_769,1956
values_701,38
values_855,420
values_320,2358
values_50,1260
values_918,150
values_615,1194
values_704,1590
values_633,1590
values_847,1366
values_602,1158
values_399,1708
values_22,2086
values_313,876
values_375,2220
values_963,196
values_168,708
values_226,1956
values_190,246
values_429,966
values_236,1708
values_777,196
values_909,966
values_438,630
values_607,966
values_717,108
values_782,1060
values_258,1708
values_872,420
values_637,158
values_746,1708
values_4,1476
values_345,2358
values_102,358
values_962,708
values_356,420
values_853,876
values_849,998
values_814,82
values_370,630
values_778,196
values_458,300
values_818,420
values_119,1366
values_373,1158
values_351,630
values_32,158
values_770,790
values_371,246
values_283,1830
values_535,708
values_250,1260
values_132,1708
values_649,790
values_77,1158
values_260,2220
values_891,1366
values_91,1366
values_137,150
values_42,2358
values_13,966
values_577,486
values_41,1060
values_809,708
values_414,2086
values_360,790
values_386,358
values_158,486
values_904,2358
values_480,708
values_647,420
values_104,1298
values_55,2086
values_491,708
values_391,1708
values_972,1260
values_571,2358
values_940,1956
values_861,790
values_324,70
values_549,1560
values_170,2006
values_269,74
values_442,108
values_520,708
values_455,420
values_31,420
values_971,150
values_397,876
values_254,2086
values_616,1158
values_66,2358
values_943,790
values_117,358
values_451,300
values_643,70
values_688,1956
values_569,876
values_745,654
values_65,420
values_980,2086
values_982,2358
values_62,1366
values_789,1708
values_401,708
values_21,196
values_598,246
values_273,1476
values_534,206
values_118,2220
values_141,40
values_366,150
values_222,486
values_876,486
values_700,708
values_95,158
values_806,1158
values_671,1830
values_816,1158
values_630,246
values_433,1158
values_905,358
values_84,966
values_233,486
values_664,708
values_162,420
values_681,420
values_542,2220
values_169,1158
values_660,486
values_488,196
values_894,790
values_828,486
values_537,300
values_845,630
values_584,1708
values_457,790
values_499,358
values_369,556
values_58,1366
values_64,790
values_196,1158
values_462,2086
values_343,1590
values_262,38
values_966,876
values_261,1060
values_349,420
values_263,1158
values_801,2358
values_292,2358
values_786,1754
values_101,1590
values_691,630
values_926,1260
values_754,358
values_215,420
values_977,708
values_850,1956
values_646,358
values_628,108
values_941,1260
values_353,300
values_690,1030
values_961,556
values_331,1158
values_377,158
values_128,1158
values_336,38
values_632,420
values_166,78
values_744,150
values_837,556
values_807,1830
values_838,630
values_723,1476
values_874,1476
values_627,2358
values_555,1158
values_446,2086
values_716,486
values_240,1094
values_140,486
values_317,2358
values_83,876
values_696,630
values_413,196
values_94,420
values_937,374
values_199,2220
values_596,876
values_0,1708
values_953,48
values_906,876
values_742,2086
values_396,1366
values_159,1060
values_238,486
values_136,876
values_915,556
values_99,556
values_771,1060
values_96,708
values_768,1830
values_67,486
values_565,206
values_848,2086
values_114,44
values_61,1158
values_511,1590
values_729,150
values_460,2220
values_832,790
values_348,486
values_182,158
values_986,790
values_180,246
values_930,38
values_274,108
values_309,82
values_496,196
values_165,78
values_553,1476
values_870,1366
values_795,966
values_361,1830
values_302,358
values_586,1366
values_880,486
values_665,1060
values_527,2220
values_372,876
values_382,630
values_43,790
values_935,2220
values_2,1590
values_790,1476
values_152,486
values_871,876
values_434,486
values_775,358
values_500,1060
values_220,246
values_875,1476
values_249,2220
values_808,300
values_859,2358
values_539,74
values_635,300
values_311,1060
values_183,1260
values_54,486
values_390,1590
values_890,1590
values_711,1060
values_471,1366
values_995,1956
values_443,1158
values_464,876
values_774,1590
values_200,630
values_747,2220
values_758,2358
values_30,38
values_820,1260
values_393,1590
values_576,876
values_445,966
values_662,196
values_403,876
values_640,1366
values_59,314
values_490,108
values_194,420
values_751,246
values_663,708
values_938,790
values_532,196
values_885,1476
values_713,630
values_193,2358
values_650,420
values_564,790
values_267,40
values_147,1366
values_709,1060
values_857,1878
values_334,1476
values_965,1830
values_824,790
values_784,2220
values_229,556
values_538,1518
values_463,420
values_741,246
values_85,708
values_493,358
values_794,358
values_202,150
values_74,196
values_410,1956
values_469,1060
values_394,1060
values_149,790
values_945,734
values_293,1060
values_456,2086
values_975,630
values_547,1956
values_164,1956
values_720,966
values_833,486
values_90,2086
values_954,1476
values_483,246
values_990,358
values_113,2220
values_878,630
values_942,358
values_126,556
values_666,246
values_960,246
values_783,38
values_735,2358
values_439,998
values_860,486
values_18,1366
values_173,2086
values_454,556
values_176,2086
values_698,1476
values_869,246
values_697,374
values_509,1590
values_189,998
values_714,150
values_270,2220
values_863,1956
values_548,2220
values_359,556
values_512,2358
values_656,358
values_684,708
values_171,150
values_675,486
values_657,420
values_333,1590
values_599,74
values_129,196
values_886,790
values_107,196
values_272,358
values_52,358
values_819,486
values_682,1366
values_44,2086
values_914,74
values_346,300
values_151,1476
values_550,2138
values_326,1260
values_836,1366
values_437,1366
values_984,486
values_17,1366
values_748,2086
values_581,70
values_705,150
values_121,300
values_219,486
values_321,358
values_843,630
values_606,40
values_898,966
values_601,2220
values_36,556
values_282,556
values_395,2086
values_449,1260
values_209,708
values_956,1830
values_579,1956
values_484,196
values_521,2358
values_617,420
values_516,486
values_358,630
values_335,1094
values_139,2358
values_992,1060
values_211,790
values_507,42
values_921,486
values_138,1590
values_275,1708
values_614,630
values_49,150
values_227,1366
values_203,246
values_172,38
values_86,1158
values_178,966
values_978,1590
values_253,876
values_291,1956
values_911,420
values_230,1158
values_318,630
values_798,1158
values_638,74
values_112,1060
values_201,790
values_629,2086
values_337,300
values_37,1956
values_56,998
values_316,1260
values_829,196
values_63,420
values_35,1476
values_519,790
values_481,196
values_278,966
values_186,2220
values_702,246
values_722,790
values_97,300
values_329,876
values_75,906
values_560,1708
values_612,1708
values_421,2220
values_639,1708
values_939,708
values_198,358
values_840,1366
values_415,486
values_405,300
values_100,1366
values_726,1366
values_265,1260
values_743,1830
values_436,358
values_583,966
values_525,70
values_677,708
values_289,2358
values_255,486
values_529,1260
values_826,630
values_362,708
values_355,966
values_506,1060
values_315,2086
values_604,1060
values_57,246
values_133,246
values_787,1158
values_799,876
values_765,1956
values_887,2086
values_952,150
values_631,1956
values_306,2086
values_497,966
values_821,150
values_618,150
values_271,420
values_645,2358
values_985,1260
values_400,1476
values_562,486
values_590,246
values_648,790
values_325,2086
values_883,38
values_827,2358
values_854,358
values_307,1476
values_88,1260
values_958,2220
values_251,358
values_902,420
values_680,1298
values_884,1830
values_901,708
values_354,876
values_420,708
values_103,2220
values_10,1476
values_474,876
values_53,358
values_8,74
values_39,790
values_755,300
values_124,2358
values_841,790
values_510,46
values_989,1260
values_706,1366
values_257,790
values_811,2220
values_111,2086
values_47,486
values_928,790
values_561,150
values_383,358
values_498,420
values_60,708
values_737,790
values_624,1260
values_973,1060
values_472,120
values_280,2358
values_389,1476
values_651,70
values_642,1476
values_668,438
values_551,2220
values_750,876
values_592,506
values_89,708
values_411,150
values_620,966
values_357,486
values_247,708
values_692,300
values_572,486
values_757,40
values_566,374
values_216,2138
values_951,1158
values_910,1956
values_338,1158
values_461,1060
values_730,2220
values_734,708
values_51,150
values_678,40
values_327,1158
values_473,300
values_453,420
values_154,876
values_452,1298
values_221,1590
values_323,876
values_844,150
values_673,246
values_427,2358
values_933,196
values_802,966
values_852,2138
values_487,1158
values_762,1708
values_515,196
values_479,108
values_948,556
values_467,38
values_14,1708
values_868,420
values_188,1366
values_489,966
values_865,1956
values_728,1158
values_996,1060
values_277,1260
values_936,1260
values_554,246
values_763,2358
