inputName,text,data,bss
values_242,400,11,0
values_505,400,11,0
values_924,400,11,0
values_862,400,11,0
values_287,400,11,0
values_733,400,11,0
values_813,400,11,0
values_11,400,11,0
values_19,400,11,0
values_999,400,11,0
values_134,400,11,0
values_609,400,11,0
values_993,400,11,0
values_731,400,11,0
values_127,400,11,0
values_889,400,11,0
values_987,400,11,0
values_780,400,11,0
values_435,400,11,0
values_950,400,11,0
values_976,400,11,0
values_557,400,11,0
values_398,400,11,0
values_892,400,11,0
values_670,400,11,0
values_574,400,11,0
values_163,400,11,0
values_900,400,11,0
values_392,400,11,0
values_447,400,11,0
values_523,400,11,0
values_679,400,11,0
values_419,400,11,0
values_895,400,11,0
values_298,400,11,0
values_155,400,11,0
values_12,400,11,0
values_160,400,11,0
values_626,400,11,0
values_38,400,11,0
values_146,400,11,0
values_81,400,11,0
values_687,400,11,0
values_213,400,11,0
values_212,400,11,0
values_568,400,11,0
values_5,400,11,0
values_40,400,11,0
values_970,400,11,0
values_707,400,11,0
values_406,400,11,0
values_893,400,11,0
values_144,400,11,0
values_979,400,11,0
values_831,400,11,0
values_402,400,11,0
values_404,400,11,0
values_310,400,11,0
values_70,400,11,0
values_268,400,11,0
values_412,400,11,0
values_290,400,11,0
values_916,400,11,0
values_567,400,11,0
values_913,400,11,0
values_232,400,11,0
values_319,400,11,0
values_23,400,11,0
values_899,400,11,0
values_428,400,11,0
values_858,400,11,0
values_546,400,11,0
values_432,400,11,0
values_231,400,11,0
values_388,400,11,0
values_350,400,11,0
values_603,400,11,0
values_364,400,11,0
values_530,400,11,0
values_72,400,11,0
values_536,400,11,0
values_79,400,11,0
values_342,400,11,0
values_803,400,11,0
values_501,400,11,0
values_540,400,11,0
values_955,400,11,0
values_191,400,11,0
values_812,400,11,0
values_545,400,11,0
values_78,400,11,0
values_526,400,11,0
values_695,400,11,0
values_87,400,11,0
values_300,400,11,0
values_964,400,11,0
values_998,400,11,0
values_988,400,11,0
values_6,400,11,0
values_625,400,11,0
values_518,400,11,0
values_122,400,11,0
values_541,400,11,0
values_279,400,11,0
values_256,400,11,0
values_796,400,11,0
values_504,400,11,0
values_752,400,11,0
values_459,400,11,0
values_658,400,11,0
values_408,400,11,0
values_867,400,11,0
values_727,400,11,0
values_177,400,11,0
values_823,400,11,0
values_822,400,11,0
values_218,400,11,0
values_426,400,11,0
values_776,400,11,0
values_143,400,11,0
values_739,400,11,0
values_312,400,11,0
values_174,400,11,0
values_669,400,11,0
values_120,400,11,0
values_974,400,11,0
values_217,400,11,0
values_866,400,11,0
values_192,400,11,0
values_328,400,11,0
values_68,400,11,0
values_387,400,11,0
values_69,400,11,0
values_749,400,11,0
values_135,400,11,0
values_341,400,11,0
values_494,400,11,0
values_1,400,11,0
values_589,400,11,0
values_925,400,11,0
