id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,,,957,0
values_505,,,904,0
values_924,,,1206,0
values_862,,,2057,0
values_287,,,32,0
values_733,,,355,0
values_813,,,1256,0
values_11,,,514,0
values_19,,,1413,0
values_999,,,204,0
values_134,,,442,0
values_609,,,238,0
values_993,,,503,0
values_731,,,127,0
values_127,,,82,0
values_889,,,2369,0
values_987,,,239,0
values_780,,,2814,0
values_435,,,530,0
values_950,,,38,0
values_976,,,1402,0
values_557,,,526,0
values_398,,,1301,0
values_892,,,139,0
values_670,,,1836,0
values_574,,,2422,0
values_163,,,151,0
values_900,,,96,0
values_392,,,2468,0
values_447,,,178,0
values_523,,,339,0
values_679,,,1181,0
values_419,,,1100,0
values_895,,,233,0
values_298,,,1271,0
values_155,,,1132,0
values_12,,,2881,0
values_160,,,1509,0
values_626,,,1135,0
values_38,,,158,0
values_146,,,49,0
values_81,,,812,0
values_687,,,128,0
values_213,,,1783,0
values_212,,,222,0
values_568,,,32,0
values_5,,,1082,0
values_40,,,2516,0
values_970,,,79,0
values_707,,,93,0
values_406,,,1877,0
values_893,,,95,0
values_144,,,16,0
values_979,,,1449,0
values_831,,,806,0
values_402,,,32,0
values_404,,,1386,0
values_310,,,1583,0
values_70,,,2089,0
values_268,,,579,0
values_412,,,1108,0
values_290,,,1717,0
values_916,,,1029,0
values_567,,,2041,0
values_913,,,1963,0
values_232,,,315,0
values_319,,,334,0
values_23,,,16,0
values_899,,,151,0
values_428,,,2060,0
values_858,,,123,0
values_546,,,2311,0
values_432,,,1669,0
values_231,,,1424,0
values_388,,,96,0
values_350,,,1954,0
values_603,,,194,0
values_364,,,171,0
values_530,,,2783,0
values_72,,,1863,0
values_536,,,953,0
values_79,,,79,0
values_342,,,2025,0
values_803,,,107,0
values_501,,,554,0
values_540,,,600,0
values_955,,,38,0
values_191,,,497,0
values_812,,,2272,0
values_545,,,936,0
values_78,,,994,0
values_526,,,1678,0
values_695,,,1493,0
values_87,,,575,0
values_300,,,1711,0
values_964,,,467,0
values_998,,,974,0
values_988,,,1750,0
values_6,,,1846,0
values_625,,,2265,0
values_518,,,1645,0
values_122,,,2455,0
values_541,,,16,0
values_279,,,110,0
values_256,,,2161,0
values_796,,,2199,0
values_504,,,204,0
values_752,,,2251,0
values_459,,,2321,0
values_658,,,662,0
values_408,,,2521,0
values_867,,,1426,0
values_727,,,642,0
values_177,,,32,0
values_823,,,2311,0
values_822,,,1978,0
values_218,,,62,0
values_426,,,1390,0
values_776,,,1295,0
values_143,,,1814,0
values_739,,,1607,0
values_312,,,611,0
values_174,,,229,0
values_669,,,832,0
values_120,,,306,0
values_974,,,257,0
values_217,,,32,0
values_866,,,1035,0
values_192,,,216,0
values_328,,,1634,0
values_68,,,899,0
values_387,,,44,0
values_69,,,88,0
values_749,,,212,0
values_135,,,147,0
values_341,,,1255,0
values_494,,,318,0
values_1,,,623,0
values_589,,,65,0
values_925,,,1462,0
values_524,,,1134,0
values_994,,,1675,0
values_856,,,1002,0
values_156,,,391,0
values_470,,,1525,0
values_207,,,907,0
values_655,,,222,0
values_441,,,49,0
values_109,,,388,0
values_45,,,515,0
values_125,,,2804,0
values_600,,,633,0
values_708,,,2807,0
values_791,,,246,0
values_912,,,2296,0
values_533,,,818,0
values_418,,,244,0
values_228,,,878,0
values_585,,,616,0
values_465,,,903,0
values_239,,,675,0
values_842,,,190,0
values_208,,,381,0
values_932,,,270,0
values_957,,,16,0
values_563,,,1117,0
