id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,44,31,15,2.933
values_505,44,31,50,0.880
values_924,44,31,30,1.467
values_862,44,31,20,2.200
values_287,44,31,40,1.100
values_733,44,31,40,1.100
values_813,44,31,30,1.467
values_11,44,31,15,2.933
values_19,44,31,30,1.467
values_999,44,31,50,0.880
values_134,44,31,35,1.257
values_609,44,31,15,2.933
values_993,44,31,40,1.100
values_731,44,31,40,1.100
values_127,44,31,20,2.200
values_889,44,31,45,0.978
values_987,44,31,30,1.467
values_780,44,31,25,1.760
values_435,44,31,45,0.978
values_950,44,31,60,0.733
values_976,44,31,30,1.467
values_557,44,31,25,1.760
values_398,44,31,45,0.978
values_892,44,31,50,0.880
values_670,44,31,35,1.257
values_574,44,31,15,2.933
values_163,44,31,40,1.100
values_900,44,31,40,1.100
values_392,44,31,30,1.467
values_447,44,31,35,1.257
values_523,44,31,60,0.733
values_679,44,31,20,2.200
values_419,44,31,30,1.467
values_895,44,31,15,2.933
values_298,44,31,15,2.933
values_155,44,31,60,0.733
values_12,44,31,60,0.733
values_160,44,31,30,1.467
values_626,44,31,40,1.100
values_38,44,31,35,1.257
values_146,44,31,55,0.800
values_81,44,31,45,0.978
values_687,44,31,20,2.200
values_213,44,31,40,1.100
values_212,44,31,60,0.733
values_568,44,31,45,0.978
values_5,44,31,35,1.257
values_40,44,31,25,1.760
values_970,44,31,50,0.880
values_707,44,31,35,1.257
values_406,44,31,60,0.733
values_893,44,31,35,1.257
values_144,44,31,55,0.800
values_979,44,31,60,0.733
values_831,44,31,50,0.880
values_402,44,31,25,1.760
values_404,44,31,25,1.760
values_310,44,31,60,0.733
values_70,44,31,30,1.467
values_268,44,31,55,0.800
values_412,44,31,50,0.880
values_290,44,31,45,0.978
values_916,44,31,25,1.760
values_567,44,31,25,1.760
values_913,44,31,50,0.880
values_232,44,31,55,0.800
values_319,44,31,30,1.467
values_23,44,31,20,2.200
values_899,44,31,20,2.200
values_428,44,31,30,1.467
values_858,44,31,60,0.733
values_546,44,31,25,1.760
values_432,44,31,35,1.257
values_231,44,31,55,0.800
values_388,44,31,30,1.467
values_350,44,31,45,0.978
values_603,44,31,15,2.933
values_364,44,31,20,2.200
