id,clockCycles,assemblyInstr
values_242,50,35
values_505,50,35
values_924,50,35
values_862,50,35
values_287,50,35
values_733,50,35
values_813,50,35
values_11,50,35
values_19,50,35
values_999,50,35
values_134,50,35
values_609,50,35
values_993,50,35
values_731,50,35
values_127,50,35
values_889,50,35
values_987,50,35
values_780,50,35
values_435,50,35
values_950,50,35
values_976,50,35
values_557,50,35
values_398,50,35
values_892,50,35
values_670,50,35
values_574,50,35
values_163,50,35
values_900,50,35
values_392,50,35
values_447,50,35
values_523,50,35
values_679,50,35
values_419,50,35
values_895,50,35
values_298,50,35
values_155,50,35
values_12,50,35
values_160,50,35
values_626,50,35
values_38,50,35
values_146,50,35
values_81,50,35
values_687,50,35
values_213,50,35
values_212,50,35
values_568,50,35
values_5,50,35
values_40,50,35
values_970,50,35
values_707,50,35
values_406,50,35
values_893,50,35
values_144,50,35
values_979,50,35
values_831,50,35
values_402,50,35
values_404,50,35
values_310,50,35
values_70,50,35
values_268,50,35
values_412,50,35
values_290,50,35
values_916,50,35
values_567,50,35
values_913,50,35
values_232,50,35
values_319,50,35
values_23,50,35
values_899,50,35
values_428,50,35
values_858,50,35
values_546,50,35
values_432,50,35
values_231,50,35
values_388,50,35
values_350,50,35
values_603,50,35
values_364,50,35
values_530,50,35
values_72,50,35
values_536,50,35
values_79,50,35
values_342,50,35
values_803,50,35
values_501,50,35
values_540,50,35
values_955,50,35
values_191,50,35
values_812,50,35
values_545,50,35
values_78,50,35
values_526,50,35
values_695,50,35
values_87,50,35
values_300,50,35
values_964,50,35
values_998,50,35
values_988,50,35
values_6,50,35
values_625,50,35
values_518,50,35
values_122,50,35
values_541,50,35
values_279,50,35
values_256,50,35
values_796,50,35
values_504,50,35
values_752,50,35
values_459,50,35
values_658,50,35
values_408,50,35
values_867,50,35
values_727,50,35
values_177,50,35
values_823,50,35
values_822,50,35
values_218,50,35
values_426,50,35
values_776,50,35
values_143,50,35
values_739,50,35
values_312,50,35
values_174,50,35
values_669,50,35
values_120,50,35
values_974,50,35
values_217,50,35
values_866,50,35
values_192,50,35
values_328,50,35
values_68,50,35
values_387,50,35
values_69,50,35
values_749,50,35
values_135,50,35
values_341,50,35
values_494,50,35
values_1,50,35
values_589,50,35
values_925,50,35
values_524,50,35
values_994,50,35
values_856,50,35
values_156,50,35
values_470,50,35
values_207,50,35
values_655,50,35
values_441,50,35
values_109,50,35
values_45,50,35
values_125,50,35
values_600,50,35
values_708,50,35
values_791,50,35
values_912,50,35
values_533,50,35
values_418,50,35
values_228,50,35
values_585,50,35
values_465,50,35
values_239,50,35
values_842,50,35
values_208,50,35
values_932,50,35
values_957,50,35
values_563,50,35
values_766,50,35
values_476,50,35
values_175,50,35
values_591,50,35
values_997,50,35
values_385,50,35
values_115,50,35
values_653,50,35
values_753,50,35
values_241,50,35
values_197,50,35
values_636,50,35
values_450,50,35
values_106,50,35
values_699,50,35
values_578,50,35
values_644,50,35
values_570,50,35
values_873,50,35
values_33,50,35
values_210,50,35
values_486,50,35
values_252,50,35
values_694,50,35
values_759,50,35
values_245,50,35
values_15,50,35
values_792,50,35
values_248,50,35
values_246,50,35
values_556,50,35
values_513,50,35
values_93,50,35
values_558,50,35
values_991,50,35
values_181,50,35
values_674,50,35
values_652,50,35
values_344,50,35
values_715,50,35
values_528,50,35
values_276,50,35
values_24,50,35
values_296,50,35
values_244,50,35
values_380,50,35
values_25,50,35
values_740,50,35
values_478,50,35
values_379,50,35
values_810,50,35
values_440,50,35
values_543,50,35
values_130,50,35
values_225,50,35
values_285,50,35
values_363,50,35
values_667,50,35
values_26,50,35
values_793,50,35
values_772,50,35
values_931,50,35
values_981,50,35
values_422,50,35
values_920,50,35
values_259,50,35
values_477,50,35
values_738,50,35
values_430,50,35
values_922,50,35
values_903,50,35
values_761,50,35
values_204,50,35
values_48,50,35
values_71,50,35
values_851,50,35
values_347,50,35
values_725,50,35
values_266,50,35
values_448,50,35
values_934,50,35
values_531,50,35
values_224,50,35
values_686,50,35
values_927,50,35
values_407,50,35
values_76,50,35
values_949,50,35
values_969,50,35
values_781,50,35
values_7,50,35
values_683,50,35
values_376,50,35
values_877,50,35
values_654,50,35
values_508,50,35
values_332,50,35
values_281,50,35
values_381,50,35
values_769,50,35
values_701,50,35
values_855,50,35
values_320,50,35
values_50,50,35
values_918,50,35
values_615,50,35
values_704,50,35
values_633,50,35
values_847,50,35
values_602,50,35
values_399,50,35
values_22,50,35
values_313,50,35
values_375,50,35
values_963,50,35
values_168,50,35
values_226,50,35
values_190,50,35
values_429,50,35
values_236,50,35
values_777,50,35
values_909,50,35
values_438,50,35
values_607,50,35
values_717,50,35
values_782,50,35
values_258,50,35
values_872,50,35
values_637,50,35
values_746,50,35
values_4,50,35
values_345,50,35
values_102,50,35
values_962,50,35
values_356,50,35
values_853,50,35
values_849,50,35
values_814,50,35
values_370,50,35
values_778,50,35
values_458,50,35
values_818,50,35
values_119,50,35
values_373,50,35
values_351,50,35
values_32,50,35
values_770,50,35
values_371,50,35
values_283,50,35
values_535,50,35
values_250,50,35
values_132,50,35
values_649,50,35
values_77,50,35
values_260,50,35
values_891,50,35
values_91,50,35
values_137,50,35
values_42,50,35
values_13,50,35
values_577,50,35
values_41,50,35
values_809,50,35
values_414,50,35
values_360,50,35
values_386,50,35
values_158,50,35
values_904,50,35
values_480,50,35
values_647,50,35
values_104,50,35
values_55,50,35
values_491,50,35
values_391,50,35
values_972,50,35
values_571,50,35
values_940,50,35
values_861,50,35
values_324,50,35
values_549,50,35
values_170,50,35
values_269,50,35
values_442,50,35
values_520,50,35
values_455,50,35
values_31,50,35
values_971,50,35
values_397,50,35
values_254,50,35
values_616,50,35
values_66,50,35
values_943,50,35
values_117,50,35
values_451,50,35
values_643,50,35
values_688,50,35
values_569,50,35
values_745,50,35
values_65,50,35
values_980,50,35
values_982,50,35
values_62,50,35
values_789,50,35
values_401,50,35
values_21,50,35
values_598,50,35
values_273,50,35
values_534,50,35
values_118,50,35
values_141,50,35
values_366,50,35
values_222,50,35
values_876,50,35
values_700,50,35
values_95,50,35
values_806,50,35
values_671,50,35
values_816,50,35
values_630,50,35
values_433,50,35
values_905,50,35
values_84,50,35
values_233,50,35
values_664,50,35
values_162,50,35
values_681,50,35
values_542,50,35
values_169,50,35
values_660,50,35
values_488,50,35
values_894,50,35
values_828,50,35
values_537,50,35
values_845,50,35
values_584,50,35
values_457,50,35
values_499,50,35
values_369,50,35
values_58,50,35
values_64,50,35
values_196,50,35
values_462,50,35
values_343,50,35
values_262,50,35
values_966,50,35
values_261,50,35
values_349,50,35
values_263,50,35
values_801,50,35
values_292,50,35
values_786,50,35
values_101,50,35
values_691,50,35
values_926,50,35
values_754,50,35
values_215,50,35
values_977,50,35
values_850,50,35
values_646,50,35
values_628,50,35
values_941,50,35
values_353,50,35
values_690,50,35
values_961,50,35
values_331,50,35
values_377,50,35
values_128,50,35
values_336,50,35
values_632,50,35
values_166,50,35
values_744,50,35
values_837,50,35
values_807,50,35
values_838,50,35
values_723,50,35
values_874,50,35
values_627,50,35
values_555,50,35
values_446,50,35
values_716,50,35
values_240,50,35
values_140,50,35
values_317,50,35
values_83,50,35
values_696,50,35
values_413,50,35
values_94,50,35
values_937,50,35
values_199,50,35
values_596,50,35
values_0,50,35
values_953,50,35
values_906,50,35
values_742,50,35
values_396,50,35
values_159,50,35
values_238,50,35
values_136,50,35
values_915,50,35
values_99,50,35
values_771,50,35
values_96,50,35
values_768,50,35
values_67,50,35
values_565,50,35
values_848,50,35
values_114,50,35
values_61,50,35
values_511,50,35
values_729,50,35
values_460,50,35
values_832,50,35
values_348,50,35
values_182,50,35
values_986,50,35
values_180,50,35
values_930,50,35
values_274,50,35
values_309,50,35
values_496,50,35
values_165,50,35
values_553,50,35
values_870,50,35
values_795,50,35
values_361,50,35
values_302,50,35
values_586,50,35
values_880,50,35
values_665,50,35
values_527,50,35
values_372,50,35
values_382,50,35
values_43,50,35
values_935,50,35
values_2,50,35
values_790,50,35
values_152,50,35
values_871,50,35
values_434,50,35
values_775,50,35
values_500,50,35
values_220,50,35
values_875,50,35
values_249,50,35
