id,cInstr
values_242,83
values_505,45
values_1006,75
values_924,79
values_862,87
values_287,77
values_733,85
values_813,63
values_11,65
values_19,87
values_999,67
values_134,63
values_609,55
values_993,83
values_731,55
values_127,79
values_889,83
values_987,65
values_780,91
values_435,81
values_950,63
values_976,69
values_557,53
values_398,29
values_892,45
values_670,53
values_574,89
values_163,55
values_900,91
values_392,57
values_447,77
values_523,71
values_679,101
values_419,87
values_895,89
values_298,39
values_155,75
values_12,91
values_160,79
values_626,103
values_38,53
values_146,97
values_81,41
values_687,83
values_213,57
values_212,75
values_568,55
values_5,93
values_40,83
values_970,89
values_707,65
values_406,49
values_893,245
values_144,73
values_979,89
values_831,73
values_402,79
values_404,75
values_310,45
values_70,65
values_268,85
values_1018,65
values_412,53
values_290,53
values_916,71
values_567,89
values_913,73
values_232,69
values_319,79
values_23,55
values_899,71
values_428,87
values_858,67
values_546,79
values_432,57
values_231,93
values_388,41
values_350,85
values_603,93
values_364,53
values_530,99
values_72,69
values_536,101
values_79,63
values_342,75
values_803,61
values_501,63
values_540,115
values_955,85
values_191,65
values_812,75
values_545,53
values_78,65
values_526,73
values_695,77
values_87,61
values_300,91
values_964,93
values_998,71
values_988,63
values_6,67
values_625,45
values_518,77
values_122,63
values_541,103
values_279,65
values_256,87
values_796,49
values_504,57
values_752,69
values_459,75
values_658,53
values_408,45
values_867,71
values_727,73
values_177,43
values_823,61
values_822,63
values_218,55
values_426,93
values_776,55
values_143,73
values_739,69
values_312,61
values_174,61
values_669,75
values_120,107
values_974,69
values_217,47
values_866,79
values_192,85
values_328,75
values_68,53
values_387,33
values_69,69
values_749,77
values_135,189
values_341,69
values_494,83
values_1,91
values_589,87
values_925,89
values_524,93
values_994,93
values_856,93
values_156,69
values_470,51
values_207,57
values_655,67
values_441,79
values_109,105
values_45,75
values_125,91
values_600,101
values_708,69
values_791,67
values_912,43
values_533,85
values_418,73
values_228,53
values_585,91
values_465,57
values_239,63
values_842,91
values_208,49
values_932,85
values_957,99
values_563,77
values_766,111
values_476,73
values_175,61
values_591,85
values_997,77
values_385,57
values_115,85
values_653,57
values_753,63
values_241,41
values_197,57
values_636,47
values_450,55
values_106,91
values_699,87
values_578,93
values_644,51
values_570,47
values_873,83
values_33,75
values_210,79
values_486,75
values_252,67
values_694,59
values_759,93
values_245,63
values_15,61
values_792,35
values_248,75
values_246,55
values_556,89
values_513,87
values_93,77
values_558,45
values_991,77
values_181,61
values_674,85
values_652,85
values_344,67
values_715,83
values_528,65
values_276,71
values_24,73
values_296,59
values_244,67
values_380,47
values_25,65
values_740,93
values_478,89
values_379,63
values_810,81
values_440,85
values_543,85
values_130,81
values_225,75
values_285,83
values_363,63
values_667,41
values_26,55
values_793,51
values_1022,35
values_772,33
values_931,77
values_981,61
values_422,65
values_920,79
values_259,79
values_477,95
values_738,87
values_430,67
values_922,41
values_903,71
values_761,55
values_1017,73
values_204,81
values_48,47
values_71,93
values_851,95
values_347,67
values_725,21
values_266,75
values_448,73
values_934,85
values_531,85
values_224,81
values_686,83
values_927,93
values_407,57
values_76,89
values_949,63
values_969,101
values_781,53
values_7,75
values_1014,27
values_683,73
values_376,73
values_1016,59
values_877,35
values_654,63
values_508,49
values_332,93
values_281,75
values_381,81
values_769,53
values_701,77
values_855,75
values_1009,47
values_320,77
values_50,93
values_918,71
values_615,95
values_704,87
values_633,43
values_847,71
values_602,73
values_399,57
values_22,19
values_313,41
values_375,75
values_963,69
values_168,51
values_1021,81
values_226,77
values_190,129
values_429,75
values_236,89
values_777,81
values_909,99
values_438,45
values_607,85
values_717,83
values_1000,77
values_782,31
values_258,81
values_872,145
values_637,113
values_746,89
values_4,41
values_345,81
values_102,77
values_962,87
values_356,67
values_853,71
values_849,63
values_814,73
values_370,83
values_778,67
values_458,65
values_818,75
values_119,69
values_373,75
values_351,95
values_32,65
values_770,51
values_371,89
values_283,21
values_535,79
values_250,47
values_132,85
values_649,81
values_77,75
values_260,97
values_1004,77
values_891,39
values_91,63
values_137,79
values_42,71
values_13,91
values_577,87
values_41,75
values_809,83
values_414,79
