id,clockCycles,assemblyInstr
values_242,40,27
values_505,40,27
values_1006,40,27
values_924,40,27
values_862,40,27
values_287,40,27
values_733,40,27
values_813,40,27
values_11,40,27
values_19,40,27
values_999,40,27
values_134,40,27
values_609,40,27
values_993,40,27
values_731,40,27
values_127,40,27
values_889,40,27
values_987,40,27
values_780,40,27
values_435,40,27
values_950,40,27
values_976,40,27
values_557,40,27
values_398,40,27
values_892,40,27
values_670,40,27
values_574,40,27
values_163,40,27
values_900,40,27
values_392,40,27
values_447,40,27
values_523,40,27
values_679,40,27
values_419,40,27
values_895,40,27
values_298,40,27
values_155,40,27
values_12,40,27
values_160,40,27
values_626,40,27
values_38,40,27
values_146,40,27
values_81,40,27
values_687,40,27
values_213,40,27
values_212,40,27
values_568,40,27
values_5,40,27
values_40,40,27
values_970,40,27
values_707,40,27
values_406,40,27
values_893,40,27
values_144,40,27
values_979,40,27
values_831,40,27
values_402,40,27
values_404,40,27
values_310,40,27
values_70,40,27
values_268,40,27
values_1018,40,27
values_412,40,27
values_290,40,27
values_916,40,27
values_567,40,27
values_913,40,27
values_232,40,27
values_319,40,27
values_23,40,27
values_899,40,27
values_428,40,27
values_858,40,27
values_546,40,27
values_432,40,27
values_231,40,27
values_388,40,27
values_350,40,27
values_603,40,27
values_364,40,27
values_530,40,27
values_72,40,27
values_536,40,27
values_79,40,27
values_342,40,27
values_803,40,27
values_501,40,27
values_540,40,27
values_955,40,27
values_191,40,27
values_812,40,27
values_545,40,27
values_78,40,27
values_526,40,27
values_695,40,27
values_87,40,27
values_300,40,27
values_964,40,27
values_998,40,27
values_988,40,27
values_6,40,27
values_625,40,27
values_518,40,27
values_122,40,27
values_541,40,27
values_279,40,27
values_256,40,27
values_796,40,27
values_504,40,27
values_752,40,27
values_459,40,27
values_658,40,27
values_408,40,27
values_867,40,27
values_727,40,27
values_177,40,27
values_823,40,27
values_822,40,27
values_218,40,27
values_426,40,27
values_776,40,27
values_143,40,27
values_739,40,27
values_312,40,27
values_174,40,27
values_669,40,27
values_120,40,27
values_974,40,27
values_217,40,27
values_866,40,27
