inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,122,23,10,23,12,45,32,102,102,42,108,125,33,47,100,28
values_505,122,23,10,23,12,45,32,38,77,70,32,49,121,89,28,10
values_924,122,23,10,23,12,45,32,95,76,31,127,113,108,29,41,104
values_862,122,23,10,23,12,45,32,74,36,102,100,85,72,43,94,113
values_287,122,23,10,23,12,45,32,93,88,14,120,73,107,35,116,68
values_733,122,23,10,23,12,45,32,44,91,24,83,126,118,125,13,92
values_813,122,23,10,23,12,45,32,65,123,22,109,24,71,89,101,10
values_11,122,23,10,23,12,45,32,86,64,110,33,52,85,51,15,16
values_19,122,23,10,23,12,45,32,20,118,90,49,112,55,126,110,105
values_999,122,23,10,23,12,45,32,25,124,57,113,46,42,114,122,26
values_134,122,23,10,23,12,45,32,45,66,67,94,20,93,30,76,45
values_609,122,23,10,23,12,45,32,94,31,118,101,57,91,34,30,84
values_993,122,23,10,23,12,45,32,98,23,104,69,34,72,24,66,122
values_731,122,23,10,23,12,45,32,19,92,80,124,25,87,108,38,38
values_127,122,23,10,23,12,45,32,31,110,71,14,76,126,76,10,110
values_889,122,23,10,23,12,45,32,101,52,124,114,14,108,80,84,104
values_987,122,23,10,23,12,45,32,121,36,40,32,100,12,52,66,125
values_780,122,23,10,23,12,45,32,68,66,102,59,34,64,81,20,50
values_435,122,23,10,23,12,45,32,31,25,108,80,20,60,49,88,12
values_950,122,23,10,23,12,45,32,107,59,11,126,73,48,100,127,114
values_976,122,23,10,23,12,45,32,81,17,102,108,103,102,42,62,114
values_557,122,23,10,23,12,45,32,62,36,24,115,12,100,44,98,18
values_398,122,23,10,23,12,45,32,30,63,33,82,38,98,31,117,103
values_892,122,23,10,23,12,45,32,43,60,67,113,77,98,112,83,20
values_670,122,23,10,23,12,45,32,27,23,59,41,110,22,108,10,11
values_574,122,23,10,23,12,45,32,98,120,125,116,57,121,46,31,12
values_163,122,23,10,23,12,45,32,54,119,85,21,11,118,76,83,65
values_900,122,23,10,23,12,45,32,32,114,51,119,101,86,61,123,44
values_392,122,23,10,23,12,45,32,70,69,109,52,101,44,18,115,14
values_447,122,23,10,23,12,45,32,16,109,120,113,49,62,12,115,107
values_523,122,23,10,23,12,45,32,85,54,66,12,74,73,48,118,48
values_679,122,23,10,23,12,45,32,113,29,70,114,35,58,103,56,49
values_419,122,23,10,23,12,45,32,27,127,93,90,122,85,126,37,97
values_895,122,23,10,23,12,45,32,114,110,127,14,68,43,40,23,34
values_298,122,23,10,23,12,45,32,124,22,113,69,19,33,68,71,95
values_155,122,23,10,23,12,45,32,61,84,11,35,78,61,13,91,124
values_12,122,23,10,23,12,45,32,36,106,109,53,55,63,68,51,194
values_160,122,23,10,23,12,45,32,85,64,38,123,124,63,29,46,122
values_626,122,23,10,23,12,45,32,55,114,20,13,88,117,123,21,47
values_38,122,23,10,23,12,45,32,25,93,61,122,118,79,30,49,101
values_146,122,23,10,23,12,45,32,85,43,78,58,194,188,212,35,31
values_81,122,23,10,23,12,45,32,78,30,14,126,43,22,27,23,96
values_687,122,23,10,23,12,45,32,115,43,36,50,97,87,28,47,10
values_213,122,23,10,23,12,45,32,118,74,94,36,31,99,79,64,86
values_212,122,23,10,23,12,45,32,81,92,71,119,125,89,46,104,106
values_568,122,23,10,23,12,45,32,30,105,37,29,28,76,85,26,10
values_5,122,23,10,23,12,45,32,22,23,13,26,38,72,66,36,13
values_40,122,23,10,23,12,45,32,99,80,127,75,72,79,86,27,53
values_970,122,23,10,23,12,45,32,118,75,82,35,37,103,99,13,10
values_707,122,23,10,23,12,45,32,53,72,63,86,73,123,64,79,54
values_406,122,23,10,23,12,45,32,12,15,104,81,57,114,55,74,104
values_893,122,23,10,23,12,45,32,44,110,46,82,89,66,93,20,60
values_144,122,23,10,23,12,45,32,51,92,22,38,20,23,125,50,88
values_979,122,23,10,23,12,45,32,54,89,59,121,19,112,103,66,82
values_831,122,23,10,23,12,45,32,70,113,99,29,120,49,111,116,31
values_402,122,23,10,23,12,45,32,27,61,79,118,78,25,99,61,47
values_404,122,23,10,23,12,45,32,40,26,49,116,117,26,25,73,91
values_310,122,23,10,23,12,45,32,57,15,58,53,115,84,14,91,92
values_70,122,23,10,23,12,45,32,111,71,78,84,88,107,122,70,10
values_268,122,23,10,23,12,45,32,34,15,57,85,10,113,90,36,116
values_412,122,23,10,23,12,45,32,83,30,29,66,16,119,123,17,43
values_290,122,23,10,23,12,45,32,86,71,70,64,13,39,52,46,79
values_916,122,23,10,23,12,45,32,82,85,44,92,87,89,126,37,82
values_567,122,23,10,23,12,45,32,124,116,38,23,126,53,94,10,102
values_913,122,23,10,23,12,45,32,114,56,27,36,126,82,110,11,49
values_232,122,23,10,23,12,45,32,37,22,21,23,78,115,46,23,123
values_319,122,23,10,23,12,45,32,46,34,23,69,88,67,84,126,106
values_23,122,23,10,23,12,45,32,67,94,14,122,34,24,67,38,95
values_899,122,23,10,23,12,45,32,39,31,65,112,125,56,24,50,117
values_428,122,23,10,23,12,45,32,26,85,30,85,23,114,69,85,96
values_858,122,23,10,23,12,45,32,85,23,62,124,122,63,94,23,64
values_546,122,23,10,23,12,45,32,78,62,107,81,99,26,42,46,37
values_432,122,23,10,23,12,45,32,41,104,50,99,114,13,44,113,77
values_231,122,23,10,23,12,45,32,62,55,46,119,65,56,98,113,86
values_388,122,23,10,23,12,45,32,99,11,14,24,114,84,116,122,94
values_350,122,23,10,23,12,45,32,55,34,124,99,84,31,61,125,10
values_603,122,23,10,23,12,45,32,110,97,95,38,56,74,108,48,122
values_364,122,23,10,23,12,45,32,72,108,119,106,116,26,38,51,36
values_530,122,23,10,23,12,45,32,58,108,96,112,76,78,63,14,54
values_72,122,23,10,23,12,45,32,80,43,23,23,89,119,89,27,92
values_536,122,23,10,23,12,45,32,23,117,121,65,15,123,69,10,11
values_79,122,23,10,23,12,45,32,101,83,11,63,194,188,212,35,31
values_342,122,23,10,23,12,45,32,57,95,49,44,64,90,111,194,188
values_803,122,23,10,23,12,45,32,72,29,73,48,98,66,39,84,31
values_501,122,23,10,23,12,45,32,103,58,116,52,103,82,77,45,31
values_540,122,23,10,23,12,45,32,22,36,55,107,19,96,90,106,100
values_955,122,23,10,23,12,45,32,106,81,105,124,99,36,35,19,80
values_191,122,23,10,23,12,45,32,26,120,32,69,110,119,22,23,110
values_812,122,23,10,23,12,45,32,30,126,46,16,112,71,95,108,44
values_545,122,23,10,23,12,45,32,50,40,58,96,65,85,28,24,18
values_78,122,23,10,23,12,45,32,49,71,21,75,95,96,69,22,15
values_526,122,23,10,23,12,45,32,70,14,100,65,108,33,81,65,104
values_695,122,23,10,23,12,45,32,23,100,124,87,32,62,113,46,67
values_87,122,23,10,23,12,45,32,115,89,117,21,36,33,90,94,65
values_300,122,23,10,23,12,45,32,79,107,73,51,120,21,105,65,66
values_964,122,23,10,23,12,45,32,104,66,30,71,63,16,29,96,10
values_998,122,23,10,23,12,45,32,17,53,126,37,96,117,66,80,74
values_988,122,23,10,23,12,45,32,20,12,36,51,102,97,79,15,50
values_6,122,23,10,23,12,45,32,109,16,36,102,41,91,48,63,10
values_625,122,23,10,23,12,45,32,48,120,67,79,20,48,46,81,110
values_518,122,23,10,23,12,45,32,66,122,108,74,108,96,32,58,87
values_122,122,23,10,23,12,45,32,117,68,82,109,127,21,52,30,100
values_541,122,23,10,23,12,45,32,34,71,64,71,116,60,36,72,26
values_279,122,23,10,23,12,45,32,71,127,89,46,99,86,33,90,82
values_256,122,23,10,23,12,45,32,96,52,54,49,58,18,124,71,80
values_796,122,23,10,23,12,45,32,105,80,124,81,48,50,121,35,48
values_504,122,23,10,23,12,45,32,67,44,51,78,87,94,105,127,68
values_752,122,23,10,23,12,45,32,100,73,42,11,17,51,118,33,107
values_459,122,23,10,23,12,45,32,37,100,32,127,38,74,69,10,11
values_658,122,23,10,23,12,45,32,17,38,28,81,13,11,61,98,68
values_408,122,23,10,23,12,45,32,35,41,84,110,101,91,104,17,123
values_867,122,23,10,23,12,45,32,84,15,98,74,41,31,10,72,194
values_727,122,23,10,23,12,45,32,14,108,36,117,112,100,111,106,52
values_177,122,23,10,23,12,45,32,41,122,122,36,79,124,101,117,71
values_823,122,23,10,23,12,45,32,116,121,79,15,107,94,106,41,10
values_822,122,23,10,23,12,45,32,14,20,84,55,96,35,71,21,11
values_218,122,23,10,23,12,45,32,107,100,74,124,105,120,19,51,78
values_426,122,23,10,23,12,45,32,104,54,32,24,76,46,26,70,70
values_776,122,23,10,23,12,45,32,61,50,47,88,59,84,100,19,10
values_143,122,23,10,23,12,45,32,17,64,72,69,83,119,92,80,119
values_739,122,23,10,23,12,45,32,70,12,20,44,64,81,79,85,194
values_312,122,23,10,23,12,45,32,81,40,35,52,69,86,10,120,10
values_174,122,23,10,23,12,45,32,63,11,56,101,46,74,27,62,71
