id,cInstr
values_242,4105
values_505,3181
values_924,33414
values_862,26981
values_287,185673
values_733,56718
values_813,57189
values_11,5940
values_19,1334
values_999,3189
values_134,1313
values_609,8985
values_993,2305
values_731,185908
values_127,18193
values_889,56805
values_987,3173
values_780,3779
values_435,3803
values_950,27066
values_976,3735
values_557,341
values_398,2367
values_892,691
values_670,71909
values_574,72366
values_163,56980
values_900,27281
values_392,6005
values_447,12907
values_523,4085
values_679,33253
values_419,3145
values_895,13024
values_298,1314
values_155,2325
values_12,346
values_160,185841
values_626,343
values_38,5994
values_146,151
values_81,2314
values_687,25063
values_213,43879
values_212,3773
values_568,3775
values_5,1322
values_40,33592
values_970,2367
values_707,3790
values_406,56702
values_893,8927
values_144,27129
values_979,5929
values_831,24990
values_402,33284
values_404,1306
values_310,18108
values_70,24881
values_268,4089
values_412,135571
values_290,136819
values_916,3855
values_567,2649
values_913,27144
values_232,3787
values_319,3789
values_23,2375
values_899,26931
values_428,72201
values_858,71787
values_546,1318
values_432,43803
values_231,3821
values_388,135868
values_350,185975
values_603,56561
values_364,2917
values_530,2635
values_72,2605
values_536,2367
values_79,151
values_342,344
values_803,2307
values_501,341
values_540,2915
values_955,12983
values_191,18196
values_812,3872
values_545,5896
values_78,4087
values_526,2359
values_695,33481
values_87,1311
values_300,4097
values_964,136217
values_998,57638
values_988,2294
values_6,2615
values_625,18263
values_518,136832
values_122,342
values_541,713
values_279,136432
values_256,3471
values_796,1321
values_504,71417
values_752,56418
values_459,27104
values_658,27328
values_408,2893
values_867,341
values_727,27159
values_177,56958
values_823,18304
values_822,185276
values_218,3826
values_426,8967
values_776,186449
values_143,18044
values_739,342
values_312,3461
values_174,5927
values_669,3485
values_120,2905
values_974,2607
values_217,185673
values_866,18362
values_192,57928
values_328,27292
values_68,3853
values_387,690
values_69,57277
values_749,1319
values_135,1331
values_341,1319
values_494,136312
values_1,27191
values_589,3773
values_925,33267
values_524,72145
values_994,43527
values_856,2377
values_156,33250
values_470,185512
values_207,72091
values_655,151
values_441,18433
values_109,8974
values_45,2893
values_125,56213
values_600,2603
values_708,5954
values_791,3779
values_912,56358
values_533,2637
values_418,57603
values_228,186947
values_585,185125
values_465,2309
values_239,43688
values_842,2387
values_208,4095
values_932,1290
values_957,2302
values_563,33302
values_766,33173
values_476,5940
values_175,153
values_591,18092
values_997,17999
values_385,341
values_115,57703
values_653,24777
values_753,33333
values_241,348
values_197,2375
values_636,1333
values_450,24794
values_106,151
values_699,3771
values_578,3161
values_644,5926
values_570,135967
values_873,18218
values_33,5982
values_210,27280
values_486,5853
values_252,2617
values_694,57459
values_759,2379
values_245,136292
values_15,12905
values_792,135942
values_248,136749
values_246,3487
values_556,3189
values_513,9030
values_93,2371
values_558,12834
values_991,27017
values_181,3501
values_674,27037
values_652,185977
values_344,5962
values_715,12951
values_528,27320
values_276,8948
values_24,18187
values_296,93610
values_244,71480
values_380,33357
values_25,3848
values_740,342
values_478,43800
values_379,136024
values_810,3767
values_440,3806
values_543,57588
values_130,693
values_225,3765
values_285,5983
values_363,33211
values_667,93438
values_26,12927
values_793,2891
values_772,56744
values_931,3771
values_981,3807
values_422,2915
values_920,8989
values_259,136193
values_477,56654
values_738,3877
values_430,6002
values_922,18038
values_903,18115
values_761,186230
values_204,24870
values_48,33303
values_71,153
values_851,3779
values_347,3193
values_725,4071
values_266,3465
values_448,692
values_934,3179
values_531,2317
values_224,5969
values_686,33230
values_927,2381
values_407,2639
values_76,350
values_949,18225
values_969,18092
values_781,3461
values_7,3187
values_683,2625
values_376,25084
values_877,1324
values_654,43779
values_508,12927
values_332,5938
values_281,2385
values_381,5994
values_769,12999
values_701,185548
values_855,708
values_320,3463
values_50,2619
values_918,1311
values_615,57355
values_704,57527
values_633,57499
values_847,2621
values_602,93324
values_399,185981
values_22,3447
values_313,2405
values_375,2332
values_963,1327
values_168,3765
values_226,2361
values_190,26906
values_429,18331
values_236,1319
values_777,12806
values_909,33383
