id,clockCycles,assemblyInstr
values_242,70471,49886
values_505,52653,36814
values_924,742226,513673
values_862,762468,518786
values_287,5505191,3746303
values_733,1232237,833742
values_813,1737896,1195347
values_11,106105,69903
values_19,21042,14167
values_999,52653,36814
values_134,21042,14167
values_609,173117,116973
values_993,40293,27466
values_731,5505191,3746303
values_127,389564,269412
values_889,1232237,833742
values_987,52653,36814
values_780,59528,40594
values_435,68327,46114
values_950,762468,518786
values_976,59528,40594
values_557,4466,2988
values_398,37787,26073
values_892,9822,6459
values_670,1503603,990927
values_574,1503603,990927
values_163,1232237,833742
values_900,762468,518786
values_392,106105,69903
values_447,264311,180751
values_523,70471,49886
values_679,742226,513673
values_419,52653,36814
values_895,264311,180751
values_298,21042,14167
values_155,40293,27466
values_12,4466,2988
values_160,5505191,3746303
values_626,4466,2988
values_38,106105,69903
values_146,1669,1092
values_81,40293,27466
values_687,531552,363754
values_213,966025,661376
values_212,59528,40594
values_568,59528,40594
values_5,21042,14167
values_40,742226,513673
values_970,37787,26073
values_707,68327,46114
values_406,1232237,833742
values_893,173117,116973
values_144,762468,518786
values_979,106105,69903
values_831,531552,363754
values_402,742226,513673
values_404,21042,14167
values_310,389564,269412
values_70,531552,363754
values_268,70471,49886
values_412,4154790,2859228
values_290,4154790,2859228
values_916,68327,46114
values_567,43212,30192
values_913,762468,518786
values_232,68327,46114
values_319,68327,46114
values_23,37787,26073
values_899,762468,518786
values_428,1503603,990927
values_858,1503603,990927
values_546,21042,14167
values_432,966025,661376
values_231,68327,46114
values_388,4154790,2859228
values_350,5505191,3746303
values_603,1232237,833742
values_364,49127,34732
values_530,43212,30192
values_72,43212,30192
values_536,37787,26073
values_79,1669,1092
values_342,4466,2988
values_803,40293,27466
values_501,4466,2988
values_540,49127,34732
values_955,264311,180751
values_191,389564,269412
values_812,68327,46114
values_545,106105,69903
values_78,70471,49886
values_526,37787,26073
values_695,742226,513673
values_87,21042,14167
values_300,70471,49886
values_964,4154790,2859228
values_998,1737896,1195347
values_988,40293,27466
values_6,43212,30192
values_625,389564,269412
values_518,4154790,2859228
values_122,4466,2988
values_541,9822,6459
values_279,4154790,2859228
values_256,59319,41967
values_796,21042,14167
values_504,1503603,990927
values_752,1232237,833742
values_459,762468,518786
values_658,762468,518786
values_408,49127,34732
values_867,4466,2988
values_727,762468,518786
values_177,1232237,833742
values_823,389564,269412
values_822,5505191,3746303
values_218,68327,46114
values_426,173117,116973
values_776,5505191,3746303
values_143,389564,269412
values_739,4466,2988
values_312,59319,41967
values_174,106105,69903
values_669,59319,41967
values_120,49127,34732
values_974,43212,30192
values_217,5505191,3746303
values_866,389564,269412
values_192,1737896,1195347
values_328,762468,518786
values_68,68327,46114
values_387,9822,6459
values_69,1737896,1195347
values_749,21042,14167
values_135,21042,14167
values_341,21042,14167
values_494,4154790,2859228
values_1,762468,518786
values_589,59528,40594
values_925,742226,513673
values_524,1503603,990927
values_994,966025,661376
values_856,37787,26073
values_156,742226,513673
values_470,5505191,3746303
values_207,1503603,990927
values_655,1669,1092
values_441,389564,269412
values_109,173117,116973
values_45,49127,34732
values_125,1232237,833742
values_600,43212,30192
values_708,106105,69903
values_791,59528,40594
values_912,1232237,833742
values_533,43212,30192
values_418,1737896,1195347
values_228,5505191,3746303
values_585,5505191,3746303
values_465,40293,27466
values_239,966025,661376
values_842,37787,26073
values_208,70471,49886
values_932,21042,14167
values_957,40293,27466
values_563,742226,513673
values_766,742226,513673
values_476,106105,69903
values_175,1669,1092
values_591,389564,269412
values_997,389564,269412
values_385,4466,2988
values_115,1737896,1195347
values_653,531552,363754
values_753,742226,513673
values_241,4466,2988
values_197,37787,26073
values_636,21042,14167
values_450,531552,363754
values_106,1669,1092
values_699,59528,40594
values_578,52653,36814
values_644,106105,69903
values_570,4154790,2859228
values_873,389564,269412
