inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,26,702,141,1854,167,13689.39,886023.78,0.02,64.72,49223.54,3.07
values_505,26,182,96,548,122,3798.04,93605.96,0.04,24.65,5200.33,0.69
values_924,26,126,74,404,100,2684.12,59413.31,0.05,22.14,3300.74,0.51
values_862,26,342,131,971,157,7083.08,240392.06,0.03,33.94,13355.11,1.29
values_287,26,62,24,237,50,1337.59,44920.86,0.03,33.58,2495.60,0.42
values_733,26,126,70,405,96,2666.91,62405.69,0.04,23.40,3466.98,0.52
values_813,26,1206,143,3137,169,23216.56,2545379.08,0.01,109.64,141409.95,6.21
values_11,26,104,54,344,80,2174.74,54449.13,0.04,25.04,3024.95,0.48
values_19,26,776,143,2056,169,15216.21,1073434.32,0.01,70.55,59635.24,3.49
values_999,26,152,80,463,106,3115.03,76941.17,0.04,24.70,4274.51,0.60
values_134,26,1112,143,2916,169,21580.96,2181639.31,0.01,101.09,121202.18,5.61
values_609,26,1512,143,3953,169,29255.68,4021325.70,0.01,137.45,223406.98,8.43
values_993,26,1406,143,3620,169,26791.18,3424400.37,0.01,127.82,190244.47,7.57
values_731,26,254,118,737,144,5284.23,147869.01,0.04,27.98,8214.94,0.93
values_127,26,566,141,1535,167,11333.99,591457.23,0.02,52.18,32858.74,2.35
values_889,26,632,138,1686,164,12404.83,738536.99,0.02,59.54,41029.83,2.72
values_987,26,854,143,2259,169,16718.59,1297970.27,0.01,77.64,72109.46,3.97
values_780,26,126,69,397,95,2608.23,61917.18,0.04,23.74,3439.84,0.52
values_435,26,1406,143,3663,169,27109.42,3465076.95,0.01,127.82,192504.28,7.63
values_950,26,446,133,1216,159,8892.47,387658.01,0.02,43.59,21536.56,1.77
values_976,26,854,143,2253,169,16674.18,1294522.81,0.01,77.64,71917.93,3.96
values_557,26,342,132,958,158,6997.02,235672.42,0.03,33.68,13092.91,1.27
values_398,26,936,143,2452,169,18146.96,1544141.02,0.01,85.09,85785.61,4.45
values_892,26,72,34,262,60,1547.61,42604.66,0.04,27.53,2366.93,0.41
values_670,26,126,72,402,98,2659.11,60494.83,0.04,22.75,3360.82,0.51
values_574,26,104,59,343,85,2198.42,50377.38,0.04,22.92,2798.74,0.45
values_163,26,1622,143,4167,169,30839.46,4547419.24,0.01,147.45,252634.40,9.15
values_900,26,86,46,300,72,1850.98,44986.80,0.04,24.30,2499.27,0.42
values_392,26,72,32,261,58,1528.93,44721.29,0.03,29.25,2484.52,0.42
values_447,26,1206,143,3160,169,23386.78,2564041.41,0.01,109.64,142446.74,6.24
values_523,26,216,110,624,136,4422.58,112896.32,0.04,25.53,6272.02,0.78
values_679,26,72,34,265,60,1565.33,43092.50,0.04,27.53,2394.03,0.41
values_419,26,936,143,2474,169,18309.78,1557995.46,0.01,85.09,86555.30,4.48
values_895,26,72,34,261,60,1541.70,42442.05,0.04,27.53,2357.89,0.41
values_298,26,566,139,1507,165,11101.05,587636.75,0.02,52.94,32646.49,2.34
values_155,26,216,108,626,134,4423.37,115007.67,0.04,26,6389.31,0.79
values_12,26,1622,143,4182,169,30950.48,4563788.64,0.01,147.45,253543.81,9.17
