inputName,text,data,bss
values_242,364,21,9
values_505,364,21,9
values_924,364,21,9
values_862,364,21,9
values_287,364,21,9
values_733,364,21,9
values_813,364,21,9
values_11,364,21,9
values_19,364,21,9
values_999,364,21,9
values_134,364,21,9
values_609,364,21,9
values_993,364,21,9
values_731,364,21,9
values_127,364,21,9
values_889,364,21,9
values_987,364,21,9
values_780,364,21,9
values_435,364,21,9
values_950,364,21,9
values_976,364,21,9
values_557,364,21,9
values_398,364,21,9
values_892,364,21,9
values_670,364,21,9
values_574,364,21,9
values_163,364,21,9
values_900,364,21,9
values_392,364,21,9
values_447,364,21,9
values_523,364,21,9
values_679,364,21,9
values_419,364,21,9
values_895,364,21,9
values_298,364,21,9
values_155,364,21,9
values_12,364,21,9
values_160,364,21,9
values_626,364,21,9
values_38,364,21,9
values_146,364,21,9
values_81,364,21,9
values_687,364,21,9
values_213,364,21,9
values_212,364,21,9
values_568,364,21,9
values_5,364,21,9
values_40,364,21,9
values_970,364,21,9
values_707,364,21,9
values_406,364,21,9
values_893,364,21,9
values_144,364,21,9
values_979,364,21,9
values_831,364,21,9
values_402,364,21,9
values_404,364,21,9
values_310,364,21,9
values_70,364,21,9
values_268,364,21,9
values_412,364,21,9
values_290,364,21,9
values_916,364,21,9
values_567,364,21,9
values_913,364,21,9
values_232,364,21,9
values_319,364,21,9
values_23,364,21,9
values_899,364,21,9
values_428,364,21,9
values_858,364,21,9
values_546,364,21,9
values_432,364,21,9
values_231,364,21,9
values_388,364,21,9
values_350,364,21,9
values_603,364,21,9
values_364,364,21,9
values_530,364,21,9
values_72,364,21,9
values_536,364,21,9
values_79,364,21,9
values_342,364,21,9
values_803,364,21,9
values_501,364,21,9
values_540,364,21,9
values_955,364,21,9
values_191,364,21,9
values_812,364,21,9
values_545,364,21,9
values_78,364,21,9
values_526,364,21,9
values_695,364,21,9
values_87,364,21,9
values_300,364,21,9
values_964,364,21,9
values_998,364,21,9
values_988,364,21,9
values_6,364,21,9
values_625,364,21,9
values_518,364,21,9
values_122,364,21,9
values_541,364,21,9
values_279,364,21,9
values_256,364,21,9
values_796,364,21,9
values_504,364,21,9
values_752,364,21,9
values_459,364,21,9
values_658,364,21,9
values_408,364,21,9
values_867,364,21,9
values_727,364,21,9
values_177,364,21,9
values_823,364,21,9
values_822,364,21,9
values_218,364,21,9
values_426,364,21,9
values_776,364,21,9
values_143,364,21,9
values_739,364,21,9
values_312,364,21,9
values_174,364,21,9
values_669,364,21,9
values_120,364,21,9
values_974,364,21,9
values_217,364,21,9
values_866,364,21,9
values_192,364,21,9
values_328,364,21,9
values_68,364,21,9
values_387,364,21,9
values_69,364,21,9
values_749,364,21,9
values_135,364,21,9
values_341,364,21,9
values_494,364,21,9
values_1,364,21,9
values_589,364,21,9
values_925,364,21,9
values_524,364,21,9
values_994,364,21,9
values_856,364,21,9
values_156,364,21,9
values_470,364,21,9
values_207,364,21,9
values_655,364,21,9
values_441,364,21,9
values_109,364,21,9
values_45,364,21,9
values_125,364,21,9
values_600,364,21,9
values_708,364,21,9
values_791,364,21,9
values_912,364,21,9
values_533,364,21,9
values_418,364,21,9
values_228,364,21,9
values_585,364,21,9
values_465,364,21,9
values_239,364,21,9
values_842,364,21,9
values_208,364,21,9
values_932,364,21,9
values_957,364,21,9
values_563,364,21,9
values_766,364,21,9
values_476,364,21,9
values_175,364,21,9
values_591,364,21,9
values_997,364,21,9
values_385,364,21,9
values_115,364,21,9
values_653,364,21,9
values_753,364,21,9
values_241,364,21,9
values_197,364,21,9
values_636,364,21,9
values_450,364,21,9
values_106,364,21,9
values_699,364,21,9
values_578,364,21,9
values_644,364,21,9
values_570,364,21,9
values_873,364,21,9
values_33,364,21,9
values_210,364,21,9
values_486,364,21,9
values_252,364,21,9
values_694,364,21,9
values_759,364,21,9
values_245,364,21,9
values_15,364,21,9
values_792,364,21,9
values_248,364,21,9
values_246,364,21,9
values_556,364,21,9
values_513,364,21,9
values_93,364,21,9
values_558,364,21,9
values_991,364,21,9
values_181,364,21,9
values_674,364,21,9
values_652,364,21,9
values_344,364,21,9
values_715,364,21,9
values_528,364,21,9
values_276,364,21,9
values_24,364,21,9
values_296,364,21,9
values_244,364,21,9
values_380,364,21,9
values_25,364,21,9
values_740,364,21,9
values_478,364,21,9
values_379,364,21,9
values_810,364,21,9
values_440,364,21,9
values_543,364,21,9
values_130,364,21,9
values_225,364,21,9
values_285,364,21,9
values_363,364,21,9
values_667,364,21,9
values_26,364,21,9
values_793,364,21,9
values_772,364,21,9
values_931,364,21,9
values_981,364,21,9
values_422,364,21,9
values_920,364,21,9
values_259,364,21,9
values_477,364,21,9
values_738,364,21,9
values_430,364,21,9
values_922,364,21,9
values_903,364,21,9
values_761,364,21,9
values_204,364,21,9
values_48,364,21,9
values_71,364,21,9
values_851,364,21,9
values_347,364,21,9
values_725,364,21,9
values_266,364,21,9
values_448,364,21,9
values_934,364,21,9
values_531,364,21,9
values_224,364,21,9
values_686,364,21,9
values_927,364,21,9
values_407,364,21,9
values_76,364,21,9
values_949,364,21,9
values_969,364,21,9
values_781,364,21,9
values_7,364,21,9
values_683,364,21,9
values_376,364,21,9
values_877,364,21,9
values_654,364,21,9
values_508,364,21,9
values_332,364,21,9
values_281,364,21,9
values_381,364,21,9
values_769,364,21,9
values_701,364,21,9
values_855,364,21,9
values_320,364,21,9
values_50,364,21,9
values_918,364,21,9
values_615,364,21,9
values_704,364,21,9
values_633,364,21,9
values_847,364,21,9
values_602,364,21,9
values_399,364,21,9
values_22,364,21,9
values_313,364,21,9
values_375,364,21,9
values_963,364,21,9
values_168,364,21,9
values_226,364,21,9
values_190,364,21,9
values_429,364,21,9
values_236,364,21,9
values_777,364,21,9
values_909,364,21,9
values_438,364,21,9
values_607,364,21,9
values_717,364,21,9
values_782,364,21,9
values_258,364,21,9
values_872,364,21,9
values_637,364,21,9
values_746,364,21,9
values_4,364,21,9
values_345,364,21,9
values_102,364,21,9
values_962,364,21,9
values_356,364,21,9
values_853,364,21,9
values_849,364,21,9
values_814,364,21,9
values_370,364,21,9
values_778,364,21,9
values_458,364,21,9
values_818,364,21,9
values_119,364,21,9
values_373,364,21,9
values_351,364,21,9
values_32,364,21,9
values_770,364,21,9
values_371,364,21,9
values_283,364,21,9
values_535,364,21,9
values_250,364,21,9
values_132,364,21,9
values_649,364,21,9
values_77,364,21,9
values_260,364,21,9
values_891,364,21,9
values_91,364,21,9
values_137,364,21,9
values_42,364,21,9
values_13,364,21,9
values_577,364,21,9
values_41,364,21,9
values_809,364,21,9
values_414,364,21,9
values_360,364,21,9
values_386,364,21,9
values_158,364,21,9
values_904,364,21,9
values_480,364,21,9
values_647,364,21,9
values_104,364,21,9
values_55,364,21,9
values_491,364,21,9
values_391,364,21,9
values_972,364,21,9
values_571,364,21,9
values_940,364,21,9
values_861,364,21,9
values_324,364,21,9
values_549,364,21,9
values_170,364,21,9
values_269,364,21,9
values_442,364,21,9
values_520,364,21,9
values_455,364,21,9
values_31,364,21,9
values_971,364,21,9
values_397,364,21,9
values_254,364,21,9
values_616,364,21,9
values_66,364,21,9
values_943,364,21,9
values_117,364,21,9
values_451,364,21,9
values_643,364,21,9
values_688,364,21,9
values_569,364,21,9
values_745,364,21,9
values_65,364,21,9
values_980,364,21,9
values_982,364,21,9
values_62,364,21,9
values_789,364,21,9
values_401,364,21,9
values_21,364,21,9
values_598,364,21,9
values_273,364,21,9
values_534,364,21,9
values_118,364,21,9
values_141,364,21,9
values_366,364,21,9
values_222,364,21,9
values_876,364,21,9
values_700,364,21,9
values_95,364,21,9
values_806,364,21,9
values_671,364,21,9
values_816,364,21,9
values_630,364,21,9
values_433,364,21,9
values_905,364,21,9
values_84,364,21,9
values_233,364,21,9
values_664,364,21,9
values_162,364,21,9
values_681,364,21,9
values_542,364,21,9
values_169,364,21,9
values_660,364,21,9
values_488,364,21,9
values_894,364,21,9
values_828,364,21,9
values_537,364,21,9
values_845,364,21,9
values_584,364,21,9
values_457,364,21,9
values_499,364,21,9
values_369,364,21,9
values_58,364,21,9
values_64,364,21,9
values_196,364,21,9
values_462,364,21,9
values_343,364,21,9
values_262,364,21,9
values_966,364,21,9
values_261,364,21,9
values_349,364,21,9
values_263,364,21,9
values_801,364,21,9
values_292,364,21,9
values_786,364,21,9
values_101,364,21,9
values_691,364,21,9
values_926,364,21,9
values_754,364,21,9
values_215,364,21,9
values_977,364,21,9
values_850,364,21,9
values_646,364,21,9
values_628,364,21,9
values_941,364,21,9
values_353,364,21,9
values_690,364,21,9
values_961,364,21,9
values_331,364,21,9
values_377,364,21,9
values_128,364,21,9
values_336,364,21,9
values_632,364,21,9
values_166,364,21,9
values_744,364,21,9
values_837,364,21,9
values_807,364,21,9
values_838,364,21,9
values_723,364,21,9
values_874,364,21,9
values_627,364,21,9
values_555,364,21,9
values_446,364,21,9
values_716,364,21,9
values_240,364,21,9
values_140,364,21,9
values_317,364,21,9
values_83,364,21,9
values_696,364,21,9
values_413,364,21,9
values_94,364,21,9
values_937,364,21,9
values_199,364,21,9
values_596,364,21,9
values_0,364,21,9
values_953,364,21,9
values_906,364,21,9
values_742,364,21,9
values_396,364,21,9
values_159,364,21,9
values_238,364,21,9
values_136,364,21,9
values_915,364,21,9
values_99,364,21,9
values_771,364,21,9
values_96,364,21,9
values_768,364,21,9
values_67,364,21,9
values_565,364,21,9
values_848,364,21,9
values_114,364,21,9
values_61,364,21,9
values_511,364,21,9
values_729,364,21,9
values_460,364,21,9
values_832,364,21,9
values_348,364,21,9
values_182,364,21,9
values_986,364,21,9
values_180,364,21,9
values_930,364,21,9
values_274,364,21,9
values_309,364,21,9
values_496,364,21,9
values_165,364,21,9
values_553,364,21,9
values_870,364,21,9
values_795,364,21,9
values_361,364,21,9
values_302,364,21,9
values_586,364,21,9
values_880,364,21,9
values_665,364,21,9
values_527,364,21,9
values_372,364,21,9
values_382,364,21,9
values_43,364,21,9
values_935,364,21,9
values_2,364,21,9
values_790,364,21,9
values_152,364,21,9
values_871,364,21,9
values_434,364,21,9
values_775,364,21,9
values_500,364,21,9
values_220,364,21,9
values_875,364,21,9
values_249,364,21,9
values_808,364,21,9
values_859,364,21,9
values_539,364,21,9
values_635,364,21,9
values_311,364,21,9
values_183,364,21,9
values_54,364,21,9
values_390,364,21,9
values_890,364,21,9
values_711,364,21,9
values_471,364,21,9
values_995,364,21,9
values_443,364,21,9
values_464,364,21,9
values_774,364,21,9
values_200,364,21,9
values_747,364,21,9
values_758,364,21,9
values_30,364,21,9
values_820,364,21,9
values_393,364,21,9
values_576,364,21,9
values_445,364,21,9
values_662,364,21,9
values_403,364,21,9
values_640,364,21,9
values_59,364,21,9
values_490,364,21,9
values_194,364,21,9
values_751,364,21,9
values_663,364,21,9
values_938,364,21,9
values_532,364,21,9
values_885,364,21,9
values_713,364,21,9
values_193,364,21,9
values_650,364,21,9
values_564,364,21,9
values_267,364,21,9
values_147,364,21,9
values_709,364,21,9
values_857,364,21,9
values_334,364,21,9
values_965,364,21,9
values_824,364,21,9
values_784,364,21,9
values_229,364,21,9
values_538,364,21,9
values_463,364,21,9
values_741,364,21,9
values_85,364,21,9
values_493,364,21,9
values_794,364,21,9
values_202,364,21,9
values_74,364,21,9
values_410,364,21,9
values_469,364,21,9
values_394,364,21,9
values_149,364,21,9
values_945,364,21,9
values_293,364,21,9
values_456,364,21,9
values_975,364,21,9
values_547,364,21,9
values_164,364,21,9
values_720,364,21,9
values_833,364,21,9
values_90,364,21,9
values_954,364,21,9
values_483,364,21,9
values_990,364,21,9
values_113,364,21,9
values_878,364,21,9
values_942,364,21,9
values_126,364,21,9
values_666,364,21,9
values_960,364,21,9
values_783,364,21,9
values_735,364,21,9
values_439,364,21,9
values_860,364,21,9
values_18,364,21,9
values_173,364,21,9
values_454,364,21,9
values_176,364,21,9
values_698,364,21,9
values_869,364,21,9
values_697,364,21,9
values_509,364,21,9
values_189,364,21,9
values_714,364,21,9
values_270,364,21,9
values_863,364,21,9
values_548,364,21,9
values_359,364,21,9
values_512,364,21,9
values_656,364,21,9
values_684,364,21,9
values_171,364,21,9
values_675,364,21,9
values_657,364,21,9
values_333,364,21,9
values_599,364,21,9
values_129,364,21,9
values_886,364,21,9
values_107,364,21,9
values_272,364,21,9
values_52,364,21,9
values_819,364,21,9
values_682,364,21,9
values_44,364,21,9
values_914,364,21,9
values_346,364,21,9
values_151,364,21,9
values_550,364,21,9
values_326,364,21,9
values_836,364,21,9
values_437,364,21,9
values_984,364,21,9
values_17,364,21,9
values_748,364,21,9
values_581,364,21,9
values_705,364,21,9
values_121,364,21,9
values_219,364,21,9
values_321,364,21,9
values_843,364,21,9
values_606,364,21,9
values_898,364,21,9
values_601,364,21,9
values_36,364,21,9
values_282,364,21,9
values_395,364,21,9
values_449,364,21,9
values_209,364,21,9
values_956,364,21,9
values_579,364,21,9
values_484,364,21,9
values_521,364,21,9
values_617,364,21,9
values_516,364,21,9
values_358,364,21,9
values_335,364,21,9
values_139,364,21,9
values_992,364,21,9
values_211,364,21,9
values_507,364,21,9
values_921,364,21,9
values_138,364,21,9
values_275,364,21,9
values_614,364,21,9
values_49,364,21,9
values_227,364,21,9
values_203,364,21,9
values_172,364,21,9
values_86,364,21,9
values_178,364,21,9
values_978,364,21,9
values_253,364,21,9
values_291,364,21,9
values_911,364,21,9
values_230,364,21,9
values_318,364,21,9
values_798,364,21,9
values_638,364,21,9
values_112,364,21,9
values_201,364,21,9
values_629,364,21,9
values_337,364,21,9
