id,cInstr
values_242,164
values_505,1211
values_924,1311
values_862,1424
values_287,564
values_733,248
values_813,332
values_11,275
values_19,375
values_999,480
values_134,1668
values_609,140
values_993,1540
values_731,623
values_127,300
values_889,384
values_987,1023
values_780,771
values_435,60
values_950,132
values_976,1211
values_557,851
values_398,1415
values_892,200
values_670,95
values_574,540
values_163,555
values_900,780
values_392,191
values_447,375
values_523,284
values_679,1660
values_419,1115
values_895,123
values_298,200
values_155,1532
values_12,944
values_160,155
values_626,95
values_38,68
values_146,71
values_81,1635
values_687,555
values_213,1523
values_212,1032
values_568,780
values_5,52
values_40,200
values_970,155
values_707,704
values_406,375
values_893,1032
values_144,771
values_979,323
values_831,55
values_402,868
values_404,323
values_310,140
values_70,632
values_268,695
values_412,1523
values_290,1635
values_916,440
values_567,104
values_913,332
values_232,632
values_319,332
values_23,1023
values_899,1115
values_428,132
values_858,1115
values_546,623
values_432,275
values_231,164
values_388,140
values_350,71
values_603,1220
values_364,71
values_530,771
values_72,1415
values_536,623
values_79,851
values_342,323
values_803,695
values_501,208
values_540,275
values_955,375
values_191,95
values_812,384
values_545,771
values_78,851
values_526,1032
values_695,191
values_87,851
values_300,952
values_964,944
values_998,200
values_988,140
values_6,1532
values_625,284
values_518,876
values_122,240
values_541,935
values_279,51
values_256,1124
values_796,1424
values_504,1523
values_752,104
values_459,623
values_658,695
values_408,1415
values_867,1432
values_727,120
values_177,231
values_823,1660
values_822,240
values_218,1635
values_426,431
values_776,1032
values_143,1132
values_739,1132
values_312,375
values_174,44
values_669,323
values_120,508
values_974,104
values_217,780
values_866,780
values_192,712
values_328,87
values_68,440
values_387,35
values_69,95
values_749,1328
values_135,860
values_341,860
values_494,71
values_1,876
values_589,323
values_925,51
values_524,232
values_994,1320
values_856,952
values_156,555
values_470,43
values_207,728
values_655,71
values_441,1115
values_109,623
values_45,284
values_125,623
values_600,1523
values_708,80
values_791,804
values_912,23
values_533,375
values_418,275
values_228,231
values_585,231
values_465,640
values_239,231
values_842,71
values_208,580
values_932,1635
values_957,851
values_563,384
values_766,200
values_476,1540
values_175,944
values_591,935
values_997,640
values_385,1532
values_115,1115
values_653,500
values_753,364
values_241,1040
values_197,555
values_636,1032
values_450,191
values_106,71
values_699,123
values_578,1124
values_644,95
values_570,704
values_873,1532
values_33,788
values_210,1040
values_486,564
values_252,1040
values_694,623
values_759,375
values_245,431
values_15,164
values_792,1124
values_248,1023
values_246,771
values_556,132
values_513,60
values_93,375
values_558,1415
values_991,648
values_181,164
values_674,1311
values_652,80
values_344,104
values_715,275
values_528,1040
values_276,555
values_24,123
values_296,323
values_244,1424
values_380,1464
values_25,35
values_740,191
values_478,231
values_379,851
values_810,1228
values_440,1644
values_543,1652
values_130,1532
values_225,284
values_285,76
values_363,123
values_667,95
values_26,712
values_793,1211
values_772,275
values_931,375
values_981,71
values_422,935
values_920,400
values_259,275
values_477,95
values_738,960
values_430,1124
values_922,155
values_903,440
values_761,1211
values_204,51
values_48,323
values_71,300
values_851,112
values_347,1635
values_725,71
values_266,284
values_448,123
values_934,1072
values_531,323
values_224,1311
values_686,35
values_927,440
values_407,1635
values_76,191
values_949,1424
values_969,868
values_781,208
values_7,788
values_683,1320
values_376,555
values_877,400
values_654,231
values_508,1532
values_332,208
values_281,464
values_381,375
values_769,1211
values_701,248
values_855,1556
values_320,456
values_50,1415
values_918,472
values_615,1228
values_704,292
values_633,771
values_847,1424
values_602,555
values_399,123
values_22,52
values_313,71
values_375,1220
values_963,935
values_168,112
values_226,155
values_190,35
values_429,51
values_236,231
values_777,564
values_909,564
values_438,132
values_607,1523
values_717,968
values_782,1320
values_258,51
values_872,771
values_637,1532
values_746,632
values_4,555
values_345,1432
values_102,51
values_962,155
values_356,1023
values_853,431
values_849,1311
values_814,208
values_370,148
values_778,284
values_458,1032
values_818,323
values_119,491
values_373,123
values_351,780
values_32,860
values_770,860
values_371,564
values_283,860
values_535,292
values_250,80
values_132,1532
values_649,851
values_77,1320
values_260,771
values_891,123
values_91,191
values_137,96
values_42,164
values_13,508
values_577,323
values_41,60
values_809,780
values_414,1211
values_360,323
values_386,231
values_158,1415
values_904,80
values_480,156
values_647,128
values_104,71
values_55,300
values_491,375
values_391,284
values_972,623
values_571,632
values_940,164
values_861,695
values_324,1124
values_549,1532
values_170,172
values_269,63
values_442,851
values_520,1523
values_455,1023
values_31,60
values_971,935
values_397,623
values_254,720
values_616,164
values_66,1115
values_943,375
values_117,275
values_451,555
values_643,164
values_688,392
values_569,1415
values_745,632
values_65,1140
values_980,200
values_982,876
values_62,95
values_789,1124
values_401,95
values_21,508
values_598,564
values_273,248
values_534,440
values_118,123
values_141,564
values_366,348
values_222,632
values_876,155
values_700,35
values_95,1635
values_806,851
values_671,1532
values_816,1115
values_630,1532
values_433,564
values_905,148
values_84,564
values_233,1032
values_664,892
values_162,35
values_681,935
values_542,623
values_169,332
values_660,1023
values_488,32
values_894,431
values_828,292
values_537,80
values_845,1523
values_584,1415
values_457,491
values_499,191
values_369,440
values_58,400
values_64,868
values_196,1311
values_462,23
values_343,1523
values_262,648
values_966,123
values_261,555
values_349,35
values_263,164
values_801,275
values_292,340
values_786,1211
values_101,1023
values_691,95
values_926,1415
values_754,275
values_215,35
values_977,1236
values_850,208
values_646,123
values_628,500
values_941,771
values_353,284
values_690,1415
values_961,491
values_331,32
values_377,240
values_128,323
values_336,491
values_632,172
values_166,1124
values_744,440
values_837,35
values_807,1211
values_838,695
values_723,332
values_874,431
values_627,1424
values_555,1652
values_446,1115
values_716,324
values_240,500
values_140,71
values_317,431
values_83,623
values_696,572
values_413,771
values_94,104
values_937,172
values_199,1540
values_596,71
values_0,1652
values_953,95
values_906,440
values_742,23
values_396,231
values_159,132
values_238,851
values_136,952
values_915,771
values_99,876
values_771,200
values_96,1523
values_768,555
values_67,623
values_565,555
values_848,340
values_114,640
values_61,164
values_511,95
values_729,1635
values_460,944
values_832,1320
values_348,375
values_182,1424
values_986,1164
values_180,1523
values_930,771
values_274,231
values_309,95
values_496,164
values_165,60
values_553,1211
values_870,323
values_795,155
values_361,771
values_302,23
values_586,1652
values_880,623
values_665,132
values_527,71
values_372,1023
values_382,284
values_43,1635
values_935,132
values_2,952
values_790,771
values_152,431
values_871,51
values_434,656
values_775,23
values_500,155
values_220,191
values_875,80
values_249,1652
values_808,231
values_859,491
values_539,1415
values_635,1336
values_311,191
values_183,275
values_54,851
values_390,88
values_890,384
values_711,1448
values_471,1523
values_995,1635
values_443,1644
values_464,1311
values_774,868
values_200,1220
values_747,771
values_758,860
values_30,95
values_820,71
values_393,623
values_576,191
values_445,1652
values_662,935
values_403,156
values_640,935
values_59,632
values_490,43
values_194,1415
values_751,1635
values_663,500
values_938,555
values_532,771
values_885,1211
values_713,191
values_193,51
values_650,1115
values_564,1564
values_267,284
values_147,720
values_709,960
values_857,140
values_334,695
values_965,323
values_824,780
values_784,35
values_229,1311
values_538,52
values_463,200
values_741,191
values_85,1115
values_493,80
values_794,272
values_202,771
values_74,935
values_410,240
values_469,796
values_394,1124
values_149,155
values_945,1635
values_293,1115
values_456,375
values_975,1635
values_547,851
values_164,95
values_720,1032
values_833,51
values_90,132
values_954,1023
values_483,60
values_990,555
values_113,1635
values_878,960
values_942,284
values_126,35
values_666,564
values_960,1040
values_783,1540
values_735,632
values_439,123
values_860,564
values_18,375
values_173,1115
values_454,1320
values_176,1311
values_698,104
values_869,1415
values_697,32
values_509,23
values_189,51
values_714,71
values_270,851
values_863,623
values_548,564
values_359,71
values_512,51
values_656,35
values_684,375
values_171,572
values_675,200
values_657,1072
values_333,524
values_599,275
values_129,35
values_886,1211
values_107,431
values_272,623
values_52,1023
values_819,1424
values_682,216
values_44,1424
values_914,868
values_346,623
values_151,664
values_550,340
values_326,580
values_836,564
values_437,71
values_984,1132
values_17,1115
values_748,1652
values_581,771
values_705,275
values_121,440
values_219,736
values_321,580
values_843,952
values_606,155
values_898,1211
values_601,200
values_36,191
values_282,155
values_395,51
values_449,71
values_209,332
values_956,123
values_579,392
values_484,1415
values_521,968
values_617,300
values_516,491
values_358,1124
values_335,375
values_139,672
values_992,375
values_211,1032
values_507,1115
values_921,340
values_138,1023
values_275,648
values_614,1415
values_49,491
values_227,292
values_203,440
values_172,1115
values_86,68
values_178,500
values_978,720
values_253,95
values_291,771
values_911,1424
values_230,51
values_318,23
values_798,1124
values_638,935
values_112,95
values_201,35
values_629,155
values_337,623
values_37,456
values_56,71
values_316,191
values_829,95
values_63,35
values_35,123
values_519,140
values_481,23
values_278,1415
values_186,860
values_702,71
values_722,851
values_97,323
values_329,491
values_75,375
values_560,155
values_612,231
values_421,1115
values_639,555
values_939,23
values_198,95
values_840,851
values_415,1540
values_405,695
values_100,63
values_726,155
values_265,240
values_743,123
values_436,392
values_583,375
values_525,431
values_677,88
values_289,1415
values_255,112
values_529,95
values_826,375
values_362,1124
values_355,952
values_506,44
