id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,433531,347533,164,2643.482
values_505,38195,30129,1211,31.540
values_924,17671,14125,1311,13.479
values_862,131497,105337,1424,92.343
values_287,863,675,564,1.530
values_733,17671,14125,248,71.254
values_813,1015789,814585,332,3059.605
values_11,10262,8140,275,37.316
values_19,522708,421844,375,1393.888
values_999,26742,21242,480,55.712
values_134,920244,742856,1668,551.705
values_609,1480852,1195612,140,10577.514
values_993,1252196,997151,1540,813.114
values_731,77187,61805,623,123.896
values_127,289347,228553,300,964.490
values_889,356102,283432,384,927.349
values_987,591937,474585,1023,578.629
values_780,17671,14125,771,22.920
values_435,1252196,997151,60,20869.933
values_950,206719,165645,132,1566.053
values_976,591937,474585,1211,488.800
values_557,131497,105337,851,154.521
values_398,702844,567298,1415,496.710
values_892,2518,1990,200,12.590
values_670,17671,14125,95,186.011
values_574,10262,8140,540,19.004
values_163,1605081,1287353,555,2892.038
values_900,5355,4213,780,6.865
values_392,2518,1990,191,13.183
values_447,1015789,814585,375,2708.771
values_523,55270,43936,284,194.613
values_679,2518,1990,1660,1.517
values_419,702844,567298,1115,630.353
values_895,2518,1990,123,20.472
values_298,289347,228553,200,1446.735
values_155,55270,43936,1532,36.077
values_12,1605081,1287353,944,1700.298
values_160,1480852,1195612,155,9553.884
values_626,702844,567298,95,7398.358
values_38,356102,283432,68,5236.794
values_146,10262,8140,71,144.535
values_81,763084,607555,1635,466.718
values_687,863,675,555,1.555
values_213,289347,228553,1523,189.985
values_212,763084,607555,1032,739.422
values_568,1178412,951350,780,1510.785
values_5,522708,421844,52,10052.077
values_40,920244,742856,200,4601.220
values_970,1015789,814585,155,6553.477
values_707,77187,61805,704,109.641
values_406,246262,195970,375,656.699
values_893,206719,165645,1032,200.309
values_144,591937,474585,771,767.752
values_979,1178412,951350,323,3648.334
values_831,38195,30129,55,694.455
values_402,170844,137786,868,196.825
values_404,1605081,1287353,323,4969.291
values_310,246262,195970,140,1759.014
values_70,863,675,632,1.366
values_268,77187,61805,695,111.060
values_412,1015789,814585,1523,666.966
values_290,863,675,1635,0.528
values_916,131497,105337,440,298.857
values_567,1015789,814585,104,9767.202
values_913,55270,43936,332,166.476
values_232,246262,195970,632,389.655
values_319,702844,567298,332,2117.000
values_23,1252196,997151,1023,1224.043
values_899,5355,4213,1115,4.803
values_428,433531,347533,132,3284.326
values_858,77187,61805,1115,69.226
values_546,702844,567298,623,1128.161
values_432,10262,8140,275,37.316
values_231,433531,347533,164,2643.482
values_388,2518,1990,140,17.986
values_350,77187,61805,71,1087.141
values_603,17671,14125,1220,14.484
values_364,55270,43936,71,778.451
values_530,1015789,814585,771,1317.495
values_72,26742,21242,1415,18.899
values_536,433531,347533,623,695.876
values_79,2518,1990,851,2.959
values_342,77187,61805,323,238.969
values_803,356102,283432,695,512.377
values_501,38195,30129,208,183.630
values_540,433531,347533,275,1576.476
values_955,104724,84428,375,279.264
values_191,17671,14125,95,186.011
values_812,246262,195970,384,641.307
values_545,522708,421844,771,677.961
values_78,433531,347533,851,509.437
values_526,38195,30129,1032,37.011
values_695,763084,607555,191,3995.204
values_87,433531,347533,851,509.437
values_300,356102,283432,952,374.057
values_964,1178412,951350,944,1248.318
values_998,1252196,997151,200,6260.980
values_988,920244,742856,140,6573.171
values_6,591937,474585,1532,386.382
values_625,55270,43936,284,194.613
values_518,55270,43936,876,63.094
values_122,246262,195970,240,1026.092
values_541,1015789,814585,935,1086.405
values_279,920244,742856,51,18044.000
values_256,10262,8140,1124,9.130
values_796,104724,84428,1424,73.542
values_504,26742,21242,1523,17.559
values_752,26742,21242,104,257.135
values_459,38195,30129,623,61.308
values_658,289347,228553,695,416.327
values_408,356102,283432,1415,251.662
