id,clockCycles,assemblyInstr
values_242,433531,347533
values_505,38195,30129
values_924,17671,14125
values_862,131497,105337
values_287,863,675
values_733,17671,14125
values_813,1015789,814585
values_11,10262,8140
values_19,522708,421844
values_999,26742,21242
values_134,920244,742856
values_609,1480852,1195612
values_993,1252196,997151
values_731,77187,61805
values_127,289347,228553
values_889,356102,283432
values_987,591937,474585
values_780,17671,14125
values_435,1252196,997151
values_950,206719,165645
values_976,591937,474585
values_557,131497,105337
values_398,702844,567298
values_892,2518,1990
values_670,17671,14125
values_574,10262,8140
values_163,1605081,1287353
values_900,5355,4213
values_392,2518,1990
values_447,1015789,814585
values_523,55270,43936
values_679,2518,1990
values_419,702844,567298
values_895,2518,1990
values_298,289347,228553
values_155,55270,43936
values_12,1605081,1287353
values_160,1480852,1195612
values_626,702844,567298
values_38,356102,283432
values_146,10262,8140
values_81,763084,607555
values_687,863,675
values_213,289347,228553
values_212,763084,607555
values_568,1178412,951350
values_5,522708,421844
values_40,920244,742856
values_970,1015789,814585
values_707,77187,61805
values_406,246262,195970
values_893,206719,165645
values_144,591937,474585
values_979,1178412,951350
values_831,38195,30129
values_402,170844,137786
values_404,1605081,1287353
values_310,246262,195970
values_70,863,675
values_268,77187,61805
values_412,1015789,814585
values_290,863,675
values_916,131497,105337
values_567,1015789,814585
values_913,55270,43936
values_232,246262,195970
values_319,702844,567298
values_23,1252196,997151
values_899,5355,4213
values_428,433531,347533
values_858,77187,61805
values_546,702844,567298
values_432,10262,8140
values_231,433531,347533
values_388,2518,1990
values_350,77187,61805
values_603,17671,14125
values_364,55270,43936
values_530,1015789,814585
values_72,26742,21242
values_536,433531,347533
values_79,2518,1990
values_342,77187,61805
values_803,356102,283432
values_501,38195,30129
values_540,433531,347533
values_955,104724,84428
values_191,17671,14125
values_812,246262,195970
values_545,522708,421844
values_78,433531,347533
values_526,38195,30129
values_695,763084,607555
values_87,433531,347533
values_300,356102,283432
values_964,1178412,951350
values_998,1252196,997151
values_988,920244,742856
values_6,591937,474585
values_625,55270,43936
values_518,55270,43936
values_122,246262,195970
values_541,1015789,814585
values_279,920244,742856
values_256,10262,8140
values_796,104724,84428
values_504,26742,21242
values_752,26742,21242
values_459,38195,30129
values_658,289347,228553
values_408,356102,283432
values_867,289347,228553
values_727,522708,421844
values_177,289347,228553
values_823,131497,105337
values_822,5355,4213
values_218,17671,14125
values_426,433531,347533
values_776,55270,43936
values_143,170844,137786
values_739,1605081,1287353
values_312,702844,567298
values_174,289347,228553
values_669,246262,195970
values_120,10262,8140
values_974,702844,567298
values_217,1605081,1287353
values_866,246262,195970
values_192,246262,195970
values_328,2518,1990
values_68,1015789,814585
values_387,1605081,1287353
values_69,702844,567298
values_749,920244,742856
values_135,131497,105337
values_341,246262,195970
values_494,763084,607555
values_1,104724,84428
values_589,26742,21242
values_925,763084,607555
values_524,433531,347533
values_994,38195,30129
values_856,1605081,1287353
values_156,77187,61805
values_470,920244,742856
values_207,763084,607555
values_655,10262,8140
values_441,170844,137786
values_109,5355,4213
values_45,1605081,1287353
values_125,17671,14125
values_600,591937,474585
values_708,17671,14125
values_791,104724,84428
values_912,433531,347533
values_533,702844,567298
values_418,104724,84428
values_228,1015789,814585
values_585,206719,165645
values_465,10262,8140
values_239,920244,742856
values_842,55270,43936
values_208,1178412,951350
values_932,77187,61805
values_957,5355,4213
values_563,1178412,951350
values_766,2518,1990
values_476,17671,14125
values_175,26742,21242
values_591,591937,474585
values_997,10262,8140
values_385,170844,137786
values_115,77187,61805
values_653,55270,43936
values_753,1252196,997151
values_241,2518,1990
values_197,289347,228553
values_636,356102,283432
values_450,356102,283432
values_106,131497,105337
values_699,206719,165645
values_578,38195,30129
values_644,26742,21242
values_570,2518,1990
values_873,920244,742856
values_33,104724,84428
values_210,702844,567298
values_486,17671,14125
values_252,206719,165645
values_694,10262,8140
values_759,356102,283432
values_245,1178412,951350
values_15,1015789,814585
values_792,1178412,951350
values_248,104724,84428
values_246,356102,283432
values_556,1015789,814585
values_513,289347,228553
values_93,246262,195970
values_558,246262,195970
values_991,206719,165645
values_181,26742,21242
values_674,38195,30129
values_652,1178412,951350
values_344,289347,228553
values_715,522708,421844
values_528,55270,43936
values_276,170844,137786
values_24,356102,283432
values_296,1480852,1195612
values_244,433531,347533
values_380,77187,61805
values_25,1015789,814585
values_740,1480852,1195612
values_478,591937,474585
values_379,38195,30129
values_810,863,675
values_440,26742,21242
values_543,246262,195970
values_130,170844,137786
values_225,10262,8140
values_285,1605081,1287353
values_363,2518,1990
values_667,289347,228553
values_26,77187,61805
values_793,2518,1990
values_772,246262,195970
values_931,246262,195970
values_981,1178412,951350
