id,clockCycles,assemblyInstr
values_242,9722,7381
values_505,20932,15913
values_924,22797,17332
values_862,7232,5488
values_287,10543,8005
values_733,6384,4843
values_813,19986,15193
values_11,8053,6112
values_19,19013,14452
values_999,14283,10852
values_134,10543,8005
values_609,8053,6112
values_993,5536,4198
values_731,9722,7381
values_127,19013,14452
values_889,8053,6112
values_987,7232,5488
values_780,19013,14452
values_435,1769,1336
values_950,8053,6112
values_976,3242,2455
values_557,14283,10852
values_398,3965,3004
values_892,8901,6757
values_670,11337,8608
values_574,3242,2455
values_163,19013,14452
values_900,12337,9370
values_392,20932,15913
values_447,16202,12313
values_523,2519,1906
values_679,5536,4198
values_419,18094,13753
values_895,7232,5488
values_298,1171,883
values_155,1171,883
values_12,2519,1906
values_160,3242,2455
values_626,4661,3532
values_38,1171,883
values_146,16202,12313
values_81,2519,1906
values_687,12337,9370
values_213,19986,15193
values_212,18094,13753
values_568,10543,8005
values_5,10543,8005
values_40,9722,7381
values_970,4661,3532
values_707,11337,8608
values_406,11337,8608
values_893,3965,3004
values_144,20932,15913
values_979,6384,4843
values_831,8901,6757
values_402,1769,1336
values_404,19013,14452
values_310,7232,5488
values_70,10543,8005
values_268,15229,11572
values_412,3965,3004
values_290,17148,13033
values_916,6384,4843
values_567,1769,1336
values_913,18094,13753
values_232,16202,12313
values_319,13310,10111
values_23,4661,3532
values_899,3242,2455
values_428,13310,10111
values_858,18094,13753
values_546,1171,883
values_432,3965,3004
values_231,18094,13753
values_388,8901,6757
values_350,1171,883
values_603,1171,883
values_364,8901,6757
values_530,16202,12313
values_72,10543,8005
values_536,11337,8608
values_79,19986,15193
values_342,12337,9370
values_803,20932,15913
values_501,546,409
values_540,8053,6112
values_955,21878,16633
values_191,8901,6757
values_812,18094,13753
values_545,1769,1336
values_78,8901,6757
values_526,546,409
values_695,14283,10852
values_87,22797,17332
values_300,9722,7381
values_964,546,409
values_998,18094,13753
values_988,8053,6112
values_6,8053,6112
values_625,3965,3004
values_518,4661,3532
values_122,9722,7381
values_541,19986,15193
values_279,20932,15913
values_256,20932,15913
values_796,8901,6757
values_504,20932,15913
values_752,3965,3004
values_459,3242,2455
values_658,19013,14452
values_408,5536,4198
values_867,8901,6757
values_727,3242,2455
values_177,8053,6112
values_823,8901,6757
values_822,2519,1906
values_218,14283,10852
values_426,7232,5488
values_776,3242,2455
values_143,13310,10111
values_739,16202,12313
values_312,20932,15913
values_174,19986,15193
values_669,2519,1906
values_120,8901,6757
values_974,4661,3532
values_217,1171,883
values_866,546,409
values_192,10543,8005
values_328,21878,16633
values_68,8053,6112
values_387,18094,13753
values_69,1171,883
values_749,3965,3004
values_135,546,409
values_341,11337,8608
values_494,7232,5488
values_1,6384,4843
values_589,8053,6112
values_925,4661,3532
values_524,15229,11572
values_994,6384,4843
values_856,3965,3004
values_156,16202,12313
values_470,19986,15193
values_207,10543,8005
values_655,9722,7381
values_441,16202,12313
values_109,16202,12313
values_45,8053,6112
values_125,15229,11572
values_600,20932,15913
values_708,10543,8005
values_791,10543,8005
values_912,3965,3004
values_533,2519,1906
values_418,3242,2455
values_228,19013,14452
values_585,12337,9370
values_465,8053,6112
values_239,14283,10852
values_842,3965,3004
values_208,1171,883
values_932,1769,1336
values_957,19013,14452
values_563,3965,3004
values_766,5536,4198
values_476,5536,4198
values_175,19986,15193
values_591,8901,6757
values_997,5536,4198
values_385,8901,6757
values_115,17148,13033
values_653,22797,17332
values_753,19013,14452
values_241,3242,2455
values_197,8053,6112
values_636,546,409
values_450,21878,16633
values_106,14283,10852
values_699,546,409
values_578,15229,11572
values_644,21878,16633
values_570,16202,12313
values_873,17148,13033
values_33,20932,15913
values_210,10543,8005
values_486,18094,13753
values_252,546,409
values_694,10543,8005
values_759,19986,15193
values_245,4661,3532
values_15,1769,1336
values_792,19013,14452
values_248,18094,13753
values_246,13310,10111
values_556,8901,6757
values_513,13310,10111
values_93,16202,12313
values_558,546,409
values_991,21878,16633
values_181,15229,11572
values_674,1171,883
values_652,3965,3004
values_344,19986,15193
values_715,12337,9370
values_528,546,409
values_276,19013,14452
values_24,3242,2455
values_296,8053,6112
values_244,1171,883
values_380,20932,15913
