inputName,text,data,bss
values_242,564,1,0
values_505,564,1,0
values_924,564,1,0
values_862,564,1,0
values_287,564,1,0
values_733,564,1,0
values_813,564,1,0
values_11,564,1,0
values_19,564,1,0
values_999,564,1,0
values_134,564,1,0
values_609,564,1,0
values_993,564,1,0
values_731,564,1,0
values_127,564,1,0
values_889,564,1,0
values_987,564,1,0
values_780,564,1,0
values_435,564,1,0
values_950,564,1,0
values_976,564,1,0
values_557,564,1,0
values_398,564,1,0
values_892,564,1,0
values_670,564,1,0
values_574,564,1,0
values_163,564,1,0
values_900,564,1,0
values_392,564,1,0
values_447,564,1,0
values_523,564,1,0
values_679,564,1,0
values_419,564,1,0
values_895,564,1,0
values_298,564,1,0
values_155,564,1,0
values_12,564,1,0
values_160,564,1,0
values_626,564,1,0
values_38,564,1,0
values_146,564,1,0
values_81,564,1,0
values_687,564,1,0
values_213,564,1,0
values_212,564,1,0
values_568,564,1,0
values_5,564,1,0
values_40,564,1,0
values_970,564,1,0
values_707,564,1,0
values_406,564,1,0
values_893,564,1,0
values_144,564,1,0
values_979,564,1,0
values_831,564,1,0
values_402,564,1,0
values_404,564,1,0
values_310,564,1,0
values_70,564,1,0
values_268,564,1,0
values_412,564,1,0
values_290,564,1,0
values_916,564,1,0
values_567,564,1,0
values_913,564,1,0
values_232,564,1,0
values_319,564,1,0
values_23,564,1,0
values_899,564,1,0
values_428,564,1,0
values_858,564,1,0
values_546,564,1,0
values_432,564,1,0
values_231,564,1,0
values_388,564,1,0
values_350,564,1,0
values_603,564,1,0
values_364,564,1,0
values_530,564,1,0
values_72,564,1,0
values_536,564,1,0
values_79,564,1,0
values_342,564,1,0
values_803,564,1,0
values_501,564,1,0
values_540,564,1,0
values_955,564,1,0
values_191,564,1,0
values_812,564,1,0
values_545,564,1,0
values_78,564,1,0
values_526,564,1,0
values_695,564,1,0
values_87,564,1,0
values_300,564,1,0
values_964,564,1,0
values_998,564,1,0
values_988,564,1,0
values_6,564,1,0
values_625,564,1,0
values_518,564,1,0
values_122,564,1,0
values_541,564,1,0
values_279,564,1,0
values_256,564,1,0
values_796,564,1,0
values_504,564,1,0
values_752,564,1,0
values_459,564,1,0
values_658,564,1,0
values_408,564,1,0
values_867,564,1,0
values_727,564,1,0
values_177,564,1,0
values_823,564,1,0
values_822,564,1,0
values_218,564,1,0
values_426,564,1,0
values_776,564,1,0
values_143,564,1,0
values_739,564,1,0
values_312,564,1,0
values_174,564,1,0
values_669,564,1,0
values_120,564,1,0
values_974,564,1,0
values_217,564,1,0
values_866,564,1,0
values_192,564,1,0
values_328,564,1,0
values_68,564,1,0
values_387,564,1,0
values_69,564,1,0
values_749,564,1,0
values_135,564,1,0
values_341,564,1,0
values_494,564,1,0
values_1,564,1,0
values_589,564,1,0
values_925,564,1,0
values_524,564,1,0
values_994,564,1,0
values_856,564,1,0
values_156,564,1,0
values_470,564,1,0
values_207,564,1,0
values_655,564,1,0
values_441,564,1,0
values_109,564,1,0
values_45,564,1,0
values_125,564,1,0
values_600,564,1,0
values_708,564,1,0
values_791,564,1,0
values_912,564,1,0
values_533,564,1,0
values_418,564,1,0
values_228,564,1,0
values_585,564,1,0
values_465,564,1,0
values_239,564,1,0
values_842,564,1,0
values_208,564,1,0
values_932,564,1,0
values_957,564,1,0
values_563,564,1,0
values_766,564,1,0
values_476,564,1,0
values_175,564,1,0
values_591,564,1,0
values_997,564,1,0
values_385,564,1,0
values_115,564,1,0
values_653,564,1,0
values_753,564,1,0
values_241,564,1,0
values_197,564,1,0
values_636,564,1,0
values_450,564,1,0
values_106,564,1,0
values_699,564,1,0
values_578,564,1,0
values_644,564,1,0
values_570,564,1,0
values_873,564,1,0
values_33,564,1,0
values_210,564,1,0
values_486,564,1,0
values_252,564,1,0
values_694,564,1,0
values_759,564,1,0
values_245,564,1,0
values_15,564,1,0
values_792,564,1,0
values_248,564,1,0
values_246,564,1,0
values_556,564,1,0
values_513,564,1,0
values_93,564,1,0
values_558,564,1,0
values_991,564,1,0
values_181,564,1,0
values_674,564,1,0
values_652,564,1,0
values_344,564,1,0
values_715,564,1,0
values_528,564,1,0
values_276,564,1,0
values_24,564,1,0
values_296,564,1,0
values_244,564,1,0
values_380,564,1,0
values_25,564,1,0
values_740,564,1,0
values_478,564,1,0
values_379,564,1,0
values_810,564,1,0
values_440,564,1,0
values_543,564,1,0
values_130,564,1,0
values_225,564,1,0
values_285,564,1,0
values_363,564,1,0
values_667,564,1,0
values_26,564,1,0
values_793,564,1,0
values_772,564,1,0
values_931,564,1,0
values_981,564,1,0
values_422,564,1,0
values_920,564,1,0
values_259,564,1,0
values_477,564,1,0
values_738,564,1,0
values_430,564,1,0
values_922,564,1,0
values_903,564,1,0
values_761,564,1,0
values_204,564,1,0
values_48,564,1,0
values_71,564,1,0
values_851,564,1,0
values_347,564,1,0
values_725,564,1,0
values_266,564,1,0
values_448,564,1,0
values_934,564,1,0
values_531,564,1,0
values_224,564,1,0
values_686,564,1,0
values_927,564,1,0
values_407,564,1,0
values_76,564,1,0
values_949,564,1,0
values_969,564,1,0
values_781,564,1,0
values_7,564,1,0
values_683,564,1,0
values_376,564,1,0
values_877,564,1,0
values_654,564,1,0
values_508,564,1,0
values_332,564,1,0
values_281,564,1,0
values_381,564,1,0
values_769,564,1,0
values_701,564,1,0
values_855,564,1,0
values_320,564,1,0
values_50,564,1,0
values_918,564,1,0
values_615,564,1,0
values_704,564,1,0
values_633,564,1,0
values_847,564,1,0
values_602,564,1,0
values_399,564,1,0
values_22,564,1,0
values_313,564,1,0
values_375,564,1,0
values_963,564,1,0
values_168,564,1,0
values_226,564,1,0
values_190,564,1,0
values_429,564,1,0
values_236,564,1,0
values_777,564,1,0
values_909,564,1,0
values_438,564,1,0
values_607,564,1,0
values_717,564,1,0
values_782,564,1,0
values_258,564,1,0
values_872,564,1,0
values_637,564,1,0
values_746,564,1,0
values_4,564,1,0
values_345,564,1,0
values_102,564,1,0
values_962,564,1,0
values_356,564,1,0
values_853,564,1,0
values_849,564,1,0
values_814,564,1,0
values_370,564,1,0
values_778,564,1,0
values_458,564,1,0
values_818,564,1,0
values_119,564,1,0
values_373,564,1,0
values_351,564,1,0
values_32,564,1,0
values_770,564,1,0
values_371,564,1,0
values_283,564,1,0
values_535,564,1,0
values_250,564,1,0
values_132,564,1,0
values_649,564,1,0
values_77,564,1,0
values_260,564,1,0
values_891,564,1,0
values_91,564,1,0
values_137,564,1,0
values_42,564,1,0
values_13,564,1,0
values_577,564,1,0
values_41,564,1,0
values_809,564,1,0
values_414,564,1,0
values_360,564,1,0
values_386,564,1,0
values_158,564,1,0
values_904,564,1,0
values_480,564,1,0
values_647,564,1,0
values_104,564,1,0
values_55,564,1,0
values_491,564,1,0
values_391,564,1,0
values_972,564,1,0
values_571,564,1,0
values_940,564,1,0
values_861,564,1,0
values_324,564,1,0
values_549,564,1,0
values_170,564,1,0
values_269,564,1,0
values_442,564,1,0
values_520,564,1,0
values_455,564,1,0
values_31,564,1,0
values_971,564,1,0
values_397,564,1,0
values_254,564,1,0
values_616,564,1,0
values_66,564,1,0
values_943,564,1,0
values_117,564,1,0
values_451,564,1,0
values_643,564,1,0
values_688,564,1,0
values_569,564,1,0
values_745,564,1,0
values_65,564,1,0
values_980,564,1,0
values_982,564,1,0
values_62,564,1,0
values_789,564,1,0
values_401,564,1,0
values_21,564,1,0
values_598,564,1,0
values_273,564,1,0
values_534,564,1,0
values_118,564,1,0
values_141,564,1,0
values_366,564,1,0
values_222,564,1,0
values_876,564,1,0
values_700,564,1,0
values_95,564,1,0
values_806,564,1,0
values_671,564,1,0
values_816,564,1,0
values_630,564,1,0
values_433,564,1,0
values_905,564,1,0
values_84,564,1,0
values_233,564,1,0
values_664,564,1,0
values_162,564,1,0
values_681,564,1,0
values_542,564,1,0
values_169,564,1,0
values_660,564,1,0
values_488,564,1,0
values_894,564,1,0
values_828,564,1,0
values_537,564,1,0
values_845,564,1,0
values_584,564,1,0
values_457,564,1,0
values_499,564,1,0
values_369,564,1,0
values_58,564,1,0
values_64,564,1,0
values_196,564,1,0
values_462,564,1,0
values_343,564,1,0
values_262,564,1,0
values_966,564,1,0
values_261,564,1,0
values_349,564,1,0
values_263,564,1,0
values_801,564,1,0
values_292,564,1,0
values_786,564,1,0
values_101,564,1,0
values_691,564,1,0
values_926,564,1,0
values_754,564,1,0
values_215,564,1,0
values_977,564,1,0
values_850,564,1,0
values_646,564,1,0
values_628,564,1,0
values_941,564,1,0
values_353,564,1,0
values_690,564,1,0
values_961,564,1,0
values_331,564,1,0
values_377,564,1,0
values_128,564,1,0
values_336,564,1,0
values_632,564,1,0
values_166,564,1,0
values_744,564,1,0
values_837,564,1,0
values_807,564,1,0
values_838,564,1,0
values_723,564,1,0
values_874,564,1,0
values_627,564,1,0
values_555,564,1,0
values_446,564,1,0
values_716,564,1,0
values_240,564,1,0
values_140,564,1,0
values_317,564,1,0
values_83,564,1,0
values_696,564,1,0
values_413,564,1,0
values_94,564,1,0
values_937,564,1,0
values_199,564,1,0
values_596,564,1,0
values_0,564,1,0
values_953,564,1,0
values_906,564,1,0
values_742,564,1,0
values_396,564,1,0
values_159,564,1,0
values_238,564,1,0
values_136,564,1,0
values_915,564,1,0
values_99,564,1,0
values_771,564,1,0
values_96,564,1,0
values_768,564,1,0
values_67,564,1,0
values_565,564,1,0
values_848,564,1,0
values_114,564,1,0
values_61,564,1,0
values_511,564,1,0
values_729,564,1,0
values_460,564,1,0
values_832,564,1,0
values_348,564,1,0
values_182,564,1,0
values_986,564,1,0
values_180,564,1,0
values_930,564,1,0
values_274,564,1,0
values_309,564,1,0
values_496,564,1,0
values_165,564,1,0
values_553,564,1,0
values_870,564,1,0
values_795,564,1,0
values_361,564,1,0
values_302,564,1,0
values_586,564,1,0
values_880,564,1,0
values_665,564,1,0
values_527,564,1,0
values_372,564,1,0
values_382,564,1,0
values_43,564,1,0
values_935,564,1,0
values_2,564,1,0
values_790,564,1,0
values_152,564,1,0
values_871,564,1,0
values_434,564,1,0
values_775,564,1,0
values_500,564,1,0
values_220,564,1,0
values_875,564,1,0
values_249,564,1,0
values_808,564,1,0
values_859,564,1,0
values_539,564,1,0
values_635,564,1,0
values_311,564,1,0
values_183,564,1,0
values_54,564,1,0
values_390,564,1,0
values_890,564,1,0
values_711,564,1,0
values_471,564,1,0
values_995,564,1,0
values_443,564,1,0
values_464,564,1,0
values_774,564,1,0
values_200,564,1,0
values_747,564,1,0
values_758,564,1,0
values_30,564,1,0
values_820,564,1,0
values_393,564,1,0
values_576,564,1,0
values_445,564,1,0
values_662,564,1,0
values_403,564,1,0
values_640,564,1,0
values_59,564,1,0
values_490,564,1,0
values_194,564,1,0
values_751,564,1,0
values_663,564,1,0
values_938,564,1,0
values_532,564,1,0
values_885,564,1,0
values_713,564,1,0
values_193,564,1,0
values_650,564,1,0
values_564,564,1,0
values_267,564,1,0
values_147,564,1,0
values_709,564,1,0
values_857,564,1,0
values_334,564,1,0
values_965,564,1,0
values_824,564,1,0
values_784,564,1,0
values_229,564,1,0
values_538,564,1,0
values_463,564,1,0
values_741,564,1,0
values_85,564,1,0
values_493,564,1,0
values_794,564,1,0
values_202,564,1,0
values_74,564,1,0
values_410,564,1,0
values_469,564,1,0
values_394,564,1,0
values_149,564,1,0
values_945,564,1,0
values_293,564,1,0
values_456,564,1,0
values_975,564,1,0
values_547,564,1,0
values_164,564,1,0
values_720,564,1,0
values_833,564,1,0
values_90,564,1,0
values_954,564,1,0
values_483,564,1,0
values_990,564,1,0
values_113,564,1,0
values_878,564,1,0
values_942,564,1,0
values_126,564,1,0
values_666,564,1,0
values_960,564,1,0
values_783,564,1,0
values_735,564,1,0
values_439,564,1,0
values_860,564,1,0
values_18,564,1,0
values_173,564,1,0
values_454,564,1,0
values_176,564,1,0
values_698,564,1,0
values_869,564,1,0
values_697,564,1,0
values_509,564,1,0
values_189,564,1,0
values_714,564,1,0
values_270,564,1,0
values_863,564,1,0
values_548,564,1,0
values_359,564,1,0
values_512,564,1,0
values_656,564,1,0
values_684,564,1,0
values_171,564,1,0
values_675,564,1,0
values_657,564,1,0
values_333,564,1,0
values_599,564,1,0
values_129,564,1,0
values_886,564,1,0
values_107,564,1,0
values_272,564,1,0
values_52,564,1,0
values_819,564,1,0
values_682,564,1,0
values_44,564,1,0
values_914,564,1,0
values_346,564,1,0
values_151,564,1,0
values_550,564,1,0
values_326,564,1,0
values_836,564,1,0
values_437,564,1,0
values_984,564,1,0
values_17,564,1,0
values_748,564,1,0
values_581,564,1,0
values_705,564,1,0
values_121,564,1,0
values_219,564,1,0
values_321,564,1,0
values_843,564,1,0
values_606,564,1,0
values_898,564,1,0
values_601,564,1,0
values_36,564,1,0
values_282,564,1,0
values_395,564,1,0
values_449,564,1,0
values_209,564,1,0
values_956,564,1,0
values_579,564,1,0
values_484,564,1,0
values_521,564,1,0
values_617,564,1,0
values_516,564,1,0
values_358,564,1,0
values_335,564,1,0
values_139,564,1,0
values_992,564,1,0
values_211,564,1,0
values_507,564,1,0
values_921,564,1,0
values_138,564,1,0
values_275,564,1,0
values_614,564,1,0
values_49,564,1,0
values_227,564,1,0
values_203,564,1,0
values_172,564,1,0
values_86,564,1,0
values_178,564,1,0
values_978,564,1,0
values_253,564,1,0
values_291,564,1,0
values_911,564,1,0
values_230,564,1,0
values_318,564,1,0
values_798,564,1,0
values_638,564,1,0
values_112,564,1,0
values_201,564,1,0
values_629,564,1,0
values_337,564,1,0
values_37,564,1,0
values_56,564,1,0
values_316,564,1,0
values_829,564,1,0
values_63,564,1,0
values_35,564,1,0
values_519,564,1,0
values_481,564,1,0
values_278,564,1,0
values_186,564,1,0
values_702,564,1,0
values_722,564,1,0
values_97,564,1,0
values_329,564,1,0
values_75,564,1,0
values_560,564,1,0
values_612,564,1,0
values_421,564,1,0
values_639,564,1,0
values_939,564,1,0
values_198,564,1,0
values_840,564,1,0
values_415,564,1,0
values_405,564,1,0
values_100,564,1,0
values_726,564,1,0
values_265,564,1,0
values_743,564,1,0
values_436,564,1,0
values_583,564,1,0
values_525,564,1,0
values_677,564,1,0
values_289,564,1,0
values_255,564,1,0
values_529,564,1,0
values_826,564,1,0
values_362,564,1,0
values_355,564,1,0
values_506,564,1,0
values_315,564,1,0
values_604,564,1,0
values_57,564,1,0
values_133,564,1,0
values_787,564,1,0
values_799,564,1,0
values_765,564,1,0
values_887,564,1,0
values_952,564,1,0
values_631,564,1,0
values_306,564,1,0
values_497,564,1,0
values_821,564,1,0
values_618,564,1,0
values_271,564,1,0
values_645,564,1,0
values_985,564,1,0
values_400,564,1,0
values_562,564,1,0
values_590,564,1,0
values_648,564,1,0
values_325,564,1,0
values_883,564,1,0
values_827,564,1,0
values_854,564,1,0
values_307,564,1,0
values_88,564,1,0
values_958,564,1,0
values_251,564,1,0
values_902,564,1,0
values_680,564,1,0
values_884,564,1,0
values_901,564,1,0
values_354,564,1,0
values_420,564,1,0
values_103,564,1,0
values_10,564,1,0
values_474,564,1,0
values_53,564,1,0
values_8,564,1,0
values_39,564,1,0
values_755,564,1,0
values_124,564,1,0
values_841,564,1,0
values_510,564,1,0
values_989,564,1,0
values_706,564,1,0
values_257,564,1,0
values_811,564,1,0
values_111,564,1,0
values_47,564,1,0
values_928,564,1,0
values_561,564,1,0
values_383,564,1,0
values_498,564,1,0
values_60,564,1,0
values_737,564,1,0
values_624,564,1,0
values_973,564,1,0
values_472,564,1,0
values_280,564,1,0
values_389,564,1,0
values_651,564,1,0
values_642,564,1,0
values_668,564,1,0
values_551,564,1,0
values_750,564,1,0
values_592,564,1,0
values_89,564,1,0
values_411,564,1,0
values_620,564,1,0
values_357,564,1,0
values_247,564,1,0
values_692,564,1,0
values_572,564,1,0
values_757,564,1,0
values_566,564,1,0
values_216,564,1,0
values_951,564,1,0
values_910,564,1,0
values_338,564,1,0
values_461,564,1,0
values_730,564,1,0
values_734,564,1,0
values_51,564,1,0
values_678,564,1,0
values_327,564,1,0
values_473,564,1,0
values_453,564,1,0
values_154,564,1,0
values_452,564,1,0
values_221,564,1,0
values_323,564,1,0
values_844,564,1,0
values_673,564,1,0
values_427,564,1,0
values_933,564,1,0
values_802,564,1,0
values_852,564,1,0
values_487,564,1,0
values_762,564,1,0
values_515,564,1,0
values_479,564,1,0
values_948,564,1,0
values_467,564,1,0
values_14,564,1,0
values_868,564,1,0
values_188,564,1,0
values_489,564,1,0
values_865,564,1,0
values_728,564,1,0
values_996,564,1,0
values_277,564,1,0
values_936,564,1,0
values_554,564,1,0
values_763,564,1,0
values_834,564,1,0
values_613,564,1,0
values_907,564,1,0
values_825,564,1,0
values_308,564,1,0
values_294,564,1,0
values_522,564,1,0
values_322,564,1,0
values_28,564,1,0
values_760,564,1,0
values_559,564,1,0
values_685,564,1,0
values_908,564,1,0
values_919,564,1,0
values_724,564,1,0
values_947,564,1,0
values_214,564,1,0
values_468,564,1,0
values_967,564,1,0
values_234,564,1,0
values_983,564,1,0
values_719,564,1,0
values_110,564,1,0
values_235,564,1,0
values_588,564,1,0
values_185,564,1,0
values_732,564,1,0
values_896,564,1,0
values_888,564,1,0
values_923,564,1,0
values_767,564,1,0
values_179,564,1,0
values_195,564,1,0
values_148,564,1,0
values_917,564,1,0
values_634,564,1,0
values_157,564,1,0
values_314,564,1,0
values_879,564,1,0
values_16,564,1,0
values_839,564,1,0
values_150,564,1,0
values_835,564,1,0
values_161,564,1,0
values_34,564,1,0
values_959,564,1,0
values_264,564,1,0
values_123,564,1,0
values_623,564,1,0
values_187,564,1,0
values_575,564,1,0
values_466,564,1,0
values_621,564,1,0
values_82,564,1,0
values_352,564,1,0
values_779,564,1,0
values_946,564,1,0
values_756,564,1,0
values_502,564,1,0
values_641,564,1,0
values_882,564,1,0
values_46,564,1,0
values_721,564,1,0
values_105,564,1,0
values_284,564,1,0
values_295,564,1,0
values_423,564,1,0
values_544,564,1,0
values_384,564,1,0
values_206,564,1,0
values_817,564,1,0
values_788,564,1,0
values_205,564,1,0
values_243,564,1,0
values_619,564,1,0
values_514,564,1,0
values_703,564,1,0
values_605,564,1,0
values_659,564,1,0
values_929,564,1,0
values_365,564,1,0
values_495,564,1,0
values_431,564,1,0
values_482,564,1,0
values_611,564,1,0
values_846,564,1,0
values_27,564,1,0
values_736,564,1,0
values_815,564,1,0
values_145,564,1,0
values_582,564,1,0
values_492,564,1,0
values_881,564,1,0
values_237,564,1,0
values_409,564,1,0
values_108,564,1,0
values_299,564,1,0
values_20,564,1,0
values_485,564,1,0
values_303,564,1,0
values_425,564,1,0
values_597,564,1,0
values_517,564,1,0
values_672,564,1,0
values_340,564,1,0
values_339,564,1,0
values_424,564,1,0
values_9,564,1,0
values_587,564,1,0
values_417,564,1,0
values_116,564,1,0
values_475,564,1,0
values_184,564,1,0
values_223,564,1,0
values_804,564,1,0
values_374,564,1,0
values_864,564,1,0
values_444,564,1,0
values_92,564,1,0
values_773,564,1,0
values_131,564,1,0
values_710,564,1,0
values_693,564,1,0
values_944,564,1,0
values_573,564,1,0
values_712,564,1,0
values_718,564,1,0
values_3,564,1,0
values_805,564,1,0
values_98,564,1,0
values_304,564,1,0
values_897,564,1,0
values_153,564,1,0
values_368,564,1,0
values_689,564,1,0
values_830,564,1,0
values_29,564,1,0
values_301,564,1,0
values_286,564,1,0
values_580,564,1,0
values_593,564,1,0
values_80,564,1,0
values_416,564,1,0
values_305,564,1,0
values_142,564,1,0
values_800,564,1,0
values_661,564,1,0
values_73,564,1,0
values_297,564,1,0
values_167,564,1,0
values_594,564,1,0
values_367,564,1,0
values_552,564,1,0
values_608,564,1,0
values_797,564,1,0
values_288,564,1,0
values_764,564,1,0
values_622,564,1,0
values_785,564,1,0
values_676,564,1,0
values_330,564,1,0
values_595,564,1,0
values_968,564,1,0
values_503,564,1,0
values_378,564,1,0
values_610,564,1,0
