id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,1494,1102,161,9.280
values_505,1494,1102,161,9.280
values_924,1494,1102,161,9.280
values_862,1494,1102,161,9.280
values_287,1494,1102,161,9.280
values_733,1494,1102,161,9.280
values_813,1494,1102,161,9.280
values_11,1494,1102,161,9.280
values_19,1494,1102,161,9.280
values_999,1494,1102,161,9.280
values_134,1494,1102,161,9.280
values_609,1494,1102,161,9.280
values_993,1494,1102,161,9.280
values_731,1494,1102,161,9.280
values_127,1494,1102,161,9.280
values_889,1494,1102,161,9.280
values_987,1494,1102,161,9.280
values_780,1494,1102,161,9.280
values_435,1494,1102,161,9.280
values_950,1494,1102,161,9.280
values_976,1494,1102,161,9.280
values_557,1494,1102,161,9.280
values_398,1494,1102,161,9.280
values_892,1494,1102,161,9.280
values_670,1494,1102,161,9.280
values_574,1494,1102,161,9.280
values_163,1494,1102,161,9.280
values_900,1494,1102,161,9.280
values_392,1494,1102,161,9.280
values_447,1494,1102,161,9.280
values_523,1494,1102,161,9.280
values_679,1494,1102,161,9.280
values_419,1494,1102,161,9.280
values_895,1494,1102,161,9.280
values_298,1494,1102,161,9.280
values_155,1494,1102,161,9.280
values_12,1494,1102,161,9.280
values_160,1494,1102,161,9.280
values_626,1494,1102,161,9.280
values_38,1494,1102,161,9.280
values_146,1494,1102,161,9.280
values_81,1494,1102,161,9.280
values_687,1494,1102,161,9.280
values_213,1494,1102,161,9.280
values_212,1494,1102,161,9.280
values_568,1494,1102,161,9.280
values_5,1494,1102,161,9.280
values_40,1494,1102,161,9.280
values_970,1494,1102,161,9.280
values_707,1494,1102,161,9.280
values_406,1494,1102,161,9.280
values_893,1494,1102,161,9.280
values_144,1494,1102,161,9.280
values_979,1494,1102,161,9.280
values_831,1494,1102,161,9.280
values_402,1494,1102,161,9.280
values_404,1494,1102,161,9.280
values_310,1494,1102,161,9.280
values_70,1494,1102,161,9.280
values_268,1494,1102,161,9.280
values_412,1494,1102,161,9.280
values_290,1494,1102,161,9.280
values_916,1494,1102,161,9.280
values_567,1494,1102,161,9.280
values_913,1494,1102,161,9.280
values_232,1494,1102,161,9.280
values_319,1494,1102,161,9.280
values_23,1494,1102,161,9.280
values_899,1494,1102,161,9.280
values_428,1494,1102,161,9.280
values_858,1494,1102,161,9.280
values_546,1494,1102,161,9.280
values_432,1494,1102,161,9.280
values_231,1494,1102,161,9.280
values_388,1494,1102,161,9.280
values_350,1494,1102,161,9.280
values_603,1494,1102,161,9.280
values_364,1494,1102,161,9.280
values_530,1494,1102,161,9.280
values_72,1494,1102,161,9.280
values_536,1494,1102,161,9.280
values_79,1494,1102,161,9.280
values_342,1494,1102,161,9.280
values_803,1494,1102,161,9.280
values_501,1494,1102,161,9.280
values_540,1494,1102,161,9.280
values_955,1494,1102,161,9.280
values_191,1494,1102,161,9.280
values_812,1494,1102,161,9.280
values_545,1494,1102,161,9.280
values_78,1494,1102,161,9.280
values_526,1494,1102,161,9.280
values_695,1494,1102,161,9.280
values_87,1494,1102,161,9.280
values_300,1494,1102,161,9.280
values_964,1494,1102,161,9.280
values_998,1494,1102,161,9.280
values_988,1494,1102,161,9.280
values_6,1494,1102,161,9.280
values_625,1494,1102,161,9.280
values_518,1494,1102,161,9.280
values_122,1494,1102,161,9.280
values_541,1494,1102,161,9.280
values_279,1494,1102,161,9.280
values_256,1494,1102,161,9.280
values_796,1494,1102,161,9.280
values_504,1494,1102,161,9.280
values_752,1494,1102,161,9.280
values_459,1494,1102,161,9.280
values_658,1494,1102,161,9.280
values_408,1494,1102,161,9.280
values_867,1494,1102,161,9.280
values_727,1494,1102,161,9.280
values_177,1494,1102,161,9.280
values_823,1494,1102,161,9.280
values_822,1494,1102,161,9.280
values_218,1494,1102,161,9.280
values_426,1494,1102,161,9.280
values_776,1494,1102,161,9.280
values_143,1494,1102,161,9.280
values_739,1494,1102,161,9.280
values_312,1494,1102,161,9.280
values_174,1494,1102,161,9.280
values_669,1494,1102,161,9.280
values_120,1494,1102,161,9.280
values_974,1494,1102,161,9.280
values_217,1494,1102,161,9.280
values_866,1494,1102,161,9.280
values_192,1494,1102,161,9.280
values_328,1494,1102,161,9.280
values_68,1494,1102,161,9.280
values_387,1494,1102,161,9.280
values_69,1494,1102,161,9.280
values_749,1494,1102,161,9.280
values_135,1494,1102,161,9.280
values_341,1494,1102,161,9.280
values_494,1494,1102,161,9.280
values_1,1494,1102,161,9.280
values_589,1494,1102,161,9.280
values_925,1494,1102,161,9.280
values_524,1494,1102,161,9.280
values_994,1494,1102,161,9.280
values_856,1494,1102,161,9.280
values_156,1494,1102,161,9.280
values_470,1494,1102,161,9.280
values_207,1494,1102,161,9.280
values_655,1494,1102,161,9.280
values_441,1494,1102,161,9.280
values_109,1494,1102,161,9.280
values_45,1494,1102,161,9.280
values_125,1494,1102,161,9.280
values_600,1494,1102,161,9.280
values_708,1494,1102,161,9.280
values_791,1494,1102,161,9.280
values_912,1494,1102,161,9.280
