id,clockCycles,assemblyInstr
values_242,1681,1279
values_505,1681,1279
values_924,1681,1279
values_862,1681,1279
values_287,1681,1279
values_733,1681,1279
values_813,1681,1279
values_11,1681,1279
values_19,1681,1279
values_999,1681,1279
values_134,1681,1279
values_609,1681,1279
values_993,1681,1279
values_731,1681,1279
values_127,1681,1279
values_889,1681,1279
values_987,1681,1279
values_780,1681,1279
values_435,1681,1279
values_950,1681,1279
values_976,1681,1279
values_557,1681,1279
values_398,1681,1279
values_892,1681,1279
values_670,1681,1279
values_574,1681,1279
values_163,1681,1279
values_900,1681,1279
values_392,1681,1279
values_447,1681,1279
values_523,1681,1279
values_679,1681,1279
values_419,1681,1279
values_895,1681,1279
values_298,1681,1279
values_155,1681,1279
values_12,1681,1279
values_160,1681,1279
values_626,1681,1279
values_38,1681,1279
values_146,1681,1279
values_81,1681,1279
values_687,1681,1279
values_213,1681,1279
values_212,1681,1279
values_568,1681,1279
values_5,1681,1279
values_40,1681,1279
values_970,1681,1279
values_707,1681,1279
values_406,1681,1279
values_893,1681,1279
values_144,1681,1279
values_979,1681,1279
values_831,1681,1279
values_402,1681,1279
values_404,1681,1279
values_310,1681,1279
values_70,1681,1279
values_268,1681,1279
values_412,1681,1279
values_290,1681,1279
values_916,1681,1279
values_567,1681,1279
values_913,1681,1279
values_232,1681,1279
values_319,1681,1279
values_23,1681,1279
values_899,1681,1279
values_428,1681,1279
values_858,1681,1279
values_546,1681,1279
values_432,1681,1279
values_231,1681,1279
values_388,1681,1279
values_350,1681,1279
values_603,1681,1279
values_364,1681,1279
values_530,1681,1279
values_72,1681,1279
values_536,1681,1279
values_79,1681,1279
values_342,1681,1279
values_803,1681,1279
values_501,1681,1279
values_540,1681,1279
values_955,1681,1279
values_191,1681,1279
values_812,1681,1279
values_545,1681,1279
values_78,1681,1279
values_526,1681,1279
values_695,1681,1279
values_87,1681,1279
values_300,1681,1279
values_964,1681,1279
values_998,1681,1279
values_988,1681,1279
values_6,1681,1279
values_625,1681,1279
values_518,1681,1279
values_122,1681,1279
values_541,1681,1279
values_279,1681,1279
values_256,1681,1279
values_796,1681,1279
values_504,1681,1279
values_752,1681,1279
values_459,1681,1279
values_658,1681,1279
values_408,1681,1279
values_867,1681,1279
values_727,1681,1279
values_177,1681,1279
values_823,1681,1279
values_822,1681,1279
values_218,1681,1279
values_426,1681,1279
values_776,1681,1279
values_143,1681,1279
values_739,1681,1279
values_312,1681,1279
values_174,1681,1279
values_669,1681,1279
values_120,1681,1279
values_974,1681,1279
values_217,1681,1279
values_866,1681,1279
values_192,1681,1279
values_328,1681,1279
values_68,1681,1279
values_387,1681,1279
values_69,1681,1279
values_749,1681,1279
values_135,1681,1279
values_341,1681,1279
values_494,1681,1279
values_1,1681,1279
values_589,1681,1279
values_925,1681,1279
values_524,1681,1279
values_994,1681,1279
values_856,1681,1279
values_156,1681,1279
values_470,1681,1279
values_207,1681,1279
values_655,1681,1279
values_441,1681,1279
values_109,1681,1279
values_45,1681,1279
values_125,1681,1279
values_600,1681,1279
values_708,1681,1279
values_791,1681,1279
values_912,1681,1279
values_533,1681,1279
values_418,1681,1279
values_228,1681,1279
values_585,1681,1279
values_465,1681,1279
values_239,1681,1279
values_842,1681,1279
values_208,1681,1279
values_932,1681,1279
values_957,1681,1279
values_563,1681,1279
values_766,1681,1279
values_476,1681,1279
values_175,1681,1279
values_591,1681,1279
values_997,1681,1279
values_385,1681,1279
values_115,1681,1279
values_653,1681,1279
values_753,1681,1279
values_241,1681,1279
values_197,1681,1279
values_636,1681,1279
values_450,1681,1279
values_106,1681,1279
values_699,1681,1279
values_578,1681,1279
values_644,1681,1279
values_570,1681,1279
values_873,1681,1279
values_33,1681,1279
values_210,1681,1279
values_486,1681,1279
values_252,1681,1279
values_694,1681,1279
values_759,1681,1279
values_245,1681,1279
values_15,1681,1279
values_792,1681,1279
values_248,1681,1279
values_246,1681,1279
values_556,1681,1279
values_513,1681,1279
values_93,1681,1279
values_558,1681,1279
values_991,1681,1279
values_181,1681,1279
values_674,1681,1279
values_652,1681,1279
values_344,1681,1279
values_715,1681,1279
values_528,1681,1279
values_276,1681,1279
values_24,1681,1279
values_296,1681,1279
values_244,1681,1279
values_380,1681,1279
values_25,1681,1279
values_740,1681,1279
values_478,1681,1279
values_379,1681,1279
values_810,1681,1279
values_440,1681,1279
values_543,1681,1279
values_130,1681,1279
values_225,1681,1279
values_285,1681,1279
values_363,1681,1279
values_667,1681,1279
values_26,1681,1279
values_793,1681,1279
values_772,1681,1279
values_931,1681,1279
values_981,1681,1279
values_422,1681,1279
values_920,1681,1279
values_259,1681,1279
values_477,1681,1279
values_738,1681,1279
values_430,1681,1279
values_922,1681,1279
values_903,1681,1279
values_761,1681,1279
values_204,1681,1279
values_48,1681,1279
values_71,1681,1279
values_851,1681,1279
values_347,1681,1279
values_725,1681,1279
values_266,1681,1279
values_448,1681,1279
values_934,1681,1279
values_531,1681,1279
values_224,1681,1279
values_686,1681,1279
values_927,1681,1279
values_407,1681,1279
values_76,1681,1279
values_949,1681,1279
values_969,1681,1279
values_781,1681,1279
values_7,1681,1279
values_683,1681,1279
values_376,1681,1279
values_877,1681,1279
values_654,1681,1279
values_508,1681,1279
values_332,1681,1279
values_281,1681,1279
values_381,1681,1279
values_769,1681,1279
values_701,1681,1279
values_855,1681,1279
values_320,1681,1279
values_50,1681,1279
values_918,1681,1279
values_615,1681,1279
values_704,1681,1279
values_633,1681,1279
values_847,1681,1279
values_602,1681,1279
values_399,1681,1279
values_22,1681,1279
values_313,1681,1279
values_375,1681,1279
values_963,1681,1279
values_168,1681,1279
values_226,1681,1279
values_190,1681,1279
values_429,1681,1279
values_236,1681,1279
values_777,1681,1279
values_909,1681,1279
values_438,1681,1279
values_607,1681,1279
values_717,1681,1279
values_782,1681,1279
values_258,1681,1279
values_872,1681,1279
values_637,1681,1279
values_746,1681,1279
values_4,1681,1279
values_345,1681,1279
values_102,1681,1279
values_962,1681,1279
values_356,1681,1279
values_853,1681,1279
values_849,1681,1279
values_814,1681,1279
values_370,1681,1279
values_778,1681,1279
values_458,1681,1279
values_818,1681,1279
values_119,1681,1279
values_373,1681,1279
values_351,1681,1279
values_32,1681,1279
values_770,1681,1279
values_371,1681,1279
values_283,1681,1279
values_535,1681,1279
values_250,1681,1279
values_132,1681,1279
values_649,1681,1279
values_77,1681,1279
values_260,1681,1279
values_891,1681,1279
values_91,1681,1279
values_137,1681,1279
values_42,1681,1279
values_13,1681,1279
values_577,1681,1279
values_41,1681,1279
values_809,1681,1279
values_414,1681,1279
values_360,1681,1279
values_386,1681,1279
values_158,1681,1279
values_904,1681,1279
values_480,1681,1279
values_647,1681,1279
values_104,1681,1279
