inputName,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 223 
"," 45 
"," 670 
"," 80 
"," 4235.69 
"," 367328.61 
"," 0.01 
"," 86.72 
"," 20407.14 
"," 1.71 
"
values_505," 206 
"," 32 
"," 626 
"," 67 
"," 3797.37 
"," 427797.67 
"," 0.01 
"," 112.66 
"," 23766.54 
"," 1.89 
"
values_924," 224 
"," 49 
"," 675 
"," 84 
"," 4314.81 
"," 345185.14 
"," 0.01 
"," 80 
"," 19176.95 
"," 1.64 
"
values_862," 222 
"," 45 
"," 664 
"," 80 
"," 4197.76 
"," 362406.64 
"," 0.01 
"," 86.33 
"," 20133.70 
"," 1.69 
"
values_287," 206 
"," 32 
"," 627 
"," 67 
"," 3803.44 
"," 428481.05 
"," 0.01 
"," 112.66 
"," 23804.50 
"," 1.89 
"
values_733," 212 
"," 35 
"," 642 
"," 70 
"," 3935.00 
"," 417109.97 
"," 0.01 
"," 106 
"," 23172.78 
"," 1.86 
"
values_813," 202 
"," 28 
"," 619 
"," 63 
"," 3699.94 
"," 467116.95 
"," 0.01 
"," 126.25 
"," 25950.94 
"," 2.01 
"
values_11," 203 
"," 29 
"," 622 
"," 64 
"," 3732 
"," 457170 
"," 0.01 
"," 122.50 
"," 25398.33 
"," 1.98 
"
values_19," 217 
"," 42 
"," 656 
"," 77 
"," 4111.01 
"," 371704.00 
"," 0.01 
"," 90.42 
"," 20650.22 
"," 1.72 
"
values_999," 209 
"," 33 
"," 639 
"," 68 
"," 3889.89 
"," 431129.34 
"," 0.01 
"," 110.83 
"," 23951.63 
"," 1.90 
"
values_134," 208 
"," 33 
"," 635 
"," 68 
"," 3865.54 
"," 426380.65 
"," 0.01 
"," 110.30 
"," 23687.81 
"," 1.89 
"
values_609," 219 
"," 41 
"," 661 
"," 76 
"," 4129.88 
"," 386043.06 
"," 0.01 
"," 93.48 
"," 21446.84 
"," 1.77 
"
values_993," 225 
"," 49 
"," 675 
"," 84 
"," 4314.81 
"," 346726.15 
"," 0.01 
"," 80.36 
"," 19262.56 
"," 1.65 
"
values_731," 216 
"," 42 
"," 655 
"," 77 
"," 4104.75 
"," 369427.07 
"," 0.01 
"," 90 
"," 20523.73 
"," 1.72 
"
values_127," 224 
"," 45 
"," 670 
"," 80 
"," 4235.69 
"," 368975.82 
"," 0.01 
"," 87.11 
"," 20498.66 
"," 1.71 
"
values_889," 205 
"," 30 
"," 625 
"," 65 
"," 3763.98 
"," 450109.26 
"," 0.01 
"," 119.58 
"," 25006.07 
"," 1.96 
"
values_987," 210 
"," 35 
"," 640 
"," 70 
"," 3922.74 
"," 411887.82 
"," 0.01 
"," 105 
"," 22882.66 
"," 1.85 
"
values_780," 212 
"," 38 
"," 644 
"," 73 
"," 3986.25 
"," 389183.59 
"," 0.01 
"," 97.63 
"," 21621.31 
"," 1.78 
"
values_435," 208 
"," 32 
"," 636 
"," 67 
"," 3858.03 
"," 438851.22 
"," 0.01 
"," 113.75 
"," 24380.62 
"," 1.92 
"
values_950," 226 
"," 51 
"," 680 
"," 86 
"," 4369.86 
"," 338878.36 
"," 0.01 
"," 77.55 
"," 18826.58 
"," 1.62 
"
values_976," 216 
"," 39 
"," 653 
"," 74 
"," 4054.77 
"," 393001.08 
"," 0.01 
"," 96.92 
"," 21833.39 
"," 1.79 
"
values_557," 220 
"," 42 
"," 662 
"," 77 
"," 4148.61 
"," 380289.50 
"," 0.01 
"," 91.67 
"," 21127.19 
"," 1.75 
"
values_398," 206 
"," 32 
"," 630 
"," 67 
"," 3821.64 
"," 430531.20 
"," 0.01 
"," 112.66 
"," 23918.40 
"," 1.90 
"
values_892," 203 
"," 29 
"," 622 
"," 64 
"," 3732 
"," 457170 
"," 0.01 
"," 122.50 
"," 25398.33 
"," 1.98 
"
values_670," 210 
"," 34 
"," 639 
"," 69 
"," 3903.35 
"," 421905.90 
"," 0.01 
"," 108.09 
"," 23439.22 
"," 1.88 
"
values_574," 208 
"," 32 
"," 634 
"," 67 
"," 3845.90 
"," 437471.19 
"," 0.01 
"," 113.75 
"," 24303.95 
"," 1.92 
"
values_163," 213 
"," 38 
"," 645 
"," 73 
"," 3992.44 
"," 391626.53 
"," 0.01 
"," 98.09 
"," 21757.03 
"," 1.78 
"
values_900," 220 
"," 42 
"," 663 
"," 77 
"," 4154.88 
"," 380863.95 
"," 0.01 
"," 91.67 
"," 21159.11 
"," 1.75 
"
values_392," 225 
"," 45 
"," 677 
"," 80 
"," 4279.95 
"," 374495.22 
"," 0.01 
"," 87.50 
"," 20805.29 
"," 1.73 
"
values_447," 201 
"," 27 
"," 616 
"," 62 
"," 3667.78 
"," 477830.87 
"," 0.01 
"," 130.28 
"," 26546.16 
"," 2.04 
"
values_523," 207 
"," 33 
"," 629 
"," 68 
"," 3829.01 
"," 420321.32 
"," 0.01 
"," 109.77 
"," 23351.18 
"," 1.87 
"
values_679," 215 
"," 40 
"," 651 
"," 75 
"," 4054.96 
"," 381419.77 
"," 0.01 
"," 94.06 
"," 21189.99 
"," 1.75 
"
values_419," 205 
"," 29 
"," 628 
"," 64 
"," 3768 
"," 466127.59 
"," 0.01 
"," 123.71 
"," 25895.98 
"," 2.00 
"
values_895," 201 
"," 27 
"," 616 
"," 62 
"," 3667.78 
"," 477830.87 
"," 0.01 
"," 130.28 
"," 26546.16 
"," 2.04 
"
values_298," 223 
"," 48 
"," 676 
"," 83 
"," 4309.53 
"," 350373.50 
"," 0.01 
"," 81.30 
"," 19465.19 
"," 1.66 
"
values_155," 217 
"," 42 
"," 655 
"," 77 
"," 4104.75 
"," 371137.38 
"," 0.01 
"," 90.42 
"," 20618.74 
"," 1.72 
"
values_12," 201 
"," 27 
"," 616 
"," 62 
"," 3667.78 
"," 477830.87 
"," 0.01 
"," 130.28 
"," 26546.16 
"," 2.04 
"
values_160," 204 
"," 29 
"," 623 
"," 64 
"," 3738 
"," 460160.69 
"," 0.01 
"," 123.10 
"," 25564.48 
"," 1.99 
"
values_626," 216 
"," 39 
"," 653 
"," 74 
"," 4054.77 
"," 393001.08 
"," 0.01 
"," 96.92 
"," 21833.39 
"," 1.79 
"
values_38," 224 
"," 48 
"," 673 
"," 83 
"," 4290.40 
"," 350382.79 
"," 0.01 
"," 81.67 
"," 19465.71 
"," 1.66 
"
values_146," 213 
"," 37 
"," 645 
"," 72 
"," 3979.60 
"," 400917.97 
"," 0.01 
"," 100.74 
"," 22273.22 
"," 1.81 
"
values_81," 205 
"," 29 
"," 625 
"," 64 
"," 3750 
"," 463900.86 
"," 0.01 
"," 123.71 
"," 25772.27 
"," 2.00 
"
values_687," 216 
"," 40 
"," 655 
"," 75 
"," 4079.88 
"," 385548.30 
"," 0.01 
"," 94.50 
"," 21419.35 
"," 1.77 
"
values_213," 220 
"," 43 
"," 665 
"," 78 
"," 4179.79 
"," 374237.23 
"," 0.01 
"," 89.53 
"," 20790.96 
"," 1.73 
"
values_212," 211 
"," 36 
"," 642 
"," 71 
"," 3948.14 
"," 404958.29 
"," 0.01 
"," 102.57 
"," 22497.68 
"," 1.82 
"
values_568," 223 
"," 46 
"," 668 
"," 81 
"," 4235.02 
"," 359286.19 
"," 0.01 
"," 84.84 
"," 19960.34 
"," 1.68 
"
values_5," 209 
"," 35 
"," 636 
"," 70 
"," 3898.22 
"," 407364.41 
"," 0.01 
"," 104.50 
"," 22631.36 
"," 1.83 
"
values_40," 200 
"," 25 
"," 615 
"," 60 
"," 3632.74 
"," 508583.28 
"," 0.01 
"," 140 
"," 28254.63 
"," 2.12 
"
values_970," 214 
"," 39 
"," 651 
"," 74 
"," 4042.35 
"," 388169.65 
"," 0.01 
"," 96.03 
"," 21564.98 
"," 1.77 
"
values_707," 210 
"," 36 
"," 639 
"," 71 
"," 3929.69 
"," 401155.69 
"," 0.01 
"," 102.08 
"," 22286.43 
"," 1.81 
"
values_406," 212 
"," 37 
"," 644 
"," 72 
"," 3973.43 
"," 398417.07 
"," 0.01 
"," 100.27 
"," 22134.28 
"," 1.80 
"
values_893," 208 
"," 31 
"," 639 
"," 66 
"," 3862.37 
"," 453516.74 
"," 0.01 
"," 117.42 
"," 25195.37 
"," 1.97 
"
values_144," 221 
"," 45 
"," 668 
"," 80 
"," 4223.05 
"," 362947.51 
"," 0.01 
"," 85.94 
"," 20163.75 
"," 1.70 
"
values_979," 223 
"," 47 
"," 680 
"," 82 
"," 4323.14 
"," 358958.21 
"," 0.01 
"," 83.03 
"," 19942.12 
"," 1.68 
"
values_831," 224 
"," 45 
"," 674 
"," 80 
"," 4260.98 
"," 371178.66 
"," 0.01 
"," 87.11 
"," 20621.04 
"," 1.72 
"
values_402," 218 
"," 41 
"," 658 
"," 76 
"," 4111.14 
"," 382536.22 
"," 0.01 
"," 93.05 
"," 21252.01 
"," 1.76 
"
values_404," 208 
"," 32 
"," 632 
"," 67 
"," 3833.77 
"," 436091.15 
"," 0.01 
"," 113.75 
"," 24227.29 
"," 1.92 
"
values_310," 203 
"," 29 
"," 621 
"," 64 
"," 3726 
"," 456435 
"," 0.01 
"," 122.50 
"," 25357.50 
"," 1.98 
"
values_70," 224 
"," 44 
"," 677 
"," 79 
"," 4267.66 
"," 380209.67 
"," 0.01 
"," 89.09 
"," 21122.76 
"," 1.75 
"
values_268," 205 
"," 30 
"," 626 
"," 65 
"," 3770.00 
"," 450829.44 
"," 0.01 
"," 119.58 
"," 25046.08 
"," 1.96 
"
values_412," 213 
"," 39 
"," 648 
"," 74 
"," 4023.73 
"," 384575.33 
"," 0.01 
"," 95.58 
"," 21365.30 
"," 1.76 
"
values_290," 203 
"," 29 
"," 623 
"," 64 
"," 3738 
"," 457905 
"," 0.01 
"," 122.50 
"," 25439.17 
"," 1.98 
"
values_916," 201 
"," 27 
"," 616 
"," 62 
"," 3667.78 
"," 477830.87 
"," 0.01 
"," 130.28 
"," 26546.16 
"," 2.04 
"
values_567," 205 
"," 30 
"," 625 
"," 65 
"," 3763.98 
"," 450109.26 
"," 0.01 
"," 119.58 
"," 25006.07 
"," 1.96 
"
values_913," 223 
"," 47 
"," 674 
"," 82 
"," 4284.99 
"," 355790.93 
"," 0.01 
"," 83.03 
"," 19766.16 
"," 1.67 
"
values_232," 225 
"," 43 
"," 675 
"," 78 
"," 4242.65 
"," 388498.15 
"," 0.01 
"," 91.57 
"," 21583.23 
"," 1.77 
"
values_319," 226 
"," 49 
"," 679 
"," 84 
"," 4340.38 
"," 350330.96 
"," 0.01 
"," 80.71 
"," 19462.83 
"," 1.66 
"
values_23," 205 
"," 30 
"," 628 
"," 65 
"," 3782.05 
"," 452269.79 
"," 0.01 
"," 119.58 
"," 25126.10 
"," 1.96 
"
values_899," 208 
"," 33 
"," 633 
"," 68 
"," 3853.36 
"," 425037.72 
"," 0.01 
"," 110.30 
"," 23613.21 
"," 1.88 
"
values_428," 220 
"," 46 
"," 665 
"," 81 
"," 4216.00 
"," 352860.89 
"," 0.01 
"," 83.70 
"," 19603.38 
"," 1.66 
"
values_858," 214 
"," 39 
"," 649 
"," 74 
"," 4029.94 
"," 386977.11 
"," 0.01 
"," 96.03 
"," 21498.73 
"," 1.77 
"
values_546," 204 
"," 30 
"," 624 
"," 65 
"," 3757.96 
"," 447196.94 
"," 0.01 
"," 119 
"," 24844.27 
"," 1.95 
"
values_432," 221 
"," 42 
"," 664 
"," 77 
"," 4161.15 
"," 383172.22 
"," 0.01 
"," 92.08 
"," 21287.35 
"," 1.76 
"
values_231," 211 
"," 37 
"," 640 
"," 72 
"," 3948.75 
"," 394074.78 
"," 0.01 
"," 99.80 
"," 21893.04 
"," 1.79 
"
values_388," 200 
"," 25 
"," 614 
"," 60 
"," 3626.83 
"," 507756.32 
"," 0.01 
"," 140 
"," 28208.68 
"," 2.12 
"
values_350," 205 
"," 30 
"," 626 
"," 65 
"," 3770.00 
"," 450829.44 
"," 0.01 
"," 119.58 
"," 25046.08 
"," 1.96 
"
values_603," 210 
"," 35 
"," 638 
"," 70 
"," 3910.48 
"," 410600.67 
"," 0.01 
"," 105 
"," 22811.15 
"," 1.84 
"
values_364," 218 
"," 44 
"," 656 
"," 79 
"," 4135.28 
"," 358547.59 
"," 0.01 
"," 86.70 
"," 19919.31 
"," 1.68 
"
values_530," 204 
"," 29 
"," 623 
"," 64 
"," 3738 
"," 460160.69 
"," 0.01 
"," 123.10 
"," 25564.48 
"," 1.99 
"
values_72," 214 
"," 39 
"," 647 
"," 74 
"," 4017.52 
"," 385784.58 
"," 0.01 
"," 96.03 
"," 21432.48 
"," 1.77 
"
values_536," 223 
"," 44 
"," 673 
"," 79 
"," 4242.44 
"," 376275.90 
"," 0.01 
"," 88.69 
"," 20904.22 
"," 1.74 
"
values_79," 214 
"," 38 
"," 648 
"," 73 
"," 4011.01 
"," 395295.23 
"," 0.01 
"," 98.55 
"," 21960.85 
"," 1.80 
"
