id,cInstr
values_242,194
values_505,77
values_924,455
values_862,57
values_287,282
values_733,373
values_813,275
values_11,277
values_19,380
values_999,212
values_134,371
values_609,87
values_993,193
values_731,186
values_127,182
values_889,401
values_987,221
values_780,375
values_435,157
values_950,504
values_976,113
values_557,248
values_398,202
values_892,404
values_670,409
values_574,444
values_163,435
values_900,61
values_392,89
values_447,134
values_523,264
values_679,236
values_419,399
values_895,191
values_298,212
values_155,484
values_12,238
values_160,332
values_626,29
values_38,265
values_146,380
values_81,305
values_687,302
values_213,274
values_212,416
values_568,385
values_5,289
values_40,33
values_970,481
values_707,323
values_406,306
values_893,303
values_144,130
values_979,81
values_831,325
values_402,300
values_404,506
values_310,61
values_70,224
values_268,61
values_412,116
values_290,85
values_916,204
values_567,425
values_913,23
values_232,215
values_319,320
values_23,309
values_899,296
values_428,31
values_858,197
values_546,135
values_432,419
values_231,368
values_388,87
values_350,21
values_603,238
values_364,31
values_530,53
values_72,105
values_536,125
values_79,321
values_342,373
values_803,309
values_501,194
values_540,471
values_955,372
values_191,217
values_812,250
values_545,95
values_78,374
values_526,197
values_695,89
values_87,461
values_300,417
values_964,380
values_998,121
values_988,533
values_6,255
values_625,35
values_518,23
values_122,297
values_541,301
values_279,239
values_256,29
values_796,374
values_504,478
values_752,57
values_459,341
values_658,504
values_408,232
values_867,247
values_727,494
values_177,23
values_823,393
values_822,29
values_218,79
values_426,284
values_776,416
values_143,23
values_739,318
values_312,182
values_174,113
values_669,259
values_120,63
values_974,101
values_217,200
values_866,37
values_192,288
values_328,33
values_68,394
values_387,244
values_69,232
values_749,192
values_135,397
values_341,23
values_494,206
values_1,379
values_589,248
values_925,391
values_524,323
values_994,302
values_856,238
values_156,436
values_470,421
values_207,111
values_655,426
values_441,452
values_109,389
values_45,467
values_125,367
values_600,468
values_708,493
values_791,112
values_912,389
values_533,412
values_418,280
values_228,504
values_585,380
values_465,198
values_239,145
values_842,174
values_208,356
values_932,367
values_957,231
values_563,197
values_766,293
values_476,23
values_175,181
values_591,392
values_997,510
values_385,509
values_115,51
values_653,41
values_753,524
values_241,359
values_197,47
values_636,498
values_450,259
values_106,391
values_699,300
values_578,89
values_644,449
values_570,107
values_873,152
values_33,172
values_210,274
values_486,71
values_252,403
values_694,330
values_759,21
values_245,35
