id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,5637,4237,434,12.988
values_505,1317,991,119,11.067
values_924,5759,4328,459,12.547
values_862,5393,4055,463,11.648
values_287,1317,991,117,11.256
values_733,2289,1726,218,10.500
values_813,394,299,43,9.163
values_11,495,376,53,9.340
values_19,4379,3292,301,14.548
values_999,1843,1390,156,11.814
values_134,1641,1236,152,10.796
values_609,4745,3565,385,12.325
values_993,6163,4636,498,12.376
values_731,3975,2984,279,14.247
values_127,5759,4328,498,11.564
values_889,697,530,103,6.767
values_987,1965,1481,184,10.679
values_780,2289,1726,239,9.577
values_435,1641,1236,155,10.587
values_950,6285,4727,572,10.988
values_976,3975,2984,278,14.299
values_557,4867,3656,419,11.616
values_398,1317,991,119,11.067
values_892,495,376,59,8.390
values_670,1965,1481,187,10.508
values_574,1641,1236,142,11.556
values_163,2491,1880,240,10.379
values_900,4867,3656,404,12.047
values_392,6163,4636,482,12.786
values_447,293,222,35,8.371
values_523,1519,1145,114,13.325
values_679,3853,2893,301,12.801
values_419,697,530,105,6.638
values_895,293,222,35,8.371
values_298,5637,4237,429,13.140
values_155,4379,3292,333,13.150
values_12,293,222,33,8.879
values_160,596,453,89,6.697
values_626,3975,2984,276,14.402
values_38,5759,4328,489,11.777
values_146,2491,1880,235,10.600
values_81,697,530,97,7.186
values_687,3975,2984,249,15.964
values_213,4867,3656,370,13.154
values_212,2167,1635,212,10.222
values_568,5637,4237,440,12.811
values_5,1843,1390,163,11.307
values_40,192,145,21,9.143
values_970,2613,1971,236,11.072
values_707,1965,1481,165,11.909
values_406,2289,1726,224,10.219
values_893,1641,1236,125,13.128
values_144,5271,3964,424,12.432
values_979,5637,4237,457,12.335
values_831,5759,4328,497,11.588
values_402,4501,3383,341,13.199
values_404,1641,1236,156,10.519
values_310,495,376,65,7.615
values_70,5759,4328,419,13.745
values_268,697,530,93,7.495
values_412,2491,1880,271,9.192
values_290,495,376,65,7.615
values_916,293,222,33,8.879
values_567,697,530,107,6.514
values_913,5637,4237,430,13.109
values_232,6163,4636,498,12.376
values_319,6285,4727,501,12.545
values_23,697,530,95,7.337
values_899,1641,1236,154,10.656
values_428,4867,3656,373,13.048
values_858,2613,1971,291,8.979
values_546,596,453,89,6.697
values_432,5271,3964,382,13.798
values_231,2167,1635,189,11.466
values_388,192,145,21,9.143
values_350,697,530,79,8.823
values_603,1965,1481,156,12.596
values_364,4501,3383,320,14.066
values_530,596,453,79,7.544
values_72,2613,1971,276,9.467
values_536,5637,4237,444,12.696
values_79,2613,1971,254,10.287
values_342,2289,1726,227,10.084
values_803,5393,4055,423,12.749
values_501,1843,1390,180,10.239
values_540,4501,3383,341,13.199
values_955,5393,4055,436,12.369
values_191,192,145,21,9.143
values_812,2167,1635,198,10.944
values_545,4501,3383,321,14.022
values_78,394,299,41,9.610
values_526,2167,1635,209,10.368
values_695,1641,1236,146,11.240
values_87,1641,1236,146,11.240
values_300,2289,1726,224,10.219
values_964,4501,3383,335,13.436
values_998,3853,2893,257,14.992
values_988,4501,3383,325,13.849
values_6,1519,1145,129,11.775
values_625,394,299,47,8.383
values_518,2167,1635,227,9.546
values_122,1519,1145,129,11.775
values_541,1317,991,124,10.621
values_279,3853,2893,257,14.992
values_256,394,299,45,8.756
values_796,1965,1481,204,9.632
values_504,2491,1880,237,10.511
values_752,6285,4727,512,12.275
values_459,6163,4636,518,11.898
values_658,192,145,21,9.143
values_408,1641,1236,161,10.193
values_867,293,222,35,8.371
values_727,2491,1880,245,10.167
values_177,1843,1390,161,11.447
values_823,697,530,99,7.040
values_822,1317,991,109,12.083
values_218,6285,4727,532,11.814
values_426,3853,2893,295,13.061
values_776,5759,4328,473,12.175
values_143,5393,4055,415,12.995
values_739,2289,1726,229,9.996
values_312,1641,1236,148,11.088
values_174,4867,3656,392,12.416
values_669,5759,4328,454,12.685
values_120,1843,1390,172,10.715
values_974,596,453,83,7.181
values_217,3853,2893,271,14.218
values_866,4867,3656,362,13.445
values_192,4501,3383,332,13.557
values_328,6163,4636,491,12.552
values_68,6285,4727,512,12.275
values_387,4867,3656,375,12.979
values_69,697,530,95,7.337
values_749,4867,3656,384,12.674
values_135,1317,991,107,12.308
values_341,394,299,53,7.434
values_494,394,299,47,8.383
values_1,5393,4055,402,13.415
values_589,4745,3565,377,12.586
values_925,4745,3565,344,13.794
values_524,5637,4237,429,13.140
values_994,2613,1971,250,10.452
values_856,4745,3565,332,14.292
values_156,4745,3565,367,12.929
values_470,1843,1390,162,11.377
values_207,3853,2893,260,14.819
values_655,1317,991,121,10.884
values_441,2289,1726,216,10.597
values_109,4745,3565,391,12.136
values_45,697,530,85,8.200
values_125,596,453,75,7.947
values_600,1843,1390,170,10.841
values_708,4501,3383,342,13.161
values_791,394,299,53,7.434
values_912,1843,1390,183,10.071
values_533,596,453,83,7.181
values_418,697,530,103,6.767
values_228,3975,2984,302,13.162
values_585,1519,1145,128,11.867
values_465,1965,1481,174,11.293
values_239,596,453,65,9.169
values_842,3853,2893,281,13.712
values_208,596,453,81,7.358
values_932,3853,2893,275,14.011
values_957,6163,4636,490,12.578
values_563,394,299,49,8.041
values_766,4745,3565,339,13.997
values_476,4379,3292,325,13.474
values_175,4501,3383,310,14.519
values_591,4501,3383,328,13.723
values_997,192,145,21,9.143
values_385,2613,1971,265,9.860
values_115,1843,1390,183,10.071
values_653,6285,4727,517,12.157
values_753,394,299,43,9.163
values_241,1965,1481,160,12.281
values_197,3975,2984,285,13.947
values_636,6285,4727,473,13.288
values_450,4745,3565,343,13.834
values_106,4745,3565,323,14.690
values_699,4867,3656,364,13.371
values_578,1843,1390,163,11.307
values_644,3975,2984,313,12.700
values_570,1641,1236,160,10.256
values_873,4867,3656,377,12.910
values_33,2613,1971,270,9.678
values_210,2613,1971,249,10.494
values_486,4867,3656,348,13.986
values_252,293,222,35,8.371
values_694,5637,4237,452,12.471
values_759,3975,2984,278,14.299
values_245,6285,4727,474,13.259
values_15,1641,1236,159,10.321
values_792,4501,3383,328,13.723
values_248,192,145,23,8.348
values_246,1519,1145,121,12.554
values_556,2491,1880,235,10.600
values_513,3853,2893,267,14.431
values_93,5637,4237,452,12.471
values_558,1519,1145,122,12.451
values_991,1965,1481,178,11.039
values_181,697,530,115,6.061
values_674,2491,1880,260,9.581
values_652,394,299,51,7.725
values_344,4501,3383,331,13.598
values_715,2491,1880,250,9.964
values_528,4867,3656,378,12.876
values_276,5759,4328,490,11.753
values_24,2613,1971,264,9.898
values_296,596,453,77,7.740
values_244,2289,1726,212,10.797
values_380,3853,2893,284,13.567
values_25,1519,1145,126,12.056
values_740,697,530,101,6.901
values_478,1641,1236,145,11.317
values_379,596,453,81,7.358
values_810,2289,1726,223,10.265
values_440,6163,4636,449,13.726
values_543,192,145,23,8.348
values_130,293,222,35,8.371
values_225,293,222,29,10.103
values_285,5271,3964,402,13.112
values_363,1965,1481,167,11.766
values_667,1317,991,109,12.083
values_26,2613,1971,250,10.452
values_793,6285,4727,479,13.121
values_772,2491,1880,235,10.600
values_931,6163,4636,551,11.185
values_981,1317,991,117,11.256
values_422,1317,991,110,11.973
values_920,4501,3383,336,13.396
values_259,2167,1635,200,10.835
values_477,293,222,35,8.371
values_738,5271,3964,383,13.762
values_430,4379,3292,344,12.730
values_922,1965,1481,187,10.508
values_903,394,299,45,8.756
values_761,2167,1635,186,11.651
values_204,1843,1390,144,12.799
values_48,1641,1236,155,10.587
values_71,3975,2984,287,13.850
values_851,4501,3383,341,13.199
values_347,3853,2893,300,12.843
values_725,1317,991,99,13.303
values_266,2491,1880,250,9.964
values_448,5759,4328,440,13.089
values_934,4501,3383,337,13.356
values_531,5637,4237,450,12.527
values_224,5393,4055,430,12.542
values_686,293,222,37,7.919
values_927,5759,4328,458,12.574
values_407,5759,4328,446,12.913
values_76,2613,1971,285,9.168
values_949,6163,4636,485,12.707
values_969,3975,2984,314,12.659
values_781,6285,4727,487,12.906
values_7,6163,4636,490,12.578
values_683,1641,1236,151,10.868
values_376,4867,3656,377,12.910
values_877,697,530,103,6.767
values_654,3853,2893,281,13.712
values_508,6285,4727,544,11.553
values_332,495,376,69,7.174
values_281,1317,991,112,11.759
values_381,293,222,29,10.103
values_769,4867,3656,376,12.944
values_701,192,145,23,8.348
values_855,192,145,21,9.143
values_320,1843,1390,179,10.296
values_50,4501,3383,308,14.614
values_918,4867,3656,389,12.512
values_615,293,222,29,10.103
values_704,495,376,49,10.102
values_633,5271,3964,417,12.640
values_847,6163,4636,480,12.840
values_602,4501,3383,331,13.598
values_399,3853,2893,271,14.218
values_22,2613,1971,244,10.709
values_313,192,145,23,8.348
values_375,495,376,69,7.174
