id,clockCycles,assemblyInstr
values_242,1756,1274
values_505,533,392
values_924,5030,3632
values_862,443,326
values_287,3446,2488
values_733,4346,3137
values_813,2332,1692
values_11,2332,1692
values_19,4346,3137
values_999,1936,1406
values_134,4346,3137
values_609,623,458
values_993,1936,1406
values_731,1756,1274
values_127,1756,1274
values_889,4346,3137
values_987,2044,1483
values_780,4022,2906
values_435,1468,1065
values_950,5606,4050
values_976,1180,856
values_557,2224,1615
values_398,1936,1406
values_892,4706,3401
values_670,4706,3401
values_574,5138,3709
values_163,4814,3478
values_900,443,326
values_392,533,392
values_447,1468,1065
values_523,2332,1692
values_679,2224,1615
values_419,4814,3478
values_895,1756,1274
values_298,1936,1406
values_155,5498,3973
values_12,2224,1615
values_160,3914,2829
values_626,263,194
values_38,2224,1615
values_146,4346,3137
values_81,3554,2565
values_687,3914,2829
values_213,3446,2488
values_212,4814,3478
values_568,4346,3137
values_5,3554,2565
values_40,263,194
values_970,5606,4050
values_707,4022,2906
values_406,3554,2565
values_893,3914,2829
values_144,1360,988
values_979,533,392
values_831,3914,2829
values_402,3554,2565
values_404,5606,4050
values_310,443,326
values_70,2224,1615
values_268,443,326
values_412,1180,856
values_290,623,458
values_916,1936,1406
values_567,4706,3401
values_913,173,128
values_232,1936,1406
values_319,3914,2829
values_23,3914,2829
values_899,3446,2488
values_428,263,194
values_858,1936,1406
values_546,1468,1065
values_432,4814,3478
values_231,4346,3137
values_388,623,458
values_350,173,128
values_603,2044,1483
values_364,263,194
values_530,353,260
values_72,1180,856
values_536,1360,988
values_79,4022,2906
values_342,4238,3060
values_803,3554,2565
values_501,1756,1274
values_540,5138,3709
values_955,4346,3137
values_191,1936,1406
values_812,2332,1692
values_545,623,458
values_78,4346,3137
values_526,1756,1274
values_695,533,392
values_87,5030,3632
values_300,5030,3632
values_964,4346,3137
values_998,623,458
values_988,5606,4050
values_6,3446,2488
values_625,263,194
values_518,173,128
values_122,3554,2565
values_541,3446,2488
values_279,2044,1483
values_256,263,194
values_796,4238,3060
values_504,5030,3632
values_752,443,326
values_459,4022,2906
values_658,5498,3973
values_408,2044,1483
values_867,2224,1615
values_727,5498,3973
values_177,173,128
values_823,4346,3137
values_822,263,194
values_218,533,392
values_426,3446,2488
values_776,5030,3632
values_143,173,128
values_739,3914,2829
values_312,1936,1406
values_174,1180,856
values_669,2224,1615
values_120,443,326
values_974,623,458
values_217,1936,1406
values_866,353,260
values_192,3446,2488
values_328,263,194
values_68,4706,3401
values_387,2332,1692
values_69,2224,1615
values_749,1936,1406
values_135,4706,3401
values_341,173,128
values_494,1756,1274
values_1,4346,3137
values_589,2332,1692
values_925,4346,3137
values_524,3554,2565
values_994,3554,2565
values_856,2224,1615
values_156,5138,3709
values_470,4814,3478
values_207,623,458
values_655,5030,3632
values_441,5030,3632
values_109,4706,3401
values_45,5138,3709
values_125,4238,3060
values_600,5030,3632
values_708,5606,4050
values_791,1180,856
values_912,4814,3478
values_533,4814,3478
values_418,3446,2488
values_228,5606,4050
values_585,4346,3137
values_465,1756,1274
values_239,1360,988
values_842,1756,1274
values_208,4346,3137
values_932,4346,3137
values_957,2224,1615
values_563,1756,1274
values_766,3914,2829
values_476,173,128
values_175,1756,1274
values_591,4706,3401
values_997,5498,3973
values_385,5606,4050
values_115,353,260
values_653,353,260
values_753,5606,4050
values_241,4238,3060
values_197,353,260
values_636,5606,4050
values_450,3554,2565
values_106,4706,3401
values_699,3914,2829
values_578,533,392
values_644,4814,3478
values_570,623,458
values_873,1468,1065
values_33,1756,1274
values_210,3554,2565
values_486,443,326
values_252,4814,3478
values_694,3914,2829
values_759,173,128
values_245,263,194
values_15,1468,1065
values_792,5030,3632
values_248,443,326
values_246,3554,2565
values_556,2224,1615
values_513,3914,2829
values_93,2044,1483
values_558,1648,1197
values_991,1648,1197
values_181,2224,1615
values_674,1756,1274
values_652,4346,3137
values_344,3914,2829
values_715,1468,1065
values_528,2224,1615
values_276,5606,4050
values_24,2224,1615
values_296,1360,988
values_244,2332,1692
values_380,173,128
values_25,4238,3060
values_740,4706,3401
values_478,1756,1274
values_379,2224,1615
values_810,1756,1274
values_440,1468,1065
values_543,1360,988
values_130,623,458
values_225,4238,3060
values_285,1936,1406
values_363,4706,3401
values_667,5606,4050
values_26,4238,3060
values_793,263,194
values_772,1756,1274
values_931,1360,988
values_981,2332,1692
values_422,173,128
values_920,353,260
values_259,623,458
values_477,2332,1692
values_738,5138,3709
values_430,3914,2829
values_922,1648,1197
values_903,4346,3137
values_761,353,260
values_204,353,260
values_48,4706,3401
values_71,1468,1065
values_851,5606,4050
values_347,533,392
values_725,1468,1065
values_266,5606,4050
values_448,1180,856
values_934,2332,1692
values_531,3446,2488
values_224,443,326
values_686,263,194
values_927,443,326
values_407,4814,3478
values_76,4814,3478
values_949,5606,4050
values_969,5030,3632
values_781,2332,1692
values_7,4706,3401
values_683,4346,3137
values_376,2332,1692
values_877,3554,2565
values_654,1936,1406
values_508,5606,4050
values_332,3446,2488
values_281,1936,1406
values_381,1756,1274
values_769,533,392
values_701,1648,1197
values_855,4238,3060
values_320,2224,1615
values_50,2044,1483
values_918,5030,3632
values_615,1180,856
values_704,2044,1483
values_633,353,260
values_847,5498,3973
values_602,2224,1615
values_399,1756,1274
values_22,3446,2488
values_313,2224,1615
values_375,4346,3137
values_963,263,194
values_168,263,194
values_226,1936,1406
values_190,5138,3709
values_429,263,194
values_236,2224,1615
values_777,263,194
values_909,5030,3632
values_438,353,260
values_607,5030,3632
values_717,5138,3709
values_782,3554,2565
values_258,5030,3632
values_872,623,458
values_637,1936,1406
values_746,2044,1483
values_4,263,194
values_345,263,194
values_102,5498,3973
values_962,1648,1197
values_356,1468,1065
values_853,443,326
values_849,4814,3478
values_814,263,194
values_370,1180,856
values_778,1360,988
values_458,5498,3973
values_818,4238,3060
values_119,5606,4050
values_373,3554,2565
values_351,5606,4050
values_32,4238,3060
values_770,5498,3973
values_371,5030,3632
values_283,5138,3709
values_535,4814,3478
values_250,4814,3478
values_132,2044,1483
values_649,5030,3632
values_77,5606,4050
values_260,3554,2565
values_891,263,194
values_91,623,458
values_137,1648,1197
values_42,263,194
values_13,2332,1692
values_577,1180,856
values_41,2224,1615
values_809,5030,3632
values_414,443,326
values_360,1936,1406
values_386,1468,1065
values_158,4814,3478
values_904,5138,3709
values_480,1360,988
values_647,1360,988
values_104,5138,3709
values_55,2044,1483
values_491,4022,2906
values_391,3446,2488
values_972,5138,3709
values_571,4706,3401
values_940,4022,2906
values_861,1756,1274
values_324,1648,1197
values_549,173,128
values_170,5498,3973
values_269,533,392
values_442,5606,4050
values_520,353,260
values_455,3446,2488
values_31,5030,3632
values_971,5138,3709
values_397,533,392
values_254,623,458
values_616,2044,1483
values_66,5498,3973
values_943,4814,3478
values_117,533,392
values_451,3446,2488
values_643,1936,1406
values_688,1468,1065
values_569,2044,1483
values_745,4346,3137
values_65,1936,1406
values_980,5606,4050
values_982,173,128
values_62,2332,1692
values_789,353,260
values_401,2332,1692
values_21,3446,2488
values_598,1936,1406
values_273,1648,1197
values_534,1756,1274
values_118,353,260
values_141,533,392
values_366,353,260
values_222,2044,1483
values_876,3554,2565
values_700,4022,2906
values_95,1360,988
values_806,1360,988
values_671,5138,3709
values_816,623,458
values_630,2044,1483
values_433,353,260
values_905,5030,3632
values_84,353,260
values_233,5138,3709
values_664,4238,3060
values_162,2332,1692
values_681,4022,2906
values_542,5606,4050
values_169,2224,1615
values_660,2332,1692
values_488,3446,2488
values_894,1648,1197
values_828,3446,2488
values_537,3554,2565
values_845,3914,2829
values_584,4022,2906
values_457,1756,1274
values_499,4022,2906
values_369,4706,3401
values_58,5030,3632
values_64,443,326
values_196,263,194
values_462,5138,3709
values_343,1360,988
values_262,4238,3060
values_966,5606,4050
values_261,3554,2565
values_349,2044,1483
values_263,2044,1483
values_801,5138,3709
values_292,3446,2488
values_786,1648,1197
values_101,173,128
values_691,1936,1406
values_926,3554,2565
values_754,173,128
values_215,5138,3709
values_977,4238,3060
values_850,3446,2488
values_646,5606,4050
values_628,4238,3060
values_941,443,326
values_353,1360,988
values_690,173,128
values_961,353,260
values_331,3914,2829
values_377,623,458
values_128,5030,3632
values_336,2332,1692
values_632,3446,2488
values_166,3446,2488
values_744,173,128
values_837,2044,1483
values_807,353,260
values_838,5606,4050
values_723,533,392
values_874,5030,3632
values_627,353,260
values_555,5030,3632
values_446,2332,1692
values_716,5030,3632
values_240,1180,856
values_140,3446,2488
values_317,5606,4050
values_83,2332,1692
values_696,2044,1483
values_413,3914,2829
values_94,1756,1274
values_937,4238,3060
values_199,4346,3137
values_596,2332,1692
values_0,1648,1197
values_953,4022,2906
values_906,1468,1065
values_742,2224,1615
values_396,1468,1065
values_159,5138,3709
values_238,173,128
values_136,5498,3973
values_915,4346,3137
values_99,2332,1692
values_771,5498,3973
values_96,263,194
values_768,1468,1065
values_67,4706,3401
values_565,1756,1274
values_848,3914,2829
values_114,1648,1197
values_61,263,194
values_511,4238,3060
values_729,2332,1692
values_460,3554,2565
values_832,4346,3137
values_348,1648,1197
values_182,1756,1274
values_986,533,392
values_180,5138,3709
values_930,263,194
values_274,1756,1274
values_309,4706,3401
values_496,5030,3632
values_165,623,458
values_553,173,128
values_870,5606,4050
values_795,443,326
values_361,4706,3401
values_302,4346,3137
values_586,3446,2488
values_880,2044,1483
values_665,3446,2488
values_527,623,458
values_372,4706,3401
values_382,3914,2829
values_43,2224,1615
values_935,353,260
values_2,4706,3401
values_790,5606,4050
values_152,353,260
values_871,2332,1692
values_434,3914,2829
values_775,4706,3401
values_500,1756,1274
values_220,4346,3137
values_875,5498,3973
values_249,2044,1483
values_808,173,128
values_859,1648,1197
values_539,533,392
values_635,2332,1692
values_311,1468,1065
values_183,5138,3709
values_54,1648,1197
values_390,173,128
values_890,3554,2565
values_711,1468,1065
values_471,2224,1615
values_995,1648,1197
values_443,4814,3478
values_464,443,326
values_774,353,260
values_200,173,128
values_747,2332,1692
values_758,3914,2829
values_30,5606,4050
values_820,1468,1065
values_393,353,260
values_576,353,260
values_445,2224,1615
values_662,1756,1274
values_403,5030,3632
values_640,4238,3060
values_59,3914,2829
values_490,623,458
values_194,2224,1615
values_751,3914,2829
values_663,1936,1406
values_938,3446,2488
values_532,2044,1483
values_885,5138,3709
values_713,5606,4050
values_193,263,194
values_650,1936,1406
values_564,1756,1274
values_267,4706,3401
values_147,533,392
values_709,1180,856
values_857,5138,3709
values_334,4814,3478
values_965,353,260
values_824,353,260
values_784,4814,3478
values_229,4346,3137
values_538,5138,3709
values_463,2332,1692
values_741,623,458
values_85,1648,1197
values_493,2332,1692
values_794,533,392
values_202,3446,2488
values_74,1936,1406
values_410,1648,1197
values_469,4022,2906
values_394,3914,2829
values_149,623,458
values_945,533,392
values_293,1648,1197
values_456,353,260
values_975,3554,2565
values_547,533,392
values_164,533,392
values_720,443,326
values_833,4346,3137
values_90,353,260
values_954,3914,2829
values_483,263,194
values_990,4706,3401
values_113,5606,4050
values_878,2332,1692
values_942,1180,856
values_126,4706,3401
values_666,1468,1065
values_960,1648,1197
values_783,4022,2906
values_735,3446,2488
values_439,4346,3137
values_860,5138,3709
values_18,2044,1483
values_173,2224,1615
values_454,3446,2488
values_176,1936,1406
values_698,4346,3137
values_869,1936,1406
values_697,3446,2488
values_509,623,458
values_189,2224,1615
values_714,1468,1065
values_270,3914,2829
values_863,353,260
values_548,3914,2829
values_359,5498,3973
values_512,1180,856
values_656,5138,3709
values_684,173,128
values_171,3914,2829
values_675,4022,2906
values_657,4814,3478
values_333,2044,1483
values_599,4346,3137
values_129,533,392
values_886,3914,2829
values_107,1468,1065
values_272,533,392
values_52,3554,2565
values_819,5030,3632
values_682,5030,3632
values_44,263,194
values_914,1648,1197
values_346,533,392
values_151,1180,856
values_550,1180,856
values_326,2332,1692
values_836,3554,2565
values_437,5138,3709
values_984,3914,2829
values_17,4022,2906
values_748,4814,3478
values_581,3914,2829
values_705,2044,1483
values_121,263,194
values_219,1648,1197
values_321,3554,2565
values_843,3446,2488
values_606,3554,2565
values_898,5138,3709
values_601,263,194
values_36,2044,1483
values_282,533,392
values_395,3446,2488
values_449,4706,3401
values_209,173,128
values_956,5030,3632
values_579,443,326
values_484,4346,3137
values_521,4706,3401
values_617,3446,2488
values_516,4814,3478
values_358,5606,4050
values_335,3554,2565
values_139,4022,2906
values_992,173,128
values_211,1360,988
values_507,3914,2829
values_921,3914,2829
values_138,5606,4050
values_275,3446,2488
values_614,2332,1692
values_49,1756,1274
values_227,443,326
values_203,173,128
values_172,1180,856
values_86,5498,3973
values_178,2332,1692
values_978,443,326
values_253,263,194
values_291,3446,2488
values_911,533,392
values_230,1936,1406
